system,n_atoms,n_configs,valid_energy_configs,energy_split_excluded,low_energy_configs,middle_energy_configs,high_energy_configs,train_configs,val_configs,test_id_configs,test_ood_configs,train_dft_available,val_dft_available,test_id_dft_available,test_ood_dft_available,train_cc_available,val_cc_available,test_id_cc_available,test_ood_cc_available
C10H10,20,392,248,False,124,12,112,74,25,25,112,74,25,25,112,4,3,3,14
C10H10N2,22,5024,3272,False,1636,164,1472,982,327,327,1472,982,327,327,1472,26,9,4,26
C10H10N2O1,23,2279,2065,False,1033,103,929,620,207,206,929,620,207,206,929,9,2,2,8
C10H10N2O2,24,836,504,False,252,25,227,151,51,50,227,151,51,50,227,5,1,5,3
C10H10N4,24,206,198,False,99,10,89,59,20,20,89,59,20,20,89,2,0,0,1
C10H10N4O1,25,6,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H10N4O2,26,1,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H10O1,21,891,738,False,369,37,332,221,74,74,332,221,74,74,332,5,1,3,6
C10H10O2,22,2457,2262,False,1131,113,1018,679,226,226,1018,679,226,226,1018,16,5,5,13
C10H10O3,23,1332,821,False,411,40,370,247,82,82,370,247,82,82,370,8,4,5,6
C10H10O4,24,2,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H10O5,25,3,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H11N1,22,886,870,False,435,43,392,261,87,87,392,261,87,87,392,8,1,2,6
C10H11N1O1,23,2883,2599,False,1300,129,1170,780,260,260,1170,780,260,260,1170,2,0,0,10
C10H11N1O2,24,1781,1473,False,737,73,663,442,148,147,663,442,148,147,663,10,8,5,18
C10H11N1O3,25,209,200,False,100,10,90,60,20,20,90,60,20,20,90,1,0,0,1
C10H11N3,24,1619,1595,False,798,79,718,479,160,159,718,479,160,159,718,25,7,3,9
C10H11N3O1,25,275,271,False,136,13,122,82,27,27,122,82,27,27,122,0,0,0,3
C10H11N3O2,26,140,137,False,69,6,62,41,14,14,62,41,14,14,62,0,0,0,0
C10H11N5,26,1,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H12,22,254,249,False,125,12,112,75,25,25,112,75,25,25,112,0,0,0,0
C10H12N2,24,1178,878,False,439,44,395,263,88,88,395,263,88,88,395,20,6,5,10
C10H12N2O1,25,1359,1338,False,669,67,602,401,134,134,602,401,134,134,602,10,3,5,8
C10H12N2O2,26,198,183,False,92,9,82,55,19,18,82,55,19,18,82,1,0,0,4
C10H12N2O3,27,3,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H12N2O4,28,2,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H12N4,26,123,118,False,59,6,53,35,12,12,53,35,12,12,53,2,0,0,2
C10H12N4O1,27,239,229,False,115,11,103,69,23,23,103,69,23,23,103,1,0,1,2
C10H12N4O2,28,3,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H12N6,28,1,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H12O1,23,1213,880,False,440,44,396,264,88,88,396,264,88,88,396,11,4,2,8
C10H12O2,24,1811,1369,False,685,68,616,411,137,137,616,411,137,137,616,5,0,3,8
C10H12O3,25,1076,1065,False,533,53,479,320,107,106,479,320,107,106,479,8,1,3,10
C10H12O4,26,596,581,False,291,28,262,175,58,58,262,175,58,58,262,6,0,2,4
C10H13N1,24,2540,1765,False,883,88,794,530,177,176,794,530,177,176,794,8,1,1,2
C10H13N1O1,25,2772,2738,False,1369,137,1232,821,274,274,1232,821,274,274,1232,7,3,1,21
C10H13N1O2,26,1317,1304,False,652,65,587,391,131,130,587,391,131,130,587,7,4,2,5
C10H13N1O3,27,1464,1432,False,716,72,644,430,143,143,644,430,143,143,644,20,9,7,14
C10H13N1O4,28,2,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H13N3,26,1837,1815,False,908,90,817,545,182,181,817,545,182,181,817,17,5,2,22
C10H13N3O1,27,332,325,False,163,16,146,98,33,32,146,98,33,32,146,3,1,1,3
C10H13N3O2,28,125,119,False,60,5,54,36,12,12,54,36,12,12,54,0,0,0,0
C10H13N5,28,146,139,False,70,6,63,42,14,14,63,42,14,14,63,0,0,0,0
C10H13N5O1,29,1,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H14,24,244,100,False,50,5,45,30,10,10,45,30,10,10,45,0,1,0,0
C10H14N2,26,1237,1216,False,608,61,547,365,122,121,547,365,122,121,547,7,3,1,6
C10H14N2O1,27,694,678,False,339,34,305,203,68,68,305,203,68,68,305,5,1,3,5
C10H14N2O2,28,99,96,False,48,5,43,29,10,9,43,29,10,9,43,1,0,1,0
C10H14N2O3,29,11,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H14N2O4,30,3,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H14N4,28,467,458,False,229,23,206,137,46,46,206,137,46,46,206,7,1,1,1
C10H14N4O1,29,244,237,False,119,11,107,71,24,24,107,71,24,24,107,3,1,3,1
C10H14N4O2,30,2,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H14N4O3,31,1,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H14N4O5,33,1122,1082,False,541,54,487,325,108,108,487,325,108,108,487,12,6,1,3
C10H14N6,30,1,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H14O1,25,60,60,False,30,3,27,18,6,6,27,18,6,6,27,0,1,0,0
C10H14O2,26,594,585,False,293,29,263,176,59,58,263,176,59,58,263,5,0,1,1
C10H14O3,27,418,412,False,206,21,185,124,41,41,185,124,41,41,185,2,0,0,3
C10H14O4,28,402,398,False,199,20,179,119,40,40,179,119,40,40,179,1,0,1,2
C10H14O5,29,2,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H15N1,26,363,361,False,181,17,163,109,36,36,163,109,36,36,163,4,1,0,6
C10H15N1O1,27,844,838,False,419,42,377,251,84,84,377,251,84,84,377,10,8,5,6
C10H15N1O2,28,392,382,False,191,19,172,115,38,38,172,115,38,38,172,3,2,1,3
C10H15N1O3,29,190,181,False,91,8,82,55,18,18,82,55,18,18,82,0,0,1,1
C10H15N1O4,30,3,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H15N3,28,928,913,False,457,45,411,274,92,91,411,274,92,91,411,8,3,3,2
C10H15N3O1,29,431,415,False,208,20,187,125,42,41,187,125,42,41,187,4,0,1,3
C10H15N3O2,30,4,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H15N5,30,2,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H15N5O1,31,2,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H15N5O4,34,1119,1079,False,540,53,486,324,108,108,486,324,108,108,486,27,7,2,16
C10H15N5O5,35,1,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H16,26,219,216,False,108,11,97,65,22,21,97,65,22,21,97,10,2,1,4
C10H16N2,28,740,722,False,361,36,325,217,72,72,325,217,72,72,325,11,6,8,8
C10H16N2O1,29,574,567,False,284,28,255,170,57,57,255,170,57,57,255,12,5,2,5
C10H16N2O2,30,339,326,False,163,16,147,98,33,32,147,98,33,32,147,6,0,3,2
