config_index,num_atoms,ref_energy,pred_energy,error,sq_error,rmse_e_atom,aleatoric_var,epistemic_var,total_var
0,20.0,-526.5520629882812,-526.549072265625,0.00299072265625,8.944422006607056e-06,0.00299072265625,4.0307520976057276e-05,1.211557537317276e-05,5.2423096349230036e-05
1,20.0,-526.5946044921875,-526.5944213867188,0.00018310546875,3.3527612686157227e-08,0.00018310546875,2.397529169684276e-05,4.256516604073113e-06,2.8231808755663224e-05
2,20.0,-526.5814208984375,-526.5770874023438,0.00433349609375,1.877918839454651e-05,0.00433349609375,3.0500037610181607e-05,1.159273051598575e-05,4.209276812616736e-05
3,20.0,-526.3901977539062,-526.394287109375,-0.00408935546875,1.6722828149795532e-05,0.00408935546875,1.802543738449458e-05,5.103275270812446e-06,2.3128712200559676e-05
4,20.0,-526.334228515625,-526.3416748046875,-0.0074462890625,5.544722080230713e-05,0.0074462890625,2.235344800283201e-05,1.0787509381771088e-05,3.31409573846031e-05
5,20.0,-526.4917602539062,-526.4777221679688,0.0140380859375,0.00019706785678863525,0.0140380859375,6.457362178480253e-05,3.544222636264749e-05,0.00010001585178542882
6,20.0,-526.6539306640625,-526.652099609375,0.0018310546875,3.3527612686157227e-06,0.0018310546875,2.2106905817054212e-05,8.23047048470471e-06,3.0337376301758923e-05
7,20.0,-526.5482177734375,-526.5452270507812,0.00299072265625,8.944422006607056e-06,0.00299072265625,3.86524734494742e-05,8.58008843351854e-06,4.723256279248744e-05
8,20.0,-526.5093994140625,-526.4989624023438,0.01043701171875,0.00010893121361732483,0.01043701171875,4.5085715100867674e-05,3.4777076507452875e-05,7.986278797034174e-05
9,20.0,-526.4940185546875,-526.4901733398438,0.00384521484375,1.4785677194595337e-05,0.00384521484375,5.065719233243726e-05,2.5702454877318814e-05,7.635964720975608e-05
10,20.0,-526.3826293945312,-526.3771362304688,0.0054931640625,3.0174851417541504e-05,0.0054931640625,7.299261051230133e-05,4.765428457176313e-05,0.00012064689508406445
11,20.0,-526.3558959960938,-526.3466796875,0.00921630859375,8.49403440952301e-05,0.00921630859375,9.253519965568557e-05,2.2134558093966916e-05,0.0001146697613876313
12,20.0,-526.4564208984375,-526.448974609375,0.0074462890625,5.544722080230713e-05,0.0074462890625,6.108977686380967e-05,4.431493653100915e-05,0.00010540471703279763
13,20.0,-526.1895751953125,-526.1854858398438,0.00408935546875,1.6722828149795532e-05,0.00408935546875,0.0004577399231493473,0.0003055674897041172,0.0007633074419572949
14,20.0,-526.5848388671875,-526.5860595703125,-0.001220703125,1.4901161193847656e-06,0.001220703125,2.9175274903536774e-05,1.087542659661267e-05,4.0050701500149444e-05
15,20.0,-526.54296875,-526.5406494140625,0.0023193359375,5.379319190979004e-06,0.0023193359375,3.2537074730498716e-05,1.3547391063184477e-05,4.60844676126726e-05
16,20.0,-526.615966796875,-526.61279296875,0.003173828125,1.0073184967041016e-05,0.003173828125,2.7989544832962565e-05,9.180419510812499e-06,3.7169964343775064e-05
