config_index,num_atoms,ref_energy,pred_energy,error,sq_error,rmse_e_atom,aleatoric_var,epistemic_var,total_var
0,22.0,-614.221923828125,-614.2230224609375,-0.0010986328125,1.2069940567016602e-06,0.0010986328125,2.533942461013794e-05,1.7581134670763277e-05,4.292056109989062e-05
1,22.0,-614.1089477539062,-614.1088256835938,0.0001220703125,1.4901161193847656e-08,0.0001220703125,2.7593443519435823e-05,3.7530437566601904e-06,3.134648795821704e-05
2,22.0,-614.1790771484375,-614.1803588867188,-0.00128173828125,1.642853021621704e-06,0.00128173828125,2.3535490981885232e-05,1.2013502782792784e-05,3.5548993764678016e-05
3,22.0,-614.0632934570312,-614.057861328125,0.00543212890625,2.950802445411682e-05,0.00543212890625,2.9919896405772306e-05,8.155778232321609e-06,3.8075675547588617e-05
4,22.0,-614.2553100585938,-614.2537841796875,0.00152587890625,2.3283064365386963e-06,0.00152587890625,1.272168901778059e-05,3.2652169466018677e-06,1.5986905054887757e-05
5,22.0,-614.2772827148438,-614.2780151367188,-0.000732421875,5.364418029785156e-07,0.000732421875,1.4574761735275388e-05,5.882046934857499e-06,2.045680957962759e-05
6,22.0,-614.0631103515625,-614.0623168945312,0.00079345703125,6.295740604400635e-07,0.00079345703125,5.1721530326176435e-05,9.366869562654756e-06,6.10884017078206e-05
7,22.0,-614.2539672851562,-614.2533569335938,0.0006103515625,3.725290298461914e-07,0.0006103515625,1.6122445231303573e-05,6.151944489829475e-06,2.2274389266385697e-05
8,22.0,-614.1533813476562,-614.1526489257812,0.000732421875,5.364418029785156e-07,0.000732421875,2.603982102300506e-05,8.616969353170134e-06,3.4656790376175195e-05
9,22.0,-614.2600708007812,-614.2619018554688,-0.0018310546875,3.3527612686157227e-06,0.0018310546875,1.5924792023724876e-05,6.807968020439148e-06,2.2732760044164024e-05
10,22.0,-614.1768798828125,-614.1806030273438,-0.00372314453125,1.3861805200576782e-05,0.00372314453125,2.796207081701141e-05,8.381903171539307e-06,3.634397580754012e-05
11,22.0,-614.0682373046875,-614.0670776367188,0.00115966796875,1.344829797744751e-06,0.00115966796875,5.399807196226902e-05,1.1204741895198822e-05,6.520281021948904e-05
12,22.0,-613.9942016601562,-613.992919921875,0.00128173828125,1.642853021621704e-06,0.00128173828125,7.398065645247698e-05,2.5330669814138673e-05,9.931132808560506e-05
13,22.0,-614.057861328125,-614.055419921875,0.00244140625,5.9604644775390625e-06,0.00244140625,4.192133928881958e-05,1.2602843526110519e-05,5.45241819054354e-05
14,22.0,-614.2451782226562,-614.2411499023438,0.0040283203125,1.6227364540100098e-05,0.0040283203125,2.379016405029688e-05,8.18781518319156e-06,3.197797923348844e-05
15,22.0,-613.7739868164062,-613.7849731445312,-0.010986328125,0.00012069940567016602,0.010986328125,0.00035844012745656073,3.574155198293738e-05,0.0003941816685255617
16,22.0,-613.9412231445312,-613.9389038085938,0.0023193359375,5.379319190979004e-06,0.0023193359375,7.209715113276616e-05,4.2897088860627264e-05,0.00011499423999339342
17,22.0,-614.291015625,-614.2913208007812,-0.00030517578125,9.313225746154785e-08,0.00030517578125,1.5245650502038188e-05,7.654353794350754e-06,2.290000338689424e-05
18,22.0,-613.968505859375,-613.9633178710938,0.00518798828125,2.691522240638733e-05,0.00518798828125,8.678435551701114e-05,5.998648703098297e-06,9.278300422010943e-05
19,22.0,-614.109130859375,-614.1054077148438,0.00372314453125,1.3861805200576782e-05,0.00372314453125,3.470388037385419e-05,7.164478120103013e-06,4.1868359403451905e-05
20,22.0,-614.2041625976562,-614.2074584960938,-0.0032958984375,1.0862946510314941e-05,0.0032958984375,2.607386340969242e-05,9.858980774879456e-06,3.593284418457188e-05
