config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,22.0,-613.9164428710938,-613.9213256835938,-0.0048828125,2.384185791015625e-05,8.197345528950473e-06,8.40145896406884e-06,7.947646341957412e-06,2.028388189501129e-05,5.506351499207085e-06,2.5790233848965727e-05
1,22.0,-614.0086669921875,-614.0164184570312,-0.00775146484375,6.008520722389221e-05,3.9574300307174064e-05,0.00020212838789085297,6.446826711788283e-05,5.437204890768044e-05,5.622617754852399e-05,0.00011059822281822562
2,22.0,-614.08642578125,-614.0751342773438,0.01129150390625,0.000127498060464859,2.7009875824054084e-05,5.036917164785053e-05,3.234618704760582e-05,4.4134540075901896e-05,3.161709901178256e-05,7.575163908768445e-05
3,22.0,-614.0858764648438,-614.0863647460938,-0.00048828125,2.384185791015625e-07,2.568888704519014e-05,1.9623751304750368e-05,2.1964500774629414e-05,4.024908412247896e-05,1.1483393791422714e-05,5.1732477004406974e-05
4,22.0,-613.9061279296875,-613.9153442382812,-0.00921630859375,8.49403440952301e-05,4.0999303261439e-05,2.7060824430595005e-05,3.512802755185327e-05,6.0749793192371726e-05,1.7494709027232602e-05,7.824449858162552e-05
5,22.0,-614.0369873046875,-614.0388793945312,-0.00189208984375,3.5800039768218994e-06,2.568888704519014e-05,5.036917164785053e-05,3.234618704760582e-05,4.146338324062526e-05,3.210194336134009e-05,7.356533023994416e-05
6,22.0,-614.185302734375,-614.1851806640625,0.0001220703125,1.4901161193847656e-08,6.437637752160094e-06,7.030207152460136e-06,4.590973101305561e-06,1.682147012616042e-05,4.5284627958608326e-06,2.1349933376768604e-05
7,22.0,-613.960205078125,-613.9623413085938,-0.00213623046875,4.563480615615845e-06,3.9574300307174064e-05,3.415215070600863e-05,3.234618704760582e-05,5.402778697316535e-05,2.2859498130856082e-05,7.688728510402143e-05
8,22.0,-614.2217407226562,-614.2225341796875,-0.00079345703125,6.295740604400635e-07,6.437637752160094e-06,8.40145896406884e-06,7.443408679774428e-06,1.7689668311504647e-05,5.328468887455529e-06,2.3018137653707527e-05
9,22.0,-614.2761840820312,-614.2755737304688,0.0006103515625,3.725290298461914e-07,6.437637752160094e-06,1.1938822674838935e-05,7.947646341957412e-06,1.6850461179274134e-05,9.277649041905534e-06,2.6128109311684966e-05
10,22.0,-614.1626586914062,-614.1568603515625,0.00579833984375,3.3620744943618774e-05,1.1766637239803453e-05,3.2108897964159646e-06,7.947646341957412e-06,2.4830966140143573e-05,1.3068317912257044e-06,2.613779724924825e-05
11,22.0,-614.2073364257812,-614.2057495117188,0.0015869140625,2.518296241760254e-06,1.1766637239803453e-05,1.9623751304750368e-05,1.165687313510312e-05,2.3579286789754406e-05,1.1241994798183441e-05,3.482128158793785e-05
12,22.0,-614.2304077148438,-614.2274169921875,0.00299072265625,8.944422006607056e-06,5.412456605274215e-06,1.4817536371579102e-05,7.947646341957412e-06,1.6028059690142982e-05,1.0636262231855653e-05,2.6664321921998635e-05
13,22.0,-614.204345703125,-614.2003784179688,0.00396728515625,1.5739351511001587e-05,8.197345528950473e-06,1.9623751304750368e-05,9.151167791931568e-06,1.9591443560784683e-05,1.113004964281572e-05,3.0721494113095105e-05
14,22.0,-613.99365234375,-613.9913940429688,0.00225830078125,5.09992241859436e-06,3.434589191281295e-05,8.40145896406884e-06,2.1964500774629414e-05,4.9467907956568524e-05,5.066953690402443e-06,5.453486301121302e-05
15,22.0,-614.22265625,-614.2208862304688,0.00177001953125,3.1329691410064697e-06,8.197345528950473e-06,1.1938822674838935e-05,9.151167791931568e-06,1.978968248295132e-05,8.931383490562439e-06,2.872106597351376e-05
16,22.0,-614.194580078125,-614.196533203125,-0.001953125,3.814697265625e-06,1.056567271007225e-05,2.4144014279390202e-05,1.3637761667109372e-05,2.2579459255211987e-05,1.658070868870709e-05,3.916016794391908e-05
17,22.0,-614.2870483398438,-614.2867431640625,0.00030517578125,9.313225746154785e-08,5.412456605274215e-06,1.9623751304750368e-05,9.151167791931568e-06,1.6701769709470682e-05,1.2152641829743516e-05,2.8854410629719496e-05
18,22.0,-614.1107788085938,-614.1107788085938,0.0,0.0,2.7009875824054084e-05,1.9623751304750368e-05,2.1964500774629414e-05,4.240537964506075e-05,1.359209454676602e-05,5.5997472372837365e-05
19,22.0,-614.1115112304688,-614.1154174804688,-0.00390625,1.52587890625e-05,1.469646027647354e-05,1.4817536371579102e-05,1.3637761667109372e-05,2.9093744160491042e-05,9.386800229549408e-06,3.848054620902985e-05
20,22.0,-614.2234497070312,-614.225830078125,-0.00238037109375,5.666166543960571e-06,1.056567271007225e-05,1.8203390702124565e-05,1.0169786598966076e-05,2.2812648239778355e-05,1.0656192898750305e-05,3.346884113852866e-05
21,22.0,-614.265380859375,-614.2650756835938,0.00030517578125,9.313225746154785e-08,6.437637752160094e-06,9.059082143581832e-06,7.443408679774428e-06,1.7195407053804956e-05,6.362982276186813e-06,2.355839023948647e-05
22,22.0,-613.9682006835938,-613.9742431640625,-0.00604248046875,3.651157021522522e-05,2.7009875824054084e-05,1.9623751304750368e-05,2.389918887914892e-05,4.444563091965392e-05,1.3246200978755951e-05,5.769183189840987e-05
23,22.0,-614.014892578125,-614.0118408203125,0.0030517578125,9.313225746154785e-06,3.434589191281295e-05,4.912663973047973e-05,3.234618704760582e-05,4.786091813002713e-05,2.8296188247622922e-05,7.615710637765005e-05
