uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,3300,0.0018705038749450625,0.0017106424459235954,3.4987847461844937e-06,2.926297577795461e-06,0.19563532182544408,4.756014767760542e-07,4.111912430209272e-06
aleatoric,1,3300,0.002472273676612337,0.002275886768504854,6.112137132070282e-06,5.179660583055466e-06,0.18002657395453328,4.111912430209272e-06,6.426402360649037e-06
aleatoric,2,3300,0.002935843117875899,0.002739084994998595,8.619174812779281e-06,7.502586609826453e-06,0.14882709937535216,6.426402360649037e-06,8.187745614938467e-06
aleatoric,3,3300,0.0032160841709291564,0.003062657031313968,1.0343197394501078e-05,9.379868091456887e-06,0.10270179640602668,8.187745614938467e-06,1.0578802175587043e-05
aleatoric,4,3300,0.0037925676287536227,0.003448692127622758,1.4383569218669877e-05,1.1893477391127185e-05,0.20936617152863635,1.0578802175587043e-05,1.4695453263371656e-05
aleatoric,5,3300,0.004346521675188779,0.0038334649161524434,1.8892250672885865e-05,1.4695453263371659e-05,0.2855847542977597,1.4695453263371656e-05,1.4695453263371656e-05
aleatoric,6,3300,0.004467584317306258,0.004132446129074558,1.9959309632240823e-05,1.70771110097033e-05,0.16877553942817627,1.4695453263371656e-05,2.248390573319666e-05
aleatoric,7,3300,0.005605188720875103,0.00482808161803124,3.141814059662548e-05,2.331037211037115e-05,0.3478180634725712,2.248390573319666e-05,2.56977673317935e-05
aleatoric,8,3300,0.006291074126837399,0.005541355659276692,3.9577613669362936e-05,3.0706622542597815e-05,0.28889504583119885,2.56977673317935e-05,3.432311521439285e-05
aleatoric,9,3300,0.007085489658410283,0.006162745457225263,5.020416369943908e-05,3.797943157055061e-05,0.3218777012546858,3.432311521439285e-05,4.101507604504243e-05
aleatoric,10,3300,0.007782626093119449,0.007196250467474416,6.056926890530369e-05,5.1786020790625754e-05,0.16960654594777966,4.101507604504243e-05,6.15573293571152e-05
aleatoric,11,3300,0.011071960210269786,0.008127290383488108,0.0001225883028977974,6.605284897753828e-05,0.8559124215744938,6.15573293571152e-05,8.779233654162713e-05
aleatoric,12,3300,0.011230805257547964,0.010456832532038869,0.00012613098673296697,0.00010934534660310642,0.153510328983526,8.779233654162713e-05,0.0001151549916427869
