uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,3300,0.0017483647601375834,0.0017841497024028063,3.0567793344909495e-06,3.1831901605840226e-06,0.039711993225651464,5.615875124931335e-07,3.974137724546771e-06
aleatoric,1,3300,0.0023473290398500508,0.0021916967303894216,5.509953621323362e-06,4.8035345579996816e-06,0.14706234644387603,3.974137724546771e-06,5.309947888658504e-06
aleatoric,2,3300,0.002734794561287981,0.0025781041097111,7.479101292450319e-06,6.646620800509263e-06,0.12524868153713106,5.309947888658504e-06,7.718114532751613e-06
aleatoric,3,3300,0.003181488245423494,0.0031600026315771984,1.0121867455767863e-05,9.985616631574818e-06,0.013644708105678298,7.718114532751613e-06,1.04637694098856e-05
aleatoric,4,3300,0.0035418340961140002,0.0033971312117174277,1.2544588764395678e-05,1.154050046962472e-05,0.08700561101433847,1.04637694098856e-05,1.329117055450167e-05
aleatoric,5,3300,0.003849469547043913,0.0038908824679645703,1.481841579361847e-05,1.5138966379514066e-05,0.021173875273900012,1.329117055450167e-05,1.7006683981779848e-05
aleatoric,6,3300,0.004170889110802002,0.004498032294037832,1.739631597460671e-05,2.0232294518207242e-05,0.14017088081870333,1.7006683981779848e-05,2.2741995205741904e-05
aleatoric,7,3300,0.004838435549769554,0.004861226281282695,2.3410458569273806e-05,2.3631520957833575e-05,0.009354556101328279,2.2741995205741904e-05,2.6352033206580468e-05
aleatoric,8,3300,0.0052762083612664535,0.005300413772625414,2.783837467149803e-05,2.8094386161037167e-05,0.009112549677066355,2.6352033206580468e-05,3.497285716649558e-05
aleatoric,9,3300,0.006410809094086248,0.006006686105388426,4.109847324081894e-05,3.6080277968666375e-05,0.13908416327919026,3.497285716649558e-05,3.721821650108534e-05
aleatoric,10,3300,0.007636955763732327,0.0072378058422592,5.832309333720442e-05,5.23858334102414e-05,0.11333712838865109,3.721821650108534e-05,6.501303995837985e-05
aleatoric,11,3300,0.00915656534963313,0.008562478389213344,8.384268900210208e-05,7.331603616574554e-05,0.14357913202725436,6.501303995837985e-05,8.419819351626235e-05
aleatoric,12,3300,0.009843881996883568,0.010006966363519951,9.690201276856842e-05,0.0001001393758006197,0.03232857211429967,8.419819351626235e-05,0.0001541287557960584
aleatoric,13,3300,0.012426537926653164,0.012839184488271134,0.00015441884484254951,0.0001648446583238621,0.06324629252365281,0.0001541287557960584,0.0001989287475860396
aleatoric,14,3300,0.037033801911191634,0.030461277895042355,0.0013715024839973812,0.000927889450998996,0.478088238335695,0.0001989287475860396,0.011576303839683532
epistemic,0,3300,0.0022206994541857992,0.002208074271551692,4.931506065821106e-06,4.875591988688535e-06,0.011468161663710256,1.0766088962554932e-06,5.838668423179162e-06
epistemic,1,3300,0.0026606825033153236,0.002530660123683629,7.079231383448297e-06,6.404240661602441e-06,0.10539746357329477,5.838668423179162e-06,7.2615967772681e-06
epistemic,2,3300,0.003013004524393084,0.0028106504177409183,9.078196264013197e-06,7.899755770747199e-06,0.14917429442942576,7.2615967772681e-06,1.095386273540527e-05
epistemic,3,3300,0.003473669197510145,0.003416175420697978,1.2066377693730774e-05,1.1670254504981006e-05,0.03394297772860893,1.095386273540527e-05,1.21070385463607e-05
epistemic,4,3300,0.0038955918401850026,0.0035448722848542853,1.5175635785315975e-05,1.256611951592804e-05,0.2076628561490501,1.21070385463607e-05,1.2759961271908118e-05
epistemic,5,3300,0.004108061920177495,0.0038061173644433816,1.6876172740012407e-05,1.4486529391917432e-05,0.16495623509577423,1.2759961271908118e-05,1.6962384272898947e-05
epistemic,6,3300,0.004728422304457558,0.004449518979015491,2.2357977489291718e-05,1.9798219144619056e-05,0.12929235331594846,1.6962384272898947e-05,2.085611904187808e-05
epistemic,7,3300,0.005076986215188981,0.004805008978285196,2.5775789029218935e-05,2.3088111281401347e-05,0.11640959778215594,2.085611904187808e-05,2.337256685281411e-05
epistemic,8,3300,0.0053457252154053975,0.006122661582696286,2.8576778078621084e-05,3.748698485622499e-05,0.23768800856557284,2.337256685281411e-05,3.9417060074123924e-05
epistemic,9,3300,0.006391389111495822,0.006551690837296033,4.084985477454735e-05,4.292465282750879e-05,0.048335814416460086,3.9417060074123924e-05,4.468817263841629e-05
epistemic,10,3300,0.008935924499309553,0.008655305179685723,7.985074665736068e-05,7.491430775349452e-05,0.06589447399166413,4.468817263841629e-05,8.394328440422922e-05
epistemic,11,3300,0.008483145984807034,0.009183986627498225,7.196376579954769e-05,8.434561037406624e-05,0.14679892076903617,8.394328440422922e-05,0.0001019735979597743
epistemic,12,3300,0.010660607505724692,0.010378671117778408,0.00011364855239111365,0.00010771681417100771,0.05506789507057745,0.0001019735979597743,0.00010947008510079004
epistemic,13,3300,0.013082691714866077,0.015082722698116535,0.00017115682250622548,0.00022748852398827971,0.24762436581177372,0.00010947008510079004,0.00034980759913221405
epistemic,14,3300,0.03617839197653458,0.0459189794599147,0.0013088760460077814,0.0021085526746400683,0.3792538067699885,0.00034980759913221405,0.15079739328939468
total,0,3300,0.0017122499427939136,0.0017472045486395214,2.9317998665977607e-06,3.0527237347866335e-06,0.03961179546347802,2.3071625037118793e-06,4.395943836602987e-06
total,1,3300,0.0023701197471813927,0.002269187139978716,5.617467615979188e-06,5.149210276244785e-06,0.09093770007697051,4.395943836602987e-06,6.309156966714711e-06
total,2,3300,0.002754265720559469,0.002684336987884492,7.5859796594489705e-06,7.205665064524786e-06,0.05277994349148485,6.309156966714711e-06,7.655050017331777e-06
total,3,3300,0.0031994018728813867,0.0030749754341419747,1.0236172344196926e-05,9.455473920576626e-06,0.08256576351200917,7.655050017331777e-06,9.814025403341787e-06
total,4,3300,0.003574356866660876,0.003620511075507122,1.2776027010245756e-05,1.3108100447869737e-05,0.025333452314057297,9.814025403341787e-06,1.3646482285566446e-05
total,5,3300,0.0037919297753549173,0.003827298707636264,1.4378731421223193e-05,1.4648215397474218e-05,0.01839705171849753,1.3646482285566446e-05,1.6108796160708194e-05
total,6,3300,0.004307868821771019,0.0041497923700158906,1.8557733785586826e-05,1.7220776714242102e-05,0.07763628165732041,1.6108796160708194e-05,1.808362826704979e-05
total,7,3300,0.004621294445887512,0.004406252172829782,2.135636235559077e-05,1.9415058210567175e-05,0.09998961239101455,1.808362826704979e-05,2.200458612706926e-05
total,8,3300,0.0052949555816934335,0.0055845650357256695,2.8036554612106444e-05,3.1187366638249645e-05,0.10102847292912821,2.200458612706926e-05,3.4621112512905445e-05
total,9,3300,0.006443384529564058,0.0063484417279229145,4.151720419582544e-05,4.0302712372832884e-05,0.030134245351963348,3.4621112512905445e-05,4.738830397083304e-05
total,10,3300,0.007082684693805482,0.006922934547415725,5.016442247186646e-05,4.7927022747802174e-05,0.04668346990460383,4.738830397083304e-05,5.841605889145285e-05
total,11,3300,0.008452738650857194,0.008455101564646112,7.14487906996951e-05,7.148874246848115e-05,0.0005588539874465228,5.841605889145285e-05,8.258094035443806e-05
total,12,3300,0.010325734437735039,0.010490389103913433,0.00010662079167862734,0.00011004826355150567,0.0311451699669407,8.258094035443806e-05,0.00012390182486602237
total,13,3300,0.012443503479392983,0.012182090462403893,0.0001548407788416653,0.0001484033280341919,0.04337807576653679,0.00012390182486602237,0.00018278707418291048
total,14,3300,0.037177878316377796,0.027948351707346164,0.0013821946361073942,0.0007811103631575193,0.7695254106219813,0.00018278707418291048,0.012855900474824012
