config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,23.0,-676.5419311523438,-676.5403442382812,0.0015869140625,2.518296241760254e-06,2.0613480955944397e-05,1.125149447034346e-05,3.186497633578256e-05,2.0613480955944397e-05,1.125149447034346e-05,3.186497633578256e-05
1,23.0,-676.4315185546875,-676.4263916015625,0.005126953125,2.6285648345947266e-05,2.9429507776512764e-05,3.1322240374720423e-06,3.2561732950853184e-05,2.9429507776512764e-05,3.1322240374720423e-06,3.2561732950853184e-05
2,23.0,-676.57421875,-676.5717163085938,0.00250244140625,6.2622129917144775e-06,1.5648027329007164e-05,1.2647360563278198e-05,2.8295387892285362e-05,1.5648027329007164e-05,1.2647360563278198e-05,2.8295387892285362e-05
3,23.0,-676.53076171875,-676.5308227539062,-6.103515625e-05,3.725290298461914e-09,1.9142184100928716e-05,1.1303462088108063e-05,3.044564618903678e-05,1.9142184100928716e-05,1.1303462088108063e-05,3.044564618903678e-05
4,23.0,-676.4058227539062,-676.4083862304688,-0.0025634765625,6.571412086486816e-06,2.5337050828966312e-05,2.5083310902118683e-05,5.04203635500744e-05,2.5337050828966312e-05,2.5083310902118683e-05,5.04203635500744e-05
5,23.0,-676.3261108398438,-676.3382568359375,-0.01214599609375,0.00014752522110939026,6.0770045820390806e-05,4.8524329031351954e-05,0.00010929437121376395,6.0770045820390806e-05,4.8524329031351954e-05,0.00010929437121376395
6,23.0,-676.3048706054688,-676.3026733398438,0.002197265625,4.827976226806641e-06,5.8102450566366315e-05,2.2664107746095397e-05,8.076655649347231e-05,5.8102450566366315e-05,2.2664107746095397e-05,8.076655649347231e-05
7,23.0,-676.2254028320312,-676.2183837890625,0.00701904296875,4.9266964197158813e-05,9.828006295720115e-05,0.00010502096120035276,0.0002033010241575539,9.828006295720115e-05,0.00010502096120035276,0.0002033010241575539
8,23.0,-676.5183715820312,-676.5186767578125,-0.00030517578125,9.313225746154785e-08,1.8993165213032626e-05,1.2067333045706619e-05,3.1060499168233946e-05,1.8993165213032626e-05,1.2067333045706619e-05,3.1060499168233946e-05
9,23.0,-676.4202270507812,-676.416015625,0.00421142578125,1.7736107110977173e-05,3.311501495772973e-05,9.064004188985564e-06,4.217901732772589e-05,3.311501495772973e-05,9.064004188985564e-06,4.217901732772589e-05
10,23.0,-676.5064697265625,-676.501953125,0.0045166015625,2.039968967437744e-05,2.0072451661690138e-05,1.5694089597673155e-05,3.5766541259363294e-05,2.0072451661690138e-05,1.5694089597673155e-05,3.5766541259363294e-05
11,23.0,-676.241455078125,-676.2408447265625,0.0006103515625,3.725290298461914e-07,5.484206121764146e-05,2.7468613552628085e-05,8.231067477026954e-05,5.484206121764146e-05,2.7468613552628085e-05,8.231067477026954e-05
12,23.0,-676.544677734375,-676.5433959960938,0.00128173828125,1.642853021621704e-06,1.7449812730774283e-05,1.1708587408065796e-05,2.915840013884008e-05,1.7449812730774283e-05,1.1708587408065796e-05,2.915840013884008e-05
13,23.0,-676.5486450195312,-676.5486450195312,0.0,0.0,1.6321751900250092e-05,7.672421816096175e-06,2.3994172806851566e-05,1.6321751900250092e-05,7.672421816096175e-06,2.3994172806851566e-05
14,23.0,-676.5692138671875,-676.568115234375,0.0010986328125,1.2069940567016602e-06,1.578407500346657e-05,7.703900337219238e-06,2.3487975340685807e-05,1.578407500346657e-05,7.703900337219238e-06,2.3487975340685807e-05
15,23.0,-676.5046997070312,-676.5042114257812,0.00048828125,2.384185791015625e-07,2.181519266741816e-05,1.232251543115126e-05,3.413770900806412e-05,2.181519266741816e-05,1.232251543115126e-05,3.413770900806412e-05
16,23.0,-676.55712890625,-676.5560913085938,0.00103759765625,1.0766088962554932e-06,1.4885957170918118e-05,5.2904711083101574e-06,2.0176428733975627e-05,1.4885957170918118e-05,5.2904711083101574e-06,2.0176428733975627e-05
17,23.0,-676.3379516601562,-676.3416137695312,-0.003662109375,1.341104507446289e-05,4.14781243307516e-05,2.4941376977949403e-05,6.64195031276904e-05,4.14781243307516e-05,2.4941376977949403e-05,6.64195031276904e-05
18,23.0,-676.5166625976562,-676.5149536132812,0.001708984375,2.9206275939941406e-06,2.0041305106133223e-05,5.979835805192124e-06,2.602114182082005e-05,2.0041305106133223e-05,5.979835805192124e-06,2.602114182082005e-05
19,23.0,-676.3178100585938,-676.3197021484375,-0.00189208984375,3.5800039768218994e-06,3.9734160964144394e-05,1.8361955881118774e-05,5.809611684526317e-05,3.9734160964144394e-05,1.8361955881118774e-05,5.809611684526317e-05
20,23.0,-676.5511474609375,-676.5505981445312,0.00054931640625,3.0174851417541504e-07,1.5624851585016586e-05,1.0273977750330232e-05,2.5898829335346818e-05,1.5624851585016586e-05,1.0273977750330232e-05,2.5898829335346818e-05
21,23.0,-676.2319946289062,-676.2352905273438,-0.0032958984375,1.0862946510314941e-05,6.255783227970824e-05,3.3122487366199493e-05,9.568031964590773e-05,6.255783227970824e-05,3.3122487366199493e-05,9.568031964590773e-05
22,23.0,-676.5636596679688,-676.5652465820312,-0.0015869140625,2.518296241760254e-06,1.4100453881837893e-05,1.2016110304102767e-05,2.611656418594066e-05,1.4100453881837893e-05,1.2016110304102767e-05,2.611656418594066e-05
23,23.0,-676.31787109375,-676.3186645507812,-0.00079345703125,6.295740604400635e-07,3.670697697089054e-05,8.163787242665421e-06,4.487076512305066e-05,3.670697697089054e-05,8.163787242665421e-06,4.487076512305066e-05
24,23.0,-676.240478515625,-676.2429809570312,-0.00250244140625,6.2622129917144775e-06,6.238408968783915e-05,3.6551617085933685e-05,9.893570677377284e-05,6.238408968783915e-05,3.6551617085933685e-05,9.893570677377284e-05
25,23.0,-676.5181274414062,-676.514892578125,0.00323486328125,1.0464340448379517e-05,2.3142007194110192e-05,2.9170885227358667e-06,2.6059095034725033e-05,2.3142007194110192e-05,2.9170885227358667e-06,2.6059095034725033e-05
26,23.0,-676.4835815429688,-676.4825439453125,0.00103759765625,1.0766088962554932e-06,2.1645770175382495e-05,5.851313289895188e-06,2.7497084374772385e-05,2.1645770175382495e-05,5.851313289895188e-06,2.7497084374772385e-05
