config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-526.3667602539062,-526.3668823242188,-0.0001220703125,1.4901161193847656e-08,1.0465905211592745e-05,1.9782074642452326e-05,1.3655661953456491e-05,2.4071981897577643e-05,1.624915785214398e-05,4.032113793073222e-05
1,20.0,-526.4346313476562,-526.4310913085938,0.0035400390625,1.2531876564025879e-05,1.0465905211592745e-05,7.241217912558247e-06,7.304336938112142e-06,2.2444111891672947e-05,5.343928933143616e-06,2.7788040824816562e-05
2,20.0,-526.3901977539062,-526.3917846679688,-0.0015869140625,2.518296241760254e-06,5.3095057456180305e-06,1.9782074642452326e-05,9.759844459117725e-06,1.7853075405582786e-05,1.5709734725533053e-05,3.356281013111584e-05
3,20.0,-526.3665161132812,-526.3682861328125,-0.00177001953125,3.1329691410064697e-06,5.3095057456180305e-06,1.9782074642452326e-05,9.759844459117725e-06,1.6958840205916204e-05,1.5887431800365448e-05,3.284627018729225e-05
4,20.0,-526.6539306640625,-526.65380859375,0.0001220703125,1.4901161193847656e-08,1.0465905211592745e-05,1.6996142479170736e-05,1.3655661953456491e-05,2.2457084924099036e-05,1.335926390311215e-05,3.5816348827211186e-05
5,20.0,-526.3558959960938,-526.3421020507812,0.0137939453125,0.00019027292728424072,6.500533022715345e-05,8.38151910064793e-05,6.860671220002351e-05,8.270658872788772e-05,5.2593833970604464e-05,0.00013530041906051338
6,20.0,-526.6613159179688,-526.6609497070312,0.0003662109375,1.341104507446289e-07,1.0465905211592745e-05,1.180523071622214e-05,9.759844459117725e-06,2.2756306861992925e-05,9.094923370867036e-06,3.1851232051849365e-05
7,20.0,-526.584228515625,-526.5844116210938,-0.00018310546875,3.3527612686157227e-08,1.700083264196762e-05,1.7274729907512663e-05,1.6108006238937378e-05,3.261473830207251e-05,1.4009140613779891e-05,4.66238780063577e-05
8,20.0,-526.6292724609375,-526.6293334960938,-6.103515625e-05,3.725290298461914e-09,1.3286352885845012e-05,1.180523071622214e-05,1.2821220941301705e-05,2.6751664336188696e-05,8.20700097392546e-06,3.495866621960886e-05
9,20.0,-526.5654296875,-526.5614624023438,0.00396728515625,1.5739351511001587e-05,1.700083264196762e-05,1.180523071622214e-05,1.3655661953456491e-05,3.261700112489052e-05,9.34116542339325e-06,4.195816654828377e-05
10,20.0,-526.6350708007812,-526.6347045898438,0.0003662109375,1.341104507446289e-07,1.0465905211592745e-05,7.76389290478604e-06,9.759844459117725e-06,2.4638778995722532e-05,5.914084795222152e-06,3.055286288144998e-05
