uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,3300,0.0017689135812375483,0.0034173760541520953,3.1290552578866483e-06,1.1678459095492144e-05,0.7320660857480371,5.608670562651241e-06,1.386965777783189e-05
aleatoric,1,3300,0.002349903597067225,0.003926411174058281,5.522046915509484e-06,1.541670470776973e-05,0.6418140568829553,1.3870597285858821e-05,1.6904223230085336e-05
aleatoric,2,3300,0.0028022932002033504,0.004277917288806836,7.852847179905935e-06,1.8300576329872428e-05,0.570896181718192,1.6905296433833428e-05,1.9746978068724275e-05
aleatoric,3,3300,0.003170459644826228,0.0046103584801600195,1.0051814359471653e-05,2.125540531558341e-05,0.5270937340299899,1.9747136320802383e-05,2.284715992573183e-05
aleatoric,4,3300,0.003498050554332086,0.004959808490595479,1.2236357680663014e-05,2.4599700263383002e-05,0.5025810253925328,2.2847338186693378e-05,2.6458519641892053e-05
aleatoric,5,3300,0.0038451318149309004,0.00535744518281568,1.4785038674193801e-05,2.8702218886874935e-05,0.484881683452189,2.645946187840309e-05,3.117204687441699e-05
aleatoric,6,3300,0.004443594032071943,0.005826613774220398,1.9745527921865384e-05,3.394942807393487e-05,0.4183840776680041,3.1172556191449985e-05,3.6917317629558966e-05
aleatoric,7,3300,0.00491795058915842,0.006360036051423421,2.418623799740365e-05,4.045005857540563e-05,0.40207161993804075,3.691890378831886e-05,4.424807775649242e-05
aleatoric,8,3300,0.005805951186303079,0.006960898119853097,3.370906917773413e-05,4.8454102634974386e-05,0.30430928766385257,4.424891449161805e-05,5.2860323194181547e-05
aleatoric,9,3300,0.006488491857898347,0.007622999923509928,4.2100526590013145e-05,5.811012783383238e-05,0.2755044919123076,5.2866242185700685e-05,6.373865471687168e-05
aleatoric,10,3300,0.007513390209897884,0.008406015614518344,5.645103244618936e-05,7.066109851152621e-05,0.20110168628384556,6.37458506389521e-05,7.81821072450839e-05
