uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,3300,0.0018161574572741913,0.003205361005105626,3.2984279096126555e-06,1.0274339173051748e-05,0.6789644711881809,4.6160553210938815e-06,1.2257506568857934e-05
aleatoric,1,3300,0.002364404357976654,0.003719068772558073,5.590407968018994e-06,1.383147253501661e-05,0.5958197542694047,1.2259682989679277e-05,1.526108644611668e-05
aleatoric,2,3300,0.0028414361818779013,0.004078334153219348,8.073759575684865e-06,1.6632809465315377e-05,0.5145883446497006,1.5261597582139075e-05,1.8040953364106826e-05
aleatoric,3,3300,0.003241306995243632,0.0044135897046483595,1.0506071037415302e-05,1.9479774080977995e-05,0.4606677164867901,1.8045358956442215e-05,2.0956342268618755e-05
aleatoric,4,3300,0.0037587787934940434,0.004746947863139361,1.4128418018420537e-05,2.253351401536334e-05,0.3730042278897207,2.0956931621185504e-05,2.4200589905376546e-05
aleatoric,5,3300,0.004018382976805662,0.005103329307680613,1.6147401748281537e-05,2.6043970022631888e-05,0.3799946116414032,2.42008736677235e-05,2.8037426091032103e-05
aleatoric,6,3300,0.00442825631634477,0.005493983452817262,1.9609454003247348e-05,3.0183854179829887e-05,0.35033299967532955,2.8038488380843773e-05,3.2583746360614896e-05
aleatoric,7,3300,0.005081421192485181,0.005959177783316535,2.5820841335437516e-05,3.551179985317338e-05,0.27289403966580045,3.258430660935119e-05,3.869460124406032e-05
aleatoric,8,3300,0.005869046595507869,0.006508834577351525,3.4445707940242506e-05,4.2364927555326806e-05,0.18692867123972143,3.869758438668214e-05,4.6212673623813316e-05
aleatoric,9,3300,0.006503330181421975,0.007133484619089898,4.229330344859398e-05,5.088660281079215e-05,0.16887154747095204,4.6213226596591994e-05,5.609661457128823e-05
aleatoric,10,3300,0.0076867893037737695,0.007890104887032297,5.908672980061083e-05,6.225375512837094e-05,0.0508728400596802,5.610608423012309e-05,6.912710523465648e-05
aleatoric,11,3300,0.009251772716033517,0.008829740990825332,8.559529838914221e-05,7.796432596506114e-05,0.09787774510486767,6.913085235282779e-05,8.861788955982774e-05
aleatoric,12,3300,0.011109208742122801,0.01016343860893294,0.00012341451887605767,0.00010329548435754876,0.19477167509925744,8.862095273798332e-05,0.00012091025564586744
aleatoric,13,3300,0.013517610908010201,0.012329463365343171,0.0001827258046603564,0.00015201566687733938,0.2020195576801756,0.00012091153621440753,0.00019522980437614024
aleatoric,14,3300,0.029831600382477442,0.030481605925942436,0.0008899243813798283,0.000929128299824449,0.04219430024037367,0.0001952524617081508,0.013237467966973782
epistemic,0,3300,0.0024954935796734673,0.0017359375440382746,6.227488206191496e-06,3.0134791568016364e-06,1.0665443104644057,3.334134817123413e-07,4.07882043873542e-06
epistemic,1,3300,0.0028413747501568436,0.00219975710159376,8.073410470828866e-06,4.83893130601218e-06,0.6684284112068247,4.07882043873542e-06,5.582161065831315e-06
epistemic,2,3300,0.0031379710921023373,0.002513851045410675,9.846862574869936e-06,6.319447078512343e-06,0.558184197530772,5.582347512245178e-06,7.066270427458221e-06
epistemic,3,3300,0.0036171560810416593,0.0028044646410545914,1.3083818114616654e-05,7.865021922925459e-06,0.6635450279520673,7.066875696182251e-06,8.68774986884091e-06
epistemic,4,3300,0.003959540893720283,0.003104613979632196,1.5677964089043213e-05,9.638627962527663e-06,0.6265763291201641,8.687935405760072e-06,1.05921180875157e-05
epistemic,5,3300,0.00420628689405965,0.0034113238362406336,1.769284943513798e-05,1.1637130315703512e-05,0.5203790758674146,1.0592862963676453e-05,1.2770668035955168e-05
epistemic,6,3300,0.0048167681381938,0.0037587466260260182,2.3201255297118966e-05,1.4128176198661977e-05,0.6421974762260018,1.2771040019288193e-05,1.5512481695623137e-05
epistemic,7,3300,0.005133904812533636,0.00414549609605786,2.6356978624156026e-05,1.718513788243096e-05,0.5337077191042965,1.5512481695623137e-05,1.89866877917666e-05
epistemic,8,3300,0.005717308299550912,0.004608052415884688,3.2687614192113734e-05,2.1234147067540712e-05,0.5393890834485745,1.8987619114341214e-05,2.366248554608319e-05
epistemic,9,3300,0.007360561351587016,0.0051724707845632965,5.417786341047648e-05,2.6754454017160847e-05,1.025003514395237,2.3662531020818278e-05,3.034677320101764e-05
epistemic,10,3300,0.007462683158286893,0.005899879395810701,5.5691639920978836e-05,3.4808576885111644e-05,0.5999401556918954,3.0348077416419983e-05,3.995858060079627e-05
epistemic,11,3300,0.008535211735002716,0.006833937616610386,7.284983936132806e-05,4.670270334772244e-05,0.5598634370033903,3.996631130576134e-05,5.447380317491479e-05
epistemic,12,3300,0.010921432099656432,0.008119048145099634,0.00011927767910740592,6.591894278244581e-05,0.8094598316156478,5.447897274279967e-05,8.018370863283053e-05
epistemic,13,3300,0.013943030567153568,0.010256473034990929,0.00019440810139657874,0.00010519523911749605,0.848069390093195,8.019488450372592e-05,0.000139809402753599
epistemic,14,3300,0.029519606397953646,0.020483066427659295,0.0008714071618901057,0.00041955601027990325,1.0769745648709783,0.00013982225209474564,0.00939272902905941
total,0,3300,0.0018307487925861173,0.0038447330654059306,3.351641141555526e-06,1.4781972344225682e-05,0.7732615740642496,1.0977856618410442e-05,1.746371890476439e-05
total,1,3300,0.0023683471036923163,0.0044388093058949024,5.609068003567783e-06,1.9703028054099185e-05,0.7153194936246957,1.746395355439745e-05,2.1872430806979537e-05
total,2,3300,0.0028539539529271606,0.004893538153124304,8.145053165428566e-06,2.3946715656083227e-05,0.6598676293481831,2.1875677703064866e-05,2.609963485156186e-05
total,3,3300,0.003313679836235109,0.005325078667924177,1.0980474057071137e-05,2.8356462819581133e-05,0.6127699661648653,2.610235424072016e-05,3.072117397096008e-05
total,4,3300,0.0036173734447348597,0.005760981979285729,1.3085390638672945e-05,3.318891336565491e-05,0.6057300673117493,3.0721981602255255e-05,3.576200833776966e-05
total,5,3300,0.004098803691929394,0.0062212472987612675,1.680019170497403e-05,3.870391795234437e-05,0.5659304640512134,3.57631070073694e-05,4.183093551546335e-05
total,6,3300,0.004494920126877778,0.006736249404042142,2.0204306947010935e-05,4.537705603345812e-05,0.5547461930515374,4.183332566753961e-05,4.926850306219421e-05
total,7,3300,0.00510206465073348,0.007339928774747361,2.603106370026415e-05,5.38745544183643e-05,0.5168208074981144,4.927222107653506e-05,5.873024929314852e-05
total,8,3300,0.005813080298750803,0.008053534200014803,3.379190255972472e-05,6.485941311080806e-05,0.47899771306913513,5.8733941841637716e-05,7.148161967052147e-05
total,9,3300,0.006333321344137632,0.008901366906022884,4.01109592481093e-05,7.923433279563942e-05,0.49376794335401075,7.14829220669344e-05,8.804197568679228e-05
total,10,3300,0.007444561787826528,0.009938081536567974,5.542150021276691e-05,9.876546462747325e-05,0.43885749515979594,8.804284880170599e-05,0.00011093491775682196
total,11,3300,0.00851934177746682,0.011262898910427671,7.257918432129152e-05,0.00012685289186651282,0.42784761739869104,0.00011094041110482067,0.0001451514253858477
total,12,3300,0.010772258242681906,0.013114624807026416,0.00011604154764702825,0.00017199338382907267,0.32531388671118566,0.00014515919610857964,0.00020503948326222599
