config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-526.547119140625,-526.5470581054688,6.103515625e-05,3.725290298461914e-09,3.940319220419042e-05,1.3276748177304398e-05,5.267994129098952e-05,3.940319220419042e-05,1.3276748177304398e-05,5.267994129098952e-05
1,20.0,-526.3800048828125,-526.3729248046875,0.007080078125,5.0127506256103516e-05,6.004936949466355e-05,9.104236596613191e-06,6.915360427228734e-05,6.004936949466355e-05,9.104236596613191e-06,6.915360427228734e-05
2,20.0,-526.5946044921875,-526.5914306640625,0.003173828125,1.0073184967041016e-05,2.2324804376694374e-05,9.884684914140962e-06,3.2209489290835336e-05,2.2324804376694374e-05,9.884684914140962e-06,3.2209489290835336e-05
3,20.0,-526.5814208984375,-526.5717163085938,0.00970458984375,9.417906403541565e-05,3.363222276675515e-05,4.567578343994683e-06,3.819979974650778e-05,3.363222276675515e-05,4.567578343994683e-06,3.819979974650778e-05
4,20.0,-526.4346313476562,-526.4329223632812,0.001708984375,2.9206275939941406e-06,1.9872399207088165e-05,3.491900770313805e-06,2.336430043214932e-05,1.9872399207088165e-05,3.491900770313805e-06,2.336430043214932e-05
5,20.0,-526.4917602539062,-526.4743041992188,0.0174560546875,0.0003047138452529907,6.511879473691806e-05,8.36048275232315e-06,7.347927748924121e-05,6.511879473691806e-05,8.36048275232315e-06,7.347927748924121e-05
6,20.0,-526.49609375,-526.4989013671875,-0.0028076171875,7.88271427154541e-06,3.998732063337229e-05,1.4026276403455995e-05,5.4013595217838883e-05,3.998732063337229e-05,1.4026276403455995e-05,5.4013595217838883e-05
7,20.0,-526.6343994140625,-526.6324462890625,0.001953125,3.814697265625e-06,2.1837577151018195e-05,6.205402314662933e-06,2.8042979465681128e-05,2.1837577151018195e-05,6.205402314662933e-06,2.8042979465681128e-05
8,20.0,-526.5953369140625,-526.5914916992188,0.00384521484375,1.4785677194595337e-05,2.7755360861192457e-05,6.181374374136794e-06,3.3936736144823954e-05,2.7755360861192457e-05,6.181374374136794e-06,3.3936736144823954e-05
9,20.0,-526.4485473632812,-526.4447631835938,0.0037841796875,1.4320015907287598e-05,4.4108073780080304e-05,8.451565918221604e-06,5.255964060779661e-05,4.4108073780080304e-05,8.451565918221604e-06,5.255964060779661e-05
10,20.0,-526.1895751953125,-526.1891479492188,0.00042724609375,1.825392246246338e-07,0.00036659135366789997,0.0003042563912458718,0.0006708477158099413,0.00036659135366789997,0.0003042563912458718,0.0006708477158099413
11,20.0,-526.584228515625,-526.5810546875,0.003173828125,1.0073184967041016e-05,2.9365639420575462e-05,2.427641265967395e-05,5.3642052080249414e-05,2.9365639420575462e-05,2.427641265967395e-05,5.3642052080249414e-05
12,20.0,-526.6292724609375,-526.625732421875,0.0035400390625,1.2531876564025879e-05,2.3951746698003262e-05,7.74189811636461e-06,3.1693645723862574e-05,2.3951746698003262e-05,7.74189811636461e-06,3.1693645723862574e-05
13,20.0,-526.5654296875,-526.5607299804688,0.00469970703125,2.208724617958069e-05,3.0344212063937448e-05,6.367265996232163e-06,3.671147715067491e-05,3.0344212063937448e-05,6.367265996232163e-06,3.671147715067491e-05
14,20.0,-526.6350708007812,-526.6328125,0.00225830078125,5.09992241859436e-06,2.2289183107204735e-05,9.504519766778685e-06,3.179370105499402e-05,2.2289183107204735e-05,9.504519766778685e-06,3.179370105499402e-05
15,20.0,-526.64404296875,-526.6414184570312,0.00262451171875,6.888061761856079e-06,2.1944058971712366e-05,5.2720306484843604e-06,2.7216090529691428e-05,2.1944058971712366e-05,5.2720306484843604e-06,2.7216090529691428e-05
16,20.0,-526.6301879882812,-526.6268310546875,0.00335693359375,1.126900315284729e-05,2.2276039089774713e-05,4.8106535359693225e-06,2.7086693080491386e-05,2.2276039089774713e-05,4.8106535359693225e-06,2.7086693080491386e-05
17,20.0,-526.4180297851562,-526.42236328125,-0.00433349609375,1.877918839454651e-05,5.218562364461832e-05,1.2347474694252014e-05,6.453310197684914e-05,5.218562364461832e-05,1.2347474694252014e-05,6.453310197684914e-05
18,20.0,-526.4048461914062,-526.3952026367188,0.0096435546875,9.299814701080322e-05,5.403129762271419e-05,2.8848648071289062e-05,8.287994569400325e-05,5.403129762271419e-05,2.8848648071289062e-05,8.287994569400325e-05
19,20.0,-526.5173950195312,-526.5145263671875,0.00286865234375,8.229166269302368e-06,3.8941678212722763e-05,2.1971016394672915e-05,6.091269460739568e-05,3.8941678212722763e-05,2.1971016394672915e-05,6.091269460739568e-05
20,20.0,-526.6250610351562,-526.6231689453125,0.00189208984375,3.5800039768218994e-06,2.4759909138083458e-05,7.1106478571891785e-06,3.1870556995272636e-05,2.4759909138083458e-05,7.1106478571891785e-06,3.1870556995272636e-05
21,20.0,-526.6668701171875,-526.6638793945312,0.00299072265625,8.944422006607056e-06,1.9852068362524733e-05,4.64264303445816e-06,2.4494711396982893e-05,1.9852068362524733e-05,4.64264303445816e-06,2.4494711396982893e-05
22,20.0,-526.4281005859375,-526.4296264648438,-0.00152587890625,2.3283064365386963e-06,5.6814034905983135e-05,5.001574663765496e-06,6.181561184348539e-05,5.6814034905983135e-05,5.001574663765496e-06,6.181561184348539e-05
23,20.0,-526.3969116210938,-526.4032592773438,-0.00634765625,4.029273986816406e-05,7.154698687372729e-05,4.802644070878159e-06,7.634962821612135e-05,7.154698687372729e-05,4.802644070878159e-06,7.634962821612135e-05
