uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,3334,0.0017154613609170213,0.001783889353833398,2.942807680799279e-06,3.1822612267201383e-06,0.07524635121411986,6.903428584337234e-07,4.0820805278755505e-06
aleatoric,1,3334,0.0024151563082008064,0.002362172119808827,5.832979993042148e-06,5.579857123602126e-06,0.04536368294617122,4.0820805278755505e-06,8.075055284578291e-06
aleatoric,2,3334,0.0029630220544989093,0.0030172510681610904,8.779499695446938e-06,9.103804008319241e-06,0.03562294537271964,8.075055284578291e-06,9.886156540058461e-06
aleatoric,3,3334,0.0034569901244877552,0.0033505915904104926,1.1950780720805864e-05,1.1226464005729514e-05,0.06451868680171154,9.886156540058461e-06,1.2824249571163213e-05
aleatoric,4,3334,0.003602260790383277,0.0036341011008848944,1.2976282801932751e-05,1.3206690811452801e-05,0.01744630905724244,1.2824249571163213e-05,1.4753556473458065e-05
aleatoric,5,3333,0.004058131769992452,0.004118305696208111,1.646843346262207e-05,1.6960441807420177e-05,0.029009170302559794,1.4753556473458065e-05,1.7576541722519327e-05
aleatoric,6,3333,0.004277242828060249,0.004418773958812163,1.8294806210192838e-05,1.952556329907652e-05,0.06303311561525556,1.7576541722519327e-05,2.1818680688738824e-05
aleatoric,7,3333,0.005114764584192401,0.004776330653490982,2.6160816751708865e-05,2.2813334511477593e-05,0.14673357980820925,2.1818680688738824e-05,2.3580477794721012e-05
aleatoric,8,3333,0.005669262050300545,0.0057252421250892065,3.214053219497794e-05,3.277839739089598e-05,0.019459926252990034,2.3580477794721012e-05,3.994390603968467e-05
aleatoric,9,3333,0.006748611052803913,0.006680094260339491,4.554375114202714e-05,4.4623659327020616e-05,0.02061892343395037,3.994390603968467e-05,4.708086685513571e-05
aleatoric,10,3333,0.008021580953360136,0.00786309809891035,6.43457609913101e-05,6.182831171308756e-05,0.040716772114119615,4.708086685513571e-05,6.66246492238272e-05
aleatoric,11,3333,0.008861822503917672,0.008494982511240574,7.853189809094167e-05,7.21647278662832e-05,0.08823105709559997,6.66246492238272e-05,7.802520268128819e-05
aleatoric,12,3333,0.010274521981756301,0.010691082518234729,0.00010556580195359343,0.00011429924541170423,0.07640858368445977,7.802520268128819e-05,0.00012925627829861783
aleatoric,13,3333,0.012998466121485015,0.012757130565755259,0.00016896012151139367,0.0001627443802717271,0.03819327726885825,0.00012925627829861783,0.00018455190312804528
aleatoric,14,3333,0.06815690180104621,0.053097431019970553,0.004645363263117455,0.002819337180920531,0.6476792114665461,0.00018455190312804528,0.08995157107710838
epistemic,0,3334,0.0030364023587836158,0.0030838581842800115,9.219739284426707e-06,9.51018130075081e-06,0.030540113499326612,2.4978071451187134e-06,1.1158249554337985e-05
epistemic,1,3334,0.003433631355037689,0.0033403966163223766,1.1789824282297956e-05,1.1158249554337983e-05,0.05660159551768007,1.1158249554337985e-05,1.1158249554337985e-05
epistemic,2,3334,0.0033164631321778663,0.0034352049307914186,1.0998927707095023e-05,1.1800632916533675e-05,0.06793747548196301,1.1158249554337985e-05,1.4489235249530872e-05
epistemic,3,3334,0.0040488715781940195,0.00390273966025828,1.639336105670733e-05,1.5231376855752915e-05,0.07628884847107771,1.4489235249530872e-05,1.563580620186836e-05
epistemic,4,3334,0.0059269161714251735,0.0042755464725659845,3.5128335303101236e-05,1.8280297639071434e-05,0.9216500735753673,1.563580620186836e-05,2.147083892962154e-05
epistemic,5,3333,0.004456749749258573,0.0046653114527671225,1.9862618327516356e-05,2.1765130951320082e-05,0.08741103502013788,2.147083892962154e-05,2.2415779531002043e-05
epistemic,6,3333,0.005311337556706721,0.004944826917852007,2.8210306641283314e-05,2.445131324751378e-05,0.1537338038132471,2.2415779531002043e-05,2.6910873075817214e-05
epistemic,7,3333,0.007626723587932412,0.005450314929027098,5.816691268672465e-05,2.9705932825575662e-05,0.9580907634937215,2.6910873075817214e-05,3.6201673269928654e-05
epistemic,8,3333,0.007451834353639161,0.0066540057533611766,5.5529835234076776e-05,4.4275792565763635e-05,0.25418049042481416,3.6201673269928654e-05,4.747060167716024e-05
epistemic,9,3333,0.008448843697619316,0.009047269836259659,7.138295982680162e-05,8.185309149009387e-05,0.12791369846500394,4.747060167716024e-05,0.00012243876477222978
epistemic,10,3333,0.013463407851602674,0.011065205139184263,0.00018126335097859653,0.0001224387647722298,0.48044086622236704,0.00012243876477222978,0.00012243876477222978
