config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,22.0,-613.9164428710938,-613.9197387695312,-0.0032958984375,1.0862946510314941e-05,8.676309608718723e-06,1.1158249554337985e-05,6.403376419956867e-06,1.6226711522904225e-05,2.6488303319638362e-06,1.8875542082241736e-05
1,22.0,-614.0086669921875,-614.0200805664062,-0.01141357421875,0.00013026967644691467,2.9946379229533587e-05,0.00012243876477222978,3.283956194640604e-05,4.032989454572089e-05,2.5616438506403938e-05,6.594633305212483e-05
2,22.0,-614.08642578125,-614.0733642578125,0.0130615234375,0.00017060339450836182,2.275914175359733e-05,0.00012243876477222978,4.7492644912803294e-05,3.4828954085242e-05,3.949165329686366e-05,7.432060374412686e-05
3,22.0,-614.0858764648438,-614.0827026367188,0.003173828125,1.0073184967041016e-05,2.275914175359733e-05,2.6910873075817214e-05,2.2557664937275347e-05,3.323207056382671e-05,1.1552274372661486e-05,4.4784344936488196e-05
4,22.0,-613.9061279296875,-613.9118041992188,-0.00567626953125,3.2220035791397095e-05,6.66246492238272e-05,2.147083892962154e-05,3.283956194640604e-05,5.831611269968562e-05,6.975084488658467e-06,6.529119855258614e-05
5,22.0,-614.0369873046875,-614.03955078125,-0.0025634765625,6.571412086486816e-06,2.275914175359733e-05,1.1813203473725624e-05,1.611257903277874e-05,3.61807833542116e-05,3.973543698521098e-06,4.0154325688490644e-05
6,22.0,-614.185302734375,-614.1851806640625,0.0001220703125,1.4901161193847656e-08,5.432778205667624e-06,8.807494803488439e-06,4.714805940617184e-06,1.4833161912974901e-05,1.1248887403780827e-06,1.595805042597931e-05
7,22.0,-613.960205078125,-613.9619140625,-0.001708984375,2.9206275939941406e-06,4.619516986460725e-05,2.6910873075817214e-05,3.283956194640604e-05,4.9221078370464966e-05,1.2952686120115686e-05,6.217376358108595e-05
8,22.0,-614.2217407226562,-614.2232055664062,-0.00146484375,2.1457672119140625e-06,8.676309608718723e-06,1.1158249554337985e-05,4.968052065319952e-06,1.6116870028781705e-05,1.5230476719807484e-06,1.7639917132328264e-05
9,22.0,-614.2761840820312,-614.27587890625,0.00030517578125,9.313225746154785e-08,5.432778205667624e-06,1.1158249554337985e-05,4.968052065319952e-06,1.4478230696113314e-05,2.654045829331153e-06,1.7132277207565494e-05
