uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,3334,0.001869047025959284,0.00320751560104409,3.4933367852472443e-06,1.028815633094123e-05,0.660450650935273,4.477860784390941e-06,1.2518557014118414e-05
aleatoric,1,3334,0.0026085438697627983,0.0037369420301759486,6.804501120477075e-06,1.396473573689554e-05,0.5127368502578077,1.2519153642642777e-05,1.5302257452276535e-05
aleatoric,2,3334,0.003050371117009313,0.0040635055488544595,9.304763951484644e-06,1.651207734557098e-05,0.4364873809181586,1.5304698536056094e-05,1.7730197214405052e-05
aleatoric,3,3334,0.0035861056210312213,0.004367391239022939,1.286015352519172e-05,1.907410623469432e-05,0.3257794956704132,1.7730202671373263e-05,2.04749758268008e-05
aleatoric,4,3334,0.00394957029900745,0.004688085591811263,1.55991055468018e-05,2.197814651614836e-05,0.29024471943799196,2.0476645659073256e-05,2.360271719226148e-05
aleatoric,5,3333,0.004487959155264766,0.005039393631334814,2.0141777379324835e-05,2.539548817153788e-05,0.20687575512335166,2.360396320000291e-05,2.7323825634084642e-05
aleatoric,6,3333,0.005009383888822842,0.005436686692572661,2.5093926945597853e-05,2.9557562193196657e-05,0.1510149997629443,2.732403481786605e-05,3.198461126885377e-05
aleatoric,7,3333,0.0055926358889097725,0.0058841757058606505,3.12775761859216e-05,3.462352373744069e-05,0.09663798453595573,3.198655758751556e-05,3.7513022107305005e-05
aleatoric,8,3333,0.006356799756866515,0.006383665295109814,4.0408903148898194e-05,4.0751182599989474e-05,0.00839925197879701,3.7515885196626186e-05,4.436162635101937e-05
aleatoric,9,3333,0.0072978190685707295,0.006981782542764169,5.325816315759455e-05,4.8745287474446505e-05,0.0925807584069292,4.436829112819396e-05,5.349605271476321e-05
aleatoric,10,3333,0.008046691923285491,0.007687828930494765,6.474925090826796e-05,5.910271366455229e-05,0.09553769858628776,5.349967614165507e-05,6.538704474223778e-05
aleatoric,11,3333,0.0092255418395465,0.008548095540049414,8.511062223322303e-05,7.306993736181268e-05,0.16478301892869782,6.538858724525198e-05,8.179772703442723e-05
aleatoric,12,3333,0.013073655508328504,0.009700785162636224,0.00017092046835044824,9.41052327716231e-05,0.8162695454485751,8.179999713320285e-05,0.00010930423013633117
aleatoric,13,3333,0.01455327634800672,0.011575649540277858,0.00021179785246145178,0.00013399566227933498,0.5806321552404131,0.00010932529403362423,0.0001686408941168338
aleatoric,14,3333,0.0808582748031395,0.06591681659789794,0.006538060604140024,0.004345026710400914,0.5047227646471151,0.00016864683129824698,5.441459655761719
epistemic,0,3334,0.003204107748366088,0.0010995490518998787,1.0266306463139603e-05,1.2090081175339222e-06,7.491511607118346,4.2244792552992294e-08,1.9487365534587298e-06
epistemic,1,3334,0.003716325160997058,0.00159895885966279,1.3811072702259808e-05,2.55666943489413e-06,4.4019782588090886,1.9499659629218513e-06,3.1670927000959637e-06
epistemic,2,3334,0.004271888907106846,0.0019523432084534058,1.8249034834662526e-05,3.8116440035941387e-06,3.787707041228101,3.1672418572270544e-06,4.464537141757319e-06
epistemic,3,3334,0.004573627555360104,0.002277892766849034,2.0918069015149236e-05,5.188795457263148e-06,3.0313921000429183,4.465282017918071e-06,5.964785486867186e-06
epistemic,4,3334,0.004946243300225068,0.002596952516322495,2.4465322785021375e-05,6.744162372033741e-06,2.627629561007102,5.9649346439982764e-06,7.57634643377969e-06
epistemic,5,3333,0.005238795998482335,0.0029249305194286334,2.7444983513714528e-05,8.555218543485055e-06,2.207981581559287,7.576644748041872e-06,9.5805526143522e-06
epistemic,6,3333,0.0054263039450778644,0.0032756023839823857,2.9444774504367597e-05,1.0729570977951089e-05,1.7442639193007463,9.5805526143522e-06,1.1997670299024321e-05
epistemic,7,3333,0.006075042914574595,0.003667438752797884,3.690614641392299e-05,1.3450107005523696e-05,1.7439295760819118,1.1998564332316164e-05,1.5044211977510713e-05
epistemic,8,3333,0.0069641608570335115,0.004127750402090147,4.849953644263773e-05,1.7038323381955368e-05,1.8464970029857355,1.5044808606035076e-05,1.9272416466264986e-05
epistemic,9,3333,0.007917874740287103,0.004694520766523613,6.269274040287656e-05,2.2038525227321448e-05,1.8446885513534974,1.927331140905153e-05,2.508279067114927e-05
epistemic,10,3333,0.01067210915291994,0.005374947759812953,0.00011389391377183756,2.8890063420718275e-05,2.9423213481130492,2.508312536519952e-05,3.335833753226325e-05
epistemic,11,3333,0.012305148523535831,0.006288297945609548,0.00015141668018627607,3.954269105275726e-05,2.8291951345511164,3.3364296541549265e-05,4.6749188186367974e-05
epistemic,12,3333,0.01429317466513846,0.007564281735814312,0.00020429484200815593,5.721835817877398e-05,2.570442223627839,4.675254240282811e-05,7.012486457824707e-05
