config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-526.5520629882812,-526.5524291992188,-0.0003662109375,1.341104507446289e-07,3.4142307413276285e-05,1.3546645050155348e-06,3.5496970667736605e-05,3.4142307413276285e-05,1.3546645050155348e-06,3.5496970667736605e-05
1,20.0,-526.5946044921875,-526.5924072265625,0.002197265625,4.827976226806641e-06,2.3844395400374196e-05,6.668269634246826e-07,2.451122236379888e-05,2.3844395400374196e-05,6.668269634246826e-07,2.451122236379888e-05
2,20.0,-526.5814208984375,-526.5752563476562,0.00616455078125,3.8001686334609985e-05,3.213281888747588e-05,3.862530320475344e-06,3.599534829845652e-05,3.213281888747588e-05,3.862530320475344e-06,3.599534829845652e-05
3,20.0,-526.3901977539062,-526.391357421875,-0.00115966796875,1.344829797744751e-06,1.895150671771262e-05,7.369219929387327e-06,2.6320725737605244e-05,1.895150671771262e-05,7.369219929387327e-06,2.6320725737605244e-05
4,20.0,-526.334228515625,-526.3368530273438,-0.00262451171875,6.888061761856079e-06,2.2414065824705176e-05,3.600716354412725e-06,2.6014782633865252e-05,2.2414065824705176e-05,3.600716354412725e-06,2.6014782633865252e-05
5,20.0,-526.4917602539062,-526.4782104492188,0.0135498046875,0.00018359720706939697,4.87357574456837e-05,2.0166486137895845e-05,6.890224176459014e-05,4.87357574456837e-05,2.0166486137895845e-05,6.890224176459014e-05
6,20.0,-526.6539306640625,-526.6544189453125,-0.00048828125,2.384185791015625e-07,2.2659951355308294e-05,2.5764106794667896e-06,2.5236362489522435e-05,2.2659951355308294e-05,2.5764106794667896e-06,2.5236362489522435e-05
7,20.0,-526.5482177734375,-526.5490112304688,-0.00079345703125,6.295740604400635e-07,3.4852982935262844e-05,2.433210738672642e-06,3.728619412868284e-05,3.4852982935262844e-05,2.433210738672642e-06,3.728619412868284e-05
8,20.0,-526.5093994140625,-526.5049438476562,0.00445556640625,1.985207200050354e-05,4.188216189504601e-05,6.766021215298679e-06,4.864818401983939e-05,4.188216189504601e-05,6.766021215298679e-06,4.864818401983939e-05
9,20.0,-526.4940185546875,-526.4931640625,0.0008544921875,7.301568984985352e-07,5.003205660614185e-05,2.4084598408080637e-05,7.41166586522013e-05,5.003205660614185e-05,2.4084598408080637e-05,7.41166586522013e-05
10,20.0,-526.3826293945312,-526.3805541992188,0.0020751953125,4.306435585021973e-06,6.267201388254762e-05,1.3154596672393382e-05,7.5826610554941e-05,6.267201388254762e-05,1.3154596672393382e-05,7.5826610554941e-05
11,20.0,-526.3558959960938,-526.34912109375,0.00677490234375,4.589930176734924e-05,7.171860488597304e-05,2.970471905427985e-05,0.00010142332757823169,7.171860488597304e-05,2.970471905427985e-05,0.00010142332757823169
12,20.0,-526.4564208984375,-526.4517822265625,0.004638671875,2.1517276763916016e-05,5.4856685892445967e-05,2.5605262635508552e-05,8.046194852795452e-05,5.4856685892445967e-05,2.5605262635508552e-05,8.046194852795452e-05
13,20.0,-526.1895751953125,-526.1817626953125,0.0078125,6.103515625e-05,0.0003081976901739836,0.00038184510776773095,0.0006900427979417145,0.0003081976901739836,0.00038184510776773095,0.0006900427979417145
14,20.0,-526.5848388671875,-526.5912475585938,-0.00640869140625,4.10713255405426e-05,2.8299797122599557e-05,5.917400358157465e-06,3.4217198844999075e-05,2.8299797122599557e-05,5.917400358157465e-06,3.4217198844999075e-05
15,20.0,-526.54296875,-526.5438842773438,-0.00091552734375,8.381903171539307e-07,3.174579978804104e-05,2.1025539354013745e-06,3.384835508768447e-05,3.174579978804104e-05,2.1025539354013745e-06,3.384835508768447e-05
16,20.0,-526.615966796875,-526.6139526367188,0.00201416015625,4.056841135025024e-06,2.8725218726322055e-05,1.594722198206e-05,4.4672440708382055e-05,2.8725218726322055e-05,1.594722198206e-05,4.4672440708382055e-05
17,20.0,-526.5072021484375,-526.498779296875,0.0084228515625,7.094442844390869e-05,4.229820115142502e-05,3.544390438037226e-06,4.58425929537043e-05,4.229820115142502e-05,3.544390438037226e-06,4.58425929537043e-05
18,20.0,-526.6141967773438,-526.61474609375,-0.00054931640625,3.0174851417541504e-07,2.588118331914302e-05,7.571875812573126e-06,3.3453059586463496e-05,2.588118331914302e-05,7.571875812573126e-06,3.3453059586463496e-05
19,20.0,-526.578369140625,-526.5773315429688,0.00103759765625,1.0766088962554932e-06,2.9863129384466447e-05,1.3958810995973181e-05,4.3821939470944926e-05,2.9863129384466447e-05,1.3958810995973181e-05,4.3821939470944926e-05
20,20.0,-526.3969116210938,-526.4055786132812,-0.0086669921875,7.511675357818604e-05,7.459486369043589e-05,3.817141259787604e-05,0.00011276627628831193,7.459486369043589e-05,3.817141259787604e-05,0.00011276627628831193
21,20.0,-526.649658203125,-526.6476440429688,0.00201416015625,4.056841135025024e-06,2.2544394596479833e-05,7.516294772358378e-06,3.0060689823585562e-05,2.2544394596479833e-05,7.516294772358378e-06,3.0060689823585562e-05
22,20.0,-526.5820922851562,-526.57861328125,0.00347900390625,1.2103468179702759e-05,3.092178303631954e-05,1.1349618944223039e-05,4.2271400161553174e-05,3.092178303631954e-05,1.1349618944223039e-05,4.2271400161553174e-05
23,20.0,-526.5546875,-526.5526733398438,0.00201416015625,4.056841135025024e-06,3.4151587897213176e-05,8.582174814364407e-06,4.273376180208288e-05,3.4151587897213176e-05,8.582174814364407e-06,4.273376180208288e-05
24,20.0,-526.4991455078125,-526.4971923828125,0.001953125,3.814697265625e-06,4.560144225251861e-05,1.8287450075149536e-05,6.388888868968934e-05,4.560144225251861e-05,1.8287450075149536e-05,6.388888868968934e-05
25,20.0,-526.5601806640625,-526.558349609375,0.0018310546875,3.3527612686157227e-06,2.3103273633751087e-05,4.390627054817742e-06,2.749390114331618e-05,2.3103273633751087e-05,4.390627054817742e-06,2.749390114331618e-05
26,20.0,-526.4391479492188,-526.441162109375,-0.00201416015625,4.056841135025024e-06,3.282417674199678e-05,7.793903023411985e-06,4.061808067490347e-05,3.282417674199678e-05,7.793903023411985e-06,4.061808067490347e-05
27,20.0,-526.4467163085938,-526.4447021484375,0.00201416015625,4.056841135025024e-06,3.290781023679301e-05,1.4540701158693992e-05,4.7448513214476407e-05,3.290781023679301e-05,1.4540701158693992e-05,4.7448513214476407e-05
28,20.0,-526.6266479492188,-526.6268920898438,-0.000244140625,5.960464477539063e-08,1.5274197721737437e-05,3.0212104320526123e-06,1.829540815379005e-05,1.5274197721737437e-05,3.0212104320526123e-06,1.829540815379005e-05
29,20.0,-526.5399169921875,-526.5384521484375,0.00146484375,2.1457672119140625e-06,2.2017899027559906e-05,2.9323996386665385e-06,2.4950299120973796e-05,2.2017899027559906e-05,2.9323996386665385e-06,2.4950299120973796e-05
30,20.0,-526.3486328125,-526.333740234375,0.014892578125,0.00022178888320922852,5.543072984437458e-05,3.555476723704487e-05,9.098550071939826e-05,5.543072984437458e-05,3.555476723704487e-05,9.098550071939826e-05
31,20.0,-526.5830688476562,-526.5866088867188,-0.0035400390625,1.2531876564025879e-05,2.037074591498822e-05,1.0168553217226872e-06,2.138760100933723e-05,2.037074591498822e-05,1.0168553217226872e-06,2.138760100933723e-05
32,20.0,-526.623046875,-526.625,-0.001953125,3.814697265625e-06,1.532919122837484e-05,2.162754526580102e-06,1.7491945982328616e-05,1.532919122837484e-05,2.162754526580102e-06,1.7491945982328616e-05
33,20.0,-526.4825439453125,-526.4822998046875,0.000244140625,5.960464477539063e-08,4.119241566513665e-05,4.382580755191157e-06,4.557499778456986e-05,4.119241566513665e-05,4.382580755191157e-06,4.557499778456986e-05
34,20.0,-526.5989990234375,-526.6002807617188,-0.00128173828125,1.642853021621704e-06,1.7003392713377252e-05,1.7277895949519007e-06,1.8731181626208127e-05,1.7003392713377252e-05,1.7277895949519007e-06,1.8731181626208127e-05
35,20.0,-526.3120727539062,-526.30712890625,0.00494384765625,2.4441629648208618e-05,5.699773464584723e-05,1.1140107289975276e-06,5.8111745602218434e-05,5.699773464584723e-05,1.1140107289975276e-06,5.8111745602218434e-05
36,20.0,-526.1122436523438,-526.135009765625,-0.02276611328125,0.0005182959139347076,0.003828818444162607,0.0002988188061863184,0.004127637483179569,0.003828818444162607,0.0002988188061863184,0.004127637483179569
37,20.0,-526.6116943359375,-526.6129150390625,-0.001220703125,1.4901161193847656e-06,1.5368703316198662e-05,3.530830099407467e-06,1.8899532733485103e-05,1.5368703316198662e-05,3.530830099407467e-06,1.8899532733485103e-05
38,20.0,-526.294677734375,-526.28173828125,0.012939453125,0.00016742944717407227,7.673687650822103e-05,1.4774353076063562e-05,9.15112323127687e-05,7.673687650822103e-05,1.4774353076063562e-05,9.15112323127687e-05
39,20.0,-526.5474853515625,-526.5476684570312,-0.00018310546875,3.3527612686157227e-08,1.8985714632435702e-05,1.1561811561477953e-06,2.014189522014931e-05,1.8985714632435702e-05,1.1561811561477953e-06,2.014189522014931e-05
40,20.0,-526.5936279296875,-526.5944213867188,-0.00079345703125,6.295740604400635e-07,2.0601633877959102e-05,7.8991052987476e-07,2.139154457836412e-05,2.0601633877959102e-05,7.8991052987476e-07,2.139154457836412e-05
41,20.0,-526.4526977539062,-526.4557495117188,-0.0030517578125,9.313225746154785e-06,4.327574060880579e-05,8.60780528455507e-06,5.188354407437146e-05,4.327574060880579e-05,8.60780528455507e-06,5.188354407437146e-05
42,20.0,-526.4781494140625,-526.48681640625,-0.0086669921875,7.511675357818604e-05,2.9392060241661966e-05,5.929172175456188e-07,2.9984978027641773e-05,2.9392060241661966e-05,5.929172175456188e-07,2.9984978027641773e-05
43,20.0,-526.6314086914062,-526.6324462890625,-0.00103759765625,1.0766088962554932e-06,1.4621130503655877e-05,3.3745170640031574e-06,1.799564779503271e-05,1.4621130503655877e-05,3.3745170640031574e-06,1.799564779503271e-05
44,20.0,-526.3489990234375,-526.3573608398438,-0.00836181640625,6.991997361183167e-05,5.277139280224219e-05,1.1437236935307737e-05,6.420863064704463e-05,5.277139280224219e-05,1.1437236935307737e-05,6.420863064704463e-05
45,20.0,-526.4104614257812,-526.4182739257812,-0.0078125,6.103515625e-05,4.483935845200904e-05,2.3999809855013154e-05,6.883916648803279e-05,4.483935845200904e-05,2.3999809855013154e-05,6.883916648803279e-05
46,20.0,-526.5570068359375,-526.55859375,-0.0015869140625,2.518296241760254e-06,2.5557139451848343e-05,3.5831333207170246e-06,2.914027209044434e-05,2.5557139451848343e-05,3.5831333207170246e-06,2.914027209044434e-05
47,20.0,-526.5880126953125,-526.589599609375,-0.0015869140625,2.518296241760254e-06,1.8509739675209858e-05,2.8593838123924797e-06,2.1369123714976013e-05,1.8509739675209858e-05,2.8593838123924797e-06,2.1369123714976013e-05
48,20.0,-526.3531494140625,-526.3590087890625,-0.005859375,3.4332275390625e-05,5.116187458042987e-05,2.9517709663196e-06,5.411364691099152e-05,5.116187458042987e-05,2.9517709663196e-06,5.411364691099152e-05
49,20.0,-526.317138671875,-526.3069458007812,0.01019287109375,0.00010389462113380432,6.312401819741353e-05,8.870065357768908e-06,7.199408719316125e-05,6.312401819741353e-05,8.870065357768908e-06,7.199408719316125e-05
50,20.0,-526.3450927734375,-526.33642578125,0.0086669921875,7.511675357818604e-05,4.43885764980223e-05,9.163469258055557e-06,5.355204484658316e-05,4.43885764980223e-05,9.163469258055557e-06,5.355204484658316e-05
51,20.0,-526.4630126953125,-526.4652709960938,-0.00225830078125,5.09992241859436e-06,2.9246371923363768e-05,4.821867150894832e-06,3.40682381647639e-05,2.9246371923363768e-05,4.821867150894832e-06,3.40682381647639e-05
52,20.0,-526.5325927734375,-526.53857421875,-0.0059814453125,3.577768802642822e-05,3.547263622749597e-05,2.2283197722572368e-06,3.7700956454500556e-05,3.547263622749597e-05,2.2283197722572368e-06,3.7700956454500556e-05
53,20.0,-526.5850219726562,-526.5856323242188,-0.0006103515625,3.725290298461914e-07,1.6196092474274337e-05,1.9969045297330013e-06,1.8192997231381014e-05,1.6196092474274337e-05,1.9969045297330013e-06,1.8192997231381014e-05
54,20.0,-526.5481567382812,-526.5629272460938,-0.0147705078125,0.00021816790103912354,3.171167918480933e-05,3.123134320048848e-06,3.483481486910023e-05,3.171167918480933e-05,3.123134320048848e-06,3.483481486910023e-05
55,20.0,-526.5477294921875,-526.5471801757812,0.00054931640625,3.0174851417541504e-07,5.337285256246105e-05,3.80054120796558e-06,5.7173394452547655e-05,5.337285256246105e-05,3.80054120796558e-06,5.7173394452547655e-05
56,20.0,-526.5552978515625,-526.5656127929688,-0.01031494140625,0.00010639801621437073,2.1116173229529522e-05,4.695355926287448e-07,2.1585708964266814e-05,2.1116173229529522e-05,4.695355926287448e-07,2.1585708964266814e-05
57,20.0,-526.568115234375,-526.5723266601562,-0.00421142578125,1.7736107110977173e-05,2.1003104848205112e-05,1.6586482161073945e-06,2.2661752154817805e-05,2.1003104848205112e-05,1.6586482161073945e-06,2.2661752154817805e-05
