metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n,value_geometric_mean,value_geometric_ci95_low,value_geometric_ci95_high,value_geometric_n
ause,aleatoric,0.18767547490117803,0.18767547490117803,0.003280180700783664,0.18360324556065644,0.19174770424169962,5,0.18765240841879952,0.18360687839177503,0.1917870762457959,5
ause,epistemic,0.21480576241626964,0.21480576241626964,0.00481844395800696,0.20882383317171088,0.2207876916608284,5,0.21476274294589628,0.20888578736838,0.22080504537297677,5
ause,total,0.18633912811746567,0.18633912811746567,0.0037931686846093683,0.18163004217981482,0.19104821405511652,5,0.18630817748576847,0.18165133661200233,0.19108440182969263,5
ence,aleatoric,0.08255893003284162,0.08255893003284162,0.015313929795069686,0.06354722308167518,0.10157063698400806,5,0.0814793358817717,0.06522068905888546,0.10179104623903243,5
ence,epistemic,0.1860505832728695,0.1860505832728695,0.05494568244430572,0.11783744485301705,0.25426372169272193,5,0.17938094747250855,0.12276767764590651,0.26210094491599906,5
ence,total,0.08379954577870988,0.08379954577870988,0.016576969063993294,0.06321981985593224,0.10437927170148752,5,0.08243343878676161,0.06390955781556035,0.106326378439694,5
rmse,ensemble,0.01743796144210393,0.01743796144210393,0.0009619561624621918,0.01624372659152444,0.018632196292683423,5,0.017416836511879568,0.01626750956475081,0.0186473653434233,5
spearman,aleatoric,0.5151347624170513,0.5151347624170513,0.003967336565898342,0.5102094531609132,0.5200600716731894,5,0.5151225134243256,0.51021263064499,0.520079645031814,5
spearman,epistemic,0.4896013363835464,0.4896013363835464,0.006465189034521163,0.4815750308595533,0.49762764190753955,5,0.48956700352184696,0.4815745890879926,0.49769206342730615,5
spearman,total,0.519178794066932,0.519178794066932,0.004526900149420296,0.5135588062395307,0.5247987818943334,5,0.519162984260549,0.5135678301391277,0.524819095762486,5
