uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,count_geometric_mean,count_geometric_ci95_low,count_geometric_ci95_high,count_geometric_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmse_geometric_mean,rmse_geometric_ci95_low,rmse_geometric_ci95_high,rmse_geometric_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,rmv_geometric_mean,rmv_geometric_ci95_low,rmv_geometric_ci95_high,rmv_geometric_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mse_geometric_mean,mse_geometric_ci95_low,mse_geometric_ci95_high,mse_geometric_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,mean_variance_geometric_mean,mean_variance_geometric_ci95_low,mean_variance_geometric_ci95_high,mean_variance_geometric_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,ence_term_geometric_mean,ence_term_geometric_ci95_low,ence_term_geometric_ci95_high,ence_term_geometric_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_min_geometric_mean,uncertainty_min_geometric_ci95_low,uncertainty_min_geometric_ci95_high,uncertainty_min_geometric_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n,uncertainty_max_geometric_mean,uncertainty_max_geometric_ci95_low,uncertainty_max_geometric_ci95_high,uncertainty_max_geometric_n
aleatoric,0,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.001732208402229982,0.001732208402229982,5.3663107552198726e-05,0.0016655875355730257,0.0017988292688869384,5,0.0017315332531809156,0.00166546012541945,0.0018002276734882378,5,0.003396586936957521,0.003396586936957521,9.465579067915761e-05,0.0032790750913565007,0.0035140987825585416,5,0.0033955262170411757,0.003279594253330356,0.0035155563158173917,5,3.0028497320458743e-06,3.0028497320458743e-06,1.838792505004576e-07,2.774570089152362e-06,3.2311293749393865e-06,5,2.998207406871285e-06,2.7737574293621698e-06,3.240819676392873e-06,5,1.1543970595277753e-05,1.1543970595277753e-05,6.407542577131874e-07,1.0748496648461226e-05,1.233944454209428e-05,5,1.1529598290613957e-05,1.0755738466477495e-05,1.2359136209683553e-05,5,0.738873427507498,0.738873427507498,0.026381297277622652,0.7061219718363846,0.7716248831786113,5,0.7384980407798225,0.7065593191767924,0.7718804938714194,5,6.327339087874862e-06,6.327339087874862e-06,6.347421167438374e-07,5.53932900329278e-06,7.115349172456943e-06,5,6.301890340120918e-06,5.563306845582358e-06,7.138528030400624e-06,5,1.363769370072987e-05,1.363769370072987e-05,7.352830244793458e-07,1.2724865604046993e-05,1.4550521797412747e-05,5,1.3621584986311184e-05,1.2729102384161224e-05,1.457664271521411e-05,5
aleatoric,1,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.0023209773740415747,0.0023209773740415747,4.182524670377388e-05,0.0022690527966056514,0.002372901951477498,5,0.002320671990619597,0.002268836742258829,0.00237369149914443,5,0.0038953436761594096,0.0038953436761594096,0.00010375998316964126,0.003766529294764356,0.004024158057554463,5,0.0038942292078966976,0.003766787612221448,0.0040259825306933695,5,5.388335451822389e-06,5.388335451822389e-06,1.9231590296214753e-07,5.149582000677377e-06,5.627088902967401e-06,5,5.385518488046324e-06,5.147620163023656e-06,5.634411333110531e-06,5,1.5182315262680993e-05,1.5182315262680993e-05,8.0381560393074e-07,1.4184406371285519e-05,1.6180224154076466e-05,5,1.516502112363574e-05,1.418868891558496e-05,1.6208535337448187e-05,5,0.6441474726443619,0.6441474726443619,0.025390494129153795,0.612626064345612,0.6756688809431118,5,0.6437464945159576,0.6129594784154297,0.6760798450704765,5,1.3638897144119255e-05,1.3638897144119255e-05,7.358460402027273e-07,1.2725370083154507e-05,1.4552424205084004e-05,5,1.3622766067896983e-05,1.2729656703258672e-05,1.4578535750546892e-05,5,1.663438815739937e-05,1.663438815739937e-05,8.698517373214576e-07,1.5554497721553e-05,1.7714278593245743e-05,5,1.661589468978792e-05,1.5558536952744643e-05,1.7745110429128e-05,5
aleatoric,2,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.00276698948487875,0.00276698948487875,5.208136748215689e-05,0.002702332293064696,0.002831646676692804,5,0.00276659658925523,0.0027026004703732645,0.0028321081016542365,5,0.004245202604758423,0.004245202604758423,0.00010851586980227522,0.004110483956845071,0.004379921252671775,5,0.0042440843714958675,0.004110736125571717,0.004381758303659139,5,7.65840078450062e-06,7.65840078450062e-06,2.878352167053107e-07,7.301063454144788e-06,8.015738114856454e-06,5,7.654056687678674e-06,7.30404930246179e-06,8.020836299455564e-06,5,1.8031165710646855e-05,1.8031165710646855e-05,9.162809321267861e-07,1.68936350572058e-05,1.916869636408791e-05,5,1.801225215237547e-05,1.6898151494080403e-05,1.9199805831685783e-05,5,0.574622664287052,0.574622664287052,0.02168295954006298,0.5477040301986031,0.6015412983755009,5,0.5742944103153738,0.5479482742982291,0.6019073061994471,5,1.6635124848107807e-05,1.6635124848107807e-05,8.694741315219639e-07,1.5555703196623065e-05,1.771454649959255e-05,5,1.661664867610529e-05,1.5559750617170004e-05,1.7745336671426096e-05,5,1.944231989909895e-05,1.944231989909895e-05,9.592788479308724e-07,1.8251408840646408e-05,2.063323095755149e-05,5,1.942305132701659e-05,1.8253683602969173e-05,2.0667331101901868e-05,5
aleatoric,3,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.0031283191763603036,0.0031283191763603036,3.9828964964407125e-05,0.003078872912716378,0.003177765440004229,5,0.003128115883984565,0.003078978282340666,0.00317803767560121,5,0.004570040761313532,0.004570040761313532,0.00011132505509684996,0.00443183460834389,0.0047082469142831745,5,0.00456894514056845,0.004431820080740216,0.004710312990422075,5,9.787649946343716e-06,9.787649946343716e-06,2.4879468776175394e-07,9.478780063953617e-06,1.0096519828733816e-05,5,9.785108983636537e-06,9.48010726312548e-06,1.009992346754074e-05,5,2.0895187174381025e-05,2.0895187174381025e-05,1.0102161810613534e-06,1.964103920265346e-05,2.214933514610859e-05,5,2.087525969752405e-05,1.964102922805222e-05,2.218704846773895e-05,5,0.5308143202716229,0.5308143202716229,0.022867870382395555,0.5024246609140794,0.5592039796291663,5,0.5304176905788397,0.5026541623705392,0.5597147055386233,5,1.9443226483417676e-05,1.9443226483417676e-05,9.598952103451938e-07,1.825155023263674e-05,2.063490273419861e-05,5,1.9423934010759495e-05,1.825383580259651e-05,2.0669037266165832e-05,5,2.24342176807113e-05,2.24342176807113e-05,1.06082140953943e-06,2.111724509199145e-05,2.3751190269431148e-05,5,2.2413691158531995e-05,2.1113989200896318e-05,2.3793398138553983e-05,5
aleatoric,4,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.0035173113471610624,0.0035173113471610624,5.939561959916668e-05,0.003443573767773317,0.003591048926548808,5,0.003516911107800617,0.003444076064856346,0.003591286460360819,5,0.004913557908716388,0.004913557908716388,0.0001167567113117322,0.004768608544983819,0.005058507272448958,5,0.004912434685836096,0.004768343514109881,0.005060880045910528,5,1.237430138457002e-05,1.237430138457002e-05,4.186029566013886e-07,1.1854620489705291e-05,1.2893982279434748e-05,5,1.2368663740171365e-05,1.1861659940516372e-05,1.289733844037094e-05,5,2.415395702601844e-05,2.415395702601844e-05,1.1373552565700466e-06,2.2741970349401966e-05,2.5565943702634917e-05,5,2.4132014542605583e-05,2.2737099868553768e-05,2.5612506839095346e-05,5,0.4870041187238077,0.4870041187238077,0.024142035582612874,0.4570326279410148,0.5169756095066006,5,0.486524278002625,0.45742546426721636,0.517474193233147,5,2.2434425773099065e-05,2.2434425773099065e-05,1.06076637677669e-06,2.1117521505624767e-05,2.3751330040573362e-05,5,2.2413901544805935e-05,2.111426337223526e-05,2.3793535848419666e-05,5,2.5957862453651616e-05,2.5957862453651616e-05,1.2267471474661708e-06,2.443489887846826e-05,2.748082602883497e-05,5,2.593407427838479e-05,2.4428081550940687e-05,2.753291154994035e-05,5
aleatoric,5,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.003825352178085571,0.003825352178085571,2.975518564771652e-05,0.0037884121582877745,0.003862292197883368,5,0.003825259460799435,0.0037884569521488857,0.0038624194829865195,5,0.005295670734575738,0.005295670734575738,0.00012974533887466714,0.005134596445090677,0.005456745024060798,5,0.005294381640878823,0.005134138965371163,0.005459625683748575,5,1.4634027583242367e-05,1.4634027583242367e-05,2.2739685096144745e-07,1.4351722365055395e-05,1.491633280142934e-05,5,1.4632609942435583e-05,1.4352406078285224e-05,1.4918284262553853e-05,5,2.805759561140969e-05,2.805759561140969e-05,1.3605036188492369e-06,2.636857806635796e-05,2.974661315646142e-05,5,2.8030476959274736e-05,2.6359382915742476e-05,2.98075126066471e-05,5,0.47757964633227035,0.47757964633227035,0.022892350209174298,0.44915959612801676,0.505999696536524,5,0.47713258399641145,0.44918711178684617,0.506816639964333,5,2.595888727228157e-05,2.595888727228157e-05,1.2265888869610874e-06,2.443612017196684e-05,2.74816543725963e-05,5,2.5935106144573042e-05,2.4429298704121695e-05,2.7533730659930266e-05,5,3.0351967870956288e-05,3.0351967870956288e-05,1.5033253405862348e-06,2.848564216553941e-05,3.221829357637317e-05,5,3.0321303782347e-05,2.8473596514321628e-05,3.2288912382351866e-05,5
aleatoric,6,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.0042570415366161825,0.0042570415366161825,0.00014489001803180194,0.004077165658913211,0.004436917414319154,5,0.004255054779622028,0.004078037682584499,0.004439755732249567,5,0.005742720150489919,0.005742720150489919,0.00014298520326228245,0.00556520903354261,0.0059202312674372275,5,0.00574127404937025,0.005564510802862123,0.005923652388817009,5,1.813919713833567e-05,1.813919713833567e-05,1.2279527796289294e-06,1.661473681309038e-05,1.9663657463580958e-05,5,1.8105491177584266e-05,1.663039134057915e-05,1.9711430962042882e-05,5,3.2995190541524526e-05,3.2995190541524526e-05,1.6239083916412866e-06,3.097916520573098e-05,3.501121587731807e-05,5,3.296222770997227e-05,3.096378047516927e-05,3.5089657623537456e-05,5,0.45032472853155425,0.45032472853155425,0.023384246019944935,0.42129400692355107,0.47935545013955744,5,0.44983392061934757,0.42152431306199006,0.4800448037501825,5,3.0352926842169836e-05,3.0352926842169836e-05,1.502964089318354e-06,2.8487049617536964e-05,3.221880406680271e-05,5,3.0322279467376082e-05,2.8475043992639095e-05,3.2289348958875565e-05,5,3.588540348573588e-05,3.588540348573588e-05,1.761498347258049e-06,3.369856504379553e-05,3.807224192767623e-05,5,3.5849658924445885e-05,3.367805527686099e-05,3.8161290324923156e-05,5
aleatoric,7,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.004910210543559731,0.004910210543559731,0.00019075285433775723,0.004673397562483147,0.005147023524636315,5,0.004907299861866188,0.004679248692217052,0.005146465494412934,5,0.006265499007911221,0.006265499007911221,0.00015149045122204882,0.006077428923806433,0.006453569092016009,5,0.006264010057407634,0.006076541299746556,0.006457262456348406,5,2.413927690323555e-05,2.413927690323555e-05,1.9003985025945129e-06,2.1779998788130543e-05,2.6498555018340558e-05,5,2.4081591934271905e-05,2.1895368323615e-05,2.648610708518296e-05,5,3.9274837303585655e-05,3.9274837303585655e-05,1.8760074697183631e-06,3.69458398006738e-05,4.160383480649751e-05,5,3.923782199930398e-05,3.692435416752556e-05,4.169623843016665e-05,5,0.3838784397711776,0.3838784397711776,0.06087765511426091,0.30830096524996564,0.4594559142923895,5,0.37990882293161665,0.3105060821891037,0.4648241114110817,5,3.5886339173885065e-05,3.5886339173885065e-05,1.7618118426446933e-06,3.3699111538413e-05,3.807356680935713e-05,5,3.5850583025788886e-05,3.367861243818e-05,3.816262637447417e-05,5,4.2943097651004794e-05,4.2943097651004794e-05,2.036479803297527e-06,4.0414879371936634e-05,4.5471315930072954e-05,5,4.290324723606714e-05,4.039325042857721e-05,4.556921277364848e-05,5
aleatoric,8,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.005576780961268636,0.005576780961268636,0.00014855538647165777,0.0053923546571513405,0.005761207265385931,5,0.0055752091698395905,0.005394764287082206,0.00576168960002419,5,0.0068634373832542105,0.0068634373832542105,0.00015950113521806148,0.00666542231581408,0.007061452450694341,5,0.006861931345443527,0.006664503801531514,0.007065207432061175,5,3.111814085224813e-05,3.111814085224813e-05,1.666501160507391e-06,2.90492380871626e-05,3.3187043617333655e-05,5,3.1082957287463456e-05,2.9103481713177576e-05,3.31970670470269e-05,5,4.712712520356007e-05,4.712712520356007e-05,2.164458801758471e-06,4.444002548470455e-05,4.981422492241559e-05,5,4.708610178958041e-05,4.441561092062801e-05,4.9917156058052464e-05,5,0.3384751103671852,0.3384751103671852,0.04763224502174814,0.27934134810642436,0.39760887262794603,5,0.33583572782511334,0.28241699754227323,0.39935852680730183,5,4.294372702133842e-05,4.294372702133842e-05,2.0363505892896687e-06,4.041566915693092e-05,4.547178488574592e-05,5,4.290388220688712e-05,4.039403681719813e-05,4.556967447330572e-05,5,5.156500992598012e-05,5.156500992598012e-05,2.2812396013322515e-06,4.873293093865921e-05,5.439708891330103e-05,5,5.15234102741466e-05,4.8708100843104844e-05,5.4501443503803356e-05,5
aleatoric,9,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.0065241757411204655,0.0065241757411204655,0.0002413387952007809,0.0062245620879494805,0.00682378939429145,5,0.006520683608958116,0.006232694526798163,0.006821979570042864,5,0.007538953792611593,0.007538953792611593,0.00015466160341721396,0.00734694683423359,0.007730960750989595,5,0.007537666446552943,0.007346095983347684,0.007734232657493581,5,4.2611464632279946e-05,4.2611464632279946e-05,3.204254903570939e-06,3.8633494507123605e-05,4.658943475743629e-05,5,4.251931472813504e-05,3.884648106437977e-05,4.653940525408222e-05,5,5.685496045638997e-05,5.685496045638997e-05,2.3076490062195296e-06,5.399009511878598e-05,5.9719825793993965e-05,5,5.681641545949008e-05,5.396512619655698e-05,5.9818354800240215e-05,5,0.24768941246415294,0.24768941246415294,0.08958987281100288,0.1364667262909785,0.35891209863732737,5,0.22811992234271772,0.12152741620961661,0.42820542551393165,5,5.156762854312547e-05,5.156762854312547e-05,2.282093179745025e-06,4.873448986813061e-05,5.440076721812033e-05,5,5.152600022628808e-05,4.870968126134345e-05,5.450515442864168e-05,5,6.252689199754968e-05,6.252689199754968e-05,2.3989841861136136e-06,5.95486372362174e-05,6.550514675888196e-05,5,6.248898456683518e-05,5.9518896925161856e-05,6.56072843067655e-05,5
