config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,22.0,-613.9164428710938,-613.9213256835938,-0.0048828125,2.384185791015625e-05,2.0283883714000694e-05,5.506351499207085e-06,2.579023566795513e-05,2.0283883714000694e-05,5.506351499207085e-06,2.579023566795513e-05
1,22.0,-614.0086669921875,-614.0164184570312,-0.00775146484375,6.008520722389221e-05,5.437204890768044e-05,5.622617754852399e-05,0.00011059822281822562,5.437204890768044e-05,5.622617754852399e-05,0.00011059822281822562
2,22.0,-614.08642578125,-614.0751342773438,0.01129150390625,0.000127498060464859,4.413453279994428e-05,3.161709901178256e-05,7.575163181172684e-05,4.413453279994428e-05,3.161709901178256e-05,7.575163181172684e-05
3,22.0,-614.0858764648438,-614.0863647460938,-0.00048828125,2.384185791015625e-07,4.024908412247896e-05,1.1483393791422714e-05,5.1732477004406974e-05,4.024908412247896e-05,1.1483393791422714e-05,5.1732477004406974e-05
4,22.0,-613.9061279296875,-613.915283203125,-0.0091552734375,8.381903171539307e-05,6.0749793192371726e-05,1.7202086382894777e-05,7.79518813942559e-05,6.0749793192371726e-05,1.7202086382894777e-05,7.79518813942559e-05
5,22.0,-614.0369873046875,-614.0388793945312,-0.00189208984375,3.5800039768218994e-06,4.1463394154561684e-05,3.210194336134009e-05,7.356533751590177e-05,4.1463394154561684e-05,3.210194336134009e-05,7.356533751590177e-05
6,22.0,-614.185302734375,-614.1851806640625,0.0001220703125,1.4901161193847656e-08,1.682147012616042e-05,4.5284627958608326e-06,2.1349933376768604e-05,1.682147012616042e-05,4.5284627958608326e-06,2.1349933376768604e-05
7,22.0,-613.960205078125,-613.9623413085938,-0.00213623046875,4.563480615615845e-06,5.402777605922893e-05,2.27196142077446e-05,7.674739026697353e-05,5.402777605922893e-05,2.27196142077446e-05,7.674739026697353e-05
8,22.0,-614.2217407226562,-614.2225341796875,-0.00079345703125,6.295740604400635e-07,1.7689668311504647e-05,5.328468887455529e-06,2.3018137653707527e-05,1.7689668311504647e-05,5.328468887455529e-06,2.3018137653707527e-05
9,22.0,-614.2761840820312,-614.2755737304688,0.0006103515625,3.725290298461914e-07,1.6850461179274134e-05,9.277649041905534e-06,2.6128109311684966e-05,1.6850461179274134e-05,9.277649041905534e-06,2.6128109311684966e-05
10,22.0,-614.1626586914062,-614.1568603515625,0.00579833984375,3.3620744943618774e-05,2.4830966140143573e-05,1.2790784467142657e-06,2.6110044927918352e-05,2.4830966140143573e-05,1.2790784467142657e-06,2.6110044927918352e-05
11,22.0,-614.2073364257812,-614.2057495117188,0.0015869140625,2.518296241760254e-06,2.3579281332786195e-05,1.1241994798183441e-05,3.482127794995904e-05,2.3579281332786195e-05,1.1241994798183441e-05,3.482127794995904e-05
12,22.0,-614.2304077148438,-614.2274169921875,0.00299072265625,8.944422006607056e-06,1.6028059690142982e-05,1.0636262231855653e-05,2.6664321921998635e-05,1.6028059690142982e-05,1.0636262231855653e-05,2.6664321921998635e-05
13,22.0,-614.204345703125,-614.2003784179688,0.00396728515625,1.5739351511001587e-05,1.959144174179528e-05,1.113004964281572e-05,3.07214904751163e-05,1.959144174179528e-05,1.113004964281572e-05,3.07214904751163e-05
14,22.0,-613.99365234375,-613.9913940429688,0.00225830078125,5.09992241859436e-06,4.9467907956568524e-05,5.066953690402443e-06,5.453486301121302e-05,4.9467907956568524e-05,5.066953690402443e-06,5.453486301121302e-05
15,22.0,-614.22265625,-614.2208862304688,0.00177001953125,3.1329691410064697e-06,1.978968248295132e-05,8.931383490562439e-06,2.872106597351376e-05,1.978968248295132e-05,8.931383490562439e-06,2.872106597351376e-05
16,22.0,-614.194580078125,-614.196533203125,-0.001953125,3.814697265625e-06,2.257945561723318e-05,1.658070868870709e-05,3.916016430594027e-05,2.257945561723318e-05,1.658070868870709e-05,3.916016430594027e-05
17,22.0,-614.2870483398438,-614.2867431640625,0.00030517578125,9.313225746154785e-08,1.6701769709470682e-05,1.2152641829743516e-05,2.8854410629719496e-05,1.6701769709470682e-05,1.2152641829743516e-05,2.8854410629719496e-05
18,22.0,-614.1107788085938,-614.1107788085938,0.0,0.0,4.240537964506075e-05,1.359209454676602e-05,5.5997472372837365e-05,4.240537964506075e-05,1.359209454676602e-05,5.5997472372837365e-05
19,22.0,-614.1115112304688,-614.1154174804688,-0.00390625,1.52587890625e-05,2.9093740522512235e-05,9.386800229549408e-06,3.848053893307224e-05,2.9093740522512235e-05,9.386800229549408e-06,3.848053893307224e-05
20,22.0,-614.2234497070312,-614.225830078125,-0.00238037109375,5.666166543960571e-06,2.2812648239778355e-05,1.0656192898750305e-05,3.346884113852866e-05,2.2812648239778355e-05,1.0656192898750305e-05,3.346884113852866e-05
