metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n,value_geometric_mean,value_geometric_ci95_low,value_geometric_ci95_high,value_geometric_n
ause,aleatoric,0.18695545186410487,0.18695545186410487,0.00337156839875707,0.18276976790050073,0.191141135827709,5,0.18693097421888466,0.18277241377062242,0.19118415302144381,5
ause,epistemic,0.2130067485195141,0.2130067485195141,0.004923847588804633,0.20689396436265456,0.21911953267637363,5,0.2129614151579599,0.20695531059058503,0.2191418244676064,5
ause,total,0.18562476814717827,0.18562476814717827,0.003540279507674316,0.18122963525667793,0.1900199010376786,5,0.1855976750823919,0.1812444624165789,0.19005544520756734,5
ence,aleatoric,0.36963406195694815,0.36963406195694815,0.01590021906501462,0.34989449743179735,0.38937362648209894,5,0.3693581241713964,0.3500249554103719,0.3897591351207131,5
ence,epistemic,0.5820540109722002,0.5820540109722002,0.08185589769937397,0.480432783755514,0.6836752381888864,5,0.5774115453076972,0.4841394775057277,0.6886529773864154,5
ence,total,0.5852128164602949,0.5852128164602949,0.011473996665535105,0.5709682518656443,0.5994573810549455,5,0.5851236152178488,0.5711433779116061,0.59944605562527,5
rmse,ensemble,0.01743793975549896,0.01743793975549896,0.0009619303788055438,0.016243736914425252,0.01863214259657267,5,0.017416815959186534,0.016267519878298057,0.018647309511565912,5
spearman,aleatoric,0.5155658130225842,0.5155658130225842,0.003902113206183891,0.5107214762808728,0.5204101497642956,5,0.5155539752408613,0.5107249783478977,0.5204286311714301,5
spearman,epistemic,0.49083361028204797,0.49083361028204797,0.006457620106877835,0.4828167013163658,0.49885051924773016,5,0.4907994108533966,0.4828104000051989,0.4989206149897503,5
spearman,total,0.5196860256071648,0.5196860256071648,0.004266855210192935,0.5143888744549268,0.5249831767594029,5,0.5196719907915306,0.5143957476798743,0.5250023532101581,5
