uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,count_geometric_mean,count_geometric_ci95_low,count_geometric_ci95_high,count_geometric_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmse_geometric_mean,rmse_geometric_ci95_low,rmse_geometric_ci95_high,rmse_geometric_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,rmv_geometric_mean,rmv_geometric_ci95_low,rmv_geometric_ci95_high,rmv_geometric_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mse_geometric_mean,mse_geometric_ci95_low,mse_geometric_ci95_high,mse_geometric_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,mean_variance_geometric_mean,mean_variance_geometric_ci95_low,mean_variance_geometric_ci95_high,mean_variance_geometric_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,ence_term_geometric_mean,ence_term_geometric_ci95_low,ence_term_geometric_ci95_high,ence_term_geometric_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_min_geometric_mean,uncertainty_min_geometric_ci95_low,uncertainty_min_geometric_ci95_high,uncertainty_min_geometric_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n,uncertainty_max_geometric_mean,uncertainty_max_geometric_ci95_low,uncertainty_max_geometric_ci95_high,uncertainty_max_geometric_n
aleatoric,0,3334.0,3334.0,0.0,3334.0,3334.0,5,3333.9999999999977,3333.9999999999977,3333.9999999999977,5,0.0017503713857030627,0.0017503713857030627,5.096367457896639e-05,0.0016871017704432449,0.0018136410009628806,5,0.001749775206345101,0.0016874467107123045,0.0018144059028967093,5,0.0015180145636448617,0.0015180145636448617,0.00010796334090216747,0.0013839818609899422,0.0016520472662997813,5,0.0015149114099512501,0.0013858552014306563,0.0016559858328859594,5,3.0658778247893324e-06,3.0658778247893324e-06,1.7785237388606378e-07,2.845080337916973e-06,3.2866753116616917e-06,5,3.061713272740041e-06,2.847476401493776e-06,3.292068780466423e-06,5,2.313693081820907e-06,2.313693081820907e-06,3.2569798837738443e-07,1.909350447861021e-06,2.7180357157807926e-06,5,2.2949565800004846e-06,1.920594639332405e-06,2.742289078719005e-06,5,0.34334090743764184,0.34334090743764184,0.17649200224463266,0.12423227426499658,0.5624495406102871,5,0.30436238657489073,0.15039107764955434,0.6159704671937216,5,3.3173710107803344e-07,3.3173710107803344e-07,2.3107326466447058e-07,4.486774416975014e-08,6.186064579863167e-07,5,2.780518489348899e-07,1.240855602780689e-07,6.230606568794713e-07,5,3.473037806162286e-06,3.473037806162286e-06,3.7012147911759104e-07,3.0135449658868032e-06,3.932530646437769e-06,5,3.458365421110864e-06,3.0505462464586206e-06,3.920704824527747e-06,5
aleatoric,1,3334.0,3334.0,0.0,3334.0,3334.0,5,3333.9999999999977,3333.9999999999977,3333.9999999999977,5,0.0024100003092876188,0.0024100003092876188,5.5049297707046096e-05,0.0023416585361517106,0.002478342082423527,5,0.002409494454702448,0.0023418365691086924,0.002479107040954397,5,0.0020833257279719566,0.0020833257279719566,9.317419334395985e-05,0.001967653233519423,0.00219899822242449,5,0.0020817132413509924,0.0019719384625731893,0.0021975990130854374,5,5.81052583090885e-06,5.81052583090885e-06,2.642531948629906e-07,5.482464753910698e-06,6.138586907907002e-06,5,5.805663527241847e-06,5.484198516414772e-06,6.145971720509666e-06,5,4.347191233074121e-06,4.347191233074121e-06,3.983012735139229e-07,3.852714166007964e-06,4.8416683001402775e-06,5,4.333530019216055e-06,3.888541300175513e-06,4.829441422314089e-06,5,0.34477886671968877,0.34477886671968877,0.129604748474289,0.1838791152877536,0.505678618151624,5,0.32270037512610794,0.19047314797455547,0.5467202763952943,5,3.473037806162286e-06,3.473037806162286e-06,3.7012147911759104e-07,3.0135449658868032e-06,3.932530646437769e-06,5,3.458365421110864e-06,3.0505462464586206e-06,3.920704824527747e-06,5,5.313976353031066e-06,5.313976353031066e-06,7.810269935181515e-07,4.344358722519387e-06,6.283593983542745e-06,5,5.2698148215880156e-06,4.4117232065754e-06,6.2948074830347135e-06,5
aleatoric,2,3334.0,3334.0,0.0,3334.0,3334.0,5,3333.9999999999977,3333.9999999999977,3333.9999999999977,5,0.002863642618856635,0.002863642618856635,5.288604142082855e-05,0.002797986452558697,0.0029292987851545728,5,0.0028632530198313966,0.002798482524289144,0.0029295226196404717,5,0.002495316083492919,0.002495316083492919,0.0001471464918575432,0.0023126388726447625,0.002677993294341076,5,0.002491899810890785,0.002317880169167673,0.002678984336686966,5,8.202686595233817e-06,8.202686595233817e-06,3.0356887146728075e-07,7.825816484095502e-06,8.579556706372131e-06,5,8.198217855573613e-06,7.831504438751739e-06,8.582102778985172e-06,5,6.243924028591225e-06,6.243924028591225e-06,7.447744171195428e-07,5.319312700703253e-06,7.168535356479196e-06,5,6.209564667517532e-06,5.372568478620761e-06,7.1769570762141035e-06,5,0.3260558529684875,0.3260558529684875,0.14028703852535843,0.15189441294740405,0.500217292989571,5,0.3021888229348341,0.17460344279530185,0.5230027727104913,5,5.313976353031066e-06,5.313976353031066e-06,7.810269935181515e-07,4.344358722519387e-06,6.283593983542745e-06,5,5.2698148215880156e-06,4.4117232065754e-06,6.2948074830347135e-06,5,7.56886360763991e-06,7.56886360763991e-06,1.1514281982234843e-06,6.139405867342436e-06,8.998321347937383e-06,5,7.497432897170973e-06,6.186036042075888e-06,9.086836815247244e-06,5
aleatoric,3,3333.8,3333.8,0.4472135954999579,3333.2448000000004,3334.3552,5,3333.7999760004845,3333.244772271156,3334.3552722076247,5,0.0033074545164044874,0.0033074545164044874,0.00010727786441916855,0.0031742728087711647,0.00344063622403781,5,0.003306090171399067,0.0031774868565199454,0.003439898484235603,5,0.003014148596710792,0.003014148596710792,0.00015082236909108455,0.0028269079131493773,0.0032013892802722063,5,0.0030111260007274015,0.00282953257865474,0.003204373704920306,5,1.0948462210239911e-05,1.0948462210239911e-05,7.206706678850253e-07,1.005377484197585e-05,1.1843149578503973e-05,5,1.093023222142151e-05,1.0096422723357005e-05,1.1832901581846399e-05,5,9.10328967266823e-06,9.10328967266823e-06,9.090696563354724e-07,7.974711565302749e-06,1.0231867780033711e-05,5,9.066879792256596e-06,8.006254613668542e-06,1.0268010840784688e-05,5,0.2082979664529975,0.2082979664529975,0.09201519809943169,0.09406432396345635,0.32253160894253863,5,0.19167733751685564,0.1079357169413421,0.34038965746173855,5,7.56886360763991e-06,7.56886360763991e-06,1.1514281982234843e-06,6.139405867342436e-06,8.998321347937383e-06,5,7.497432897170973e-06,6.186036042075888e-06,9.086836815247244e-06,5,1.0469217094955407e-05,1.0469217094955407e-05,7.532251463934943e-07,9.53411448294703e-06,1.1404319706963783e-05,5,1.0447737438553824e-05,9.559955440989173e-06,1.141796300816909e-05,5
aleatoric,4,3333.6,3333.6,0.5477225575051661,3332.9200216474032,3334.2799783525966,5,3333.5999640014334,3332.9200346022317,3334.28003210903,5,0.003698553073552492,0.003698553073552492,9.653067276714793e-05,0.0035787136275705206,0.0038183925195344635,5,0.0036975402245459157,0.003579201341955309,0.003819791737300307,5,0.0033281456933637035,0.0033281456933637035,8.932054286226263e-05,0.0032172573708794806,0.0034390340158479264,5,0.00332718793948365,0.003218241085644229,0.0034398229623090596,5,1.368674937451249e-05,1.368674937451249e-05,7.115985038621894e-07,1.2803324779822759e-05,1.4570173969202221e-05,5,1.3671803712135061e-05,1.2810682246254685e-05,1.45908089163477e-05,5,1.1082936283757132e-05,1.1082936283757132e-05,5.951822992960655e-07,1.0344038325613087e-05,1.1821834241901177e-05,5,1.1070179584645454e-05,1.0357075685328545e-05,1.1832382012028674e-05,5,0.23872565680255575,0.23872565680255575,0.10721344349866954,0.1056239254835066,0.3718273881216049,5,0.2166146823564966,0.11320886539625816,0.41447213915772363,5,1.0469217094955407e-05,1.0469217094955407e-05,7.532251463934943e-07,9.53411448294703e-06,1.1404319706963783e-05,5,1.0447737438553824e-05,9.559955440989173e-06,1.141796300816909e-05,5,1.1998025022689432e-05,1.1998025022689432e-05,1.6589655734579336e-06,9.938477424736472e-06,1.4057572620642392e-05,5,1.1911917208719283e-05,1.0108662925140952e-05,1.4036848655273967e-05,5
aleatoric,5,3333.0,3333.0,0.0,3333.0,3333.0,5,3333.0000000000023,3333.0000000000023,3333.0000000000023,5,0.004079668853443159,0.004079668853443159,0.00018017442512158007,0.0038559886213704497,0.004303349085515868,5,0.004076535494879151,0.0038614574346319767,0.004303593117968275,5,0.0037248083396561405,0.0037248083396561405,0.0001463767247817078,0.003543086767645453,0.0039065299116668286,5,0.00372251386093095,0.0035455849498969598,0.003908271735310067,5,1.6669668212528525e-05,1.6669668212528525e-05,1.4886154509328975e-06,1.482160431940383e-05,1.851773210565322e-05,5,1.6618141641009606e-05,1.4910853519474567e-05,1.85209137250239e-05,5,1.3891338083618185e-05,1.3891338083618185e-05,1.093375215402315e-06,1.253395108621993e-05,1.524872508101644e-05,5,1.3857109444823072e-05,1.2571172636935848e-05,1.527458795702359e-05,5,0.2054230213190568,0.2054230213190568,0.13541281540798691,0.03731275841332768,0.37353328422478593,5,0.1444850467066669,0.03421403804907437,0.6101568219420537,5,1.1998025022689432e-05,1.1998025022689432e-05,1.6589655734579336e-06,9.938477424736472e-06,1.4057572620642392e-05,5,1.1911917208719283e-05,1.0108662925140952e-05,1.4036848655273967e-05,5,1.5134308263490542e-05,1.5134308263490542e-05,1.0099032532767594e-06,1.388054878063665e-05,1.6388067746344433e-05,5,1.5107680904583774e-05,1.3916397400403514e-05,1.6400941691138196e-05,5
aleatoric,6,3333.0,3333.0,0.0,3333.0,3333.0,5,3333.0000000000023,3333.0000000000023,3333.0000000000023,5,0.004634889144452138,0.004634889144452138,0.0002072614821159544,0.004377581280763122,0.0048921970081411545,5,0.004631211998922096,0.004382539086420328,0.004893995046255,5,0.0041403390749673525,0.0041403390749673525,7.794483878629495e-05,0.004043573290273861,0.004237104859660844,5,0.0041397534225579655,0.004044274676593152,0.0042374862663919904,5,2.1516563238935396e-05,2.1516563238935396e-05,1.9339147903659118e-06,1.9115675827606117e-05,2.3917450650264675e-05,5,2.1448124578959997e-05,1.920664884400192e-05,2.395118751276848e-05,5,1.714726797401625e-05,1.714726797401625e-05,6.465818808625879e-07,1.6344559237369756e-05,1.7949976710662747e-05,5,1.7137558399580388e-05,1.6356157659732638e-05,1.7956289857860735e-05,5,0.25560373769263645,0.25560373769263645,0.11303011892465101,0.11528080775842756,0.39592666762684536,5,0.23379135697190212,0.12737631280889086,0.42910959965350964,5,1.5134308263490542e-05,1.5134308263490542e-05,1.0099032532767594e-06,1.388054878063665e-05,1.6388067746344433e-05,5,1.5107680904583774e-05,1.3916397400403514e-05,1.6400941691138196e-05,5,1.9656562073275584e-05,1.9656562073275584e-05,1.7764683247066185e-06,1.745113892916366e-05,2.1861985217387507e-05,5,1.959445386746165e-05,1.7560769371872436e-05,2.186365609806676e-05,5
aleatoric,7,3333.0,3333.0,0.0,3333.0,3333.0,5,3333.0000000000023,3333.0000000000023,3333.0000000000023,5,0.005293148386445544,0.005293148386445544,0.00024145182707155987,0.004993394408169759,0.005592902364721329,5,0.005288738415555934,0.004997258877950346,0.005597219337904193,5,0.004619493022853788,0.004619493022853788,0.0001815795192763426,0.004394068415648986,0.00484491763005859,5,0.004616622003287431,0.004395792526343666,0.004848545192592508,5,2.8064059028768013e-05,2.8064059028768013e-05,2.556062678503809e-06,2.489079682613122e-05,3.1237321231404804e-05,5,2.7970754028177087e-05,2.4972596293253555e-05,3.132886431660865e-05,5,2.1366092685651328e-05,2.1366092685651328e-05,1.6714205958090893e-06,1.9291082614108692e-05,2.3441102757193963e-05,5,2.1313198721237657e-05,1.9322991934658827e-05,2.350839048461192e-05,5,0.3166674580393864,0.3166674580393864,0.11725824010377986,0.1710954638945333,0.46223945218423945,5,0.29486952069610184,0.16778628379779686,0.5182070445062835,5,1.9656562073275584e-05,1.9656562073275584e-05,1.7764683247066185e-06,1.745113892916366e-05,2.1861985217387507e-05,5,1.959445386746165e-05,1.7560769371872436e-05,2.186365609806676e-05,5,2.3615543842270974e-05,2.3615543842270974e-05,2.5850469626742447e-06,2.040629866699348e-05,2.6824789017548467e-05,5,2.3502356968603422e-05,2.0510715410479824e-05,2.6930351868537777e-05,5
aleatoric,8,3333.0,3333.0,0.0,3333.0,3333.0,5,3333.0000000000023,3333.0000000000023,3333.0000000000023,5,0.0059565145458716755,0.0059565145458716755,0.00026004792900598874,0.005633674159003029,0.0062793549327403225,5,0.005952008722957127,0.005639682815153843,0.006281631254681004,5,0.005241266749399964,0.005241266749399964,0.0002741555058816993,0.004900912300436138,0.005581621198363789,5,0.005235499950289302,0.004904919324887078,0.005588360972707811,5,3.5534165475485096e-05,3.5534165475485096e-05,3.1194811125875305e-06,3.1661439039759464e-05,3.940689191121073e-05,5,3.5426407838157725e-05,3.1806022255541634e-05,3.9458891219785166e-05,5,2.7531006131489865e-05,2.7531006131489865e-05,2.8648696333238907e-06,2.3974370920873658e-05,3.108764134210607e-05,5,2.7410459729479285e-05,2.4058233583650705e-05,3.122977836128379e-05,5,0.29316920622755605,0.29316920622755605,0.04847377355287902,0.23299071579845423,0.3533476966566579,5,0.2899126047328523,0.23533835042750953,0.3571424641598161,5,2.3615543842270974e-05,2.3615543842270974e-05,2.5850469626742447e-06,2.040629866699348e-05,2.6824789017548467e-05,5,2.3502356968603422e-05,2.0510715410479824e-05,2.6930351868537777e-05,5,3.1218370071421375e-05,3.1218370071421375e-05,3.3227763182715334e-06,2.7093259765143735e-05,3.5343480377699015e-05,5,3.107191492176577e-05,2.7124059221074882e-05,3.559437357942735e-05,5
aleatoric,9,3333.0,3333.0,0.0,3333.0,3333.0,5,3333.0000000000023,3333.0000000000023,3333.0000000000023,5,0.006768867189842179,0.006768867189842179,0.00020990538709251438,0.006508277010817143,0.007029457368867215,5,0.006766268022809286,0.006511009085891988,0.007031534183494301,5,0.00591193040166761,0.00591193040166761,0.00020287150477460924,0.005660072540940132,0.006163788262395088,5,0.005909165145421541,0.005663936766807006,0.006165011043290589,5,4.585281125094631e-05,4.585281125094631e-05,2.8470452116439545e-06,4.231830443494127e-05,4.938731806695135e-05,5,4.578238295649149e-05,4.239323931656802e-05,4.9442472973648865e-05,5,3.498384655212136e-05,3.498384655212136e-05,2.412070211603812e-06,3.198934594892455e-05,3.7978347155318165e-05,5,3.491823271586479e-05,3.20801796983882e-05,3.800736116389492e-05,5,0.3126904837284361,0.3126904837284361,0.07117715366281713,0.22432654284820008,0.40105442460867213,5,0.30578200593315447,0.22670941600754532,0.41243384063673716,5,3.1218370071421375e-05,3.1218370071421375e-05,3.3227763182715334e-06,2.7093259765143735e-05,3.5343480377699015e-05,5,3.107191492176577e-05,2.7124059221074882e-05,3.559437357942735e-05,5,3.934355397485238e-05,3.934355397485238e-05,1.7627157144924013e-06,3.715520421417013e-05,4.153190373553463e-05,5,3.9311650190574405e-05,3.716885634161663e-05,4.15779766399687e-05,5
