metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n,value_geometric_mean,value_geometric_ci95_low,value_geometric_ci95_high,value_geometric_n
ause,aleatoric,0.1676949394451726,0.1676949394451726,0.008473348086423018,0.15717557486207487,0.17821430402827035,5,0.16752868891251813,0.15755643223091167,0.17813212200447956,5
ause,epistemic,0.19126711045305528,0.19126711045305528,0.01203232591652866,0.17632939966770117,0.20620482123840939,5,0.1909730137676793,0.17691540031476696,0.20614763849061057,5
ause,total,0.16543180019946574,0.16543180019946574,0.008859944145069262,0.1544324901631882,0.1764311102357433,5,0.16524661416669353,0.1548006240833119,0.176397502628026,5
ence,aleatoric,0.35597140277649364,0.35597140277649364,0.06593129361216356,0.2741200132351025,0.4378227923178848,5,0.3509112308897537,0.27667930917782424,0.44505927216053476,5
ence,epistemic,0.27251486067834313,0.27251486067834313,0.05338153348469084,0.20624355835452293,0.33878616300216335,5,0.2686031360062576,0.2128579999357836,0.3389473014599504,5
ence,total,0.27937891476989746,0.27937891476989746,0.05055158677151591,0.2166208920756874,0.3421369374641075,5,0.2757102754471887,0.21984432585293173,0.34577265386424777,5
rmse,ensemble,0.022785595711809912,0.022785595711809912,0.004617554897888294,0.017053063192440602,0.028518128231179222,5,0.022365491878648912,0.01695950141554684,0.02949468942025389,5
spearman,aleatoric,0.5271407311019535,0.5271407311019535,0.008646169622419493,0.5164068146408477,0.5378746475630592,5,0.5270839653222632,0.516453774398088,0.5379329579372888,5
spearman,epistemic,0.49980250958697037,0.49980250958697037,0.010087866931349767,0.48727877646113804,0.5123262427128027,5,0.49972138133170185,0.4873902011204347,0.5123645456679129,5
spearman,total,0.5314191107934255,0.5314191107934255,0.009400716655915712,0.5197484506438173,0.5430897709430338,5,0.5313525799091388,0.5198085113649915,0.5431530227058008,5
