uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,3300,0.0018683186310783442,0.0034239187448476278,3.4906145072344578e-06,1.1723219571318954e-05,0.7022477924260412,6.776288500986993e-06,1.4009225196787156e-05
aleatoric,1,3300,0.0024585901719743797,0.003944872052491269,6.04466563372901e-06,1.5562015510526675e-05,0.6115756580733265,1.4009789992996957e-05,1.703133966657333e-05
aleatoric,2,3300,0.0028851648235349386,0.004290685255057535,8.324176058963393e-06,1.8409979957968145e-05,0.5478443714784952,1.7031386960297823e-05,1.9779696231125854e-05
aleatoric,3,3300,0.0033004149670971625,0.0046105974843729846,1.0892738955038966e-05,2.1257609162906495e-05,0.4875840047879763,1.978021828108467e-05,2.282183413626626e-05
aleatoric,4,3300,0.0037537806741955154,0.004953129756395825,1.4090869349963737e-05,2.4533494383693763e-05,0.4256476827316837,2.2822385290055536e-05,2.6340978365624323e-05
aleatoric,5,3300,0.00419370277706695,0.005319491151246419,1.7587142982379052e-05,2.8296986108188956e-05,0.3784799937655038,2.634098746057134e-05,3.0374047128134407e-05
aleatoric,6,3300,0.0047317026612721065,0.005732627919468854,2.238901007468953e-05,3.286302286307381e-05,0.31871726566436137,3.0375564165296964e-05,3.5622022551251575e-05
aleatoric,7,3300,0.005507590965076401,0.006206238808320453,3.033355823859121e-05,3.851740014590288e-05,0.21247129547455168,3.5622324503492564e-05,4.169190287939273e-05
aleatoric,8,3300,0.006325095176220922,0.006753168462206647,4.000682898825317e-05,4.560528427894248e-05,0.1227589166300694,4.1692332160891965e-05,4.984488623449579e-05
aleatoric,9,3300,0.007080983778649926,0.007406005419843166,5.014033127350338e-05,5.4848916278746345e-05,0.08584645467402824,4.984554834663868e-05,6.051783202565275e-05
aleatoric,10,3300,0.008172893763038093,0.008183743459736057,6.679619246190696e-05,6.697365701477269e-05,0.002649766501873866,6.0519680118886754e-05,7.425632793456316e-05
aleatoric,11,3300,0.010767409691370404,0.009147342267690237,0.00011593711146181731,8.367387056227237e-05,0.38558322547698753,7.426258525811136e-05,9.404714364791289e-05
aleatoric,12,3300,0.010846656071905587,0.010397029265351534,0.00011764994794220635,0.00010809821754457626,0.08836159017785156,9.4068847829476e-05,0.00012555078137665987
aleatoric,13,3300,0.013615848414386757,0.012395401108854372,0.00018539132804355838,0.0001536459686493882,0.20661368256665014,0.00012555188732221723,0.0001919159694807604
aleatoric,14,3300,0.03283461575695929,0.02598801712762819,0.0010781119919071596,0.0006753770342258962,0.596311300609844,0.00019192420586477965,0.0105520561337471
epistemic,0,3300,0.0024280637222283013,0.0016214071916620626,5.895493439201153e-06,2.628961281173457e-06,1.2425181692176366,3.8240105482145736e-07,3.670156047519413e-06
epistemic,1,3300,0.002732231592263088,0.002112294476067488,7.465089473760489e-06,4.461787953625224e-06,0.6731161479099581,3.6708079278469086e-06,5.237990990281105e-06
epistemic,2,3300,0.0032613480457988515,0.0024504956622203805,1.0636391075835987e-05,6.004928990560901e-06,0.7712767449132609,5.239620804786682e-06,6.813183517806465e-06
epistemic,3,3300,0.003839072899778399,0.0027754249148006314,1.4738480729812925e-05,7.702983457696092e-06,0.913347057118191,6.813835170760285e-06,8.616969353170134e-06
epistemic,4,3300,0.003895243297281738,0.003102256994461341,1.5172920345018307e-05,9.62399845968431e-06,0.576571360498328,8.61734133650316e-06,1.0648183888406493e-05
epistemic,5,3300,0.0047416846949925266,0.0034307619543442907,2.248357374672637e-05,1.1770127587376258e-05,0.9102234516846307,1.0648183888406493e-05,1.3000890248804353e-05
epistemic,6,3300,0.005073240419056462,0.0037962833891595294,2.573776834954818e-05,1.4411767570808562e-05,0.7858856120938802,1.300126314163208e-05,1.59073624672601e-05
epistemic,7,3300,0.005423568745233951,0.004213362612087978,2.9415097934278575e-05,1.7752424500940833e-05,0.6569622888817046,1.5908479326753877e-05,1.972876452782657e-05
epistemic,8,3300,0.00653499016959015,0.004702120705261889,4.2706096516639896e-05,2.210993912685257e-05,0.931533880379311,1.97306271729758e-05,2.4849921828717925e-05
