metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n,value_geometric_mean,value_geometric_ci95_low,value_geometric_ci95_high,value_geometric_n
ause,aleatoric,0.166890532095815,0.166890532095815,0.008312597181970008,0.15657073412484707,0.17721033006678294,5,0.16672962968093405,0.15693639260372516,0.17713399009836517,5
ause,epistemic,0.18976722757992093,0.18976722757992093,0.011533638811349785,0.17544861935222897,0.2040858358076129,5,0.18949488934151992,0.17600272687320767,0.20402134514894885,5
ause,total,0.1647703583029796,0.1647703583029796,0.00892174723704861,0.15369432189475762,0.17584639471120156,5,0.1645817936212699,0.1540655766266421,0.1758158271606415,5
ence,aleatoric,0.3308600446400949,0.3308600446400949,0.03180843863886827,0.2913709832385586,0.3703491060416312,5,0.3296736605808423,0.2933302033633505,0.370520052945737,5
ence,epistemic,0.9994499741443826,0.9994499741443826,0.17310863400473922,0.784541674024423,1.2143582742643422,5,0.9878158457926254,0.7997651821903212,1.2200833031098273,5
ence,total,0.5117160313530892,0.5117160313530892,0.00980442323627609,0.49954418363746894,0.5238878790687095,5,0.5116407868981857,0.49960131742770986,0.5239703853576659,5
rmse,ensemble,0.02278561433226319,0.02278561433226319,0.004617555977901166,0.017053080472095763,0.028518148192430613,5,0.02236550909898619,0.016959504527930002,0.029494729426384245,5
spearman,aleatoric,0.5276955035325036,0.5276955035325036,0.008633635760680925,0.516977147421323,0.5384138596436843,5,0.5276389348568049,0.5170201330200436,0.5384758306230806,5
spearman,epistemic,0.5010268370835754,0.5010268370835754,0.009828340283673402,0.4888252971921166,0.5132283769750343,5,0.5009499959351241,0.4889292597418777,0.5132662720162962,5
spearman,total,0.5318240061897782,0.5318240061897782,0.009221288591665391,0.5203760996913875,0.5432719126881689,5,0.5317600684541797,0.520437653631912,0.543328808799808,5
