config_index,num_atoms,ref_energy,pred_energy,error,sq_error,rmse_e_atom,aleatoric_var,epistemic_var,total_var
0,22.0,-613.1629028320312,-613.1552734375,0.00762939453125,5.820766091346741e-05,0.00762939453125,3.928205114789307e-05,1.4128349903330673e-05,5.341040014172904e-05
1,22.0,-613.3906860351562,-613.3924560546875,-0.00177001953125,3.1329691410064697e-06,0.00177001953125,1.64835018949816e-05,1.1298805475234985e-05,2.7782307370216586e-05
2,22.0,-613.4235229492188,-613.421875,0.00164794921875,2.7157366275787354e-06,0.00164794921875,1.8013359294855036e-05,1.718420571705792e-05,3.519756501191296e-05
3,23.0,-675.4181518554688,-675.4113159179688,0.0068359375,4.673004150390625e-05,0.0068359375,3.4447049984009936e-05,1.0841339644684922e-05,4.528839053818956e-05
4,23.0,-675.66552734375,-675.66455078125,0.0009765625,9.5367431640625e-07,0.0009765625,1.4149426533549558e-05,9.450503057450987e-06,2.3599928681505844e-05
5,21.0,-597.9862670898438,-597.9906616210938,-0.00439453125,1.9311904907226562e-05,0.00439453125,3.562770871212706e-05,2.2836775315226987e-05,5.846448402735405e-05
6,21.0,-598.203369140625,-598.2101440429688,-0.00677490234375,4.589930176734924e-05,0.00677490234375,0.00017472426407039165,2.3194030291051604e-05,0.00019791829981841147
7,22.0,-546.4181518554688,-546.4343872070312,-0.0162353515625,0.0002635866403579712,0.0162353515625,0.00020352342107798904,1.5941262972773984e-05,0.00021946468041278422
8,23.0,-611.6043701171875,-611.6051635742188,-0.00079345703125,6.295740604400635e-07,0.00079345703125,1.996390892600175e-05,8.543580406694673e-06,2.8507489332696423e-05
9,24.0,-671.43017578125,-671.4279174804688,0.00225830078125,5.09992241859436e-06,0.00225830078125,1.6331783626810648e-05,6.9396569415403064e-06,2.3271441023098305e-05
10,24.0,-671.3369750976562,-671.3327026367188,0.0042724609375,1.825392246246338e-05,0.0042724609375,1.420817989128409e-05,4.946813078277046e-06,1.9154993424308486e-05
11,26.0,-634.6435546875,-634.6417236328125,0.0018310546875,3.3527612686157227e-06,0.0018310546875,3.2296153221977875e-05,3.057196590816602e-05,6.286811549216509e-05
12,23.0,-547.5585327148438,-547.5608520507812,-0.0023193359375,5.379319190979004e-06,0.0023193359375,0.00013339704310055822,9.446218427910935e-06,0.00014284325879998505
13,24.0,-609.7716674804688,-609.7747192382812,-0.0030517578125,9.313225746154785e-06,0.0030517578125,2.8098997063352726e-05,1.063421404978726e-05,3.873321111313999e-05
14,24.0,-502.3092956542969,-502.3076171875,0.001678466796875,2.8172507882118225e-06,0.001678466796875,1.919812166306656e-05,1.2730900380120147e-05,3.192902295268141e-05
15,25.0,-563.8195190429688,-563.8135986328125,0.00592041015625,3.505125641822815e-05,0.00592041015625,9.824005246628076e-05,0.00029892419115640223,0.0003971642581745982
16,26.0,-620.9896240234375,-620.9868774414062,0.00274658203125,7.543712854385376e-06,0.00274658203125,1.6357662389054894e-05,7.77989589550998e-06,2.4137558284564875e-05
17,26.0,-620.8656616210938,-620.8660888671875,-0.00042724609375,1.825392246246338e-07,0.00042724609375,3.909357110387646e-05,2.6895664632320404e-05,6.598923937417567e-05
18,24.0,-440.9620361328125,-440.97021484375,-0.0081787109375,6.689131259918213e-05,0.0081787109375,1.6464580767205916e-05,6.101839062466752e-06,2.2566418920177966e-05
19,26.0,-521.4071044921875,-521.4025268554688,0.00457763671875,2.0954757928848267e-05,0.00457763671875,2.5716013624332845e-05,5.380250513553619e-06,3.1096264137886465e-05
20,27.0,-577.9307250976562,-577.9303588867188,0.0003662109375,1.341104507446289e-07,0.0003662109375,1.6642316040815786e-05,7.23227867638343e-06,2.3874594262451865e-05
21,28.0,-590.3510131835938,-590.3429565429688,0.008056640625,6.490945816040039e-05,0.008056640625,4.3857104174094275e-05,8.52391094667837e-05,0.00012909621000289917
22,33.0,-811.1259765625,-811.1184692382812,0.00750732421875,5.63599169254303e-05,0.00750732421875,4.4941960368305445e-05,8.986704415292479e-06,5.392866296460852e-05
23,26.0,-464.4365234375,-464.4300842285156,0.006439208984375,4.146341234445572e-05,0.006439208984375,0.0002580848231445998,0.0002463522832840681,0.0005044371355324984
24,29.0,-539.2310180664062,-539.2321166992188,-0.0010986328125,1.2069940567016602e-06,0.0010986328125,1.9134056856273673e-05,1.894682668535097e-06,2.1028739865869284e-05
25,29.0,-539.17724609375,-539.1769409179688,0.00030517578125,9.313225746154785e-08,0.00030517578125,1.6499854609719478e-05,1.0802968972711824e-05,2.73028235824313e-05
26,29.0,-539.2579956054688,-539.2579956054688,0.0,0.0,0.0,1.186984263767954e-05,6.82193785905838e-06,1.869178049673792e-05
27,30.0,-589.5112915039062,-589.5120239257812,-0.000732421875,5.364418029785156e-07,0.000732421875,1.8916431145044044e-05,9.549781680107117e-06,2.846621282515116e-05
28,31.0,-636.4095458984375,-636.4096069335938,-6.103515625e-05,3.725290298461914e-09,6.103515625e-05,3.560075128916651e-05,1.7939135432243347e-05,5.353988672140986e-05
29,33.0,-721.89013671875,-721.8855590820312,0.00457763671875,2.0954757928848267e-05,0.00457763671875,2.1129908418515697e-05,1.4298222595243715e-05,3.542812919477001e-05
30,33.0,-721.8948364257812,-721.8904418945312,0.00439453125,1.9311904907226562e-05,0.00439453125,1.5124805031518918e-05,7.426179763569962e-06,2.255098479508888e-05
31,35.0,-797.5220947265625,-797.5245971679688,-0.00250244140625,6.2622129917144775e-06,0.00250244140625,1.7886202840600163e-05,1.0269694030284882e-05,2.8155896870885044e-05
32,35.0,-797.5148315429688,-797.5133056640625,0.00152587890625,2.3283064365386963e-06,0.00152587890625,2.1209441911196336e-05,1.1071749213442672e-05,3.2281190215144306e-05
33,35.0,-797.505615234375,-797.5036010742188,0.00201416015625,4.056841135025024e-06,0.00201416015625,1.895571949717123e-05,1.036040521285031e-05,2.931612471002154e-05
34,35.0,-797.4788818359375,-797.4743041992188,0.00457763671875,2.0954757928848267e-05,0.00457763671875,1.6320916984113865e-05,7.248297151818406e-06,2.356921322643757e-05
35,27.0,-468.9425964355469,-468.93994140625,0.002655029296875,7.049180567264557e-06,0.002655029296875,1.4668529729533475e-05,2.268236130475998e-06,1.6936766769504175e-05
36,28.0,-525.1896362304688,-525.1900024414062,-0.0003662109375,1.341104507446289e-07,0.0003662109375,1.2124774002586491e-05,1.1129118320241105e-05,2.3253891413332894e-05
37,28.0,-525.1041870117188,-525.1055297851562,-0.0013427734375,1.8030405044555664e-06,0.0013427734375,0.00028382110758684576,9.361281627207063e-06,0.0002931823837570846
38,28.0,-432.71807861328125,-432.717041015625,0.00103759765625,1.0766088962554932e-06,0.00103759765625,4.2051415221067145e-05,3.801151251536794e-05,8.006292773643509e-05
39,28.0,-432.6701354980469,-432.6615295410156,0.00860595703125,7.406249642372131e-05,0.00860595703125,3.988077151007019e-05,2.9365532100200653e-05,6.924630724824965e-05
40,29.0,-488.49591064453125,-488.49859619140625,-0.002685546875,7.212162017822266e-06,0.002685546875,0.00010770665539894253,7.86404143582331e-06,0.00011557069956324995
41,29.0,-488.4420471191406,-488.4381408691406,0.00390625,1.52587890625e-05,0.00390625,1.812578375393059e-05,1.0068901246995665e-05,2.8194685000926256e-05
42,34.0,-684.756103515625,-684.7517700195312,0.00433349609375,1.877918839454651e-05,0.00433349609375,1.749440525600221e-05,7.828324669389986e-06,2.5322729925392196e-05
43,36.0,-760.4114990234375,-760.4088134765625,0.002685546875,7.212162017822266e-06,0.002685546875,1.9625209461082704e-05,3.32612535203225e-06,2.2951335267862305e-05
44,36.0,-760.3992309570312,-760.3997192382812,-0.00048828125,2.384185791015625e-07,0.00048828125,1.8975593775394373e-05,2.9351563171076123e-06,2.1910749637754634e-05
45,33.0,-598.8657836914062,-598.86474609375,0.00103759765625,1.0766088962554932e-06,0.00103759765625,2.2947773686610162e-05,5.396269443735946e-06,2.8344042220851406e-05
46,31.0,-541.2830200195312,-541.285888671875,-0.00286865234375,8.229166269302368e-06,0.00286865234375,2.5677551093394868e-05,2.746116297203116e-05,5.3138712246436626e-05
47,31.0,-541.29931640625,-541.2970581054688,0.00225830078125,5.09992241859436e-06,0.00225830078125,3.257453499827534e-05,3.6012941563967615e-05,6.858747656224295e-05
48,32.0,-588.3373413085938,-588.3362426757812,0.0010986328125,1.2069940567016602e-06,0.0010986328125,1.4180840480548795e-05,6.241723895072937e-06,2.0422565285116434e-05
49,32.0,-588.50439453125,-588.5061645507812,-0.00177001953125,3.1329691410064697e-06,0.00177001953125,1.456561585655436e-05,1.282431185245514e-06,1.5848047041799873e-05
51,33.0,-554.198486328125,-554.19921875,-0.000732421875,5.364418029785156e-07,0.000732421875,2.0427052731974982e-05,1.4646537238149904e-05,3.5073589970124885e-05
52,39.0,-726.5919799804688,-726.5877075195312,0.0042724609375,1.825392246246338e-05,0.0042724609375,2.0236844648025e-05,5.856528787262505e-06,2.6093373890034854e-05
53,32.0,-426.8111572265625,-426.811767578125,-0.0006103515625,3.725290298461914e-07,0.0006103515625,1.3400333955360111e-05,1.6279052488243906e-06,1.5028239431558177e-05
54,33.0,-475.8583679199219,-475.8590393066406,-0.00067138671875,4.507601261138916e-07,0.00067138671875,3.7475543649634346e-05,3.922870291717118e-06,4.139841257710941e-05
55,34.0,-521.8951416015625,-521.8910522460938,0.00408935546875,1.6722828149795532e-05,0.00408935546875,2.5385714252479374e-05,3.353469219291583e-05,5.89204064453952e-05
56,36.0,-606.7247314453125,-606.7175903320312,0.00714111328125,5.099549889564514e-05,0.00714111328125,1.971992605831474e-05,9.016692274599336e-06,2.8736618332914077e-05
57,36.0,-606.7223510742188,-606.7225952148438,-0.000244140625,5.960464477539063e-08,0.000244140625,1.2830641026084777e-05,6.910227057232987e-06,1.9740868083317764e-05
58,31.0,-410.2403259277344,-410.2435607910156,-0.00323486328125,1.0464340448379517e-05,0.00323486328125,5.3534011385636404e-05,3.3481093851150945e-05,8.701510523678735e-05
59,31.0,-410.5298156738281,-410.5308532714844,-0.00103759765625,1.0766088962554932e-06,0.00103759765625,1.3472565115080215e-05,2.448586656100815e-06,1.592115222592838e-05
