config_index,num_atoms,ref_energy,pred_energy,error,sq_error,rmse_e_atom,aleatoric_var,epistemic_var,total_var
0,22.0,-613.431884765625,-613.4292602539062,0.00262451171875,6.888061761856079e-06,0.00262451171875,1.8557824660092592e-05,3.594905138015747e-06,2.215272979810834e-05
1,22.0,-613.4613037109375,-613.4594116210938,0.00189208984375,3.5800039768218994e-06,0.00189208984375,1.3924283848609775e-05,3.5297125577926636e-06,1.745399640640244e-05
2,22.0,-613.3628540039062,-613.3640747070312,-0.001220703125,1.4901161193847656e-06,0.001220703125,1.6466974557260983e-05,6.735324859619141e-06,2.3202299416880123e-05
3,22.0,-613.360107421875,-613.361328125,-0.001220703125,1.4901161193847656e-06,0.001220703125,1.961667112482246e-05,7.358752100117272e-06,2.6975423679687083e-05
4,23.0,-675.4633178710938,-675.4680786132812,-0.0047607421875,2.2664666175842285e-05,0.0047607421875,2.6060015443363227e-05,8.608587449998595e-06,3.466860289336182e-05
5,21.0,-598.0172729492188,-598.01806640625,-0.00079345703125,6.295740604400635e-07,0.00079345703125,5.0731003284454346e-05,1.2705102562904358e-05,6.34361058473587e-05
6,21.0,-598.0442504882812,-598.0451049804688,-0.0008544921875,7.301568984985352e-07,0.0008544921875,4.5937264076201245e-05,1.2310966667428147e-05,5.8248231653124094e-05
7,22.0,-546.2505493164062,-546.256103515625,-0.00555419921875,3.084912896156311e-05,0.00555419921875,4.266423638910055e-05,1.3729184502153657e-05,5.639342271024361e-05
8,22.0,-546.4469604492188,-546.4474487304688,-0.00048828125,2.384185791015625e-07,0.00048828125,1.9720528143807314e-05,4.478171376831597e-06,2.4198699975386262e-05
9,23.0,-611.4703369140625,-611.4674682617188,0.00286865234375,8.229166269302368e-06,0.00286865234375,3.1998864869819954e-05,9.924359801516403e-06,4.1923223761841655e-05
10,24.0,-671.2671508789062,-671.2672729492188,-0.0001220703125,1.4901161193847656e-08,0.0001220703125,1.6414300262113102e-05,5.955062988505233e-06,2.2369364160113037e-05
11,24.0,-671.3659057617188,-671.3690185546875,-0.00311279296875,9.689480066299438e-06,0.00311279296875,1.818223790905904e-05,1.1765956514864229e-05,2.994819442392327e-05
12,24.0,-671.2924194335938,-671.29150390625,0.00091552734375,8.381903171539307e-07,0.00091552734375,1.6977717677946202e-05,4.179775714874268e-06,2.115749339282047e-05
13,24.0,-671.3661499023438,-671.365966796875,0.00018310546875,3.3527612686157227e-08,0.00018310546875,1.3124235920258798e-05,3.547966571204597e-06,1.6672202036716044e-05
14,26.0,-634.7310180664062,-634.7304077148438,0.0006103515625,3.725290298461914e-07,0.0006103515625,2.7801055693998933e-05,5.557015356316697e-06,3.335807195981033e-05
15,23.0,-547.572998046875,-547.5713500976562,0.00164794921875,2.7157366275787354e-06,0.00164794921875,1.9914301446988247e-05,9.60472971200943e-06,2.9519031158997677e-05
16,23.0,-547.5708618164062,-547.5712890625,-0.00042724609375,1.825392246246338e-07,0.00042724609375,1.4270347492129076e-05,5.161576154932845e-06,1.943192364706192e-05
17,23.0,-547.6123657226562,-547.6121215820312,0.000244140625,5.960464477539063e-08,0.000244140625,2.344909808016382e-05,4.300661203160416e-06,2.774976019281894e-05
18,23.0,-547.5577392578125,-547.5629272460938,-0.00518798828125,2.691522240638733e-05,0.00518798828125,0.00013786977797280997,2.2629834347753786e-05,0.00016049960686359555
19,24.0,-610.0440063476562,-610.0473022460938,-0.0032958984375,1.0862946510314941e-05,0.0032958984375,1.722044726193417e-05,1.980736897166935e-06,1.920118484122213e-05
20,24.0,-501.8388671875,-501.8467712402344,-0.007904052734375,6.247404962778091e-05,0.007904052734375,0.0001479266065871343,8.890665776561946e-05,0.00023683326435275376
21,24.0,-502.3294677734375,-502.3270568847656,0.002410888671875,5.812384188175201e-06,0.002410888671875,1.8738881408353336e-05,4.956964403390884e-06,2.369584581174422e-05
22,25.0,-563.898193359375,-563.8958740234375,0.0023193359375,5.379319190979004e-06,0.0023193359375,3.330795880174264e-05,5.804002285003662e-06,3.9111961086746305e-05
23,25.0,-564.0332641601562,-564.0319213867188,0.0013427734375,1.8030405044555664e-06,0.0013427734375,1.3557810234487988e-05,1.055747247846739e-06,1.4613557141274214e-05
24,26.0,-621.0407104492188,-621.0404663085938,0.000244140625,5.960464477539063e-08,0.000244140625,1.2989306014787871e-05,2.891942813221249e-06,1.5881249055382796e-05
25,26.0,-521.5416870117188,-521.5407104492188,0.0009765625,9.5367431640625e-07,0.0009765625,1.3089268577459734e-05,3.4561380743980408e-06,1.6545407561352476e-05
26,26.0,-521.5548095703125,-521.5556640625,-0.0008544921875,7.301568984985352e-07,0.0008544921875,1.3935939932707697e-05,4.23584151576506e-06,1.8171780538978055e-05
27,27.0,-577.9324951171875,-577.9338989257812,-0.00140380859375,1.9706785678863525e-06,0.00140380859375,1.5217973668768536e-05,1.094862795980589e-06,1.6312837033183314e-05
28,27.0,-577.93994140625,-577.9404296875,-0.00048828125,2.384185791015625e-07,0.00048828125,1.83345746336272e-05,9.702518582344055e-06,2.8037093215971254e-05
