uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,330,0.002808561405033096,0.002748219271195411,7.888017165841478e-06,7.552709162569836e-06,0.044395725567374075,1.8908509186335972e-06,8.88580781599832e-06
aleatoric,1,330,0.003376438862351192,0.0031993773750451306,1.1400339391195412e-05,1.023601558795067e-05,0.1137477559740458,8.88580781599832e-06,1.189359537665806e-05
aleatoric,2,330,0.004091028693305971,0.00350039538795626,1.6736515769452758e-05,1.2252767872025456e-05,0.3659375533967503,1.189359537665806e-05,1.3078864611370464e-05
aleatoric,3,330,0.004291610080039272,0.004024398699730974,1.8417917079094685e-05,1.619578489439635e-05,0.13720435281078466,1.3078864611370464e-05,2.1526904625667107e-05
aleatoric,4,330,0.005098228575262208,0.004643673135598743,2.5991934605620125e-05,2.1563700190281467e-05,0.2053559628571731,2.1526904625667107e-05,2.3215061760154263e-05
aleatoric,5,330,0.0061187982828993116,0.005157348740448284,3.7439692426811565e-05,2.6598246030603502e-05,0.4076000494067945,2.3215061760154263e-05,5.192600303527081e-05
aleatoric,6,330,0.006536148688684619,0.007205969957977261,4.2721239680593664e-05,5.192600303527081e-05,0.17726693403350915,5.192600303527081e-05,5.192600303527081e-05
aleatoric,7,330,0.007789118051468519,0.007525566067183286,6.067036001971274e-05,5.663414463154051e-05,0.07126823252000514,5.192600303527081e-05,6.631948053836823e-05
aleatoric,8,330,0.009972049314413998,0.009558362360965224,9.94417675291047e-05,9.13622910235167e-05,0.08843338334749441,6.631948053836823e-05,9.688655891030738e-05
aleatoric,9,330,0.010124298723879654,0.009843097018230967,0.0001025014246503512,9.688655891030737e-05,0.05795298959107213,9.688655891030738e-05,9.688655891030738e-05
aleatoric,10,330,0.00972414861174878,0.009843097018230967,9.455906622337573e-05,9.688655891030737e-05,0.02402286460690911,9.688655891030738e-05,9.688655891030738e-05
aleatoric,11,330,0.009621700256719023,0.009924146126124538,9.257711583014691e-05,9.848867633267268e-05,0.060022742945167074,9.688655891030738e-05,9.942824198376565e-05
aleatoric,12,330,0.012226131754590917,0.01209272617045609,0.00014947829768061638,0.00014623402623363362,0.02218547577839029,9.942824198376565e-05,0.00016907183453440666
aleatoric,13,330,0.015168041717002742,0.014365509854272504,0.00023006948952873548,0.00020636787337320042,0.11485128846907539,0.00017172616241490493,0.00020705735577004298
aleatoric,14,330,0.022942618448377056,0.026331566878521416,0.0005263637412678112,0.000693351414278046,0.24084132457436636,0.00020705735577004298,0.006072517484426498
epistemic,0,330,0.0025998506036543135,0.0026827086442267898,6.759223161321698e-06,7.19692566980914e-06,0.06081798375709083,5.381915605429447e-06,1.1232450393074793e-05
epistemic,1,330,0.003442471271676122,0.0033514848042434553,1.1850608456315415e-05,1.1232450393074793e-05,0.05503323332028589,1.1232450393074793e-05,1.1232450393074793e-05
epistemic,2,330,0.004375739006797074,0.0034147795516849817,1.9147091855605443e-05,1.1660719386605883e-05,0.6420163474303997,1.1232450393074793e-05,1.5014289494823007e-05
epistemic,3,330,0.005247476092957542,0.004713099901168302,2.7536005346160948e-05,2.2213310678392665e-05,0.2396173512733415,1.5014289494823007e-05,2.3122402090652315e-05
epistemic,4,330,0.0047313723844984775,0.00480857589007934,2.2385884640794812e-05,2.3122402090652315e-05,0.03185298166557075,2.3122402090652315e-05,2.3122402090652315e-05
epistemic,5,330,0.006172853515924317,0.005594091303214349,3.8104120529059206e-05,3.1293857508698414e-05,0.21762299577378139,2.3122402090652315e-05,3.63376396505729e-05
epistemic,6,330,0.006755095492115448,0.006028070972589233,4.563131510759845e-05,3.63376396505729e-05,0.2557589195774588,3.63376396505729e-05,3.63376396505729e-05
epistemic,7,330,0.006845135713706789,0.007287817490911694,4.6855882939064145e-05,5.3112283780838423e-05,0.11779574133152661,3.63376396505729e-05,6.461957429467514e-05
epistemic,8,330,0.009406290912760023,0.008173173166876189,8.847830873547179e-05,6.680075961574495e-05,0.32451051820999705,6.469558534557628e-05,6.682959188814877e-05
epistemic,9,330,0.008739179925711625,0.008174936812486612,7.637326577396103e-05,6.682959188814877e-05,0.1428061075366928,6.682959188814877e-05,6.682959188814877e-05
epistemic,10,330,0.009471356768438528,0.010161629689077621,8.970659903504632e-05,0.00010325871793794375,0.13124430724621192,6.682959188814877e-05,0.00012600784086518816
epistemic,11,330,0.011732542706473854,0.012022722293210811,0.0001376525583592328,0.00014454585133966824,0.04768931737955514,0.00012600784086518816,0.00016810849421855175
epistemic,12,330,0.01288021633351887,0.013619766561514765,0.0001658999727982463,0.00018549804119015573,0.10565108001231807,0.00016810849421855175,0.0001960096097635952
epistemic,13,330,0.014669212963802605,0.015145364063809365,0.00021518580897739438,0.00022938205262532815,0.061889077569298144,0.0001960096097635952,0.0005997664026789746
epistemic,14,330,0.02290611868329489,0.05770056567760838,0.0005246902731331912,0.003329355279515998,0.8424048414534278,0.0005997664026789746,0.14969304203987122
total,0,330,0.002584518560713596,0.0026298651364764962,6.679736190673077e-06,6.916190636054539e-06,0.03418853785620225,3.715566338868943e-06,8.09396330553752e-06
total,1,330,0.0030526135718661625,0.003061790165212196,9.318449619141492e-06,9.374559015790127e-06,0.0059852838468589875,8.09396330553752e-06,1.046016649173124e-05
total,2,330,0.0037815196512919307,0.003234218064962726,1.4299890873107043e-05,1.046016649173124e-05,0.3670806181155057,1.046016649173124e-05,1.046016649173124e-05
