uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,330,0.0027265456226366748,0.0036038117908123546,7.434051032319214e-06,1.298745942359815e-05,0.42759774719206595,8.909926691558212e-06,1.501863789599156e-05
aleatoric,1,330,0.003653839483801707,0.004086130156728603,1.3350542973388325e-05,1.6696459657726914e-05,0.2003967758991434,1.5025446373329032e-05,1.8179973267251626e-05
aleatoric,2,330,0.004069197188050083,0.004411993014454551,1.6558365755234703e-05,1.9465682359595755e-05,0.14935600769874213,1.8183183783548884e-05,2.0794997908524238e-05
aleatoric,3,330,0.004400463787934402,0.004743747545632389,1.936408154892199e-05,2.2503140776693313e-05,0.13949427144065474,2.0801046048291028e-05,2.421696081000846e-05
aleatoric,4,330,0.005766653211858237,0.005112179398760199,3.325428926583492e-05,2.613437820510819e-05,0.272434683727623,2.4218137696152553e-05,2.8079297408112325e-05
aleatoric,5,330,0.0062248360425305365,0.005476501782857248,3.874858375638723e-05,2.9992071777638612e-05,0.2919608903202636,2.8089691113564186e-05,3.2016174372984096e-05
aleatoric,6,330,0.007654305496741312,0.005850094327357389,5.858839263744427e-05,3.42236036389791e-05,0.7119293822908468,3.201825529686175e-05,3.6686491512227803e-05
aleatoric,7,330,0.008265034693483954,0.006262885963140336,6.831079848449338e-05,3.922374058730025e-05,0.7415676695203021,3.669306533993222e-05,4.1817420424195006e-05
aleatoric,8,330,0.007688962935061419,0.0066959035673535144,5.912015101674831e-05,4.483512458329752e-05,0.31861239521953744,4.1845691157504916e-05,4.809912934433669e-05
aleatoric,9,330,0.009988601496547391,0.007191297159287756,9.977215985682878e-05,5.1714754833180146e-05,0.9292784076550439,4.810369136976078e-05,5.5743515986250713e-05
aleatoric,10,330,0.009913169770237576,0.007782199400298183,9.82709348935521e-05,6.05626275060014e-05,0.6226332796379094,5.5773747590137646e-05,6.593584839720279e-05
aleatoric,11,330,0.010569532831716296,0.008553406826737872,0.00011171502428072871,7.316076834368604e-05,0.5269799212048599,6.598341133212671e-05,8.092064672382548e-05
aleatoric,12,330,0.014012742316311444,0.009547497271536077,0.00019635694722334543,9.115470414998885e-05,1.1541065713981526,8.107980102067813e-05,0.00010453119466546923
