config_index,num_atoms,ref_energy,pred_energy,error,sq_error,rmse_e_atom,aleatoric_var,epistemic_var,total_var
0,23.0,-675.6914672851562,-675.6902465820312,0.001220703125,1.4901161193847656e-06,0.001220703125,1.1497156265249941e-05,1.0093674518429907e-06,1.2506523489719257e-05
1,23.0,-675.6797485351562,-675.679443359375,0.00030517578125,9.313225746154785e-08,0.00030517578125,1.3107553058944177e-05,2.3033469460642664e-06,1.541090023238212e-05
2,23.0,-675.6441040039062,-675.6437377929688,0.0003662109375,1.341104507446289e-07,0.0003662109375,1.9453193090157583e-05,2.0931289327563718e-05,4.03844824177213e-05
3,22.0,-546.2666625976562,-546.2714233398438,-0.0047607421875,2.2664666175842285e-05,0.0047607421875,3.0891027563484386e-05,2.480391412973404e-05,5.5694941693218425e-05
4,22.0,-546.2915649414062,-546.2941284179688,-0.0025634765625,6.571412086486816e-06,0.0025634765625,3.1207506253849715e-05,1.306198555539595e-05,4.426949089975096e-05
5,22.0,-546.4491577148438,-546.4534301757812,-0.0042724609375,1.825392246246338e-05,0.0042724609375,2.9070744858472608e-05,3.1188130833470495e-06,3.218955680495128e-05
6,23.0,-611.5866088867188,-611.5805053710938,0.006103515625,3.725290298461914e-05,0.006103515625,2.2031133994460106e-05,3.0040741876291577e-06,2.5035207727341913e-05
7,23.0,-611.469970703125,-611.4683227539062,0.00164794921875,2.7157366275787354e-06,0.00164794921875,3.1966341339284554e-05,5.533173862204421e-06,3.7499514291994274e-05
8,24.0,-671.1885986328125,-671.1788940429688,0.00970458984375,9.417906403541565e-05,0.00970458984375,2.9376615202636458e-05,2.947114444395993e-05,5.884775964659639e-05
9,24.0,-671.4120483398438,-671.4069213867188,0.005126953125,2.6285648345947266e-05,0.005126953125,1.45251106005162e-05,6.742588993802201e-06,2.1267700503813103e-05
10,24.0,-671.1008911132812,-671.1007080078125,0.00018310546875,3.3527612686157227e-08,0.00018310546875,4.106008418602869e-05,4.153493864578195e-05,8.259502646978945e-05
11,24.0,-671.2671508789062,-671.2655639648438,0.0015869140625,2.518296241760254e-06,0.0015869140625,1.6591118765063584e-05,1.8082000678987242e-05,3.467311762506142e-05
12,24.0,-671.3786010742188,-671.3758544921875,0.00274658203125,7.543712854385376e-06,0.00274658203125,1.5944022379699163e-05,1.7384252714691684e-05,3.332827327540144e-05
13,24.0,-671.3659057617188,-671.37548828125,-0.00958251953125,9.182468056678772e-05,0.00958251953125,1.4608429410145618e-05,6.053037850506371e-06,2.066146771539934e-05
14,24.0,-671.2976684570312,-671.3025512695312,-0.0048828125,2.384185791015625e-05,0.0048828125,1.8890546925831586e-05,2.375505937379785e-05,4.2645606299629435e-05
15,24.0,-671.4110717773438,-671.402099609375,0.00897216796875,8.04997980594635e-05,0.00897216796875,2.6337758754380047e-05,8.764676749706268e-06,3.5102435504086316e-05
16,26.0,-634.608154296875,-634.6056518554688,0.00250244140625,6.2622129917144775e-06,0.00250244140625,3.5091779864160344e-05,1.118648833653424e-05,4.627827001968399e-05
17,26.0,-634.7310180664062,-634.7328491210938,-0.0018310546875,3.3527612686157227e-06,0.0018310546875,2.253638558613602e-05,1.0101683074026369e-05,3.263806866016239e-05
18,27.0,-686.67529296875,-686.675048828125,0.000244140625,5.960464477539063e-08,0.000244140625,2.721887176448945e-05,1.92385159607511e-05,4.6457389544229954e-05
19,27.0,-686.90234375,-686.9059448242188,-0.00360107421875,1.2967735528945923e-05,0.00360107421875,1.2995376891922206e-05,1.1732428902178071e-05,2.4727805794100277e-05
20,23.0,-547.5015258789062,-547.5072021484375,-0.00567626953125,3.2220035791397095e-05,0.00567626953125,2.154136927856598e-05,1.4854222172289155e-05,3.6395591450855136e-05
21,23.0,-547.3438720703125,-547.3507690429688,-0.00689697265625,4.756823182106018e-05,0.00689697265625,4.76304157928098e-05,7.99834742792882e-05,0.0001276138937100768
22,23.0,-547.4945678710938,-547.5051879882812,-0.0106201171875,0.00011278688907623291,0.0106201171875,2.5296223611803725e-05,8.648819857626222e-06,3.3945041650440544e-05
23,23.0,-547.5634765625,-547.5687866210938,-0.00531005859375,2.8196722269058228e-05,0.00531005859375,2.6070953026646748e-05,2.0307115846662782e-05,4.637806705432013e-05
24,23.0,-547.5577392578125,-547.5709838867188,-0.01324462890625,0.00017542019486427307,0.01324462890625,3.182235741405748e-05,1.3033859431743622e-05,4.48562168458011e-05
25,23.0,-547.5844116210938,-547.5875854492188,-0.003173828125,1.0073184967041016e-05,0.003173828125,2.235611464129761e-05,5.669519396178657e-06,2.8025633582728915e-05
26,24.0,-609.9899291992188,-609.9890747070312,0.0008544921875,7.301568984985352e-07,0.0008544921875,1.2429598427843302e-05,3.951229246013099e-06,1.638082721910905e-05
27,24.0,-610.0306396484375,-610.0291137695312,0.00152587890625,2.3283064365386963e-06,0.00152587890625,1.9303817680338398e-05,3.860145625367295e-06,2.3163964215200394e-05
28,25.0,-667.216552734375,-667.2213134765625,-0.0047607421875,2.2664666175842285e-05,0.0047607421875,3.05454850604292e-05,2.4944543838500977e-05,5.549002889893018e-05
29,25.0,-667.2506103515625,-667.2434692382812,0.00714111328125,5.099549889564514e-05,0.00714111328125,3.637691406765953e-05,1.7219408618984744e-05,5.359632268664427e-05
30,25.0,-667.5321655273438,-667.5274047851562,0.0047607421875,2.2664666175842285e-05,0.0047607421875,1.062404589902144e-05,6.449967713706428e-06,1.7074013157980517e-05
31,26.0,-720.2862548828125,-720.2802124023438,0.00604248046875,3.651157021522522e-05,0.00604248046875,2.7960422812611796e-05,6.258301436901093e-05,9.054343536263332e-05
32,26.0,-720.426025390625,-720.42529296875,0.000732421875,5.364418029785156e-07,0.000732421875,1.3648953427036759e-05,1.188870555779431e-05,2.5537658075336367e-05
33,24.0,-501.8388671875,-501.8316345214844,0.007232666015625,5.231145769357681e-05,0.007232666015625,0.0002866419090423733,0.00034621552913449705,0.0006328574381768703
34,24.0,-502.3092956542969,-502.3014831542969,0.0078125,6.103515625e-05,0.0078125,1.6784559193183668e-05,2.2613163309870288e-05,3.939772432204336e-05
35,28.0,-630.2786865234375,-630.2844848632812,-0.00579833984375,3.3620744943618774e-05,0.00579833984375,1.6718751794542186e-05,3.067217767238617e-05,4.739093128591776e-05
36,28.0,-630.2835083007812,-630.2860717773438,-0.0025634765625,6.571412086486816e-06,0.0025634765625,1.4983187611505855e-05,1.7189793652505614e-05,3.217298217350617e-05
37,33.0,-811.1493530273438,-811.1458129882812,0.0035400390625,1.2531876564025879e-05,0.0035400390625,1.9584387700888328e-05,1.5331246686400846e-05,3.491563256829977e-05
38,33.0,-811.15087890625,-811.1392822265625,0.0115966796875,0.0001344829797744751,0.0115966796875,2.5348796043545008e-05,2.5008246666402556e-05,5.035704089095816e-05
39,33.0,-811.1502685546875,-811.1405639648438,0.00970458984375,9.417906403541565e-05,0.00970458984375,2.3297279767575674e-05,2.0787865651072934e-05,4.4085143599659204e-05
40,25.0,-505.0633544921875,-505.0634765625,-0.0001220703125,1.4901161193847656e-08,0.0001220703125,1.1117903341073543e-05,4.82555469716317e-06,1.5943458492984064e-05
41,27.0,-618.9912719726562,-618.9868774414062,0.00439453125,1.9311904907226562e-05,0.00439453125,2.9006589102209546e-05,3.0715389584656805e-05,5.972197686787695e-05
42,27.0,-523.3838500976562,-523.3837890625,6.103515625e-05,3.725290298461914e-09,6.103515625e-05,1.2720079212158453e-05,8.725934094400145e-06,2.1446012397063896e-05
43,27.0,-523.4263305664062,-523.4252319335938,0.0010986328125,1.2069940567016602e-06,0.0010986328125,6.097746154409833e-05,1.9124336176901124e-05,8.010179590201005e-05
44,27.0,-523.4959106445312,-523.4926147460938,0.0032958984375,1.0862946510314941e-05,0.0032958984375,1.3877608580514789e-05,8.621066626801621e-06,2.249867611681111e-05
45,27.0,-523.4768676757812,-523.4780883789062,-0.001220703125,1.4901161193847656e-06,0.001220703125,9.928367035172414e-06,2.053752496067318e-06,1.1982119758613408e-05
46,28.0,-577.8419799804688,-577.8441772460938,-0.002197265625,4.827976226806641e-06,0.002197265625,1.39350177050801e-05,6.6323204919171985e-06,2.056733865174465e-05
47,30.0,-589.4883422851562,-589.4871215820312,0.001220703125,1.4901161193847656e-06,0.001220703125,1.6905936718103476e-05,6.969086825847626e-06,2.38750235439511e-05
48,30.0,-589.300048828125,-589.297119140625,0.0029296875,8.58306884765625e-06,0.0029296875,1.9967379557783715e-05,1.5036389413580764e-05,3.500376988085918e-05
49,33.0,-721.9227294921875,-721.9196166992188,0.00311279296875,9.689480066299438e-06,0.00311279296875,1.1555604942259379e-05,2.3743136807752308e-06,1.392991907778196e-05
50,33.0,-721.9004516601562,-721.90234375,-0.00189208984375,3.5800039768218994e-06,0.00189208984375,1.8502127204556018e-05,2.462286465743091e-05,4.312499368097633e-05
51,33.0,-721.8840942382812,-721.8857421875,-0.00164794921875,2.7157366275787354e-06,0.00164794921875,1.4630240002588835e-05,9.11559891392244e-06,2.3745838916511275e-05
52,33.0,-721.8826293945312,-721.8871459960938,-0.0045166015625,2.039968967437744e-05,0.0045166015625,1.668139339017216e-05,2.445392237859778e-05,4.1135317587759346e-05
53,33.0,-721.8817138671875,-721.8795776367188,0.00213623046875,4.563480615615845e-06,0.00213623046875,2.056263474514708e-05,6.946362645976478e-06,2.7508996936376207e-05
54,33.0,-721.8843994140625,-721.8820190429688,0.00238037109375,5.666166543960571e-06,0.00238037109375,1.4473181181529071e-05,5.774199962615967e-06,2.024738205363974e-05
55,28.0,-525.2767333984375,-525.278076171875,-0.0013427734375,1.8030405044555664e-06,0.0013427734375,7.474441645172192e-06,7.66310859035002e-06,1.5137549780774862e-05
56,28.0,-525.1666870117188,-525.1637573242188,0.0029296875,8.58306884765625e-06,0.0029296875,2.0778750695171766e-05,1.993570549529977e-05,4.0714454371482134e-05
57,28.0,-525.0992431640625,-525.0936889648438,0.00555419921875,3.084912896156311e-05,0.00555419921875,1.730567601043731e-05,1.0812468644871842e-05,2.8118145564803854e-05
58,28.0,-525.1292724609375,-525.1273803710938,0.00189208984375,3.5800039768218994e-06,0.00189208984375,1.852798231993802e-05,2.0721181499538943e-05,3.924916381947696e-05
59,28.0,-525.06884765625,-525.0673828125,0.00146484375,2.1457672119140625e-06,0.00146484375,3.243423634557985e-05,3.9892085624160245e-05,7.232632196974009e-05
60,28.0,-525.1221313476562,-525.1273803710938,-0.0052490234375,2.7552247047424316e-05,0.0052490234375,2.492675048415549e-05,1.867767423391342e-05,4.360442471806891e-05
