config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-525.8673706054688,-525.8676147460938,-0.000244140625,5.960464477539063e-08,1.2394634723023046e-05,3.2689422369003296e-06,1.5663576050428674e-05,1.2394634723023046e-05,3.2689422369003296e-06,1.5663576050428674e-05
1,20.0,-525.8223876953125,-525.8209838867188,0.00140380859375,1.9706785678863525e-06,2.3695980416960083e-05,4.106014785065781e-06,2.7801994292531163e-05,2.3695980416960083e-05,4.106014785065781e-06,2.7801994292531163e-05
2,22.0,-613.334716796875,-613.3326416015625,0.0020751953125,4.306435585021973e-06,2.2405838535632938e-05,1.6614609194220975e-05,3.902044772985391e-05,2.2405838535632938e-05,1.6614609194220975e-05,3.902044772985391e-05
3,22.0,-613.2947387695312,-613.2932739257812,0.00146484375,2.1457672119140625e-06,2.4027038307394832e-05,1.0739825484051835e-05,3.476686470094137e-05,2.4027038307394832e-05,1.0739825484051835e-05,3.476686470094137e-05
4,24.0,-732.6510620117188,-732.6472778320312,0.0037841796875,1.4320015907287598e-05,1.3660037438967265e-05,5.995109859213699e-06,1.9655148207675666e-05,1.3660037438967265e-05,5.995109859213699e-06,1.9655148207675666e-05
5,24.0,-732.665283203125,-732.6591186523438,0.00616455078125,3.8001686334609985e-05,1.3913570910517592e-05,2.3851171135902405e-06,1.629868711461313e-05,1.3913570910517592e-05,2.3851171135902405e-06,1.629868711461313e-05
6,24.0,-686.2988891601562,-686.2978515625,0.00103759765625,1.0766088962554932e-06,1.5478351997444406e-05,8.844397598295473e-06,2.432274959573988e-05,1.5478351997444406e-05,8.844397598295473e-06,2.432274959573988e-05
7,21.0,-598.0172729492188,-598.0230712890625,-0.00579833984375,3.3620744943618774e-05,4.275732862879522e-05,2.544484959798865e-05,6.820217822678387e-05,4.275732862879522e-05,2.544484959798865e-05,6.820217822678387e-05
8,22.0,-664.0328369140625,-664.0316162109375,0.001220703125,1.4901161193847656e-06,1.3291355571709573e-05,4.596635790221626e-06,1.788799090718385e-05,1.3291355571709573e-05,4.596635790221626e-06,1.788799090718385e-05
9,22.0,-663.795166015625,-663.79052734375,0.004638671875,2.1517276763916016e-05,3.78427685063798e-05,7.097981870174408e-05,0.00010882258357014507,3.78427685063798e-05,7.097981870174408e-05,0.00010882258357014507
10,22.0,-664.0331420898438,-664.03369140625,-0.00054931640625,3.0174851417541504e-07,2.01285529328743e-05,4.733353762276238e-06,2.4861907149897888e-05,2.01285529328743e-05,4.733353762276238e-06,2.4861907149897888e-05
11,23.0,-723.796875,-723.7964477539062,0.00042724609375,1.825392246246338e-07,4.258496846887283e-05,0.00010620393004501238,0.0001487888948759064,4.258496846887283e-05,0.00010620393004501238,0.0001487888948759064
12,23.0,-724.0311889648438,-724.0274658203125,0.00372314453125,1.3861805200576782e-05,1.6777181372162886e-05,1.258607971976744e-05,2.9363262001425028e-05,1.6777181372162886e-05,1.258607971976744e-05,2.9363262001425028e-05
13,25.0,-726.2811889648438,-726.27685546875,0.00433349609375,1.877918839454651e-05,1.2974764104001224e-05,4.509836344368523e-06,1.7484600903117098e-05,1.2974764104001224e-05,4.509836344368523e-06,1.7484600903117098e-05
14,24.0,-624.9747924804688,-624.9767456054688,-0.001953125,3.814697265625e-06,1.2227156730659772e-05,4.5554711505246814e-06,1.6782627426437102e-05,1.2227156730659772e-05,4.5554711505246814e-06,1.6782627426437102e-05
15,24.0,-563.6398315429688,-563.6470947265625,-0.00726318359375,5.2753835916519165e-05,1.8615997760207392e-05,2.0288116502342746e-05,3.890411608153954e-05,1.8615997760207392e-05,2.0288116502342746e-05,3.890411608153954e-05
16,24.0,-563.4873657226562,-563.48876953125,-0.00140380859375,1.9706785678863525e-06,2.0806764950975776e-05,5.289912223815918e-06,2.6096677174791694e-05,2.0806764950975776e-05,5.289912223815918e-06,2.6096677174791694e-05
17,25.0,-622.9207153320312,-622.9174194335938,0.0032958984375,1.0862946510314941e-05,1.2935771337652113e-05,8.092820280580781e-06,2.1028590708738193e-05,1.2935771337652113e-05,8.092820280580781e-06,2.1028590708738193e-05
18,25.0,-622.7181396484375,-622.7147827148438,0.00335693359375,1.126900315284729e-05,3.371518323547207e-05,1.0093115633935668e-05,4.380830068839714e-05,3.371518323547207e-05,1.0093115633935668e-05,4.380830068839714e-05
19,26.0,-677.3441162109375,-677.3439331054688,0.00018310546875,3.3527612686157227e-08,3.603835284593515e-05,1.8601305782794952e-05,5.46396586287301e-05,3.603835284593515e-05,1.8601305782794952e-05,5.46396586287301e-05
20,25.0,-563.91357421875,-563.9119262695312,0.00164794921875,2.7157366275787354e-06,4.178966992185451e-05,5.9092977608088404e-05,0.00010088265116792172,4.178966992185451e-05,5.9092977608088404e-05,0.00010088265116792172
21,26.0,-621.039794921875,-621.0433349609375,-0.0035400390625,1.2531876564025879e-05,1.2577368579513859e-05,2.6086345314979553e-06,1.5186003111011814e-05,1.2577368579513859e-05,2.6086345314979553e-06,1.5186003111011814e-05
22,27.0,-673.6312255859375,-673.64306640625,-0.0118408203125,0.0001402050256729126,1.9377665012143552e-05,1.7582997315912507e-05,3.696066414704546e-05,1.9377665012143552e-05,1.7582997315912507e-05,3.696066414704546e-05
23,27.0,-673.496337890625,-673.5037231445312,-0.00738525390625,5.4541975259780884e-05,3.3401185646653175e-05,3.137942258035764e-05,6.478060822701082e-05,3.3401185646653175e-05,3.137942258035764e-05,6.478060822701082e-05
24,27.0,-673.7550659179688,-673.7555541992188,-0.00048828125,2.384185791015625e-07,1.6570242223679088e-05,1.7807818949222565e-05,3.4378062991891056e-05,1.6570242223679088e-05,1.7807818949222565e-05,3.4378062991891056e-05
25,27.0,-673.6455688476562,-673.6485595703125,-0.00299072265625,8.944422006607056e-06,2.400436824245844e-05,1.0725483662099577e-05,3.472985190455802e-05,2.400436824245844e-05,1.0725483662099577e-05,3.472985190455802e-05
26,26.0,-577.8402099609375,-577.8430786132812,-0.00286865234375,8.229166269302368e-06,4.653118594433181e-05,2.446416692691855e-05,7.099535287125036e-05,4.653118594433181e-05,2.446416692691855e-05,7.099535287125036e-05
27,26.0,-521.523193359375,-521.5221557617188,0.00103759765625,1.0766088962554932e-06,1.2128954949730542e-05,3.127008767478401e-06,1.5255964171956293e-05,1.2128954949730542e-05,3.127008767478401e-06,1.5255964171956293e-05
28,27.0,-577.8211059570312,-577.8253173828125,-0.00421142578125,1.7736107110977173e-05,3.8452999433502555e-05,3.0737741326447576e-05,6.919074075995013e-05,3.8452999433502555e-05,3.0737741326447576e-05,6.919074075995013e-05
29,28.0,-590.5646362304688,-590.5689697265625,-0.00433349609375,1.877918839454651e-05,1.2799891010217834e-05,6.679073067061836e-06,1.947896453202702e-05,1.2799891010217834e-05,6.679073067061836e-06,1.947896453202702e-05
30,28.0,-590.5864868164062,-590.5836791992188,0.0028076171875,7.88271427154541e-06,1.4467989785771351e-05,5.893409252166748e-06,2.03613999474328e-05,1.4467989785771351e-05,5.893409252166748e-06,2.03613999474328e-05
31,26.0,-564.4071655273438,-564.4080200195312,-0.0008544921875,7.301568984985352e-07,1.2429221897036768e-05,7.216446192614967e-06,1.9645667634904385e-05,1.2429221897036768e-05,7.216446192614967e-06,1.9645667634904385e-05
32,28.0,-669.8681640625,-669.8726806640625,-0.0045166015625,2.039968967437744e-05,4.5848650188418105e-05,5.886946019018069e-05,0.0001047181140165776,4.5848650188418105e-05,5.886946019018069e-05,0.0001047181140165776
33,26.0,-464.8341064453125,-464.8226623535156,0.011444091796875,0.00013096723705530167,4.901058491668664e-05,6.41548540443182e-05,0.00011316544259898365,4.901058491668664e-05,6.41548540443182e-05,0.00011316544259898365
34,28.0,-538.0162963867188,-538.0193481445312,-0.0030517578125,9.313225746154785e-06,1.392905232933117e-05,7.050298336253036e-06,2.0979350665584207e-05,1.392905232933117e-05,7.050298336253036e-06,2.0979350665584207e-05
35,34.0,-771.3302001953125,-771.33740234375,-0.0072021484375,5.187094211578369e-05,1.6329098798451014e-05,1.0815262612595689e-05,2.7144360501552e-05,1.6329098798451014e-05,1.0815262612595689e-05,2.7144360501552e-05
36,34.0,-771.37255859375,-771.3718872070312,0.00067138671875,4.507601261138916e-07,1.3028561625105795e-05,8.029118362173904e-06,2.1057679987279698e-05,1.3028561625105795e-05,8.029118362173904e-06,2.1057679987279698e-05
37,34.0,-771.3469848632812,-771.3433837890625,0.00360107421875,1.2967735528945923e-05,1.7278993254876696e-05,1.575704663991928e-05,3.303604171378538e-05,1.7278993254876696e-05,1.575704663991928e-05,3.303604171378538e-05
38,26.0,-408.4088134765625,-408.4117431640625,-0.0029296875,8.58306884765625e-06,7.054049092403147e-06,4.303222340240609e-06,1.1357271432643756e-05,7.054049092403147e-06,4.303222340240609e-06,1.1357271432643756e-05
39,26.0,-408.3577575683594,-408.3617858886719,-0.0040283203125,1.6227364540100098e-05,9.381300515087787e-06,4.231464117765427e-06,1.3612764632853214e-05,9.381300515087787e-06,4.231464117765427e-06,1.3612764632853214e-05
40,26.0,-408.3564453125,-408.35906982421875,-0.00262451171875,6.888061761856079e-06,9.295821655541658e-06,3.486359446469578e-06,1.2782181329384912e-05,9.295821655541658e-06,3.486359446469578e-06,1.2782181329384912e-05
41,26.0,-408.2594909667969,-408.2618713378906,-0.00238037109375,5.666166543960571e-06,2.27411092055263e-05,8.749309927225113e-06,3.149041731376201e-05,2.27411092055263e-05,8.749309927225113e-06,3.149041731376201e-05
42,28.0,-485.35296630859375,-485.3497009277344,0.003265380859375,1.0662712156772614e-05,0.00023618413251824677,0.0004235000815242529,0.0006596841849386692,0.00023618413251824677,0.0004235000815242529,0.0006596841849386692
43,28.0,-485.2471618652344,-485.2525939941406,-0.00543212890625,2.950802445411682e-05,2.706403029151261e-05,6.44107331027044e-06,3.350510451127775e-05,2.706403029151261e-05,6.44107331027044e-06,3.350510451127775e-05
44,29.0,-538.9277954101562,-538.9371337890625,-0.00933837890625,8.720532059669495e-05,2.879842031688895e-05,4.957299825036898e-05,7.837142038624734e-05,2.879842031688895e-05,4.957299825036898e-05,7.837142038624734e-05
45,31.0,-636.452392578125,-636.4480590820312,0.00433349609375,1.877918839454651e-05,1.351053379039513e-05,1.37774277391145e-05,2.7287962439004332e-05,1.351053379039513e-05,1.37774277391145e-05,2.7287962439004332e-05
46,31.0,-636.4379272460938,-636.4366455078125,0.00128173828125,1.642853021621704e-06,1.745500776451081e-05,1.9670464098453522e-05,3.712547186296433e-05,1.745500776451081e-05,1.9670464098453522e-05,3.712547186296433e-05
47,35.0,-797.4920654296875,-797.4962768554688,-0.00421142578125,1.7736107110977173e-05,1.6258916730294004e-05,2.030264658969827e-05,3.6561563319992274e-05,1.6258916730294004e-05,2.030264658969827e-05,3.6561563319992274e-05
48,35.0,-797.5552978515625,-797.5548706054688,0.00042724609375,1.825392246246338e-07,2.1099045625305735e-05,1.3755447980656754e-05,3.485449269646779e-05,2.1099045625305735e-05,1.3755447980656754e-05,3.485449269646779e-05
49,30.0,-552.3733520507812,-552.3720092773438,0.0013427734375,1.8030405044555664e-06,1.4322841707326006e-05,5.7702882259036414e-06,2.0093129933229648e-05,1.4322841707326006e-05,5.7702882259036414e-06,2.0093129933229648e-05
50,34.0,-728.0247802734375,-728.0204467773438,0.00433349609375,1.877918839454651e-05,2.0206833141855896e-05,1.0220147487416398e-05,3.0426981538766995e-05,2.0206833141855896e-05,1.0220147487416398e-05,3.0426981538766995e-05
51,27.0,-468.0762939453125,-468.0907897949219,-0.014495849609375,0.00021012965589761734,0.019277632236480713,0.012878703884780407,0.032156337052583694,0.019277632236480713,0.012878703884780407,0.032156337052583694
52,28.0,-432.74212646484375,-432.7466735839844,-0.004547119140625,2.067629247903824e-05,2.7772750399890356e-05,1.1041806828870904e-05,3.881455631926656e-05,2.7772750399890356e-05,1.1041806828870904e-05,3.881455631926656e-05
53,28.0,-432.83740234375,-432.8426818847656,-0.005279541015625,2.7873553335666656e-05,2.3703809347352944e-05,6.9274565248633735e-06,3.0631264962721616e-05,2.3703809347352944e-05,6.9274565248633735e-06,3.0631264962721616e-05
54,30.0,-503.2449035644531,-503.2463073730469,-0.00140380859375,1.9706785678863525e-06,1.2817195056413766e-05,5.0523785830591805e-06,1.7869573639472947e-05,1.2817195056413766e-05,5.0523785830591805e-06,1.7869573639472947e-05
