uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,330,0.002776553963870728,0.002034862487935411,7.709251914286252e-06,4.14066534480669e-06,0.8618389249822758,2.384185791015625e-07,7.745410714830672e-06
aleatoric,1,330,0.003820611611310056,0.00301204934278808,1.4597073084477222e-05,9.072441243390105e-06,0.6089465550534362,7.745410714830672e-06,1.0376511555578974e-05
aleatoric,2,330,0.0042723919090870855,0.003225067723346876,1.8253332624832788e-05,1.0401061820173803e-05,0.754948960059904,1.0376511555578974e-05,1.0916807999213537e-05
aleatoric,3,330,0.005089189184763914,0.00424736938622915,2.5899846558317994e-05,1.8040146703076587e-05,0.43567826717844843,1.0916807999213537e-05,2.5630202233506163e-05
aleatoric,4,330,0.005548392457449523,0.005062627996752889,3.078465886188276e-05,2.5630202233506163e-05,0.20110869908151618,2.5630202233506163e-05,2.5630202233506163e-05
aleatoric,5,330,0.006072878847307304,0.005062627996752889,3.687985749407248e-05,2.5630202233506163e-05,0.4389218297255468,2.5630202233506163e-05,2.5630202233506163e-05
aleatoric,6,330,0.006001662540495084,0.005221766882903499,3.601995324998191e-05,2.7266849379387723e-05,0.3210163282455018,2.5630202233506163e-05,3.074756306078699e-05
aleatoric,7,330,0.0069931616604217844,0.00658188711112976,4.8904310008793164e-05,4.332123794365605e-05,0.12887609704040545,3.074756306078699e-05,4.9398171112817875e-05
aleatoric,8,330,0.009172089209459392,0.008164146007031112,8.412722046628142e-05,6.665328002412205e-05,0.26216174861665453,4.9398171112817875e-05,6.791004078819394e-05
aleatoric,9,330,0.008809654920608758,0.008297583658016807,7.761001982020609e-05,6.884989456178756e-05,0.12723512961311761,6.791004078819394e-05,7.851558559118434e-05
aleatoric,10,330,0.010112769859660701,0.009710214283622157,0.00010226811423446193,9.428826143385975e-05,0.08463251606563763,7.851558559118434e-05,0.00010815584766013281
aleatoric,11,330,0.01461591993478315,0.011763470164413387,0.0002136251155399915,0.00013837923030904394,0.5437657447790398,0.00010815584766013281,0.00015424694735687096
aleatoric,12,330,0.012726756704516893,0.012419619452981277,0.00016197033621596568,0.00015424694735687096,0.05007158320757967,0.00015424694735687096,0.00015424694735687096
aleatoric,13,330,0.015513439798258838,0.012544700445163643,0.00024066681437420122,0.0001573695092588889,0.5293103188005738,0.00015424694735687096,0.0001632401254028082
aleatoric,14,330,0.05063426418618533,0.028004079218745568,0.0025638287096764103,0.0007842284528897774,2.269237044676258,0.0001632401254028082,0.00835203337607264
epistemic,0,330,0.0033526781922011656,0.002880536072075375,1.1240451060461276e-05,8.29748806252743e-06,0.3546811969787171,4.033128229471354e-06,9.817095139087774e-06
epistemic,1,330,0.0036376828218082327,0.003511088355421938,1.3232736312078708e-05,1.232774143957953e-05,0.07341124705889725,9.817095139087774e-06,1.935907557868121e-05
epistemic,2,330,0.004154010289073802,0.004402903360289543,1.725580148173101e-05,1.9385558000048943e-05,0.10986304950894663,1.935907557868121e-05,1.9452243990509223e-05
epistemic,3,330,0.004765821665213147,0.004410469815168132,2.2713056144615013e-05,1.945224399050922e-05,0.16763167044875382,1.9452243990509223e-05,1.9452243990509223e-05
epistemic,4,330,0.004282004196822147,0.004554223857511918,1.8335559941602477e-05,2.0740954944330735e-05,0.1159732041839154,1.9452243990509223e-05,3.411688587882302e-05
epistemic,5,330,0.005942675627302671,0.006314875734475821,3.53153936113372e-05,3.987765554187153e-05,0.11440647321264805,3.411688587882302e-05,4.016236729315809e-05
epistemic,6,330,0.005882623097208732,0.006337378582123534,3.460525450381366e-05,4.0162367293158086e-05,0.13836616623669784,4.016236729315809e-05,4.016236729315809e-05
epistemic,7,330,0.006601173676026476,0.006410183256764713,4.35754939010649e-05,4.109044938530666e-05,0.06047742365764577,4.016236729315809e-05,4.525659115690934e-05
epistemic,8,330,0.007759023197588016,0.008500943471295931,6.020244098070896e-05,7.226603990216892e-05,0.1669331671943172,4.525659115690934e-05,8.12820071587339e-05
epistemic,9,330,0.009579696931673752,0.009687082936390003,9.177059330271952e-05,9.383957581649837e-05,0.0220480804157162,8.12820071587339e-05,0.00010036640220655586
epistemic,10,330,0.010420179406947378,0.010040355446901184,0.00010858013887297023,0.00010080873750011825,0.07709055351320972,0.00010036640220655586,0.00010494599419255411
epistemic,11,330,0.010993955128977743,0.010244315213451512,0.00012086704937797604,0.0001049459941925541,0.15170712620255059,0.00010494599419255411,0.00010494599419255411
epistemic,12,330,0.01615864093907075,0.012925947860589615,0.0002611016769978133,0.00016708012809468124,0.5627332823796481,0.00010494599419255411,0.0002073169014126551
epistemic,13,330,0.01576005115233978,0.014398503443506034,0.00024837921232436644,0.0002073169014126551,0.19806542849093917,0.0002073169014126551,0.0002073169014126551
epistemic,14,330,0.05075401220899589,0.06385689056486252,0.002575969755310904,0.004077702472612828,0.3682791295804556,0.0002073169014126551,0.01648547351360321
total,0,330,0.0028235990830651737,0.0023667412081898004,7.97271178188649e-06,5.6014639465437155e-06,0.4233264478665281,1.8549390963067176e-06,7.4133470964928465e-06
total,1,330,0.003472578898567446,0.0029513241161148993,1.2058804206775897e-05,8.710314038361392e-06,0.38442817947404706,7.4133470964928465e-06,1.0475816354185053e-05
total,2,330,0.003846790308403074,0.003625604344853486,1.4797795676823818e-05,1.3145006865420476e-05,0.12573510446397732,1.0529724820551127e-05,1.4164704172050251e-05
total,3,330,0.004392759691729378,0.004030251975201465,1.9296337709282383e-05,1.6242930983615308e-05,0.1879837283521755,1.4164704172050251e-05,1.901535110085526e-05
total,4,330,0.005403080580256146,0.00486216747186456,2.919327975674109e-05,2.3640672524457812e-05,0.23487518075210195,1.9288734331071583e-05,2.3674723061342392e-05
total,5,330,0.005337687714473518,0.0053464372807533415,2.8490910137241536e-05,2.8584391597029183e-05,0.0032703673076380233,2.3674723061342392e-05,4.323129751929292e-05
total,6,330,0.006112120833343941,0.0065750511419526555,3.735802108139703e-05,4.323129751929292e-05,0.13585704743825497,4.323129751929292e-05,4.323129751929292e-05
total,7,330,0.007336231552828152,0.007139765672946309,5.382029339671135e-05,5.097625386458247e-05,0.05579145811075139,4.323129751929292e-05,5.9639735679541316e-05
total,8,330,0.00787958580694012,0.008098522763861044,6.208787248893218e-05,6.558607095677554e-05,0.05333752147081415,5.9639735679541316e-05,6.76490852366323e-05
total,9,330,0.008240563794116524,0.008389331782678054,6.790689164490411e-05,7.038088775985214e-05,0.03515153323143059,6.76490852366323e-05,7.1358940515079e-05
total,10,330,0.010333924236740805,0.009700672963033155,0.00010678999013069904,9.410305593572247e-05,0.13481957699272204,7.1358940515079e-05,0.00010476756744600576
total,11,330,0.010374769660809873,0.010380993605701693,0.00010763584551486102,0.00010776502824161946,0.0011987444244788373,0.00010476756744600576,0.0001294966190098188
total,12,330,0.013141391458509264,0.01137965812359136,0.00017269616946578026,0.00012949661900981882,0.3335959717425976,0.0001294966190098188,0.0001294966190098188
total,13,330,0.016165500809942772,0.013393765773394113,0.0002613234164362604,0.00017939296159254358,0.4567094166704601,0.0001294966190098188,0.0003527042766412099
total,14,330,0.0517852901381837,0.030602032694149735,0.002681716274695866,0.0009364844050138094,1.8635995007907489,0.0003527042766412099,0.007270064402293686
