config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,23.0,-675.6914672851562,-675.6902465820312,0.001220703125,1.4901161193847656e-06,3.5553036824516626e-06,4.033128229471354e-06,2.620276063680649e-06,1.1497157174744643e-05,1.0093674518429907e-06,1.2506524399213959e-05
1,23.0,-675.6797485351562,-675.679443359375,0.00030517578125,9.313225746154785e-08,5.449295382608067e-06,7.44790679985477e-06,4.663169559288084e-06,1.3107553058944177e-05,2.3033469460642664e-06,1.541090023238212e-05
2,23.0,-675.6441040039062,-675.6437377929688,0.0003662109375,1.341104507446289e-07,1.5507638454437257e-05,4.016236729315809e-05,2.3674723061342392e-05,1.945319127116818e-05,2.0931289327563718e-05,4.03844824177213e-05
3,22.0,-546.2666625976562,-546.2714233398438,-0.0047607421875,2.2664666175842285e-05,2.5630202233506163e-05,4.0993316856501756e-05,4.323129751929292e-05,3.0891027563484386e-05,2.480391412973404e-05,5.5694941693218425e-05
4,22.0,-546.2915649414062,-546.2941284179688,-0.0025634765625,6.571412086486816e-06,3.074756306078699e-05,1.9452243990509223e-05,2.3674723061342392e-05,3.1207506253849715e-05,1.306198555539595e-05,4.426949089975096e-05
5,22.0,-546.4491577148438,-546.4534301757812,-0.0042724609375,1.825392246246338e-05,2.5630202233506163e-05,7.44790679985477e-06,1.6294941870552122e-05,2.9070737582514994e-05,3.1188130833470495e-06,3.2189549528993666e-05
6,23.0,-611.5866088867188,-611.5805053710938,0.006103515625,3.725290298461914e-05,2.5630202233506163e-05,7.44790679985477e-06,1.2167552042575109e-05,2.2031133994460106e-05,3.0040741876291577e-06,2.5035207727341913e-05
7,23.0,-611.469970703125,-611.4683227539062,0.00164794921875,2.7157366275787354e-06,3.074756306078699e-05,1.1384368259856042e-05,2.3674723061342392e-05,3.1966341339284554e-05,5.533173862204421e-06,3.7499514291994274e-05
8,24.0,-671.1885986328125,-671.1788940429688,0.00970458984375,9.417906403541565e-05,2.5630202233506163e-05,7.556906590859096e-05,4.323129751929292e-05,2.9376615202636458e-05,2.947114444395993e-05,5.884775964659639e-05
9,24.0,-671.4120483398438,-671.4069213867188,0.005126953125,2.6285648345947266e-05,8.641298682916732e-06,1.935907557868121e-05,7.4133470964928465e-06,1.45251106005162e-05,6.742588993802201e-06,2.1267700503813103e-05
10,24.0,-671.1008911132812,-671.1007080078125,0.00018310546875,3.3527612686157227e-08,6.791004078819394e-05,0.00010036640220655586,6.76490852366323e-05,4.106008054804988e-05,4.153493864578195e-05,8.259501919383183e-05
