epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,magnitude_aleatoric,magnitude_epistemic,magnitude_total,rmse_e_atom,nll_energy
0,0.18448771856942187,0.15410724653657124,0.18430852995779148,0.43307918107212184,0.42180049101404804,0.447556722869587,0.2356293822169665,0.24969737005131068,0.22843975865095223,0.25863100600126354,1.5884003129150084,0.35514792280802593,0.0009348199004267371,9.577831279401607e-05,0.0010305982312223932,0.021278144280886698,-3.2950681615829467
5,0.6879353880011675,0.17443340641494057,0.679820619458736,0.4525752628190572,0.5185312749250964,0.5123535210973899,0.22359569583262204,0.20037418824569836,0.19717981895160414,1.2774221605551872,1.5253027636614924,0.19830068078393656,0.00030586370950932176,6.401400741763155e-05,0.0003698777172670816,0.01780464588063545,-3.6148524613678457
10,0.9308498106993359,0.10264367423306152,0.9099299587697395,0.424608036885064,0.508422585123264,0.5011558296105808,0.23899544014112553,0.20957757839630503,0.2056089041531225,4.068114857829414,1.2664149096384738,0.22966379018330565,0.00020112730205764818,6.503606382296993e-05,0.0002661633673703818,0.017405621607117512,-3.6523097304701806
15,0.9598664660862462,0.11396469057258479,0.950854107208112,0.43903425641155397,0.5228861714349523,0.5244946091688105,0.23502027001362094,0.20181265544405502,0.19563124321000408,7.184289511869201,1.2426601701075142,0.2912921160988423,0.00018534940759170696,6.592930984750751e-05,0.0002512787161930646,0.017272660536763147,-3.6616184118628503
20,0.9632204225423474,0.08396833712190452,0.9514297243311461,0.4193707276244012,0.509870139979385,0.5119778369767348,0.24107565968007044,0.2050563242450094,0.1985720926283199,10.958404660965122,1.1252584419706675,0.30775931071148105,0.0001769056327574276,7.083052353753487e-05,0.00024773615548951967,0.017253289311977713,-3.6607625682234763
25,0.9646875265427853,0.060885327134806926,0.9478274100173573,0.41970361499277886,0.5263876317940608,0.5235308791841177,0.24312372364021817,0.19987420268307013,0.19687704151253838,13.768588612743786,1.0708763903868899,0.3771897991989132,0.00017269244023867714,7.510027457685737e-05,0.00024779271443879907,0.017339124096218905,-3.650530814254284
30,0.9618143497030985,0.08652137595472613,0.9511603142185555,0.4147413446989462,0.5194969323560052,0.5182018390317528,0.24387648314304355,0.20204664579080994,0.19709103768867509,17.36553524685793,1.1202169861728715,0.4034895542195047,0.00017348811491990545,7.00903478550515e-05,0.00024357845984409324,0.01725229098362638,-3.647455879366398
35,0.9595008846338273,0.08335679560132883,0.9407995128938165,0.4118522170784865,0.5270212179004072,0.521534596742623,0.24592859337985384,0.19969220245985578,0.19732685913357711,20.832221284071988,1.1165016031948387,0.4269968708228806,0.00017636716647538152,7.080068759195229e-05,0.0002471678537330945,0.017286461188202228,-3.6472248961806297
40,0.9551030014228573,0.07704291205516761,0.9283409555061096,0.41848459287415163,0.5292066044397719,0.5277158980329882,0.24452500215692075,0.2011794051641583,0.19696248742014733,24.164963147858792,1.1760500732570072,0.4781754848104157,0.00017637944297869127,7.209040287937683e-05,0.00024846984163416435,0.017348618771767188,-3.6314779885053636
45,0.9636844745149903,0.08344917297853659,0.9481143617500358,0.41578868079719605,0.5339475061438477,0.531723069838339,0.24348777385691592,0.1973778076055,0.19363676479830605,27.15957692177285,1.1073431297867458,0.47676981200607765,0.00016755314993121146,7.237444077442773e-05,0.0002399275902684053,0.017357390813111856,-3.6369413442730902
50,0.9630390675691937,0.08281210186507051,0.948229848524665,0.4214585455600367,0.5257444548699344,0.5266799296616528,0.24265966498226366,0.1996320553746035,0.1951150946121507,30.473546587679042,1.0996093765677508,0.4922808826060967,0.00016637410962415516,7.148238438600174e-05,0.00023785649231939488,0.017297427464691158,-3.6331302720427514
55,0.9636992124461135,0.07730436333155354,0.949186663731973,0.4125863571685041,0.5353733721063989,0.5332367175151309,0.2457614627446678,0.19676499000665398,0.19403087675312622,41.76052048600209,1.1205448037087642,0.544138320559137,0.00016407993107545735,7.22153226165517e-05,0.00023629525484578835,0.017280929489110343,-3.6247275351047517
60,0.9578713637124453,0.08715447876610086,0.9349939244569506,0.4139325644825015,0.5319039915845593,0.5295218652681369,0.2443386525505345,0.19690364358818152,0.1945096203014349,44.13888603551857,1.146037281307906,0.5652259009091302,0.00017024095186609145,7.13735404834324e-05,0.00024161449117837038,0.01733615455877279,-3.615649844419956
65,0.9523688922692096,0.07127309106736229,0.9148018718409899,0.41323750358123323,0.5329221509397495,0.531881747585476,0.2447426509398052,0.19573810645713094,0.19339363123350706,48.46713222826654,1.157656002049151,0.5801175929584148,0.00017319848643583384,7.388946022468872e-05,0.0002470879450167729,0.017316679598911616,-3.61482596745491
70,0.9641744861365553,0.07856212463702322,0.9448485793520204,0.4115317757555645,0.5373297167275709,0.5355284576848854,0.24506563901166661,0.19490128483183367,0.1928486297112973,51.83753607736143,1.171960162172833,0.6001560425731406,0.00016281206794985223,7.317344854174621e-05,0.00023598551538686366,0.017350987016440746,-3.6110793512582777
75,0.9643265944785957,0.07384534849960378,0.9517657284882786,0.40940567945412043,0.5341222020185208,0.5327481959880175,0.24654638893445524,0.1968536631421792,0.19388121000034253,53.68507440622861,1.1152841602355406,0.5697851064771499,0.000159997999226087,7.28651072011246e-05,0.0002328631021388901,0.01729076685339233,-3.6198718735456468
80,0.9634832821862873,0.07383902644736602,0.9469097830591895,0.4076922420802159,0.5354295218725895,0.5341348717999801,0.2459003948751455,0.19575056384352207,0.19277936786287714,59.03244210389379,1.1458955846180137,0.5836799495566222,0.0001622393831321432,7.347978735349869e-05,0.00023571917065293632,0.017275500282373006,-3.6190797753691673
85,0.9587458696475074,0.07650429417381108,0.9287617682854632,0.4129559105345878,0.5368476898627009,0.5358344738048616,0.24400710627693367,0.19363975045308535,0.1909568321970103,62.23536813042104,1.1203024447164889,0.581829690955903,0.00016716408659640366,7.397236271147563e-05,0.00024113645071358291,0.01733184340646878,-3.6200115859031676
90,0.9615574830714566,0.07412588411684606,0.9353020859111613,0.4142997956988765,0.5338218076431752,0.5335003389726196,0.24377229785882673,0.1954822234025677,0.19273087034937308,64.32046378615301,1.1464329199234886,0.6204890770500093,0.00016386815400217216,7.393182813612213e-05,0.00023779998443723685,0.01734021739649523,-3.609093586564064
