config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,23.0,-675.4932250976562,-675.4967651367188,-0.0035400390625,1.2531876564025879e-05,2.8864758881344192e-05,2.430045917149513e-05,1.6977373314531225e-05,2.6851183065446094e-05,1.459512895962689e-05,4.144631384406239e-05
1,24.0,-732.6846313476562,-732.6864013671875,-0.00177001953125,3.1329691410064697e-06,2.7257436886429787e-05,3.1676677773233316e-05,3.147846130469374e-05,2.520737143640872e-05,2.2058189642848447e-05,4.7265559260267764e-05
2,24.0,-686.2988891601562,-686.29931640625,-0.00042724609375,1.825392246246338e-07,9.759462305477687e-06,2.430045917149513e-05,1.4569781416532945e-05,1.7375239622197114e-05,1.4732778254256118e-05,3.2108018785947934e-05
3,21.0,-598.26416015625,-598.2639770507812,0.00018310546875,3.3527612686157227e-08,9.759462305477687e-06,1.0502214233080545e-05,1.0310185070221241e-05,1.674825034569949e-05,6.358884093060624e-06,2.3107135348254815e-05
4,22.0,-664.0593872070312,-664.0604858398438,-0.0010986328125,1.2069940567016602e-06,6.4584468914703885e-06,1.6679428517818452e-05,1.0310185070221241e-05,1.3091295841149986e-05,7.908232873887755e-06,2.099952871503774e-05
5,23.0,-723.9738159179688,-723.9734497070312,0.0003662109375,1.341104507446289e-07,1.6564730968740248e-05,8.76885126618778e-05,3.147846130469374e-05,1.9397533833398484e-05,3.915466368198395e-05,5.8552199334371835e-05
6,22.0,-546.2630615234375,-546.2611083984375,0.001953125,3.814697265625e-06,4.003467969596386e-05,8.173745640731871e-05,5.66611946611614e-05,4.137821451877244e-05,3.0691735446453094e-05,7.206994632724673e-05
7,22.0,-546.4893798828125,-546.4832153320312,0.00616455078125,3.8001686334609985e-05,9.759462305477687e-06,1.0502214233080545e-05,7.746396241364656e-06,1.7259411833947524e-05,3.50754703504208e-06,2.0766958186868578e-05
8,24.0,-625.0183715820312,-625.0165405273438,0.0018310546875,3.3527612686157227e-06,6.4584468914703885e-06,1.0502214233080545e-05,5.36377326800273e-06,1.1978346265095752e-05,4.946813078277046e-06,1.692515979812015e-05
9,24.0,-563.5906372070312,-563.593505859375,-0.00286865234375,8.229166269302368e-06,2.8864758881344192e-05,2.430045917149513e-05,2.5539865924252404e-05,2.8513599318102933e-05,1.466553658246994e-05,4.317913408158347e-05
10,24.0,-563.5966186523438,-563.5985717773438,-0.001953125,3.814697265625e-06,2.4286492799337095e-05,1.0502214233080545e-05,1.2320949247589818e-05,2.273177778988611e-05,6.562657745234901e-06,2.929443508037366e-05
11,23.0,-547.5886840820312,-547.5858764648438,0.0028076171875,7.88271427154541e-06,2.8864758881344192e-05,3.1676677773233316e-05,3.147846130469374e-05,2.5970655769924633e-05,1.8710828953771852e-05,4.4681484723696485e-05
12,23.0,-547.5844116210938,-547.5863647460938,-0.001953125,3.814697265625e-06,2.8864758881344192e-05,3.0458167505760986e-05,2.5539865924252404e-05,2.6812151190824807e-05,1.5437602996826172e-05,4.224975418765098e-05
13,24.0,-609.8496704101562,-609.8524780273438,-0.0028076171875,7.88271427154541e-06,1.6564730968740248e-05,3.1676677773233316e-05,1.4569781416532945e-05,1.9191937099094503e-05,1.9396282368688844e-05,3.858821946778335e-05
14,25.0,-667.5130615234375,-667.5115356445312,0.00152587890625,2.3283064365386963e-06,6.4584468914703885e-06,2.4169023278393324e-05,1.0310185070221241e-05,1.1595618161663879e-05,1.2939982298121322e-05,2.45356004597852e-05
15,25.0,-667.40185546875,-667.4093017578125,-0.0074462890625,5.544722080230713e-05,0.00014760744864050345,1.6679428517818452e-05,0.000120041732277189,0.00013049291737843305,7.843785169825424e-06,0.00013833670527674258
16,26.0,-720.46484375,-720.4601440429688,0.00469970703125,2.208724617958069e-05,6.4584468914703885e-06,1.0502214233080545e-05,7.746396241364656e-06,1.3674669389729388e-05,6.4350665525125805e-06,2.0109735487494618e-05
17,24.0,-501.8388671875,-501.83380126953125,0.00506591796875,2.5663524866104126e-05,0.00051921238524041,0.0016880029692284523,0.000829393306794839,0.0005488549941219389,0.00029987431480549276,0.0008487292798236012
18,25.0,-563.998779296875,-564.0064697265625,-0.0076904296875,5.914270877838135e-05,2.7208291522503485e-05,1.0502214233080545e-05,1.4569781416532945e-05,2.496452179912012e-05,6.355158802762162e-06,3.131967969238758e-05
19,27.0,-632.4256591796875,-632.4265747070312,-0.00091552734375,8.381903171539307e-07,1.6564730968740248e-05,1.6679428517818452e-05,1.0310185070221241e-05,1.945026269822847e-05,7.963180905790068e-06,2.741344360401854e-05
20,26.0,-521.5670166015625,-521.5690307617188,-0.00201416015625,4.056841135025024e-06,6.4584468914703885e-06,2.4169023278393324e-05,1.0310185070221241e-05,1.1641426681308076e-05,1.162160151579883e-05,2.3263028197106905e-05
21,29.0,-640.7481079101562,-640.7498779296875,-0.00177001953125,3.1329691410064697e-06,9.759462305477687e-06,1.0502214233080545e-05,1.0310185070221241e-05,1.6436284568044357e-05,6.425007995858323e-06,2.2861291654407978e-05
22,27.0,-619.1893310546875,-619.1883544921875,0.0009765625,9.5367431640625e-07,6.4584468914703885e-06,1.0502214233080545e-05,5.36377326800273e-06,1.1086519407399464e-05,4.494190307013923e-06,1.558071016916074e-05
23,26.0,-464.83648681640625,-464.8319396972656,0.004547119140625,2.067629247903824e-05,3.296629126582827e-05,3.1676677773233316e-05,3.147846130469374e-05,3.3791679015848786e-05,2.3785140001564287e-05,5.7576820836402476e-05
24,29.0,-628.239501953125,-628.2396240234375,-0.0001220703125,1.4901161193847656e-08,2.4286492799337095e-05,1.6679428517818452e-05,1.4569781416532945e-05,2.3581178538734093e-05,8.602253728895448e-06,3.218343044864014e-05
