config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-525.7099609375,-525.7103271484375,-0.0003662109375,1.341104507446289e-07,1.9743531083804555e-05,2.5231390736735193e-06,2.2266669475357048e-05,1.9743531083804555e-05,2.5231390736735193e-06,2.2266669475357048e-05
1,20.0,-525.643310546875,-525.6517944335938,-0.00848388671875,7.197633385658264e-05,1.6396163118770346e-05,5.323626282915939e-06,2.1719788492191583e-05,1.6396163118770346e-05,5.323626282915939e-06,2.1719788492191583e-05
2,20.0,-525.4158935546875,-525.4412231445312,-0.02532958984375,0.0006415881216526031,0.00047440771595574915,0.00016985274851322174,0.0006442604353651404,0.00047440771595574915,0.00016985274851322174,0.0006442604353651404
3,20.0,-525.6416015625,-525.6493530273438,-0.00775146484375,6.008520722389221e-05,4.481325959204696e-05,1.7075053619919345e-05,6.18883132119663e-05,4.481325959204696e-05,1.7075053619919345e-05,6.18883132119663e-05
4,20.0,-525.7855834960938,-525.784423828125,0.00115966796875,1.344829797744751e-06,2.2313717636279762e-05,8.318200343637727e-06,3.063191979890689e-05,2.2313717636279762e-05,8.318200343637727e-06,3.063191979890689e-05
5,20.0,-525.8253173828125,-525.8176879882812,0.00762939453125,5.820766091346741e-05,4.6623372327303514e-05,5.77140599489212e-06,5.2394778322195634e-05,4.6623372327303514e-05,5.77140599489212e-06,5.2394778322195634e-05
6,22.0,-613.3472290039062,-613.3439331054688,0.0032958984375,1.0862946510314941e-05,2.107766158587765e-05,9.058601790457033e-06,3.0136263376334682e-05,2.107766158587765e-05,9.058601790457033e-06,3.0136263376334682e-05
7,22.0,-613.436279296875,-613.4376831054688,-0.00140380859375,1.9706785678863525e-06,1.273677025892539e-05,2.2510066628456116e-06,1.4987776921771001e-05,1.273677025892539e-05,2.2510066628456116e-06,1.4987776921771001e-05
8,22.0,-613.334716796875,-613.3351440429688,-0.00042724609375,1.825392246246338e-07,2.4795201170491055e-05,1.0910071068792604e-05,3.5705270420294255e-05,2.4795201170491055e-05,1.0910071068792604e-05,3.5705270420294255e-05
9,22.0,-613.4613037109375,-613.4583129882812,0.00299072265625,8.944422006607056e-06,1.2467992746678647e-05,7.618777544848854e-06,2.008677074627485e-05,1.2467992746678647e-05,7.618777544848854e-06,2.008677074627485e-05
10,22.0,-613.0477294921875,-613.0553588867188,-0.00762939453125,5.820766091346741e-05,4.426910891197622e-05,2.409517765045166e-05,6.836428656242788e-05,4.426910891197622e-05,2.409517765045166e-05,6.836428656242788e-05
11,22.0,-613.2947387695312,-613.2935791015625,0.00115966796875,1.344829797744751e-06,2.3651115043321624e-05,1.7442554963054135e-05,4.109367000637576e-05,2.3651115043321624e-05,1.7442554963054135e-05,4.109367000637576e-05
12,22.0,-613.4307250976562,-613.4320068359375,-0.00128173828125,1.642853021621704e-06,1.296255777560873e-05,1.3740360373049043e-05,2.670291723916307e-05,1.296255777560873e-05,1.3740360373049043e-05,2.670291723916307e-05
