epoch,train_loss,val_loss,train_rmse_e_atom,val_rmse_e_atom
0,-3.5040169981837272,-3.2706968132257463,0.015099958772259602,0.01474534307552279
5,-4.253238076770305,-3.6219362534284594,0.010781689350705935,0.010676267542338365
10,-4.6553445438146595,-3.6744596251249315,0.009897415279119384,0.009952190019990257
15,-4.902764057779312,-3.689195267677307,0.009867268044565097,0.009923024064081243
20,-5.050116625952721,-3.691919263958931,0.009710308484519132,0.009855169759022174
25,-5.137396861302853,-3.6989057966470718,0.009860681991560396,0.009834294688339608
30,-5.302887542188167,-3.6855609793663024,0.009798484123104155,0.009888210436271382
35,-5.372560765278339,-3.6904171677827837,0.009732321141361088,0.009818361047581837
40,-5.410314528775215,-3.692690400838852,0.009687706787455739,0.009851390687002418
45,-5.505255677235127,-3.684135506391525,0.009618715664146689,0.0098331284766125
50,-5.551570197093487,-3.675104557156563,0.00959239211572602,0.00985059427370861
55,-5.7229672951698305,-3.671830713033676,0.009585602991925521,0.009852342488496988
60,-5.705386577308178,-3.6701133596897124,0.009555835566397273,0.009843358382598108
65,-5.776899601411819,-3.665736360907555,0.009559896700769491,0.00986426798209397
70,-5.816387874174118,-3.6760404509305955,0.00953263195564348,0.009864426489712372
75,-5.806890958106518,-3.6712649874687195,0.009488636653203155,0.009843724710568231
80,-5.831841500771046,-3.6689988819360733,0.009485636359268964,0.009852081457686698
85,-5.89631400629282,-3.661526034593582,0.009462983541357254,0.009856999965517397
90,-5.86581046128273,-3.6502109367847444,0.00945518063675032,0.009842203310621316
95,-5.9225654380202295,-3.6529538543224334,0.009464073011324932,0.009852614359190298
