uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,count_geometric_mean,count_geometric_ci95_low,count_geometric_ci95_high,count_geometric_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmse_geometric_mean,rmse_geometric_ci95_low,rmse_geometric_ci95_high,rmse_geometric_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,rmv_geometric_mean,rmv_geometric_ci95_low,rmv_geometric_ci95_high,rmv_geometric_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mse_geometric_mean,mse_geometric_ci95_low,mse_geometric_ci95_high,mse_geometric_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,mean_variance_geometric_mean,mean_variance_geometric_ci95_low,mean_variance_geometric_ci95_high,mean_variance_geometric_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,ence_term_geometric_mean,ence_term_geometric_ci95_low,ence_term_geometric_ci95_high,ence_term_geometric_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_min_geometric_mean,uncertainty_min_geometric_ci95_low,uncertainty_min_geometric_ci95_high,uncertainty_min_geometric_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n,uncertainty_max_geometric_mean,uncertainty_max_geometric_ci95_low,uncertainty_max_geometric_ci95_high,uncertainty_max_geometric_n
aleatoric,0,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.0026394141226515596,0.0026394141226515596,0.0001720004209156033,0.002425881630229039,0.00285294661507408,5,0.002634916892063789,0.0024295780139129974,0.002857610246851582,5,0.0024574196155878777,0.0024574196155878777,0.00022092960841438587,0.0021831432522887244,0.002731695978887031,5,0.002449560987525054,0.0021925671163312787,0.002736677471312634,5,6.990174226688617e-06,6.990174226688617e-06,9.068353232111203e-07,5.864369965563776e-06,8.115978487813459e-06,5,6.942787028083097e-06,5.902849325689425e-06,8.16593632291116e-06,5,6.077959080575379e-06,6.077959080575379e-06,1.0979047162141651e-06,4.7149488667184936e-06,7.440969294432265e-06,5,6.000349031604718e-06,4.807350559617258e-06,7.489403581990114e-06,5,0.21567014899695752,0.21567014899695752,0.13728359160097942,0.04523738303496894,0.3861029149589461,5,0.16851314441527,0.05658401388559454,0.5018498669630614,5,2.4224186489495622e-06,2.4224186489495622e-06,2.370300326520971e-06,-5.202261063227913e-07,5.365063404221916e-06,5,1.540061861772094e-06,3.5037509028057693e-07,6.769289837886653e-06,5,7.599343339509331e-06,7.599343339509331e-06,1.1367909171994448e-06,6.188057270436346e-06,9.010629408582316e-06,5,7.53141889839181e-06,6.252554132670608e-06,9.071855983888286e-06,5
aleatoric,1,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.0033980615581688627,0.0033980615581688627,0.00029461348827507184,0.0030323092412978627,0.0037638138750398626,5,0.003387255332334543,0.003027150488335818,0.0037901976563895164,5,0.0032378247869739385,0.0032378247869739385,0.0002605524956145542,0.002914357998350304,0.003561291575597573,5,0.0032292573610195013,0.002917200162764687,0.003574695777411351,5,1.1616260039083884e-05,1.1616260039083884e-05,1.9272219925023063e-06,9.223681501660192e-06,1.4008838576507576e-05,5,1.1473498686428798e-05,9.163640079031782e-06,1.4365598274500583e-05,5,1.0537819433519609e-05,1.0537819433519609e-05,1.665954159689416e-06,8.469595750772355e-06,1.2606043116266863e-05,5,1.0428103103698633e-05,8.510056789634317e-06,1.2778449901042545e-05,5,0.10139517130546497,0.10139517130546497,0.05669491710643563,0.03101041937880754,0.17177992323212238,5,0.08863341230024942,0.042013635281855956,0.1869840998828933,5,7.599343339509331e-06,7.599343339509331e-06,1.1367909171994448e-06,6.188057270436346e-06,9.010629408582316e-06,5,7.53141889839181e-06,6.252554132670608e-06,9.071855983888286e-06,5,1.2357906092717899e-05,1.2357906092717899e-05,2.6752978599913453e-06,9.036617592517698e-06,1.56791945929181e-05,5,1.2142308629032341e-05,9.395426198197701e-06,1.5692280023545436e-05,5
aleatoric,2,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.004008479711927116,0.004008479711927116,0.00029632646863689835,0.003640600789992102,0.00437635863386213,5,0.003999512265384585,0.0036426538006774736,0.004391330946132385,5,0.003860965471947046,0.003860965471947046,0.0002920431161352682,0.0034984041819732126,0.00422352676192088,5,0.0038520679270701258,0.003504814746151927,0.004233726570299907,5,1.6138157101743148e-05,1.6138157101743148e-05,2.339551460284265e-06,1.3233685985882482e-05,1.9042628217603814e-05,5,1.5996098360961737e-05,1.3268926711590045e-05,1.9283787478459944e-05,5,1.4975285720912878e-05,1.4975285720912878e-05,2.247479459348645e-06,1.2185118766271436e-05,1.7765452675554322e-05,5,1.4838427314762336e-05,1.2283726404843995e-05,1.7924440672063415e-05,5,0.16096764261411614,0.16096764261411614,0.13229755026235512,-0.0032751278310557685,0.32521041305928805,5,0.11618631340468424,0.03509386451789978,0.38466152440082935,5,1.2357906092717899e-05,1.2357906092717899e-05,2.6752978599913453e-06,9.036617592517698e-06,1.56791945929181e-05,5,1.2142308629032341e-05,9.395426198197701e-06,1.5692280023545436e-05,5,2.0002474520745664e-05,2.0002474520745664e-05,5.2539613551033995e-06,1.3479865696449128e-05,2.65250833450422e-05,5,1.9411759178442046e-05,1.371939209573704e-05,2.7465968737704887e-05,5
aleatoric,3,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.005064539860890241,0.005064539860890241,0.0006823402059796827,0.004217438417258133,0.005911641304522349,5,0.005027815980186719,0.004252279955834019,0.00594479521413892,5,0.004734873537774207,0.004734873537774207,0.0004594581315547849,0.004164472375542008,0.005305274700006406,5,0.004716131468603558,0.004161033010702942,0.005345282282534771,5,2.6022034527903254e-05,2.6022034527903254e-05,6.9563843094976595e-06,1.7385927290788938e-05,3.465814176501757e-05,5,2.5278933530620933e-05,1.8081884822787768e-05,3.534059013804901e-05,5,2.2587908838435888e-05,2.2587908838435888e-05,4.207894704100589e-06,1.7363955087421476e-05,2.78118625894503e-05,5,2.224189602915275e-05,1.7314195716159588e-05,2.8572042679980132e-05,5,0.2526623004667905,0.2526623004667905,0.2066422210950724,-0.003876772375405735,0.5092013733089867,5,0.15281824055909835,0.026879392394619454,0.8688222674353753,5,2.0002474520745664e-05,2.0002474520745664e-05,5.2539613551033995e-06,1.3479865696449128e-05,2.65250833450422e-05,5,1.9411759178442046e-05,1.371939209573704e-05,2.7465968737704887e-05,5,2.4635052867101407e-05,2.4635052867101407e-05,3.5202446368319785e-06,2.0264792566351454e-05,2.900531316785136e-05,5,2.4430548144751253e-05,2.0403751728127914e-05,2.9252055730035645e-05,5
aleatoric,4,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.004993114758891559,0.004993114758891559,0.00039010536993024276,0.004508812618785241,0.005477416898997877,5,0.004981199567618132,0.004527792340904571,0.005480010403366247,5,0.004973548742123755,0.004973548742123755,0.0003766645185181684,0.004505932947824168,0.0054411645364233424,5,0.004962049940374742,0.004513959809087013,0.0054546209209055795,5,2.505294075517944e-05,2.505294075517944e-05,3.9742402035124755e-06,2.011906087497724e-05,2.9986820635381637e-05,5,2.4812349132439063e-05,2.0500903482354096e-05,3.00305140210023e-05,5,2.4849688017889208e-05,2.4849688017889208e-05,3.731836396883242e-06,2.0216743965208297e-05,2.948263207057012e-05,5,2.462193961077298e-05,2.0375833158052868e-05,2.975288939078083e-05,5,0.17138705985178565,0.17138705985178565,0.06205429230342334,0.09434883151182483,0.24842528819174647,5,0.15789099196157644,0.08429278685140033,0.2957496871773726,5,2.4635052867101407e-05,2.4635052867101407e-05,3.5202446368319785e-06,2.0264792566351454e-05,2.900531316785136e-05,5,2.4430548144751253e-05,2.0403751728127914e-05,2.9252055730035645e-05,5,2.6435979192036435e-05,2.6435979192036435e-05,5.011877686090737e-06,2.0213908755633886e-05,3.2658049628438984e-05,5,2.6057126519669342e-05,2.0576476065847274e-05,3.2997576469812176e-05,5
aleatoric,5,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.0061419999945395405,0.0061419999945395405,0.0005531223985387396,0.0054553179286121935,0.0068286820604668876,5,0.006121480289524698,0.005459435956851653,0.006863808135346097,5,0.005574924557638661,0.005574924557638661,0.00034968251774382636,0.005140805971341365,0.006009043143935957,5,0.005566154144661925,0.005149041274518116,0.006017056440285895,5,3.796891944313591e-05,3.796891944313591e-05,6.673422930100767e-06,2.9684098838230368e-05,4.6253740048041456e-05,5,3.7472520935039385e-05,2.980544096696473e-05,4.711186211884327e-05,5,3.117760611393515e-05,3.117760611393515e-05,3.904609675662097e-06,2.6330170092890033e-05,3.6025042134980267e-05,5,3.0982071962137125e-05,2.6512626046691145e-05,3.620496820558597e-05,5,0.22082333441256607,0.22082333441256607,0.14646843012395871,0.038987913434561566,0.4026587553905706,5,0.13154477778529644,0.01886799164868882,0.917110251306769,5,2.6435979192036435e-05,2.6435979192036435e-05,5.011877686090737e-06,2.0213908755633886e-05,3.2658049628438984e-05,5,2.6057126519669342e-05,2.0576476065847274e-05,3.2997576469812176e-05,5,3.904749027892672e-05,3.904749027892672e-05,8.746190683566893e-06,2.8189401177034027e-05,4.990557938081941e-05,5,3.829055098479054e-05,2.9139799516264154e-05,5.031490672749875e-05,5
aleatoric,6,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.006944318974630421,0.006944318974630421,0.00038003773381469527,0.006472515451801387,0.007416122497459455,5,0.006936043318762235,0.006481974176546131,0.00742192048432081,5,0.006733151752632638,0.006733151752632638,0.00035342840029896306,0.006294382784469633,0.007171920720795644,5,0.006725747048614661,0.006301918033344459,0.007178080248362421,5,4.8339108964710524e-05,4.8339108964710524e-05,5.305748614797222e-06,4.175220807310806e-05,5.4926009856312986e-05,5,4.810869691974624e-05,4.2015989225410885e-05,5.508490367558085e-05,5,4.5435261831290266e-05,4.5435261831290266e-05,4.772596217006454e-06,3.951025094981264e-05,5.136027271276789e-05,5,4.5235673361948736e-05,3.9714170898992026e-05,5.152483605193062e-05,5,0.14938522451482364,0.14938522451482364,0.14571000363349654,-0.03150863656486458,0.33027908559451186,5,0.10657378371528489,0.03556937146431985,0.31931886642376195,5,3.904749027892672e-05,3.904749027892672e-05,8.746190683566893e-06,2.8189401177034027e-05,4.990557938081941e-05,5,3.829055098479054e-05,2.9139799516264154e-05,5.031490672749875e-05,5,4.728408800557265e-05,4.728408800557265e-05,6.154631131699429e-06,3.964332923011667e-05,5.492484678102862e-05,5,4.695536094093325e-05,3.9809461689134655e-05,5.538396721639382e-05,5
aleatoric,7,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.007653091056634751,0.007653091056634751,0.0004117290758337987,0.00714194384375234,0.008164238269517161,5,0.007643935127736714,0.007137949566637433,0.008185788326404854,5,0.007776907502110816,0.007776907502110816,0.00048644023958709944,0.007173008998719313,0.008380806005502318,5,0.00776435786042328,0.0071709560662812375,0.008406864081650955,5,5.870541938665238e-05,5.870541938665238e-05,6.157527844742905e-06,5.106106444350848e-05,6.634977432979628e-05,5,5.8429744237047294e-05,5.0950324015859524e-05,6.700713052470598e-05,5,6.066958958173914e-05,6.066958958173914e-05,7.4039453200183e-06,5.147785104105664e-05,6.986132812242165e-05,5,6.028525298471677e-05,5.142261090453569e-05,7.067536368735296e-05,5,0.057233400714498825,0.057233400714498825,0.04399147609567218,0.0026195254341363147,0.11184727599486133,5,0.042045820193484934,0.013096301869754861,0.13498856496471057,5,4.728408800557265e-05,4.728408800557265e-05,6.154631131699429e-06,3.964332923011667e-05,5.492484678102862e-05,5,4.695536094093325e-05,3.9809461689134655e-05,5.538396721639382e-05,5,6.768705773441614e-05,6.768705773441614e-05,7.359292585301712e-06,5.8550753998408875e-05,7.682336147042341e-05,5,6.73493562755985e-05,5.8502894731089846e-05,7.753352738504737e-05,5
aleatoric,8,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.00894533549221085,0.00894533549221085,0.0007659500001275694,0.007994435420410895,0.009896235564010807,5,0.00891884793962214,0.008011985334042798,0.009928356737263739,5,0.008557122924505056,0.008557122924505056,0.0007520724904787261,0.007623451294404025,0.009490794554606087,5,0.008530425450945536,0.007641289925166619,0.009523020208208189,5,8.048837059036348e-05,8.048837059036348e-05,1.3669551176326105e-05,6.35181020442746e-05,9.745863913645237e-05,5,7.954584857010208e-05,6.41919089929169e-05,9.857226750237026e-05,5,7.367684316983785e-05,7.367684316983785e-05,1.283797909059135e-05,5.7738942214192635e-05,8.961474412548307e-05,5,7.276815837413936e-05,5.838931172045288e-05,9.068791388594153e-05,5,0.10252793698087363,0.10252793698087363,0.05690175896106303,0.031886398143342556,0.1731694758184047,5,0.08232002272951584,0.027941721507389546,0.2425257205571908,5,6.768705773441614e-05,6.768705773441614e-05,7.359292585301712e-06,5.8550753998408875e-05,7.682336147042341e-05,5,6.73493562755985e-05,5.8502894731089846e-05,7.753352738504737e-05,5,7.671624695965054e-05,7.671624695965054e-05,1.5371324331577802e-05,5.7633286703598134e-05,9.579920721570294e-05,5,7.547594166367564e-05,5.8679365980423076e-05,9.708042469168983e-05,5
aleatoric,9,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.00928697021244479,0.00928697021244479,0.0006009227504140155,0.008540945685491666,0.010032994739397913,5,0.009271496522794355,0.008557992148306787,0.010044487805377957,5,0.008979009744764373,0.008979009744764373,0.0005803864328553478,0.008258480336079795,0.009699539153448952,5,0.008964342507039222,0.00828398809088776,0.00970057364905005,5,8.653670224840893e-05,8.653670224840893e-05,1.12274348479559e-05,7.259823550609877e-05,0.0001004751689907191,5,8.596064777218783e-05,7.323922961048063e-05,0.00010089173527238647,5,8.089209472572761e-05,8.089209472572761e-05,1.0617757319441999e-05,6.771052126044876e-05,9.407366819100646e-05,5,8.035943658351024e-05,6.862445868997024e-05,9.41011291206442e-05,5,0.07372302974850342,0.07372302974850342,0.10191055230597644,-0.05279534806830746,0.2002414075653143,5,0.02590961153990958,0.0020637446221533104,0.3252863571116533,5,7.671624695965054e-05,7.671624695965054e-05,1.5371324331577802e-05,5.7633286703598134e-05,9.579920721570294e-05,5,7.547594166367564e-05,5.8679365980423076e-05,9.708042469168983e-05,5,8.395896159681742e-05,8.395896159681742e-05,8.0795832469186e-06,7.392844225700538e-05,9.398948093662945e-05,5,8.366145007567727e-05,7.451947438156971e-05,9.39249543404738e-05,5
