uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n
aleatoric,0,330.0,330.0,0.0,330.0,330.0,5,0.00257565862644041,0.00257565862644041,9.788740186632476e-05,0.0024541348488472297,0.0026971824040335907,5,0.0035515049396037295,0.0035515049396037295,0.00010783732316310725,0.0034176286835538106,0.0036853811956536484,5,6.6416829147122115e-06,6.6416829147122115e-06,5.076132807892282e-07,6.011498822971633e-06,7.27186700645279e-06,5,1.2622490446643278e-05,1.2622490446643278e-05,7.707224375647401e-07,1.1665665561081443e-05,1.3579315332205112e-05,5,0.47321710180867305,0.47321710180867305,0.03605924907475751,0.42845080827968474,0.5179833953376614,5,7.369526065303944e-06,7.369526065303944e-06,5.107040880279602e-07,6.735504844736757e-06,8.00354728587113e-06,5,1.4932123485777993e-05,1.4932123485777993e-05,8.856365479150423e-07,1.3832636760977656e-05,1.603161021057833e-05,5
aleatoric,1,330.0,330.0,0.0,330.0,330.0,5,0.0033600728567939843,0.0033600728567939843,0.0002846758917530414,0.0030066577176039604,0.003713487995984008,5,0.004084884660374424,0.004084884660374424,0.00012044455411471788,0.003935356969093631,0.004234412351655217,5,1.1354921893639998e-05,1.1354921893639998e-05,1.8092600679404345e-06,9.108788949945482e-06,1.3601054837334513e-05,5,1.6697888201054988e-05,1.6697888201054988e-05,9.905024546193938e-07,1.546821412956371e-05,1.7927562272546268e-05,5,0.32089482886818954,0.32089482886818954,0.09708056662409326,0.20037270894148967,0.4414169487948894,5,1.4951069897506385e-05,1.4951069897506385e-05,9.001758400896865e-07,1.3833533151202704e-05,1.606860664381007e-05,5,1.8260146680404433e-05,1.8260146680404433e-05,1.0436699939772812e-06,1.6964466972795365e-05,1.9555826388013502e-05,5
aleatoric,2,330.0,330.0,0.0,330.0,330.0,5,0.003926270489746064,0.003926270489746064,0.00031578406102691117,0.0035342356490204816,0.004318305330471646,5,0.00445850986850869,0.00445850986850869,0.00012759569962548928,0.004300104280787512,0.004616915456229867,5,1.549537561720971e-05,1.549537561720971e-05,2.5292288458472775e-06,1.235542667705156e-05,1.863532455736786e-05,5,1.9891334777639712e-05,1.9891334777639712e-05,1.1426075999184376e-06,1.847282750089755e-05,2.1309842054381875e-05,5,0.21926997738482804,0.21926997738482804,0.13389352284712897,0.053045862928690096,0.38549409184096595,5,1.8270541841047815e-05,1.8270541841047815e-05,1.0472294782953872e-06,1.6970443158449392e-05,1.957064052364624e-05,5,2.158052484446671e-05,2.158052484446671e-05,1.2181231344204865e-06,2.006826767913123e-05,2.3092782009802188e-05,5
aleatoric,3,330.0,330.0,0.0,330.0,330.0,5,0.004736310795675278,0.004736310795675278,0.00020147490563957499,0.004486186763810727,0.004986434827539829,5,0.004842620454929051,0.004842620454929051,0.00013228922098083731,0.004678388024994868,0.005006852884863234,5,2.246511366331216e-05,2.246511366331216e-05,1.9321654652147668e-06,2.0066397977828624e-05,2.4863829348795696e-05,5,2.346497322088742e-05,2.346497322088742e-05,1.2851959539158438e-06,2.18694475016472e-05,2.5060498940127644e-05,5,0.09355937850383954,0.09355937850383954,0.046066119739561706,0.03636990587429587,0.1507488511333832,5,2.1592977645923384e-05,2.1592977645923384e-05,1.2215440416703947e-06,2.007647354417036e-05,2.3109481747676407e-05,5,2.540712412155699e-05,2.540712412155699e-05,1.423587473579065e-06,2.3639790182508234e-05,2.7174458060605743e-05,5
aleatoric,4,330.0,330.0,0.0,330.0,330.0,5,0.005335643688034259,0.005335643688034259,0.0003810166440032924,0.0048626248825255885,0.00580866249354293,5,0.0052380274379178315,0.0052380274379178315,0.00014537867935243324,0.005057544904317221,0.005418509971518442,5,2.8585232512065853e-05,2.8585232512065853e-05,4.2162580032483365e-06,2.3350896018367516e-05,3.381956900576419e-05,5,2.7453839408708242e-05,2.7453839408708242e-05,1.5272163654391626e-06,2.5557853833529317e-05,2.9349824983887167e-05,5,0.10172226537452615,0.10172226537452615,0.1532724846269703,-0.08856015072635444,0.29200468147540676,5,2.542578113207128e-05,2.542578113207128e-05,1.4166793412218196e-06,2.366702339715258e-05,2.718453886698998e-05,5,2.955424934043549e-05,2.955424934043549e-05,1.6431483911783513e-06,2.7514338219749744e-05,3.1594160461121234e-05,5
aleatoric,5,330.0,330.0,0.0,330.0,330.0,5,0.005888602726000743,0.005888602726000743,0.0002930259261588602,0.005524821311838851,0.006252384140162635,5,0.005630256460063456,0.005630256460063456,0.00015768249430472698,0.005434499171557694,0.0058260137485692184,5,3.474433341938438e-05,3.474433341938438e-05,3.409910466327773e-06,3.0511049123121613e-05,3.8977617715647143e-05,5,3.171967882129442e-05,3.171967882129442e-05,1.7781792829696778e-06,2.9512131582483212e-05,3.392722606010563e-05,5,0.11560368980766537,0.11560368980766537,0.08868817741926963,0.0055004268508863224,0.2257069527644444,5,2.9565968725364654e-05,2.9565968725364654e-05,1.6422790828828346e-06,2.7527136820450808e-05,3.16048006302785e-05,5,3.389448684174567e-05,3.389448684174567e-05,1.9296270378206477e-06,3.149892252487748e-05,3.6290051158613864e-05,5
aleatoric,6,330.0,330.0,0.0,330.0,330.0,5,0.006927142349225394,0.006927142349225394,0.0003769891426692955,0.006459123545423146,0.0073951611530276426,5,0.006029234806445241,0.006029234806445241,0.0001567138240486249,0.005834680088101923,0.0062237895247885585,5,4.8098997777384335e-05,4.8098997777384335e-05,5.259915312961635e-06,4.156899732314597e-05,5.46289982316227e-05,5,3.6371319729369135e-05,3.6371319729369135e-05,1.894704008061363e-06,3.401911112958436e-05,3.8723528329153906e-05,5,0.3236008862136868,0.3236008862136868,0.1349943096756779,0.156010183502272,0.4911915889251016,5,3.390748825040646e-05,3.390748825040646e-05,1.9190905252832633e-06,3.152500464445498e-05,3.628997185635794e-05,5,3.890202715410851e-05,3.890202715410851e-05,2.0299552878677494e-06,3.638190883220414e-05,4.1422145476012886e-05,5
aleatoric,7,330.0,330.0,0.0,330.0,330.0,5,0.007737480505484992,0.007737480505484992,0.00025005973430121414,0.007427040112167283,0.008047920898802702,5,0.006426237226604925,0.006426237226604925,0.00015943197843408947,0.006228308014887535,0.006624166438322316,5,5.9918628469335314e-05,5.9918628469335314e-05,3.842357305108698e-06,5.51484765838331e-05,6.468878035483753e-05,5,4.131685973720089e-05,4.131685973720089e-05,2.0535573723206457e-06,3.876744025491118e-05,4.38662792194906e-05,5,0.45225926791921733,0.45225926791921733,0.10443921079083612,0.3226016492454182,0.5819168865930164,5,3.891271771863103e-05,3.891271771863103e-05,2.0370359948309415e-06,3.6383808947273595e-05,4.1441626489988466e-05,5,4.388486340758391e-05,4.388486340758391e-05,2.048801620184404e-06,4.134134802483994e-05,4.642837879032788e-05,5
aleatoric,8,330.0,330.0,0.0,330.0,330.0,5,0.008508938438516894,0.008508938438516894,0.00047953478745956435,0.007913612811844224,0.009104264065189563,5,0.006854480890919813,0.006854480890919813,0.0001589122092567279,0.006657196954413586,0.00705176482742604,5,7.258599624037742e-05,7.258599624037742e-05,7.882415729641984e-06,6.280025346078958e-05,8.237173901996526e-05,5,4.700411075618556e-05,4.700411075618556e-05,2.1800933659930886e-06,4.429760127396326e-05,4.971062023840786e-05,5,0.5432302564880482,0.5432302564880482,0.14410442129897155,0.36432966958673496,0.7221308433893615,5,4.389093737700023e-05,4.389093737700023e-05,2.0483143963030037e-06,4.134802686562349e-05,4.643384788837696e-05,5,5.0058347551384943e-05,5.0058347551384943e-05,2.115002369589446e-06,4.743264625917955e-05,5.268404884359034e-05,5
aleatoric,9,330.0,330.0,0.0,330.0,330.0,5,0.00936027576508773,0.00936027576508773,0.0003019580569911547,0.008985405423648157,0.009735146106527304,5,0.007332418123720538,0.007332418123720538,0.00015553891054982802,0.007139322019294812,0.0075255142281462645,5,8.768770533303421e-05,8.768770533303421e-05,5.602445361838929e-06,8.07324658318387e-05,9.464294483422971e-05,5,5.3783709423221424e-05,5.3783709423221424e-05,2.282876648158041e-06,5.094959809965934e-05,5.661782074678351e-05,5,0.6310168328079134,0.6310168328079134,0.09616024176521437,0.5116372639279417,0.7503964016878851,5,5.008078587707132e-05,5.008078587707132e-05,2.123979703848831e-06,4.744393953911829e-05,5.271763221502435e-05,5,5.776685065939091e-05,5.776685065939091e-05,2.2428201169426393e-06,5.498246811499514e-05,6.055123320378668e-05,5
aleatoric,10,330.0,330.0,0.0,330.0,330.0,5,0.010081775807314272,0.010081775807314272,0.00012860687790188955,0.009922114877213735,0.01024143673741481,5,0.007903459659606659,0.007903459659606659,0.00014341916123480048,0.007725409799050556,0.008081509520162762,5,0.00010165543521218228,0.00010165543521218228,2.60650310470641e-06,9.841955298880043e-05,0.00010489131743556413,5,6.248112983567726e-05,6.248112983567726e-05,2.2721172201663996e-06,5.9660375964753173e-05,6.530188370660135e-05,5,0.6282351396211213,0.6282351396211213,0.057773437534895035,0.5565114423942629,0.6999588368479798,5,5.778332706540823e-05,5.778332706540823e-05,2.2391635986664578e-06,5.500348396025886e-05,6.05631701705576e-05,5,6.760292162653059e-05,6.760292162653059e-05,2.4130298400659215e-06,6.46072296782416e-05,7.059861357481959e-05,5
