metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n,value_geometric_mean,value_geometric_ci95_low,value_geometric_ci95_high,value_geometric_n
ause,aleatoric,0.17713866645444665,0.17713866645444665,0.014632550816603774,0.15897286761665352,0.19530446529223977,5,0.17665438469331,0.15939376057102736,0.19578414813461864,5
ause,epistemic,0.17861836488941935,0.17861836488941935,0.016737017142866538,0.1578399448878289,0.1993967848910098,5,0.17800954956801718,0.15884549087796757,0.1994856735451942,5
ause,total,0.1644550585593407,0.1644550585593407,0.014718695473650581,0.14618231414996022,0.18272780296872118,5,0.16393211117691528,0.1467648157746532,0.1831074902596764,5
ence,aleatoric,0.6851868518930995,0.6851868518930995,0.2597192864312104,0.36275446325919547,1.0076192405270035,5,0.6511794919769491,0.4238705528038126,1.000387330439586,5
ence,epistemic,0.37852037232852265,0.37852037232852265,0.1681076678428379,0.16982059637023034,0.5872201482868149,5,0.35040711567573307,0.20303243254985498,0.604756319835928,5
ence,total,0.523895183756486,0.523895183756486,0.1508212793896001,0.33665585302126055,0.7111345144917115,5,0.5079859008371372,0.36222931503276057,0.7123931298215866,5
rmse,ensemble,0.03295199901230832,0.03295199901230832,0.009033927452467191,0.021736694799558247,0.04416730322505839,5,0.03173123855466653,0.021180228908774332,0.04753827281800714,5
spearman,aleatoric,0.4878678429285374,0.4878678429285374,0.020914563450893226,0.46190314564567714,0.5138325402113977,5,0.48750402117680525,0.4619621874530691,0.5144580598118735,5
spearman,epistemic,0.49867297494702223,0.49867297494702223,0.009281746245802679,0.4871500123905985,0.5101959375034459,5,0.4986041251881017,0.4872452381147826,0.5102278159074115,5
spearman,total,0.5168039363023036,0.5168039363023036,0.015825671342561763,0.4971569201610174,0.5364509524435898,5,0.5166102082534803,0.49734491886604143,0.5366217631824028,5
