uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,count_geometric_mean,count_geometric_ci95_low,count_geometric_ci95_high,count_geometric_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmse_geometric_mean,rmse_geometric_ci95_low,rmse_geometric_ci95_high,rmse_geometric_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,rmv_geometric_mean,rmv_geometric_ci95_low,rmv_geometric_ci95_high,rmv_geometric_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mse_geometric_mean,mse_geometric_ci95_low,mse_geometric_ci95_high,mse_geometric_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,mean_variance_geometric_mean,mean_variance_geometric_ci95_low,mean_variance_geometric_ci95_high,mean_variance_geometric_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,ence_term_geometric_mean,ence_term_geometric_ci95_low,ence_term_geometric_ci95_high,ence_term_geometric_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_min_geometric_mean,uncertainty_min_geometric_ci95_low,uncertainty_min_geometric_ci95_high,uncertainty_min_geometric_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n,uncertainty_max_geometric_mean,uncertainty_max_geometric_ci95_low,uncertainty_max_geometric_ci95_high,uncertainty_max_geometric_n
aleatoric,0,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.002714555380137592,0.002714555380137592,0.0001766561717111293,0.0024952429363278906,0.0029338678239472934,5,0.002709712642284934,0.0024912929564524637,0.002947281886195507,5,0.0034272422190202113,0.0034272422190202113,0.00010717905151965798,0.0032941831841373603,0.0035603012539030623,5,0.003425922778664383,0.0032969677747075547,0.0035599216272026108,5,7.393776834236852e-06,7.393776834236852e-06,9.242568658924896e-07,6.246344338653076e-06,8.541209329820628e-06,5,7.3425426037587984e-06,6.206540594869656e-06,8.686470516696148e-06,5,1.1755179107102308e-05,1.1755179107102308e-05,7.439270567185453e-07,1.0831619747444658e-05,1.2678738466759959e-05,5,1.1736946885371488e-05,1.0869996507460083e-05,1.2673041991824886e-05,5,0.370745072227081,0.370745072227081,0.07454794155280144,0.27819641635751846,0.4632937280966435,5,0.3649786821338966,0.28603995269073385,0.4657022110342114,5,7.693744464631891e-06,7.693744464631891e-06,7.829359514185105e-07,6.721756929812865e-06,8.665731999450916e-06,5,7.662874238267113e-06,6.77212473586955e-06,8.670785592663497e-06,5,1.3751750338997227e-05,1.3751750338997227e-05,7.8754906737303e-07,1.27740357824514e-05,1.4729464895543053e-05,5,1.3734108620174683e-05,1.2806135107380683e-05,1.4729326062009455e-05,5
aleatoric,1,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.0037275837829800944,0.0037275837829800944,5.334108989727905e-05,0.0036613626899521384,0.0037938048760080504,5,0.0037272783444962784,0.0036616259423445513,0.003794107884339337,5,0.0038925131120403265,0.0038925131120403265,0.00011707500857299275,0.003747168593417051,0.004037857630663602,5,0.003891126872573872,0.003750154649810098,0.004037398388152668,5,1.389715707663334e-05,1.389715707663334e-05,3.976032413766523e-07,1.340354659199337e-05,1.4390767561273309e-05,5,1.3892603857350918e-05,1.3407504541650625e-05,1.4395254638005922e-05,5,1.516262357351176e-05,1.516262357351176e-05,9.228438774997504e-07,1.4016945253479762e-05,1.6308301893543757e-05,5,1.5140868338466524e-05,1.40636598974923e-05,1.6300585744657764e-05,5,0.08023704756955864,0.08023704756955864,0.06903151218921962,-0.005463154645018994,0.16593724978413626,5,0.06337206060479131,0.025688012609487998,0.15633821605233894,5,1.3764543837169185e-05,1.3764543837169185e-05,7.847990477724585e-07,1.2790243333544828e-05,1.4738844340793543e-05,5,1.3747035698818709e-05,1.2821937436954275e-05,1.4738879473856373e-05,5,1.6503956430824474e-05,1.6503956430824474e-05,9.844629052084155e-07,1.528178024818701e-05,1.7726132613461935e-05,5,1.648134098251351e-05,1.5336148883155397e-05,1.7712047701899386e-05,5
aleatoric,2,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.004114153537831755,0.004114153537831755,0.00015805592985865803,0.003917932642178025,0.004310374433485486,5,0.0041117141930597035,0.0039195542067114834,0.004313295011065289,5,0.0042164183092808505,0.0042164183092808505,0.00011993446503236453,0.00406752387571264,0.004365312742849061,5,0.004215072405210876,0.004070281629051766,0.004365013775547826,5,1.694624467442433e-05,1.694624467442433e-05,1.2974835107309113e-06,1.533546438418633e-05,1.855702496466233e-05,5,1.6906193605408608e-05,1.5362905179349688e-05,1.860451385248071e-05,5,1.7789690779560867e-05,1.7789690779560867e-05,1.0223621443817267e-06,1.652046402019508e-05,1.9058917538926655e-05,5,1.7766835381170203e-05,1.6567192539796297e-05,1.9053345260722283e-05,5,0.07626035682953206,0.07626035682953206,0.0684880544224812,-0.008765161620667053,0.16128587527973115,5,0.03940474973655378,0.005906503724860896,0.26288551978133273,5,1.6515854440513067e-05,1.6515854440513067e-05,9.78136214231362e-07,1.5301532622916842e-05,1.7730176258109292e-05,5,1.6493547533863866e-05,1.5355517205937906e-05,1.771591973122412e-05,5,1.9119807984679937e-05,1.9119807984679937e-05,1.1036061250229082e-06,1.7749719671672074e-05,2.04898962976878e-05,5,1.9094697657348596e-05,1.7787414867546473e-05,2.0498058955761374e-05,5
aleatoric,3,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.004576712865965954,0.004576712865965954,0.00024625488082783055,0.004270996064841502,0.004882429667090405,5,0.00457150271158624,0.00427964258515769,0.004883266914512747,5,0.004528576690732531,0.004528576690732531,0.00014180618202408576,0.004352529287317266,0.0047046240941477965,5,0.004526816794146396,0.004355351530109686,0.004705032451708846,5,2.0994813830563516e-05,2.0994813830563516e-05,2.2849702880943353e-06,1.815810332642122e-05,2.3831524334705814e-05,5,2.0898637042040347e-05,1.8315340656695195e-05,2.3846295758374837e-05,5,2.052409403845421e-05,2.052409403845421e-05,1.293921827823191e-06,1.891773545267749e-05,2.2130452624230932e-05,5,2.0492070287765852e-05,1.8969086950828784e-05,2.213733037163336e-05,5,0.08239469716608024,0.08239469716608024,0.07765984427472368,-0.014017276832886977,0.17880667116504745,5,0.03382405888010743,0.0033511660047079723,0.34139369924310004,5,1.9124901155009865e-05,1.9124901155009865e-05,1.1040674803981613e-06,1.775424008547823e-05,2.04955622245415e-05,5,1.9099777456654456e-05,1.779199087370179e-05,2.0503691884922002e-05,5,2.2045807054382748e-05,2.2045807054382748e-05,1.4778577775308293e-06,2.021109843563461e-05,2.3880515673130887e-05,5,2.2006725604372633e-05,2.0265604865331585e-05,2.389743484314333e-05,5
aleatoric,4,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.005332506082412683,0.005332506082412683,0.0004549476370123149,0.004767704541022019,0.005897307623803348,5,0.005316535706681383,0.004770855428125827,0.005924629732811227,5,0.004871362110142448,0.004871362110142448,0.00017064235914938188,0.00465951560379055,0.005083208616494346,5,0.004868983110620975,0.004662502053583297,0.005084608276642506,5,2.8601203000906737e-05,2.8601203000906737e-05,4.761001782026661e-06,2.2690586203968482e-05,3.4511819797844994e-05,5,2.8265551920418115e-05,2.276106151607767e-05,3.510123747091084e-05,5,2.3753463859920338e-05,2.3753463859920338e-05,1.6697468055782753e-06,2.1680531740268027e-05,2.5826395979572648e-05,5,2.370699653151231e-05,2.1738925399668466e-05,2.585324132690147e-05,5,0.23835059960064356,0.23835059960064356,0.1264067570574421,0.08142104239468775,0.39528015680659934,5,0.2071263597657991,0.09485988692454422,0.4522599625693931,5,2.2053914290154352e-05,2.2053914290154352e-05,1.4724997165956508e-06,2.0225857516209557e-05,2.3881971064099147e-05,5,2.201513417657317e-05,2.028016836124435e-05,2.389852609600239e-05,5,2.551814577600453e-05,2.551814577600453e-05,1.8137904169206156e-06,2.3266388562880134e-05,2.7769902989128926e-05,5,2.5467074308883945e-05,2.3329348440512832e-05,2.7800685283088838e-05,5
aleatoric,5,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.005976045202687367,0.005976045202687367,0.00034475149959118355,0.0055480483025505435,0.0064040421028241905,5,0.005968043080490713,0.005553617951229313,0.0064133936693843005,5,0.0052429778061866454,0.0052429778061866454,0.0001713862775993599,0.005030207751160057,0.005455747861213234,5,0.0052407421345952885,0.0050326459144541,0.005457442980925791,5,3.5808199141738995e-05,3.5808199141738995e-05,4.106892011534112e-06,3.070963669250336e-05,4.090676159097463e-05,5,3.5617538210593085e-05,3.084267234821647e-05,4.113161835849862e-05,5,2.751231488108522e-05,2.751231488108522e-05,1.8012001654275313e-06,2.527618802378922e-05,2.974844173838122e-05,5,2.7465378121322385e-05,2.5327524900271543e-05,2.978368389005618e-05,5,0.2991260621708741,0.2991260621708741,0.08801421695882661,0.189859497497428,0.4083926268443202,5,0.28976487194563094,0.20557987715816406,0.4084236364684174,5,2.5528284095344133e-05,2.5528284095344133e-05,1.8103500298181734e-06,2.328079800219126e-05,2.7775770188497005e-05,5,2.5477441120491456e-05,2.3343989200685658e-05,2.7805873300740034e-05,5,2.9595500745926983e-05,2.9595500745926983e-05,1.8424020959921289e-06,2.7308223136329075e-05,3.1882778355524894e-05,5,2.9549672211470303e-05,2.735233349304981e-05,3.1923533252737464e-05,5
aleatoric,6,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.006655047624331017,0.006655047624331017,0.000743870395986407,0.005731558606985855,0.0075785366416761795,5,0.006621235310202821,0.005751303379543445,0.007622751599056987,5,0.005632542701127331,0.005632542701127331,0.00017345702717475563,0.005417201883101074,0.005847883519153587,5,0.005630403375693592,0.005418982990004041,0.005850072279521614,5,4.47323334149339e-05,4.47323334149339e-05,9.862036129998392e-06,3.248896131160163e-05,5.6975705518266166e-05,5,4.384075703307665e-05,3.3077490563547854e-05,5.8106341940925847e-05,5,3.17496071522438e-05,3.17496071522438e-05,1.9529752698345982e-06,2.932505682389344e-05,3.4174157480594166e-05,5,3.170144217302179e-05,2.9365376645953132e-05,3.4223345675627216e-05,5,0.4011680876961502,0.4011680876961502,0.25016909380149377,0.09059192839286623,0.7117442469994342,5,0.3127182573726494,0.10107600804379792,0.967516529261933,5,2.9599164918181486e-05,2.9599164918181486e-05,1.8429977939626952e-06,2.731114777043763e-05,3.188718206592534e-05,5,2.9553306877975407e-05,2.7355084310727445e-05,3.192817603860503e-05,5,3.398405242478475e-05,3.398405242478475e-05,2.11985576665821e-06,3.1352325810273204e-05,3.661577903929629e-05,5,3.393101870255115e-05,3.139613859241709e-05,3.667056147060535e-05,5
aleatoric,7,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.007574965278720451,0.007574965278720451,0.0006068826004811564,0.006821541806854713,0.008328388750586188,5,0.007555117583173127,0.006828598139665342,0.00835893407813996,5,0.006046074206671461,0.006046074206671461,0.0001837935153523391,0.005817901000958558,0.006274247412384363,5,0.006043834573124964,0.005819610355108188,0.006276697943400637,5,5.767474416643381e-05,5.767474416643381e-05,9.085882539166794e-06,4.639493953503396e-05,6.895454879783365e-05,5,5.707980169557176e-05,4.6629752553040965e-05,6.987177892268954e-05,5,3.6582037357606385e-05,3.6582037357606385e-05,2.2197433272961386e-06,3.382630383851007e-05,3.93377708767027e-05,5,3.652793634730061e-05,3.386786468528245e-05,3.939693707268978e-05,5,0.5784438606869712,0.5784438606869712,0.2496165062109916,0.268553719504187,0.8883340018697554,5,0.5320536904132677,0.29575028374824086,0.9571626640377179,5,3.4005970519501716e-05,3.4005970519501716e-05,2.1142020527307953e-06,3.1381262792618114e-05,3.663067824638532e-05,5,3.395326004564399e-05,3.1425048142159873e-05,3.6684871969392304e-05,5,3.92862937587779e-05,3.92862937587779e-05,2.3644412273711282e-06,3.635092286968655e-05,4.222166464786925e-05,5,3.9228918633230375e-05,3.638680533237318e-05,4.229302471254461e-05,5
aleatoric,8,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.008345189138279582,0.008345189138279582,0.0007016784019004637,0.007474080002387549,0.009216298274171614,5,0.008321564179503757,0.0074953280749179094,0.009238879165987469,5,0.006518224402245744,0.006518224402245744,0.00018408786547655982,0.006289685771173211,0.006746763033318277,5,0.006516136605033507,0.006290950169537044,0.006749383656075322,5,7.003606381741437e-05,7.003606381741437e-05,1.1723883746864494e-05,5.548127317205757e-05,8.459085446277117e-05,5,6.924843039360004e-05,5.617994295065262e-05,8.535688824371731e-05,5,4.2514360031804466e-05,4.2514360031804466e-05,2.3935807942357977e-06,3.9542813392051564e-05,4.548590667155737e-05,5,4.24600362554576e-05,3.957605403559816e-05,4.5554179736896676e-05,5,0.6587506486072058,0.6587506486072058,0.3452734344721052,0.2301057846141772,1.0873955126002344,5,0.5879680982126165,0.3020102808229082,1.1446844907855152,5,3.9302300137933344e-05,3.9302300137933344e-05,2.366122230739379e-06,3.6364842342094425e-05,4.223975793377226e-05,5,3.924485983277992e-05,3.640050648153212e-05,4.231147234382427e-05,5,4.5883667917223646e-05,4.5883667917223646e-05,2.4825483804588264e-06,4.280167113827986e-05,4.8965664696167434e-05,5,4.5829268103899214e-05,4.2823695431729536e-05,4.9045786305094856e-05,5
aleatoric,9,330.0,330.0,0.0,330.0,330.0,5,329.99999999999994,329.99999999999994,329.99999999999994,5,0.009588518991523406,0.009588518991523406,0.00037848755130133195,0.009118639965937031,0.01005839801710978,5,0.009582480137593795,0.009120591928938472,0.010067759450571848,5,0.007044675417570717,0.007044675417570717,0.0001876500712195663,0.006811714432955228,0.007277636402186206,5,0.007042655326580979,0.006811795007985715,0.00728133979235616,5,9.205429871199711e-05,9.205429871199711e-05,7.205468549443666e-06,8.310896212360732e-05,0.0001009996353003869,5,9.182392558737961e-05,8.318519713421758e-05,0.00010135978035457874,5,4.965562177830814e-05,4.965562177830814e-05,2.6244249935620705e-06,4.639749015823355e-05,5.291375339838273e-05,5,4.959899404901944e-05,4.640055123081911e-05,5.301790917174925e-05,5,0.8595668575705648,0.8595668575705648,0.19521893490301798,0.617209394048046,1.1019243210930836,5,0.8414396911973018,0.6303630683765535,1.1231951702780714,5,4.5891925401519985e-05,4.5891925401519985e-05,2.4832757856545195e-06,4.280902557452777e-05,4.89748252285122e-05,5,4.58374947421934e-05,4.2830701951045604e-05,4.90553698289158e-05,5,5.368684214772657e-05,5.368684214772657e-05,2.8117308808988725e-06,5.019617683526023e-05,5.7177507460192904e-05,5,5.362678437056107e-05,5.020152827698417e-05,5.728574608445001e-05,5
