metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n,value_geometric_mean,value_geometric_ci95_low,value_geometric_ci95_high,value_geometric_n
ause,aleatoric,0.17479586075194964,0.17479586075194964,0.014740703608490979,0.15649579401474562,0.19309592748915366,5,0.1742950193757817,0.15685824503692283,0.1936701113292022,5
ause,epistemic,0.17462832873243478,0.17462832873243478,0.01649708160129829,0.15414778029382706,0.1951088771710425,5,0.17402601646511934,0.15520638396289174,0.19512763349965573,5
ause,total,0.16259682399877726,0.16259682399877726,0.014073066461792716,0.14512560537258043,0.18006804262497408,5,0.16211563018150993,0.14572610136302777,0.18034845716263687,5
ence,aleatoric,0.6318117282577105,0.6318117282577105,0.14744841516333443,0.4487596902105108,0.8148637663049101,5,0.6181297692955195,0.46208323586017613,0.8268735631104976,5
ence,epistemic,1.5645165493929336,1.5645165493929336,0.5397502168076976,0.8944355782707981,2.234597520515069,5,1.4909741577271942,0.9688594918181427,2.2944544155093847,5
ence,total,0.3235271438781018,0.3235271438781018,0.05825531250795194,0.2512052157661959,0.39584907199000763,5,0.3193185416993316,0.2548709391418921,0.40006260194388843,5
rmse,ensemble,0.03295202998723298,0.03295202998723298,0.009033973888255803,0.021736668126079335,0.04416739184838662,5,0.03173125885092599,0.021180209086313063,0.04753837812276951,5
spearman,aleatoric,0.48981011263890817,0.48981011263890817,0.01987693831505115,0.46513359058420817,0.5144866346936081,5,0.48948463364790673,0.465273893784816,0.5149551904329186,5
spearman,epistemic,0.5014983704872229,0.5014983704872229,0.010071225883930422,0.488995296638345,0.5140014443361007,5,0.5014175264056969,0.48907665340638107,0.5140697966989225,5
spearman,total,0.5178644004336201,0.5178644004336201,0.015640986908984734,0.49844666354178824,0.537282137325452,5,0.5176748501019183,0.49857697453552363,0.537504265369859,5
