config_index,num_atoms,ref_energy,pred_energy,error,sq_error,rmse_e_atom,aleatoric_var,epistemic_var,total_var
0,20.0,-526.3682250976562,-526.369140625,-0.00091552734375,8.381903171539307e-07,0.00091552734375,1.2084889021934941e-05,6.9156290010141674e-06,1.9000517568201758e-05
1,20.0,-526.364501953125,-526.3580932617188,0.00640869140625,4.10713255405426e-05,0.00640869140625,1.888772203528788e-05,9.259209036827087e-06,2.8146931072114967e-05
2,20.0,-526.3622436523438,-526.3646850585938,-0.00244140625,5.9604644775390625e-06,0.00244140625,8.091256313491613e-05,6.727762229274958e-05,0.0001481901854276657
3,20.0,-526.4917602539062,-526.4699096679688,0.0218505859375,0.00047744810581207275,0.0218505859375,7.850699330447242e-05,3.927107900381088e-05,0.0001177780723082833
4,20.0,-526.5093994140625,-526.5017700195312,0.00762939453125,5.820766091346741e-05,0.00762939453125,3.271077002864331e-05,2.5484525394858792e-05,5.81952954235021e-05
5,20.0,-526.3558959960938,-526.3443603515625,0.01153564453125,0.00013307109475135803,0.01153564453125,9.085746569326147e-05,5.2357463573571295e-05,0.00014321492926683277
6,20.0,-526.1895751953125,-526.3973999023438,-0.20782470703125,0.04319110885262489,0.20782470703125,0.0002986484032589942,0.00013450122787617147,0.0004331496311351657
7,20.0,-526.4996337890625,-526.4945678710938,0.00506591796875,2.5663524866104126e-05,0.00506591796875,3.4425149351591244e-05,1.3518892046704423e-05,4.794404230779037e-05
8,20.0,-526.4920654296875,-526.4912109375,0.0008544921875,7.301568984985352e-07,0.0008544921875,4.209227336104959e-05,5.235336629993981e-06,4.732760862680152e-05
9,20.0,-526.5172729492188,-526.5151977539062,0.0020751953125,4.306435585021973e-06,0.0020751953125,3.328463208163157e-05,9.125471478910185e-06,4.241010174155235e-05
10,20.0,-526.4056396484375,-526.419189453125,-0.0135498046875,0.00018359720706939697,0.0135498046875,5.873667760170065e-05,4.677697870647535e-05,0.00010551365267019719
11,20.0,-526.4991455078125,-526.4944458007812,0.00469970703125,2.208724617958069e-05,0.00469970703125,3.47487221006304e-05,1.3775378647551406e-05,4.852409983868711e-05
12,20.0,-526.4539794921875,-526.4639892578125,-0.010009765625,0.00010019540786743164,0.010009765625,5.010360837331973e-05,2.1037087208242156e-05,7.114069740055129e-05
13,20.0,-526.3284912109375,-526.3194580078125,0.009033203125,8.159875869750977e-05,0.009033203125,0.00019372448150534183,0.00012319814413785934,0.00031692261109128594
14,20.0,-526.432861328125,-526.4266967773438,0.00616455078125,3.8001686334609985e-05,0.00616455078125,7.693350926274434e-05,1.591704858583398e-05,9.285056148655713e-05
15,20.0,-526.37744140625,-526.3707275390625,0.0067138671875,4.507601261138916e-05,0.0067138671875,8.686381625011563e-05,5.5752694606781006e-05,0.00014261651085689664
16,20.0,-526.4467163085938,-526.4479370117188,-0.001220703125,1.4901161193847656e-06,0.001220703125,3.4805623727152124e-05,2.639535887283273e-05,6.120098259998485e-05
17,20.0,-526.5335693359375,-526.53125,0.0023193359375,5.379319190979004e-06,0.0023193359375,1.8503522369428538e-05,6.77499929224723e-06,2.5278521206928417e-05
18,20.0,-526.3433837890625,-526.3528442382812,-0.00946044921875,8.950009942054749e-05,0.00946044921875,7.435512088704854e-05,2.98064205708215e-05,0.00010416153963888064
19,20.0,-526.4661865234375,-526.4675903320312,-0.00140380859375,1.9706785678863525e-06,0.00140380859375,2.3937849618960172e-05,6.870366632938385e-06,3.080821625189856e-05
20,20.0,-526.3120727539062,-526.3223876953125,-0.01031494140625,0.00010639801621437073,0.01031494140625,0.00012193251313874498,9.012296504806727e-05,0.00021205548546276987
21,20.0,-526.3177490234375,-526.3544311523438,-0.03668212890625,0.0013455785810947418,0.03668212890625,0.00017554165970068425,0.00013956931070424616,0.0003151109558530152
22,20.0,-526.4400024414062,-526.44384765625,-0.00384521484375,1.4785677194595337e-05,0.00384521484375,3.720580934896134e-05,1.236703246831894e-05,4.957284181728028e-05
23,20.0,-526.4658813476562,-526.462158203125,0.00372314453125,1.3861805200576782e-05,0.00372314453125,5.84721565246582e-05,3.932341860490851e-05,9.779557876754552e-05
24,20.0,-526.3975830078125,-526.3988037109375,-0.001220703125,1.4901161193847656e-06,0.001220703125,5.023814082960598e-05,4.1188857721863315e-05,9.14269985514693e-05
25,20.0,-526.509765625,-526.512451171875,-0.002685546875,7.212162017822266e-06,0.002685546875,2.1224763258942403e-05,1.5780329704284668e-05,3.700509114423767e-05
26,20.0,-526.5162353515625,-526.514892578125,0.0013427734375,1.8030405044555664e-06,0.0013427734375,1.8567407096270472e-05,6.467662842624122e-06,2.5035069484147243e-05
27,22.0,-613.7542114257812,-613.8970947265625,-0.14288330078125,0.020415637642145157,0.14288330078125,0.001974694896489382,0.0005528720212168992,0.00252756685949862
28,22.0,-613.9822387695312,-613.98486328125,-0.00262451171875,6.888061761856079e-06,0.00262451171875,1.604878889338579e-05,9.113364285440184e-06,2.5162153178825974e-05
29,22.0,-613.8681030273438,-613.87451171875,-0.00640869140625,4.10713255405426e-05,0.00640869140625,2.20170750253601e-05,2.6066602003993466e-05,4.808367521036416e-05
30,22.0,-613.774169921875,-613.8734741210938,-0.09930419921875,0.009861323982477188,0.09930419921875,0.0005689642275683582,9.218100603902712e-05,0.0006611452554352582
31,22.0,-614.1151123046875,-614.1184692382812,-0.00335693359375,1.126900315284729e-05,0.00335693359375,2.063361716864165e-05,1.0923296031251084e-05,3.155691229039803e-05
32,22.0,-614.0180053710938,-614.0370483398438,-0.01904296875,0.00036263465881347656,0.01904296875,4.5001892431173474e-05,5.220733510213904e-05,9.720922389533371e-05
33,22.0,-614.0646362304688,-614.0712890625,-0.00665283203125,4.4260174036026e-05,0.00665283203125,4.3089399696327746e-05,2.0893663531751372e-05,6.398306140908971e-05
34,22.0,-613.99365234375,-613.9951171875,-0.00146484375,2.1457672119140625e-06,0.00146484375,5.4824464314151555e-05,6.31131260888651e-05,0.00011793759040301666
35,22.0,-613.9979858398438,-614.01708984375,-0.01910400390625,0.00036496296525001526,0.01910400390625,0.0002465855795890093,0.00012858751870226115,0.00037517311284318566
36,22.0,-614.069580078125,-614.0675048828125,0.0020751953125,4.306435585021973e-06,0.0020751953125,3.957644366892055e-05,3.286246283096261e-05,7.243891013786197e-05
37,22.0,-614.070556640625,-614.0755004882812,-0.00494384765625,2.4441629648208618e-05,0.00494384765625,4.00374956370797e-05,3.4021959436358884e-05,7.405945507343858e-05
38,22.0,-613.9412231445312,-613.9417724609375,-0.00054931640625,3.0174851417541504e-07,0.00054931640625,0.00010521023068577051,0.00012612994760274887,0.00023134017828851938
39,22.0,-613.9962158203125,-614.0000610351562,-0.00384521484375,1.4785677194595337e-05,0.00384521484375,5.5595068261027336e-05,6.337836566672195e-06,6.193290755618364e-05
40,22.0,-614.11279296875,-614.1024169921875,0.0103759765625,0.00010766088962554932,0.0103759765625,3.765289511648007e-05,2.7488917112350464e-05,6.514180859085172e-05
41,22.0,-614.031494140625,-614.0339965820312,-0.00250244140625,6.2622129917144775e-06,0.00250244140625,4.36257068940904e-05,2.5751442080945708e-05,6.937715079402551e-05
42,22.0,-614.12890625,-614.1295776367188,-0.00067138671875,4.507601261138916e-07,0.00067138671875,2.37790936807869e-05,8.508935934514739e-06,3.228802961530164e-05
43,22.0,-614.1329345703125,-614.1331176757812,-0.00018310546875,3.3527612686157227e-08,0.00018310546875,2.488918835297227e-05,1.0661967280611861e-05,3.555115472408943e-05
44,22.0,-614.0894165039062,-614.0936279296875,-0.00421142578125,1.7736107110977173e-05,0.00421142578125,2.9055652703391388e-05,2.9911101592006162e-05,5.896675429539755e-05
45,22.0,-614.0173950195312,-614.033203125,-0.01580810546875,0.00024989619851112366,0.01580810546875,0.00011066991282859817,2.0939483874826692e-05,0.00013160939852241427
46,22.0,-614.052978515625,-614.0570678710938,-0.00408935546875,1.6722828149795532e-05,0.00408935546875,3.7516048905672505e-05,5.4192358220461756e-05,9.170841076411307e-05
47,22.0,-614.006103515625,-613.9996337890625,0.0064697265625,4.1857361793518066e-05,0.0064697265625,4.890329364570789e-05,1.4081038898439147e-05,6.298433436313644e-05
48,22.0,-614.05712890625,-614.0635986328125,-0.0064697265625,4.1857361793518066e-05,0.0064697265625,4.2046722228406e-05,1.0159611520066392e-05,5.220633465796709e-05
49,22.0,-614.0177001953125,-614.0265502929688,-0.00885009765625,7.832422852516174e-05,0.00885009765625,4.811177495867014e-05,3.077201472478919e-05,7.888379332143813e-05
50,22.0,-614.0282592773438,-614.0377197265625,-0.00946044921875,8.950009942054749e-05,0.00946044921875,3.814880255958997e-05,3.1905434298096225e-05,7.005423685768619e-05
51,22.0,-614.0346069335938,-614.0477905273438,-0.01318359375,0.00017380714416503906,0.01318359375,4.464767698664218e-05,1.887809412437491e-05,6.35257747489959e-05
52,22.0,-614.047607421875,-614.0497436523438,-0.00213623046875,4.563480615615845e-06,0.00213623046875,0.000233435450354591,4.8410518502350897e-05,0.0002818459761328995
53,22.0,-614.0560302734375,-614.0503540039062,0.00567626953125,3.2220035791397095e-05,0.00567626953125,3.8346159271895885e-05,3.5582856071414426e-05,7.39290117053315e-05
54,22.0,-614.0745849609375,-614.06689453125,0.0076904296875,5.914270877838135e-05,0.0076904296875,3.3496766263851896e-05,6.27446934231557e-05,9.62414633249864e-05
55,22.0,-614.077392578125,-614.0817260742188,-0.00433349609375,1.877918839454651e-05,0.00433349609375,5.107744436827488e-05,5.268976019578986e-05,0.00010376720456406474
56,23.0,-676.3327026367188,-676.337646484375,-0.00494384765625,2.4441629648208618e-05,0.00494384765625,7.491296855732799e-05,3.900006413459778e-05,0.00011391303269192576
57,23.0,-676.37255859375,-676.3746337890625,-0.0020751953125,4.306435585021973e-06,0.0020751953125,6.0507220041472465e-05,3.037490023416467e-05,9.088212391361594e-05
58,23.0,-676.3897094726562,-676.3925170898438,-0.0028076171875,7.88271427154541e-06,0.0028076171875,2.359862810408231e-05,1.1454709238023497e-05,3.5053337342105806e-05
59,23.0,-676.3496704101562,-676.3536376953125,-0.00396728515625,1.5739351511001587e-05,0.00396728515625,3.654156535048969e-05,2.4184026187867858e-05,6.072559335734695e-05
