uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,3300,0.0013767845338361368,0.0025325877246850158,1.8955356526103887e-06,6.414000583225226e-06,0.7044690551529019,2.8700103484879946e-06,7.4559220593073405e-06
aleatoric,1,3300,0.0017756722015197846,0.0028680085259437742,3.153011767250119e-06,8.225472904886181e-06,0.6166771438299755,7.456064395228168e-06,8.971100214694161e-06
aleatoric,2,3300,0.0020884112235867386,0.0031109282280600364,4.361461438803059e-06,9.677874440140757e-06,0.5493368439754602,8.97123300092062e-06,1.036821322486503e-05
aleatoric,3,3300,0.00231179926278382,0.0033288953798759164,5.3444158314078146e-06,1.1081544450159223e-05,0.5177192262824859,1.0369322808401193e-05,1.1809570423793048e-05
aleatoric,4,3300,0.0026023622740462813,0.003551630848055117,6.772289405379332e-06,1.2614081680856709e-05,0.46311673122768465,1.1809962416009512e-05,1.3454259715217631e-05
aleatoric,5,3300,0.002935502982599302,0.003790697388384486,8.617177760849396e-06,1.4369386690304964e-05,0.4003099821467389,1.3454590771289077e-05,1.532162059447728e-05
aleatoric,6,3300,0.0032109049150480977,0.004045040525274862,1.0309910373480032e-05,1.6362352851115937e-05,0.36990049858404805,1.5322570106945932e-05,1.743830398481805e-05
aleatoric,7,3300,0.0036113033965906025,0.004326075545463239,1.3041512222226822e-05,1.871492962505506e-05,0.3031492779557565,1.7439231669413857e-05,2.0111596313654445e-05
aleatoric,8,3300,0.003825270270872274,0.004668016620327657,1.463269264521924e-05,2.1790379167655237e-05,0.3284792094421459,2.0112129277549684e-05,2.3713218979537487e-05
aleatoric,9,3300,0.0043329494732347205,0.005098967630510881,1.877445113760504e-05,2.5999470896997742e-05,0.2778910304758165,2.371383015997708e-05,2.8457166990847327e-05
aleatoric,10,3300,0.005099532962140385,0.005613899714918087,2.600523643195629e-05,3.151587000915738e-05,0.1748526559983874,2.846091774699744e-05,3.47998648067005e-05
aleatoric,11,3300,0.005909062897880754,0.006236383508267674,3.4917024331110895e-05,3.889247926219303e-05,0.10221654691339338,3.4801971196429804e-05,4.357200305094011e-05
aleatoric,12,3300,0.006874033886964526,0.007057972282141362,4.7252341879136635e-05,4.981497273547575e-05,0.05144298421976519,4.3573738366831094e-05,5.7067980378633365e-05
aleatoric,13,3300,0.008635046269259554,0.008320608029342114,7.456402407225335e-05,6.923251797795246e-05,0.07700869836914988,5.70716911170166e-05,8.659913873998448e-05
aleatoric,14,3300,0.012386796737152277,0.012757202006253035,0.0001534327334075263,0.00016274620302834646,0.0572269548998201,8.6605352407787e-05,0.0007770931115373969
epistemic,0,3300,0.0017131184245919055,0.0012517106337244363,2.934774736676252e-06,1.5667795105788297e-06,0.8731255526771802,1.7997808754444122e-07,2.199225036747521e-06
epistemic,1,3300,0.001972715304389492,0.0016347003255051242,3.891605672172525e-06,2.672245154206559e-06,0.4563056335031573,2.1993182599544525e-06,3.1298027352022473e-06
epistemic,2,3300,0.0022730919677311865,0.0018910625322766062,5.166947093764038e-06,3.57611750098041e-06,0.4448482445969671,3.1299889542424353e-06,4.023127075925004e-06
epistemic,3,3300,0.002466233908654037,0.0021209646378619698,6.082309692194968e-06,4.498490995060957e-06,0.3520777742742927,4.023313522338867e-06,5.0001776799035724e-06
epistemic,4,3300,0.0027063809794008868,0.002350961802375705,7.3244980056629034e-06,5.527021396229622e-06,0.3252161481877869,5.000270903110504e-06,6.076320914871758e-06
epistemic,5,3300,0.0028747745732474674,0.00258751660158944,8.264328846990158e-06,6.695242163500965e-06,0.23435846608253405,6.076320914871758e-06,7.359124538197648e-06
epistemic,6,3300,0.003320882084554265,0.0028534734266912622,1.102825781951348e-05,8.142310596833174e-06,0.35443836099825893,7.359124538197648e-06,8.95187258720398e-06
epistemic,7,3300,0.003565158997773798,0.00314239060693456,1.2710358679407475e-05,9.874618726550552e-06,0.28717462733343596,8.952803909778595e-06,1.0848836609511636e-05
epistemic,8,3300,0.003932662994444425,0.003465622906418773,1.5465838227872596e-05,1.2010542129494503e-05,0.2876886039883962,1.0849535101442598e-05,1.3327598935575224e-05
epistemic,9,3300,0.004476979771847864,0.0038656572236575584,2.0043347877534953e-05,1.4943305770815862e-05,0.34129276245417034,1.3328157365322113e-05,1.6750022041378543e-05
epistemic,10,3300,0.005064368406183958,0.0043708980095395426,2.564782735355424e-05,1.9104749409796733e-05,0.34248436362124074,1.6750767827033997e-05,2.184975892305374e-05
epistemic,11,3300,0.005948059445980006,0.005041284304993211,3.5379411172911977e-05,2.541454744377089e-05,0.3920929047108993,2.18519944610307e-05,2.9398501283139922e-05
epistemic,12,3300,0.006916232404719347,0.005954177855109194,4.783427067608996e-05,3.545223393027272e-05,0.34925970448491805,2.9398686820059083e-05,4.2684747313614935e-05
epistemic,13,3300,0.009010953632189832,0.007392601473494837,8.119728536147512e-05,5.465055654591803e-05,0.4857540433875037,4.268959310138598e-05,7.117465429473668e-05
epistemic,14,3300,0.011836501051450723,0.01123162961463555,0.00014010275714099407,0.00012614950380035833,0.11060886424664727,7.117837958503515e-05,0.0006358109530992806
total,0,3300,0.0013445579608806126,0.0029456576416479847,1.807836110167431e-06,8.676898941799167e-06,0.7916495141532012,6.299835604295367e-06,1.0261392162647098e-05
total,1,3300,0.0018086904672105762,0.0033955388353274674,3.2713612061784125e-06,1.1529683982217015e-05,0.716266186373881,1.0263827789458446e-05,1.2725731721729971e-05
total,2,3300,0.0020706167557763455,0.00372436567761063,4.287453749301759e-06,1.3870899700564085e-05,0.6909029809272285,1.272585450351471e-05,1.5101848475751467e-05
total,3,3300,0.002301753321235326,0.004034042794619526,5.298068351817854e-06,1.627350126882172e-05,0.6744358657489165,1.510189122200245e-05,1.7489055608166382e-05
total,4,3300,0.00251250598026447,0.004340205563882723,6.312686300864725e-06,1.8837384336758544e-05,0.664885199133173,1.748910108290147e-05,2.02512092073448e-05
total,5,3300,0.0029249260723264022,0.004665902134898362,8.555192528574755e-06,2.1770642732449094e-05,0.6070307783874814,2.0251463865861297e-05,2.3368200345430523e-05
total,6,3300,0.0031900456820678547,0.0050128700157803276,1.0176391453679764e-05,2.5128865795109462e-05,0.5950318037967206,2.3370934286504053e-05,2.7012132704840042e-05
total,7,3300,0.0035333688171429165,0.005400159308875354,1.2484695197957934e-05,2.9161720561233145e-05,0.5718807067044331,2.7016059902962297e-05,3.1553143344353884e-05
total,8,3300,0.0037717833288625838,0.0058691263200481405,1.4226349479885715e-05,3.444664376068183e-05,0.5870033208830642,3.155572267132811e-05,3.767315502045676e-05
total,9,3300,0.004289786454590404,0.006448915370149815,1.8402267825987304e-05,4.158850945135452e-05,0.557515571758777,3.767316957237199e-05,4.609164534485899e-05
total,10,3300,0.005114808099102838,0.007183115916200628,2.6161261890647988e-05,5.159715426557479e-05,0.4929708379653299,4.609274765243754e-05,5.782709195045754e-05
