uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,3300,0.0028794692686954816,0.003143940466733524,8.29134326936169e-06,9.884361658364606e-06,0.16116553036632666,4.72587043987005e-06,1.233209786732914e-05
aleatoric,1,3300,0.004044025725819223,0.003784083038907429,1.6354144071087694e-05,1.4319284445346884e-05,0.1421062367681401,1.2333504855632782e-05,1.6416779544670135e-05
aleatoric,2,3300,0.005276559324170549,0.004359033529036824,2.7842078301491158e-05,1.900117330726723e-05,0.4652820566002952,1.641907510929741e-05,2.1799354726681486e-05
aleatoric,3,3300,0.0064453915180883205,0.004992453439370736,4.154307182144487e-05,2.492459134428469e-05,0.6667503690475094,2.1801446564495564e-05,2.844013215508312e-05
aleatoric,4,3300,0.008955276420786373,0.005673589034091421,8.01969757726924e-05,3.2189612527762425e-05,1.4913930139272502,2.8441731046768837e-05,3.638055932242423e-05
aleatoric,5,3300,0.01558394580288687,0.006414455214008812,0.0002428593667873153,4.114523569252483e-05,4.9024905970203845,3.638084672274999e-05,4.636571611627005e-05
aleatoric,6,3300,0.016644537101131677,0.007230640099778232,0.0002770406153109489,5.228215625252095e-05,4.298951595891581,4.6366098104044795e-05,5.869006781722419e-05
aleatoric,7,3300,0.01875269778721046,0.008147862530780212,0.0003516636742984481,6.638766382049212e-05,4.297123803743472,5.8690649893833324e-05,7.458492473233491e-05
aleatoric,8,3300,0.02890269500626997,0.009198561170140456,0.000835365778625463,8.461352760081575e-05,8.87272132851496,7.458533946191892e-05,9.580863115843385e-05
aleatoric,9,3300,0.03228826969328189,0.010492214799347881,0.001042532359786106,0.00011008657139565471,8.470113807425347,9.581221820553765e-05,0.0001258402189705521
aleatoric,10,3300,0.04551041769956909,0.012205991953620897,0.0020711981191892516,0.00014898623957185808,12.901942388379329,0.00012585018703248352,0.0001773001131368801
aleatoric,11,3300,0.05621023323804817,0.014844921935709259,0.003159590320675775,0.00022037170727730193,13.337549768582338,0.00017734301218297333,0.00027534825494512916
aleatoric,12,3300,0.07198127407211584,0.01943165449027789,0.0051813038170450566,0.00037758919622953697,12.722065855653707,0.00027536347624845803,0.000516464002430439
aleatoric,13,3300,0.11062494038477748,0.02838870540549604,0.012237877435135571,0.0008059185946000401,14.18500443733894,0.0005166737246327102,0.0012578663881868124
aleatoric,14,3300,0.1674076800659885,0.05880270974415276,0.028025331345076364,0.003457758673255078,7.105057059604964,0.0012580308830365539,0.01800544746220112
epistemic,0,3300,0.005354816465403137,0.0019737170781113232,2.8674059378152545e-05,3.895559104428299e-06,6.360704486695413,5.787238706034259e-07,5.8064238146471325e-06
epistemic,1,3300,0.004904056458518902,0.002745151272347442,2.4049769748340954e-05,7.535855508070778e-06,2.191378831850484,5.8064238146471325e-06,9.274483090848662e-06
epistemic,2,3300,0.006985371200796496,0.0033462943497511214,4.879541081291708e-05,1.119768587517628e-05,3.357633475063786,9.275972843170166e-06,1.324433833360672e-05
epistemic,3,3300,0.014202977750298456,0.003949623329101389,0.00020172457697547296,1.5599524441781934e-05,11.931456835643765,1.3246573871583678e-05,1.819394492486026e-05
epistemic,4,3300,0.01639514870003555,0.004611649491002684,0.00026880090089627737,2.1267311027865313e-05,11.639157839187252,1.819618046283722e-05,2.4809687602100894e-05
epistemic,5,3300,0.02304290871963201,0.005370437312298814,0.0005309756422612929,2.884159692533131e-05,17.410063896113254,2.4813041818561032e-05,3.3189357054652646e-05
epistemic,6,3300,0.025525746815899402,0.006198880960068426,0.0006515637505093984,3.842612515709885e-05,15.956269929522895,3.319177631055936e-05,4.37392845924478e-05
epistemic,7,3300,0.032840988138067934,0.007077700354451685,0.0010785305018847188,5.0093842307405515e-05,20.530201162574357,4.374310447019525e-05,5.689281897502951e-05
epistemic,8,3300,0.03718478043530048,0.008037779194783599,0.0013827078960215052,6.460589438409608e-05,20.402194168244254,5.689309909939766e-05,7.307603664230555e-05
epistemic,9,3300,0.04204347409314834,0.009109760429421288,0.001767653713821236,8.298773508144994e-05,20.300180226467653,7.307789928745478e-05,9.374972432851791e-05
epistemic,10,3300,0.05383001532238919,0.010344407604650906,0.0028976705496086544,0.00010700676869115947,26.079320168725456,9.375661466037855e-05,0.0001214459553011693
epistemic,11,3300,0.061698790248641236,0.011815154956789767,0.0038067407181458265,0.00013959788665295381,26.269329138266563,0.00012145507935201749,0.00016049295663833618
epistemic,12,3300,0.07300624331662876,0.013793485586154048,0.005329911563206803,0.0001902602446154395,27.013795388415495,0.0001604989229235798,0.00022582263045478612
epistemic,13,3300,0.09689543298041031,0.016808860528772833,0.009388724932461187,0.00028253779227573733,32.22997910063105,0.00022582798555959016,0.00036243294016458094
epistemic,14,3300,0.16184086770477535,0.026934563891188777,0.026192466459434592,0.0007254707320085304,35.104098075629345,0.00036256705061532557,0.009435887448489666
total,0,3300,0.00288127899542588,0.0038540492486781506,8.301768649482367e-06,1.4853695611236616e-05,0.4410974301101072,8.20776040200144e-06,1.9412735127843916e-05
total,1,3300,0.00407378173310426,0.004809149900817097,1.6595697608973944e-05,2.312792276852909e-05,0.28243890404389255,1.9418819647398777e-05,2.704719008761458e-05
total,2,3300,0.006871731666944594,0.00561027807673225,4.7220696102489126e-05,3.147522009826251e-05,0.5002499094548284,2.704779944906477e-05,3.6299672501627356e-05
total,3,3300,0.006230041855141933,0.006488835877138207,3.881342151682034e-05,4.2104991040435957e-05,0.07817528141627024,3.630218998296186e-05,4.8399400839116424e-05
total,4,3300,0.00856392055823022,0.0074824795632102425,7.33407353276782e-05,5.598750041385894e-05,0.30994837750469917,4.840217297896743e-05,6.420248973881826e-05
total,5,3300,0.015158586758776956,0.008595792679366407,0.00022978275252336804,7.388765178664911e-05,2.109893831608922,6.421732541639358e-05,8.435313066001981e-05
total,6,3300,0.019790202352981876,0.009837980812858492,0.0003916521091719694,9.678586647417185e-05,3.0465836949084424,8.435637573711574e-05,0.00010990253940690309
total,7,3300,0.02428868706073039,0.011181473411504175,0.0005899403191340918,0.0001250253476521748,3.7185657165723534,0.00010990393639076501,0.0001413391437381506
total,8,3300,0.023396612763108372,0.012693212919149892,0.0005474014887868455,0.00016111765421087374,2.3975264316497333,0.00014134487719275057,0.00018355262000113726
total,9,3300,0.032861606024409094,0.014507207169820057,0.0010798851505034802,0.00021045905986807846,4.131093672947042,0.00018355503561906517,0.0002401160163572058
total,10,3300,0.04091539748338491,0.01670989807961582,0.00167406975122338,0.00027922069383114857,4.99550745417075,0.00024016108363866806,0.0003246916166972369
total,11,3300,0.051625774271187,0.019734015559331262,0.0026652205690995538,0.0003894313700959284,5.843877442238492,0.0003247397253289819,0.0004677222459577024
total,12,3300,0.06687536174004967,0.024490136842293155,0.0044723140078624995,0.0005997668025542446,6.456754840074716,0.00046772710629738867,0.0007730412762612104
total,13,3300,0.09859511585843928,0.03326051653053503,0.009720996871139065,0.001106261959877994,7.787246803832215,0.0007731487858109176,0.0016157793579623103
total,14,3300,0.17900685770806848,0.06344507395286181,0.032043455106516676,0.004025277408884104,6.960558205452933,0.0016162304673343897,0.018555965274572372
