config_index,num_atoms,ref_energy,pred_energy,error,sq_error,rmse_e_atom,aleatoric_var,epistemic_var,total_var
0,20.0,-526.5970458984375,-526.5948486328125,0.002197265625,4.827976226806641e-06,0.002197265625,1.848399369919207e-05,1.0207108971371781e-05,2.869110176106915e-05
1,20.0,-526.5499267578125,-526.5445556640625,0.00537109375,2.8848648071289062e-05,0.00537109375,2.3844353563617915e-05,1.3674050933332182e-05,3.7518402677960694e-05
2,20.0,-526.5780639648438,-526.5790405273438,-0.0009765625,9.5367431640625e-07,0.0009765625,1.939751200552564e-05,2.040993422269821e-05,3.9807448047213256e-05
3,20.0,-526.5820922851562,-526.5807495117188,0.0013427734375,1.8030405044555664e-06,0.0013427734375,1.9964127204730175e-05,1.3526715520129073e-05,3.349084363435395e-05
4,20.0,-526.6473999023438,-526.64453125,0.00286865234375,8.229166269302368e-06,0.00286865234375,1.5297875506803393e-05,1.270156371901976e-05,2.799943831632845e-05
5,20.0,-526.6136474609375,-526.6144409179688,-0.00079345703125,6.295740604400635e-07,0.00079345703125,1.1198075299034826e-05,2.5913118406606372e-06,1.3789387594442815e-05
6,20.0,-526.5902709960938,-526.5885620117188,0.001708984375,2.9206275939941406e-06,0.001708984375,1.2544201126729604e-05,2.442672894176212e-06,1.498687379353214e-05
7,20.0,-526.5936279296875,-526.59228515625,0.0013427734375,1.8030405044555664e-06,0.0013427734375,1.3502128240361344e-05,2.5017186544573633e-06,1.6003847122192383e-05
8,20.0,-526.6054077148438,-526.6036376953125,0.00177001953125,3.1329691410064697e-06,0.00177001953125,1.2689373761531897e-05,3.302283630546299e-06,1.5991658074199222e-05
9,20.0,-526.5880126953125,-526.5870971679688,0.00091552734375,8.381903171539307e-07,0.00091552734375,1.2488788343034685e-05,3.3015385270118713e-06,1.5790326870046556e-05
10,20.0,-526.5762329101562,-526.5798950195312,-0.003662109375,1.341104507446289e-05,0.003662109375,1.4894153537170496e-05,4.599057319865096e-06,1.9493210857035592e-05
11,20.0,-526.5850219726562,-526.5841674804688,0.0008544921875,7.301568984985352e-07,0.0008544921875,1.1994331543974113e-05,1.1811032436526148e-06,1.3175435015000403e-05
12,20.0,-526.6492309570312,-526.6492309570312,0.0,0.0,0.0,1.4227380233933218e-05,7.56923100198037e-06,2.179661169066094e-05
13,20.0,-526.5904541015625,-526.5879516601562,0.00250244140625,6.2622129917144775e-06,0.00250244140625,2.1202473362791352e-05,6.3238667280529626e-06,2.7526341000339016e-05
14,22.0,-614.20556640625,-614.2012329101562,0.00433349609375,1.877918839454651e-05,0.00433349609375,1.4525739061355125e-05,4.961155354976654e-06,1.948689532582648e-05
15,22.0,-614.2136840820312,-614.214111328125,-0.00042724609375,1.825392246246338e-07,0.00042724609375,1.1523835382831749e-05,1.705624185888155e-06,1.3229459909780417e-05
16,22.0,-614.232421875,-614.2296752929688,0.00274658203125,7.543712854385376e-06,0.00274658203125,9.08583479031222e-06,4.558451564662391e-06,1.3644286809721962e-05
17,22.0,-614.261962890625,-614.2600708007812,0.00189208984375,3.5800039768218994e-06,0.00189208984375,9.169731129077263e-06,3.772228865273064e-06,1.2941960449097678e-05
18,22.0,-614.1688842773438,-614.1690063476562,-0.0001220703125,1.4901161193847656e-08,0.0001220703125,1.228064502356574e-05,3.0461699225270422e-06,1.5326815628213808e-05
19,22.0,-614.2761840820312,-614.2755126953125,0.00067138671875,4.507601261138916e-07,0.00067138671875,9.911917913996149e-06,1.987442374229431e-06,1.189936028822558e-05
20,22.0,-614.2539672851562,-614.2530517578125,0.00091552734375,8.381903171539307e-07,0.00091552734375,9.651345862948801e-06,3.53250652551651e-06,1.3183852388465311e-05
21,22.0,-614.2075805664062,-614.2105102539062,-0.0029296875,8.58306884765625e-06,0.0029296875,1.531180714664515e-05,6.333924829959869e-06,2.164573197660502e-05
22,22.0,-614.2168579101562,-614.2152709960938,0.0015869140625,2.518296241760254e-06,0.0015869140625,9.832197974901646e-06,3.084726586166653e-06,1.2916924788441975e-05
23,22.0,-614.236083984375,-614.2374877929688,-0.00140380859375,1.9706785678863525e-06,0.00140380859375,9.825940651353449e-06,2.575106918811798e-06,1.2401047570165247e-05
24,22.0,-614.2022705078125,-614.2003173828125,0.001953125,3.814697265625e-06,0.001953125,1.524212711956352e-05,7.654540240764618e-06,2.2896667360328138e-05
25,22.0,-614.1749877929688,-614.1690063476562,0.0059814453125,3.577768802642822e-05,0.0059814453125,1.9921717466786504e-05,6.845034477009904e-06,2.676675285329111e-05
26,22.0,-614.173828125,-614.1695556640625,0.0042724609375,1.825392246246338e-05,0.0042724609375,1.8657814507605508e-05,8.388980859308504e-06,2.704679536691401e-05
27,22.0,-614.2142333984375,-614.216552734375,-0.0023193359375,5.379319190979004e-06,0.0023193359375,1.1466395335446578e-05,4.547834578261245e-06,1.6014229913707823e-05
28,22.0,-614.1655883789062,-614.1593017578125,0.00628662109375,3.9521604776382446e-05,0.00628662109375,1.9146409613313153e-05,1.4647841453552246e-05,3.37942510668654e-05
29,22.0,-614.2561645507812,-614.2559814453125,0.00018310546875,3.3527612686157227e-08,0.00018310546875,1.0412290976091754e-05,7.674284461245406e-06,1.808657543733716e-05
30,22.0,-614.1563110351562,-614.1609497070312,-0.004638671875,2.1517276763916016e-05,0.004638671875,1.746173802530393e-05,7.235258635773789e-06,2.469699757057242e-05
31,22.0,-614.1577758789062,-614.15966796875,-0.00189208984375,3.5800039768218994e-06,0.00189208984375,1.8262815501657315e-05,5.064532160758972e-06,2.3327347662416287e-05
32,22.0,-614.2085571289062,-614.2111206054688,-0.0025634765625,6.571412086486816e-06,0.0025634765625,1.2896617590740789e-05,3.661029040813446e-06,1.6557645722059533e-05
33,22.0,-614.27734375,-614.2781982421875,-0.0008544921875,7.301568984985352e-07,0.0008544921875,9.184851478494238e-06,4.834123046748573e-06,1.4018974979990162e-05
34,22.0,-614.2001953125,-614.1992797851562,0.00091552734375,8.381903171539307e-07,0.00091552734375,1.7861160813481547e-05,5.15040028403746e-06,2.301156200701371e-05
35,22.0,-614.1971435546875,-614.2017822265625,-0.004638671875,2.1517276763916016e-05,0.004638671875,1.3438722817227244e-05,5.193054676055908e-06,1.8631777493283153e-05
36,22.0,-614.1979370117188,-614.1968994140625,0.00103759765625,1.0766088962554932e-06,0.00103759765625,1.5041247934277635e-05,5.493499429576332e-06,2.0534747818601318e-05
37,22.0,-614.240966796875,-614.2403564453125,0.0006103515625,3.725290298461914e-07,0.0006103515625,1.1372570043022279e-05,7.092952728271484e-06,1.846552186179906e-05
38,22.0,-614.2139282226562,-614.209716796875,0.00421142578125,1.7736107110977173e-05,0.00421142578125,1.3667682651430368e-05,1.5615485608577728e-05,2.9283168260008097e-05
39,22.0,-614.176513671875,-614.1769409179688,-0.00042724609375,1.825392246246338e-07,0.00042724609375,2.021445834543556e-05,7.852539056329988e-06,2.8066997401765548e-05
40,22.0,-614.1970825195312,-614.20361328125,-0.00653076171875,4.2650848627090454e-05,0.00653076171875,2.2471382180810906e-05,1.9447878003120422e-05,4.1919258364941925e-05
41,22.0,-614.2075805664062,-614.2101440429688,-0.0025634765625,6.571412086486816e-06,0.0025634765625,1.5539864762104116e-05,8.955784323916305e-06,2.4495649995515123e-05
42,22.0,-614.1788330078125,-614.17919921875,-0.0003662109375,1.341104507446289e-07,0.0003662109375,1.3683245015272405e-05,1.0199471944360994e-05,2.3882716050138697e-05
43,22.0,-614.1846313476562,-614.1889038085938,-0.0042724609375,1.825392246246338e-05,0.0042724609375,1.8207359971711412e-05,6.771087555534905e-06,2.4978447981993668e-05
44,22.0,-614.2178344726562,-614.2117309570312,0.006103515625,3.725290298461914e-05,0.006103515625,1.1390358849894255e-05,4.759244802698959e-06,1.6149602743098512e-05
45,22.0,-614.196533203125,-614.1926879882812,0.00384521484375,1.4785677194595337e-05,0.00384521484375,1.3116587069816887e-05,5.009211690776283e-06,1.812579830584582e-05
46,22.0,-614.2512817382812,-614.2501831054688,0.0010986328125,1.2069940567016602e-06,0.0010986328125,1.0854911124624778e-05,4.76110744784819e-06,1.5616018572472967e-05
47,22.0,-614.2118530273438,-614.2133178710938,-0.00146484375,2.1457672119140625e-06,0.00146484375,1.4626713891630061e-05,7.290393114089966e-06,2.1917107005720027e-05
48,22.0,-614.2109985351562,-614.208984375,0.00201416015625,4.056841135025024e-06,0.00201416015625,1.71240717463661e-05,9.539537131786346e-06,2.6663608878152445e-05
49,22.0,-614.19921875,-614.2023315429688,-0.00311279296875,9.689480066299438e-06,0.00311279296875,1.543058351671789e-05,1.165829598903656e-05,2.708887950575445e-05
