uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,3300,0.0012983541749460226,0.001313312127365774,1.6857235635997671e-06,1.724788743886015e-06,0.022649255118764595,1.1159501112409247e-07,2.8295883087701693e-06
aleatoric,1,3300,0.00171866166463164,0.0017134971803767637,2.9537979174744e-06,2.9360725871591193e-06,0.006037088589976304,2.8295883087701693e-06,2.995079998439605e-06
aleatoric,2,3300,0.0020679822807722244,0.0020566041784793347,4.276550713587891e-06,4.229620746938659e-06,0.011095549567464027,2.995079998439605e-06,4.594476325562717e-06
aleatoric,3,3300,0.002319543576718559,0.002310901168940693,5.380282404296326e-06,5.340264212611461e-06,0.007493672614616896,4.594476325562717e-06,7.32309753528695e-06
aleatoric,4,3300,0.002625675964737347,0.0027481439726143152,6.894174271799398e-06,7.55229529421639e-06,0.0871418551285974,7.32309753528695e-06,8.882026803761597e-06
aleatoric,5,3300,0.003007315184442764,0.0029802729411517992,9.043944618580017e-06,8.882026803761595e-06,0.018229827312595853,8.882026803761597e-06,8.882026803761597e-06
aleatoric,6,3300,0.0030725358554146978,0.0031613264445167245,9.440476582808929e-06,9.993984888800756e-06,0.05538414477813426,8.882026803761597e-06,1.3489885228176087e-05
aleatoric,7,3300,0.003988098572335772,0.003672857910153357,1.5904930222666625e-05,1.3489885228176085e-05,0.1790263559430645,1.3489885228176087e-05,1.3489885228176087e-05
aleatoric,8,3300,0.00380789400036245,0.0038066772427076934,1.4500056717996344e-05,1.4490791630148649e-05,0.0006393776188472071,1.3489885228176087e-05,1.5182858640021017e-05
aleatoric,9,3300,0.004459682707249994,0.004312480746488485,1.9888769849344636e-05,1.8597490188833882e-05,0.06943300667990412,1.5182858640021017e-05,1.9875713307803075e-05
aleatoric,10,3300,0.004943604768380199,0.0052947708046566675,2.443922810595144e-05,2.8034597873844612e-05,0.1282475954915529,1.9875713307803075e-05,2.992906956933439e-05
aleatoric,11,3300,0.005899186069852463,0.005917256225592154,3.480039628674135e-05,3.5013921239309106e-05,0.006098287338581154,2.992906956933439e-05,3.6648259713099556e-05
aleatoric,12,3300,0.00693231877006685,0.006565188908935995,4.8057043529821164e-05,4.310170541001619e-05,0.1149684930715856,3.6648259713099556e-05,6.517506274529275e-05
aleatoric,13,3300,0.008686525229608943,0.008650445106702298,7.54557205646327e-05,7.483020054406971e-05,0.00835919209109432,6.517506274529275e-05,7.948324921241416e-05
aleatoric,14,3300,0.012141631160994266,0.011987688107514325,0.00014741920724962697,0.0001437046661630404,0.025848437533491316,7.948324921241416e-05,0.0013105370104312896
epistemic,0,3300,0.0016190030821493719,0.001555840985414519,2.6211709800091655e-06,2.4206411718956214e-06,0.08284160843075629,1.253560185432434e-06,2.960995610417991e-06
epistemic,1,3300,0.0019438022581132414,0.0018755098622083007,3.778367218646136e-06,3.517537243240599e-06,0.07415130455455886,2.960995610417991e-06,4.105520372781355e-06
epistemic,2,3300,0.0021730532632116216,0.002090952524323302,4.722160484754678e-06,4.372082458973988e-06,0.08007123128753717,4.105520372781355e-06,5.229523307398746e-06
epistemic,3,3300,0.002434671939841779,0.0024842521664735335,5.927627454652931e-06,6.171508826628446e-06,0.03951730100801778,5.229523307398746e-06,7.016894350190298e-06
epistemic,4,3300,0.0026085950396216077,0.002649066902987554,6.804768080738458e-06,7.017555456504071e-06,0.030322150937673844,7.016894350190298e-06,7.081061209502973e-06
epistemic,5,3300,0.0029936057627632288,0.002907210688974106,8.961675462849212e-06,8.451873990085296e-06,0.06031815824064012,7.081061209502973e-06,9.402483157867933e-06
epistemic,6,3300,0.0032147148329733895,0.0031242247024817734,1.0334391457339129e-05,9.760779991597327e-06,0.05876697008185839,9.402483157867933e-06,9.826797915484291e-06
epistemic,7,3300,0.0034150613251251,0.0036065872740311086,1.1662643854365205e-05,1.3007471765203142e-05,0.10338887795517226,9.826797915484291e-06,1.8590281458472363e-05
epistemic,8,3300,0.004049025700059597,0.004510165770806551,1.6394609119743108e-05,2.0341595280155058e-05,0.1940352320480276,1.8590281458472363e-05,2.0741994338692462e-05
