epoch,au_var,eu_var,tu_var,rmse_energy
0,0.003458969063922996,0.0011789664455909223,0.00463793550418457,0.028576222858725027
10,0.0003287382596335738,0.00014418237756917278,0.0004729206374804926,0.010190117596342354
20,0.00018299899251254827,0.00010157367024442464,0.0002845726628263219,0.007543598667377863
30,0.00013123511280333332,7.031025815403154e-05,0.00020154537116877692,0.0062909246129159106
40,0.00011496220383213768,5.3236302785178396e-05,0.00016819850670704909,0.005995354360244044
50,0.00010464763087624305,7.888078328532743e-05,0.00018352841432531933,0.0052872417639999655
60,8.025555539549714e-05,4.290197932893079e-05,0.00012315753469860282,0.005123520383138252
70,7.62411236551452e-05,4.5767936415451234e-05,0.00012200906008207312,0.004548895707719647
80,6.14016294278872e-05,3.5042393564895064e-05,9.644402302603339e-05,0.004463187299149722
90,8.102107977153991e-05,4.4305431252189467e-05,0.00012532651125280608,0.004646847454972582
100,5.776614971834078e-05,3.7122955168846376e-05,9.488910488129478e-05,0.0038766959973498567
110,7.378997128031642e-05,5.064673363914153e-05,0.00012443670463577292,0.0045052583837875745
120,5.438638074931987e-05,2.446774573124344e-05,7.885412641378935e-05,0.003633327277817072
130,7.269930914132601e-05,4.626468229551563e-05,0.00011896399138536254,0.003948693052274743
140,4.7411567427034244e-05,2.251325899868789e-05,6.992482637416288e-05,0.003332780331757291
150,0.0002651788092756897,3.1039054196680806e-05,0.0002962178633984513,0.0035073047974898625
160,6.036284822683228e-05,2.7766102961267053e-05,8.812895127814955e-05,0.003214273842000134
170,9.036911549031629e-05,3.404974936682038e-05,0.00012441886504770082,0.0033671662060004554
180,4.6039900690093415e-05,2.1809345820274757e-05,6.78492464352712e-05,0.0032360052173285325
190,6.55427508445382e-05,2.7491359858614714e-05,9.303411073588905e-05,0.0031206504234784975
200,4.908468818247457e-05,1.827320416775308e-05,6.735789249368737e-05,0.0030889864124284236
210,4.431739965234101e-05,2.145246299651234e-05,6.57698626037427e-05,0.002935940169671476
220,4.008643909740385e-05,1.841581068391008e-05,5.850224976341451e-05,0.0029918432191722616
230,3.812756827773228e-05,1.5790583192762995e-05,5.391815137383674e-05,0.002664360503759731
240,3.38159654577521e-05,1.4244225215702215e-05,4.8060190586870705e-05,0.0026842558020180028
250,3.402033987372306e-05,1.6032921818521118e-05,5.005326179550593e-05,0.0026034050041201314
260,3.782387214906066e-05,1.5715100857460412e-05,5.3538972880860455e-05,0.002743304110700555
270,4.2202626290948044e-05,1.6786779650346377e-05,5.8989405967881796e-05,0.002536732478445339
280,2.7211218209411072e-05,1.1091708243834263e-05,3.830292643049233e-05,0.002429765408154609
290,2.8439605472058246e-05,1.3946793212624868e-05,4.238639875721674e-05,0.002392086977079986
