config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-526.5743408203125,-526.5709838867188,0.00335693359375,1.126900315284729e-05,2.3356673409580253e-05,9.520352250547148e-06,3.28770256601274e-05,2.3356673409580253e-05,9.520352250547148e-06,3.28770256601274e-05
1,20.0,-526.635986328125,-526.6357421875,0.000244140625,5.960464477539063e-08,1.5309478840208612e-05,4.346482455730438e-06,1.965596129593905e-05,1.5309478840208612e-05,4.346482455730438e-06,1.965596129593905e-05
2,20.0,-526.6613159179688,-526.66259765625,-0.00128173828125,1.642853021621704e-06,1.3606963875645306e-05,3.300420985397068e-06,1.69073846336687e-05,1.3606963875645306e-05,3.300420985397068e-06,1.69073846336687e-05
3,20.0,-526.5765380859375,-526.5794067382812,-0.00286865234375,8.229166269302368e-06,2.1356787328841165e-05,3.882870259985793e-06,2.5239656679332256e-05,2.1356787328841165e-05,3.882870259985793e-06,2.5239656679332256e-05
4,20.0,-526.5970458984375,-526.59423828125,0.0028076171875,7.88271427154541e-06,1.999587766476907e-05,3.403611572139198e-06,2.3399488782160915e-05,1.999587766476907e-05,3.403611572139198e-06,2.3399488782160915e-05
5,20.0,-526.6350708007812,-526.6369018554688,-0.0018310546875,3.3527612686157227e-06,1.5101128155947663e-05,2.948381052192417e-06,1.8049509890261106e-05,1.5101128155947663e-05,2.948381052192417e-06,1.8049509890261106e-05
6,20.0,-526.6141967773438,-526.6149291992188,-0.000732421875,5.364418029785156e-07,1.7649586879997514e-05,4.832260401599342e-06,2.2481846826849505e-05,1.7649586879997514e-05,4.832260401599342e-06,2.2481846826849505e-05
7,20.0,-526.5820922851562,-526.5798950195312,0.002197265625,4.827976226806641e-06,2.2637492293142714e-05,2.4849548481142847e-06,2.5122446459135972e-05,2.2637492293142714e-05,2.4849548481142847e-06,2.5122446459135972e-05
8,20.0,-526.603759765625,-526.6036376953125,0.0001220703125,1.4901161193847656e-08,1.117379179049749e-05,3.668293402370182e-06,1.4842084965493996e-05,1.117379179049749e-05,3.668293402370182e-06,1.4842084965493996e-05
9,20.0,-526.5989990234375,-526.599609375,-0.0006103515625,3.725290298461914e-07,1.0493024092284031e-05,4.456750957615441e-06,1.4949775504646823e-05,1.0493024092284031e-05,4.456750957615441e-06,1.4949775504646823e-05
10,20.0,-526.5591430664062,-526.5608520507812,-0.001708984375,2.9206275939941406e-06,1.5754483683849685e-05,7.018446922302246e-06,2.277293060615193e-05,1.5754483683849685e-05,7.018446922302246e-06,2.277293060615193e-05
11,20.0,-526.5762329101562,-526.58154296875,-0.00531005859375,2.8196722269058228e-05,1.3340139958017971e-05,3.6615879253076855e-06,1.7001728338073008e-05,1.3340139958017971e-05,3.6615879253076855e-06,1.7001728338073008e-05
12,20.0,-526.5904541015625,-526.5868530273438,0.00360107421875,1.2967735528945923e-05,2.021077489189338e-05,9.067170140042435e-06,2.9277944122441113e-05,2.021077489189338e-05,9.067170140042435e-06,2.9277944122441113e-05
13,20.0,-526.5926513671875,-526.5945434570312,-0.00189208984375,3.5800039768218994e-06,2.0121718989685178e-05,2.0799412595806643e-05,4.092113158549182e-05,2.0121718989685178e-05,2.0799412595806643e-05,4.092113158549182e-05
14,22.0,-614.1973876953125,-614.1976928710938,-0.00030517578125,9.313225746154785e-08,1.861866439867299e-05,1.1431798156991135e-05,3.0050461646169424e-05,1.861866439867299e-05,1.1431798156991135e-05,3.0050461646169424e-05
