uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,3300,0.003013314522653118,0.0021075728343773036,9.080064412432186e-06,4.441863252205181e-06,1.0442017002491808,6.360486337933878e-07,6.165845737199039e-06
aleatoric,1,3300,0.004979868034949631,0.0028043411230336316,2.4799085645513103e-05,7.86432913433753e-06,2.153363144128137,6.165845737199039e-06,9.210853418194633e-06
aleatoric,2,3300,0.004618005360720718,0.0034856511203139313,2.132597351164529e-05,1.2149763732545764e-05,0.7552582898809026,9.210853418194633e-06,1.6137555009385108e-05
aleatoric,3,3300,0.005728704104455997,0.004105835445903244,3.281805071641099e-05,1.6857884708835493e-05,0.9467478443016347,1.6137555009385108e-05,1.9939842097687e-05
aleatoric,4,3300,0.007526434971359834,0.0050653794275663504,5.664722337810831e-05,2.5658068745212408e-05,1.2077742460128935,1.9939842097687e-05,3.3389282335078956e-05
aleatoric,5,3300,0.009741599091944582,0.006214868078275634,9.48987528681755e-05,3.862458523036948e-05,1.4569520242656004,3.3389282335078956e-05,4.589608653619918e-05
aleatoric,6,3300,0.0164791043810698,0.006961276850619904,0.0002715608812021938,4.8459375390976575e-05,4.603887359488336,4.589608653619918e-05,5.8102643206006e-05
aleatoric,7,3300,0.021869652353322125,0.008014438447665308,0.000478281694055168,6.423122363141592e-05,6.446249145115728,5.8102643206006e-05,7.040702285939185e-05
aleatoric,8,3300,0.02424951280347487,0.008390889277030883,0.0005880388712058916,7.040702285939186e-05,7.351991709410148,7.040702285939185e-05,7.040702285939185e-05
aleatoric,9,3300,0.031267763335351896,0.010149320123351924,0.0009776730239955764,0.0001030086989662763,8.491169520698964,7.040702285939185e-05,0.00010390831569199404
aleatoric,10,3300,0.041286457867697496,0.010193542842995954,0.0017045716032611602,0.00010390831569199404,15.404573511843525,0.00010390831569199404,0.00010390831569199404
aleatoric,11,3300,0.06595384801479603,0.012516510174650077,0.004349910067958814,0.0001566630269521189,26.766028478999594,0.00010390831569199404,0.00016586845740675926
aleatoric,12,3300,0.06538538358910728,0.01287899287237784,0.0042752483870947,0.0001658684574067592,24.774933064039466,0.00016586845740675926,0.00016586845740675926
aleatoric,13,3300,0.11168413151433594,0.017628489867780844,0.012473345232111487,0.0003107636550184519,39.137722126388525,0.00016586845740675926,0.0007808394282924335
aleatoric,14,3300,0.15274580043429065,0.041630255372055516,0.023331279550312143,0.0017330781623425575,12.462335431412884,0.0007810096380942113,0.005267599613320064
epistemic,0,3300,0.0033029552654709996,0.0022518522205708337,1.0909513485702602e-05,5.0708384232897945e-06,1.1514220282776957,9.428399304548899e-07,6.7757732977860445e-06
epistemic,1,3300,0.0055523608350854245,0.002942613104769069,3.082871084299051e-05,8.65897188435866e-06,2.560320007353146,6.7757732977860445e-06,1.1796042323112488e-05
epistemic,2,3300,0.00846714480214767,0.0036799340219528763,7.169254110053633e-05,1.3541914405926272e-05,4.294121565940626,1.1796042323112488e-05,1.4219677787863302e-05
epistemic,3,3300,0.012514241354164428,0.004504100137400252,0.00015660623667027913,2.0286918047728968e-05,6.719567669265097,1.4219677787863302e-05,2.3974940108830838e-05
epistemic,4,3300,0.014199282737383594,0.005136743971739717,0.00020161963025615973,2.6386138631204323e-05,6.641119190426893,2.3974940108830838e-05,3.729503077920526e-05
