config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-526.605712890625,-526.6051025390625,0.0006103515625,3.725290298461914e-07,1.03867330056216e-05,7.701947876094712e-06,8.460452442067376e-06,1.811412766983267e-05,6.140396180853713e-06,2.4254524760181084e-05
1,20.0,-526.5482177734375,-526.5465087890625,0.001708984375,2.9206275939941406e-06,1.89835511481584e-05,1.6235645395614355e-05,1.7680155903720008e-05,2.7307123673381284e-05,1.4986097994551528e-05,4.229322075843811e-05
2,20.0,-526.6629028320312,-526.6643676757812,-0.00146484375,2.1457672119140625e-06,6.5047299777295685e-06,4.17882696112847e-06,5.236550788182059e-06,1.2833372238674201e-05,3.229081585232052e-06,1.6062453141785227e-05
3,20.0,-526.5819091796875,-526.5807495117188,0.00115966796875,1.344829797744751e-06,1.395453188207842e-05,4.862767777272632e-06,8.460452442067376e-06,1.9529403289197944e-05,4.089250978722703e-06,2.3618653358425945e-05
4,20.0,-526.6170043945312,-526.6146850585938,0.0023193359375,5.379319190979004e-06,1.03867330056216e-05,1.2097717740755977e-05,1.0390502018725268e-05,1.862651333794929e-05,9.607523679733276e-06,2.8234037017682567e-05
5,20.0,-526.5546875,-526.55224609375,0.00244140625,5.9604644775390625e-06,1.6958220380879e-05,9.892505807724685e-06,1.131429584050665e-05,2.3826973119867034e-05,7.73109513829695e-06,3.155806916765869e-05
6,20.0,-526.6473999023438,-526.6460571289062,0.0013427734375,1.8030405044555664e-06,8.147347210004105e-06,9.892505807724685e-06,7.898131242165198e-06,1.4808627383899875e-05,7.132254722819198e-06,2.1940883016213775e-05
7,20.0,-526.6206665039062,-526.621826171875,-0.00115966796875,1.344829797744751e-06,3.9810062541315956e-06,5.451722437058692e-06,4.590059688780457e-06,1.0908902368100826e-05,4.6130271584843285e-06,1.5521929526585154e-05
8,20.0,-526.6068115234375,-526.607666015625,-0.0008544921875,7.301568984985352e-07,4.669057322895012e-06,9.892505807724685e-06,6.331067840407666e-06,1.1765766430471558e-05,7.4127688094449695e-06,1.9178534785169177e-05
9,20.0,-526.5830688476562,-526.5851440429688,-0.0020751953125,4.306435585021973e-06,8.147347210004105e-06,4.862767777272632e-06,5.236550788182059e-06,1.4205978914105799e-05,3.954954536311561e-06,1.816093390516471e-05
