config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-526.4346313476562,-526.43505859375,-0.00042724609375,1.825392246246338e-07,9.224755815201743e-06,1.4038546518845992e-05,1.046245071778628e-05,1.671872269071173e-05,1.1392124179110397e-05,2.8110847779316828e-05
1,20.0,-526.4917602539062,-526.4654541015625,0.02630615234375,0.0006920136511325836,8.55314200011532e-05,8.323072846922632e-05,7.436648998039447e-05,7.982611714396626e-05,5.9577636420726776e-05,0.00013940375356469303
2,20.0,-526.4180297851562,-526.4260864257812,-0.008056640625,6.490945816040039e-05,4.6887392686171964e-05,2.659965660507323e-05,3.390688368159792e-05,5.2615338063333184e-05,2.1379626559792086e-05,7.399496098514646e-05
3,20.0,-526.3969116210938,-526.40087890625,-0.00396728515625,1.5739351511001587e-05,0.0001595182389563877,0.0001975039415287249,0.00022796337251309996,0.00016802462050691247,0.0001987049326999113,0.000366729567758739
4,20.0,-526.4991455078125,-526.4931640625,0.0059814453125,3.577768802642822e-05,2.86684951838389e-05,2.659965660507323e-05,2.3305982999179673e-05,3.8431131542893127e-05,2.261027657368686e-05,6.104140629759058e-05
5,20.0,-526.4539794921875,-526.4594116210938,-0.00543212890625,2.950802445411682e-05,4.601427122374266e-05,8.323072846922632e-05,5.6759548407298926e-05,5.2493909606710076e-05,5.569048153120093e-05,0.00010818439477588981
6,20.0,-526.4508056640625,-526.4528198242188,-0.00201416015625,4.056841135025024e-06,6.043455962623869e-05,5.544962192820423e-05,5.6759548407298926e-05,6.345286237774417e-05,5.0288625061511993e-05,0.00011374148743925616
7,20.0,-526.37744140625,-526.3712158203125,0.0062255859375,3.8757920265197754e-05,9.544001101222757e-05,8.323072846922632e-05,8.745063323436713e-05,9.290374146075919e-05,6.669573485851288e-05,0.00015959946904331446
8,20.0,-526.4467163085938,-526.4487915039062,-0.0020751953125,4.306435585021973e-06,2.083431967754954e-05,1.2171213531833209e-05,1.7843438294443672e-05,3.162027132930234e-05,1.093205082725035e-05,4.255232124705799e-05
9,20.0,-526.427978515625,-526.42724609375,0.000732421875,5.364418029785156e-07,2.86684951838389e-05,1.6327738204104376e-05,2.3305982999179673e-05,3.7091569538461044e-05,1.5125982827157713e-05,5.221755418460816e-05
10,20.0,-526.3433837890625,-526.357421875,-0.0140380859375,0.00019706785678863525,8.55314200011532e-05,5.544962192820423e-05,5.6759548407298926e-05,7.88101096986793e-05,3.913939144695178e-05,0.00011794950114563107
11,20.0,-526.5081787109375,-526.5039672851562,0.00421142578125,1.7736107110977173e-05,1.6959166114634656e-05,7.174009149925476e-06,1.046245071778628e-05,2.3415153918904252e-05,5.736202183470596e-06,2.915135701186955e-05
12,20.0,-526.182861328125,-526.2716674804688,-0.08880615234375,0.007886532694101334,0.00026470216234093124,0.0001975039415287249,0.00022796337251309996,0.0005330345593392849,0.00017119795666076243,0.0007042324868962169
13,20.0,-526.3780517578125,-526.3825073242188,-0.00445556640625,1.985207200050354e-05,6.043455962623869e-05,4.382614012924545e-05,4.8980037016527995e-05,6.016571933287196e-05,3.4989603591384366e-05,9.515532292425632e-05
14,20.0,-526.4825439453125,-526.4820556640625,0.00048828125,2.384185791015625e-07,8.55314200011532e-05,4.382614012924545e-05,5.6759548407298926e-05,8.121511928038672e-05,3.5390443372307345e-05,0.00011660555901471525
15,20.0,-526.4366455078125,-526.44677734375,-0.0101318359375,0.0001026540994644165,2.083431967754954e-05,1.6327738204104376e-05,1.7843438294443672e-05,3.1596249755239114e-05,1.6408786905230954e-05,4.800503666047007e-05
16,20.0,-526.1122436523438,-526.3097534179688,-0.197509765625,0.03901010751724243,0.0009561007221539816,0.0014721173793077469,0.0013049612087862833,0.0027791159227490425,0.0006198093178682029,0.0033989252988249063
17,20.0,-526.3399658203125,-526.3880004882812,-0.04803466796875,0.0023073293268680573,0.00026470216234093124,8.323072846922632e-05,0.00022796337251309996,0.0003671170852612704,7.00918972142972e-05,0.00043720897519961
