epoch,pearson_aleatoric,pearson_aleatoric_mean,pearson_aleatoric_std,pearson_aleatoric_ci95_low,pearson_aleatoric_ci95_high,pearson_aleatoric_n,pearson_epistemic,pearson_epistemic_mean,pearson_epistemic_std,pearson_epistemic_ci95_low,pearson_epistemic_ci95_high,pearson_epistemic_n,pearson_total,pearson_total_mean,pearson_total_std,pearson_total_ci95_low,pearson_total_ci95_high,pearson_total_n,spearman_aleatoric,spearman_aleatoric_mean,spearman_aleatoric_std,spearman_aleatoric_ci95_low,spearman_aleatoric_ci95_high,spearman_aleatoric_n,spearman_epistemic,spearman_epistemic_mean,spearman_epistemic_std,spearman_epistemic_ci95_low,spearman_epistemic_ci95_high,spearman_epistemic_n,spearman_total,spearman_total_mean,spearman_total_std,spearman_total_ci95_low,spearman_total_ci95_high,spearman_total_n,ause_aleatoric,ause_aleatoric_mean,ause_aleatoric_std,ause_aleatoric_ci95_low,ause_aleatoric_ci95_high,ause_aleatoric_n,ause_epistemic,ause_epistemic_mean,ause_epistemic_std,ause_epistemic_ci95_low,ause_epistemic_ci95_high,ause_epistemic_n,ause_total,ause_total_mean,ause_total_std,ause_total_ci95_low,ause_total_ci95_high,ause_total_n,ence_aleatoric,ence_aleatoric_mean,ence_aleatoric_std,ence_aleatoric_ci95_low,ence_aleatoric_ci95_high,ence_aleatoric_n,ence_epistemic,ence_epistemic_mean,ence_epistemic_std,ence_epistemic_ci95_low,ence_epistemic_ci95_high,ence_epistemic_n,ence_total,ence_total_mean,ence_total_std,ence_total_ci95_low,ence_total_ci95_high,ence_total_n,magnitude_aleatoric,magnitude_aleatoric_mean,magnitude_aleatoric_std,magnitude_aleatoric_ci95_low,magnitude_aleatoric_ci95_high,magnitude_aleatoric_n,magnitude_epistemic,magnitude_epistemic_mean,magnitude_epistemic_std,magnitude_epistemic_ci95_low,magnitude_epistemic_ci95_high,magnitude_epistemic_n,magnitude_total,magnitude_total_mean,magnitude_total_std,magnitude_total_ci95_low,magnitude_total_ci95_high,magnitude_total_n,rmse_e_atom,rmse_e_atom_mean,rmse_e_atom_std,rmse_e_atom_ci95_low,rmse_e_atom_ci95_high,rmse_e_atom_n,nll_energy,nll_energy_mean,nll_energy_std,nll_energy_ci95_low,nll_energy_ci95_high,nll_energy_n
0,0.5633928552703755,0.5633928552703755,0.2273025896400038,0.2812046592092789,0.8455810513314721,5,0.6493471228513509,0.6493471228513509,0.3134993659730935,0.26014865093620565,1.038545594766496,5,0.5896692358014481,0.5896692358014481,0.268024237770182,0.25692654124260395,0.9224119303602923,5,0.36556469269755476,0.36556469269755476,0.037944272205752395,0.3184582090382589,0.41267117635685063,5,0.38917674704915795,0.38917674704915795,0.06200324312316568,0.3122018944767593,0.4661515996215566,5,0.398846444848772,0.398846444848772,0.034816412423179774,0.35562308945024135,0.4420698002473027,5,0.3002085319210127,0.3002085319210127,0.01649306410680037,0.2797329710609753,0.32068409278105015,5,0.3037536948104759,0.3037536948104759,0.04667762925754981,0.24580505455319626,0.3617023350677556,5,0.27838053792344863,0.27838053792344863,0.015695381393853944,0.258895272185662,0.2978658036612353,5,0.7427697078590664,0.7427697078590664,0.06605320835980934,0.660766965432669,0.8247724502854638,5,0.22236168903994596,0.22236168903994596,0.06136745267018388,0.14617614802481532,0.2985472300550766,5,0.8104652594211226,0.8104652594211226,0.04974085944070927,0.748713726284907,0.8722167925573382,5,0.006435235960203921,0.006435235960203921,0.0034378809965332578,0.0021672272313068494,0.010703244689100992,5,0.0018194740194587868,0.0018194740194587868,0.0012508681988922324,0.0002665650045873178,0.0033723830343302557,5,0.00825470998081495,0.00825470998081495,0.004527677202857489,0.0026337574688139733,0.013875662492815927,5,0.03678640987650373,0.03678640987650373,0.007500131009403669,0.027475260174613,0.04609755957839446,5,-1.7653208434625864,-1.7653208434625864,0.2673207038647072,-2.097190125342903,-1.4334515615822698,5
5,0.40115984289373074,0.40115984289373074,0.1866668746233722,0.16941946238263336,0.6329002234048281,5,0.45013206647891746,0.45013206647891746,0.3070519352327712,0.06893785378810363,0.8313262791697313,5,0.42193317692385524,0.42193317692385524,0.20570960443111716,0.16655191497345245,0.677314438874258,5,0.4373029768499002,0.4373029768499002,0.0215715388858703,0.41052266759734685,0.4640832861024536,5,0.32102333489430374,0.32102333489430374,0.05985099208479529,0.24672042653050497,0.3953262432581025,5,0.4291854877526241,0.4291854877526241,0.02011123852724534,0.4042180901987909,0.4541528853064573,5,0.26040918244825606,0.26040918244825606,0.014624307060156912,0.24225361794507477,0.27856474695143735,5,0.36357378908436877,0.36357378908436877,0.06192915017517751,0.2866909203092808,0.44045665785945676,5,0.2674802345419609,0.2674802345419609,0.017021766572149884,0.24634830810691472,0.2886121609770071,5,0.5917929193028614,0.5917929193028614,0.04915534693971082,0.5307682794092157,0.6528175591965071,5,0.348440100926842,0.348440100926842,0.1213614710173531,0.1977740894575177,0.4991061123961663,5,0.7137797285705393,0.7137797285705393,0.028452677132396888,0.6784567274300066,0.749102729711072,5,0.01285684065618312,0.01285684065618312,0.027624736907208423,-0.02143830172144515,0.04715198303381139,5,0.001662245598383963,0.001662245598383963,0.0031340715370518323,-0.002228594337789983,0.0055530855345579085,5,0.014519086223590116,0.014519086223590116,0.030758553141180298,-0.023666579140388975,0.05270475158756921,5,0.016467524486792375,0.016467524486792375,0.007848770030191262,0.00672355166349166,0.02621149731009309,5,-2.8810214051311016,-2.8810214051311016,0.07173737112211268,-2.9700808363464497,-2.7919619739157535,5
10,0.27927504258235636,0.27927504258235636,0.13724944887475243,0.10888466361797242,0.4496654215467403,5,0.22319790994848768,0.22319790994848768,0.1353422241466606,0.055175283618843746,0.3912205362781316,5,0.26329209324615194,0.26329209324615194,0.1318467269026714,0.09960900419665983,0.426975182295644,5,0.4159798672947435,0.4159798672947435,0.027548263570933627,0.38177966388303,0.45018007070645705,5,0.3473342869702999,0.3473342869702999,0.014861015685477463,0.3288848570075253,0.3657837169330745,5,0.41020982964938757,0.41020982964938757,0.023905605194104514,0.3805318589049403,0.43988780039383485,5,0.27730505222433577,0.27730505222433577,0.015884078179723964,0.25758552604239177,0.29702457840627977,5,0.3364622954711783,0.3364622954711783,0.010477575803751303,0.3234547524430208,0.34946983849933577,5,0.28159675252817584,0.28159675252817584,0.01346449137895759,0.26488105853135063,0.29831244652500105,5,0.6122437441617267,0.6122437441617267,0.04111509812891323,0.5612007912844705,0.6632866970389828,5,0.17866101876671375,0.17866101876671375,0.0864067649187742,0.07139004944550503,0.2859319880879225,5,0.7337560249703934,0.7337560249703934,0.01768697717180241,0.7117982628974252,0.7557137870433616,5,0.00032730362583229,0.00032730362583229,3.260215549409966e-05,0.00028682919278181753,0.00036777805888276246,5,0.00016602500301146752,0.00016602500301146752,4.661042778662464e-05,0.00010815979102433233,0.00022389021499860271,5,0.0004933286290550895,0.0004933286290550895,5.3188904936273986e-05,0.00042729646832078533,0.0005593607897893937,5,0.01013815603675648,0.01013815603675648,0.00014657603642383334,0.009956187026329739,0.010320125047183222,5,-3.1351165967113968,-3.1351165967113968,0.008811228891053196,-3.146055428467716,-3.1241777649550775,5
15,0.31073161811171063,0.31073161811171063,0.15891996840566985,0.11343804889409906,0.5080251873293222,5,0.21825437152514748,0.21825437152514748,0.07384351144412409,0.1265802409389687,0.3099285021113263,5,0.29857302986617834,0.29857302986617834,0.14896368932728238,0.11363983206827072,0.48350622766408596,5,0.4084199173084744,0.4084199173084744,0.03625648132541095,0.36340876685504403,0.4534310677619047,5,0.33345173001406103,0.33345173001406103,0.042628883825566725,0.28052946526605904,0.386373994762063,5,0.40139901909965137,0.40139901909965137,0.03777999620782616,0.3544964783324464,0.4483015598668563,5,0.2819088645854597,0.2819088645854597,0.019261125439022052,0.25799685262663263,0.3058208765442868,5,0.34951910182047,0.34951910182047,0.03096862861098243,0.31107263512574485,0.3879655685151952,5,0.2877111464357328,0.2877111464357328,0.01942966773865952,0.26358989512081216,0.31183239775065347,5,0.6351006688443872,0.6351006688443872,0.03917878056948795,0.5864615863320092,0.6837397513567652,5,0.1913589529214232,0.1913589529214232,0.039521998350131114,0.14229377756721182,0.24042412827563456,5,0.7498638935878678,0.7498638935878678,0.023842125662001053,0.7202647304570049,0.7794630567187306,5,0.0003021484413017424,0.0003021484413017424,0.00021379177854311812,3.673344354336068e-05,0.0005675634390601241,5,9.806018013265656e-05,9.806018013265656e-05,1.3143760356148333e-05,8.174266245617475e-05,0.00011437769780913837,5,0.0004002086216637545,0.0004002086216637545,0.00021653077525519426,0.0001313932555135205,0.0006690239878139885,5,0.008390631015724926,0.008390631015724926,0.0001250098876379827,0.008235435622930535,0.008545826408519317,5,-3.3036924508907797,-3.3036924508907797,0.04597794363281816,-3.360772455975158,-3.2466124458064014,5
20,0.5084031955671551,0.5084031955671551,0.15590809800511413,0.314848757858994,0.7019576332753161,5,0.40823829403672446,0.40823829403672446,0.22731576176670323,0.12603374524213062,0.6904428428313183,5,0.5031074896148225,0.5031074896148225,0.171170758593943,0.2906049938776014,0.7156099853520437,5,0.4254046503706424,0.4254046503706424,0.01335073353188621,0.40883018275273225,0.44197911798855255,5,0.3355675183435511,0.3355675183435511,0.026486953680961364,0.30268489395188913,0.36845014273521304,5,0.4146649771237521,0.4146649771237521,0.016125383163396036,0.3946458792644646,0.4346840749830396,5,0.26628529885817426,0.26628529885817426,0.005390152059204123,0.2595936140494319,0.27297698366691664,5,0.34581966825174687,0.34581966825174687,0.023599186159760293,0.3165221059957261,0.37511723050776763,5,0.2751419439361008,0.2751419439361008,0.010723584347335304,0.2618289899258708,0.28845489794633083,5,0.65443818148047,0.65443818148047,0.039408063161209574,0.6055144526688632,0.7033619102920767,5,0.17827490429210763,0.17827490429210763,0.07085047679578849,0.09031652128935863,0.2662332872948566,5,0.7659518633017127,0.7659518633017127,0.024693402594567194,0.7352958697038952,0.7966078568995303,5,0.00018904582443706022,0.00018904582443706022,2.2095297624928986e-05,0.0001616152870723666,0.00021647636180175385,5,9.764863378182144e-05,9.764863378182144e-05,3.0488778508211398e-05,5.979788416667349e-05,0.0001354993833969694,5,0.00028669445830013866,0.00028669445830013866,5.03123956262134e-05,0.00022423338302704515,0.0003491555335732322,5,0.007802280158712498,0.007802280158712498,0.0005115118054563435,0.007167256185275652,0.008437304132149345,5,-3.406188125945568,-3.406188125945568,0.03779532675093073,-3.4531096990445653,-3.3592665528465706,5
25,0.3783783691672582,0.3783783691672582,0.17670791245852202,0.1590016910336422,0.5977550473008741,5,0.16396150402826026,0.16396150402826026,0.050754046257795275,0.10095213497983968,0.22697087307668085,5,0.32185123203173666,0.32185123203173666,0.1479215142489105,0.1382118580561241,0.5054906060073492,5,0.4363470547493266,0.4363470547493266,0.007217214915308549,0.42738713545953017,0.44530697403912306,5,0.3423816994096337,0.3423816994096337,0.023216040851830846,0.31355979862075734,0.37120360019851006,5,0.4239069256908795,0.4239069256908795,0.008959250521213147,0.41278433027019085,0.4350295211115682,5,0.2611872005307561,0.2611872005307561,0.0031100977411772112,0.2573261232216658,0.2650482778398464,5,0.3475710892205741,0.3475710892205741,0.0249764149867383,0.316563745659977,0.3785784327811712,5,0.272447626016728,0.272447626016728,0.006578204074096899,0.26428101628328365,0.28061423575017236,5,0.6469822351350402,0.6469822351350402,0.02127344791013774,0.6205719953781194,0.673392474891961,5,0.2026639127398142,0.2026639127398142,0.06454888585109239,0.12252873396810833,0.2827990915115201,5,0.7648239479481486,0.7648239479481486,0.014884013402769115,0.7463459671256308,0.7833019287706663,5,0.00024111820179044665,0.00024111820179044665,0.00023054358901671842,-4.509358137099365e-05,0.000527329984951887,5,7.50093054924871e-05,7.50093054924871e-05,6.931527319722573e-06,6.640405733672003e-05,8.361455364825417e-05,5,0.0003161275072694734,0.0003161275072694734,0.0002372796918047694,2.1553088656968704e-05,0.0006107019258819781,5,0.0068899731791655875,0.0068899731791655875,0.00016977926186614232,0.0066791981778315974,0.007100748180499578,5,-3.5107167316284182,-3.5107167316284182,0.01195204545000015,-3.5255547770291216,-3.495878686227715,5
30,0.5010333764412075,0.5010333764412075,0.09541091352055416,0.3825840723063634,0.6194826805760516,5,0.17196826468259618,0.17196826468259618,0.04362311838959264,0.11781169258011834,0.22612483678507403,5,0.41407793353226596,0.41407793353226596,0.07096183477777765,0.3259813034989649,0.502174563565567,5,0.4198778484482375,0.4198778484482375,0.01652066920911161,0.39936801682148493,0.4403876800749901,5,0.36265118038128524,0.36265118038128524,0.013425779858190202,0.34598354538030973,0.37931881538226075,5,0.4145594333447541,0.4145594333447541,0.01622533521654862,0.3944162485156859,0.4347026181738223,5,0.270595696853838,0.270595696853838,0.00934368372474209,0.2589958410887704,0.2821955526189056,5,0.32479737861803104,0.32479737861803104,0.008417531701041061,0.31434730812052436,0.3352474491155377,5,0.275161664280254,0.275161664280254,0.00872718547297942,0.26432716948100404,0.285996159079504,5,0.6483508100631458,0.6483508100631458,0.02053622344755967,0.6228558086302428,0.6738458114960487,5,0.2389874529019745,0.2389874529019745,0.06743166820160221,0.1552734009092661,0.3227015048946829,5,0.7579672725234452,0.7579672725234452,0.016378634125635408,0.7376337724732357,0.7783007725736547,5,0.00012996070911635253,0.00012996070911635253,1.22702334819546e-05,0.0001147276444292978,0.00014519377380340729,5,6.634264168136792e-05,6.634264168136792e-05,6.634894337209708e-06,5.810565297376685e-05,7.4579630388969e-05,5,0.00019630335083260794,0.00019630335083260794,1.2899993648855236e-05,0.00018028846097703982,0.00021231824068817606,5,0.00648750636335872,0.00648750636335872,0.00015907251794143885,0.00629002340924067,0.006684989317476771,5,-3.580404932377815,-3.580404932377815,0.022593363293419204,-3.608453800808309,-3.5523560639473213,5
35,0.5638940871392785,0.5638940871392785,0.07871034363623039,0.4661779550123445,0.6616102192662124,5,0.3373223732940167,0.3373223732940167,0.21123036141352172,0.07508728510158208,0.5995574614864514,5,0.5231849295904835,0.5231849295904835,0.10186805051857209,0.3967193162526695,0.6496505429282975,5,0.40098677980697267,0.40098677980697267,0.04475078734657985,0.34543024622921953,0.4565433133847258,5,0.31791640398103155,0.31791640398103155,0.040284721423001386,0.26790433467207764,0.36792847328998546,5,0.38662367526023245,0.38662367526023245,0.044125977986046644,0.3318428205984573,0.44140452992200757,5,0.27760017766643796,0.27760017766643796,0.02354975814297057,0.24836397856037012,0.3068363767725058,5,0.3481634228321888,0.3481634228321888,0.0232413181020926,0.31931014122330487,0.37701670444107277,5,0.2886119083932826,0.2886119083932826,0.023696270202211465,0.25919381970221766,0.31802999708434754,5,0.6671881223485039,0.6671881223485039,0.06385070562027056,0.5879197098559379,0.7464565348410699,5,0.2738829022778083,0.2738829022778083,0.04738176116599488,0.2150601069422787,0.3327056976133379,5,0.7774903721214708,0.7774903721214708,0.03839031640839098,0.7298301402224147,0.8251506040205269,5,0.00019388090426295453,0.00019388090426295453,0.00017172384180503262,-1.9308224890349722e-05,0.0004070700334162588,5,7.940266063962281e-05,7.940266063962281e-05,3.769271569916086e-05,3.260847556396789e-05,0.00012619684571527773,5,0.00027328356500622977,0.00027328356500622977,0.00020873402353727982,1.4147592768309208e-05,0.0005324195372441503,5,0.006236170972446551,0.006236170972446551,0.00029882743181300873,0.005865187192409395,0.006607154752483708,5,-3.596735206928969,-3.596735206928969,0.01118809915616188,-3.6106248397889824,-3.5828455740689553,5
40,0.5401586794213362,0.5401586794213362,0.05548478577274004,0.47127626311959797,0.6090410957230744,5,0.1483287367326768,0.1483287367326768,0.0599348368515059,0.07392173803051144,0.22273573543484215,5,0.40633594424144104,0.40633594424144104,0.08776647786704819,0.29737693896497974,0.5152949495179023,5,0.38932241930764466,0.38932241930764466,0.08232300477111418,0.28712129503764944,0.4915235435776399,5,0.31334805369561425,0.31334805369561425,0.06606785863316594,0.23132712346846696,0.39536898392276154,5,0.3791490027856054,0.3791490027856054,0.07993665023559296,0.27991045400851355,0.4783875515626973,5,0.28913241212747837,0.28913241212747837,0.04708890737926527,0.23067318450104424,0.3475916397539125,5,0.3584042773051945,0.3584042773051945,0.027752198335756168,0.3239508960326807,0.39285765857770827,5,0.2979461302947422,0.2979461302947422,0.04371193373232293,0.24367929705803223,0.3522129635314522,5,0.6380556407428669,0.6380556407428669,0.04182104899723406,0.5861362746124459,0.6899750068732879,5,0.2937969965587622,0.2937969965587622,0.08076212717105541,0.19353364710660054,0.3940603460109238,5,0.7655195741957239,0.7655195741957239,0.034985692099349194,0.7220860640139868,0.808953084377461,5,0.00010445772980245238,0.00010445772980245238,8.677482860892988e-06,9.36849390535892e-05,0.00011523052055131556,5,6.585634619523672e-05,6.585634619523672e-05,1.813424860227982e-05,4.334331232217169e-05,8.836938006830175e-05,5,0.00017031407604960622,0.00017031407604960622,2.1484975032040085e-05,0.00014364123278675023,0.00019698691931246222,5,0.005810841341527148,0.005810841341527148,0.00025607931658814143,0.005492927847840104,0.006128754835214192,5,-3.6583476332273484,-3.6583476332273484,0.02221844939229176,-3.6859310591936585,-3.630764207261038,5
45,0.5420916611673837,0.5420916611673837,0.1588747845795271,0.3448541860858335,0.7393291362489339,5,0.31559890002282703,0.31559890002282703,0.1937415391655648,0.07507557151249852,0.5561222285331555,5,0.518099414101078,0.518099414101078,0.13609623939950458,0.3491407042699677,0.6870581239321882,5,0.41739885734309273,0.41739885734309273,0.020049039453279252,0.39250867775895776,0.4422890369272277,5,0.3393179996826241,0.3393179996826241,0.01656550981807391,0.3187525000119069,0.3598834993533413,5,0.4066656099699399,0.4066656099699399,0.020352664290083883,0.3813984907956624,0.4319327291442174,5,0.27223458825674707,0.27223458825674707,0.010345135689254673,0.25939146498753346,0.2850777115259607,5,0.3450222607321814,0.3450222607321814,0.010892878706788107,0.33149913370996337,0.3585453877543994,5,0.2816072362407689,0.2816072362407689,0.011164934868933813,0.2677463610312346,0.29546811145030316,5,0.6639242771168672,0.6639242771168672,0.01252309877018854,0.6483772890396469,0.6794712651940875,5,0.2643082040256635,0.2643082040256635,0.04838562640857651,0.20423914518587205,0.324377262865455,5,0.7809457071792689,0.7809457071792689,0.005626486903264783,0.773960620947263,0.7879307934112748,5,0.0001506576399911919,0.0001506576399911919,0.00011487400807594475,8.045586320362685e-06,0.00029326969366202113,5,6.97895786487959e-05,6.97895786487959e-05,4.1779270247697546e-05,1.7922079371207735e-05,0.00012165707792638407,5,0.00022044721866392136,0.00022044721866392136,0.00015656684728098782,2.6074966824782893e-05,0.0004148194705030598,5,0.005640985802327121,0.005640985802327121,0.0002861330031750801,0.005285761710391348,0.0059962098942628935,5,-3.706040767509699,-3.706040767509699,0.032576264525881866,-3.746483057830838,-3.6655984771885604,5
