epoch,au_var,au_var_mean,au_var_std,au_var_ci95_low,au_var_ci95_high,au_var_n,eu_var,eu_var_mean,eu_var_std,eu_var_ci95_low,eu_var_ci95_high,eu_var_n,tu_var,tu_var_mean,tu_var_std,tu_var_ci95_low,tu_var_ci95_high,tu_var_n,rmse_energy,rmse_energy_mean,rmse_energy_std,rmse_energy_ci95_low,rmse_energy_ci95_high,rmse_energy_n
0,0.0064352359625450325,0.0064352359625450325,0.0034378809978018255,0.0021672272320730785,0.010703244693016986,5,0.0018194706727755184,0.0018194706727755184,0.001250869634448272,0.0002665598757115551,0.0033723814698394814,5,0.008254706636634888,0.008254706636634888,0.004527676617102949,0.0026337548518276356,0.01387565842144214,5,0.03678642495498476,0.03678642495498476,0.007500176373638205,0.02747521893498727,0.046097630974982255,5
10,0.00032730362528784465,0.00032730362528784465,3.2602154600185366e-05,0.00028682919334713545,0.00036777805722855385,5,0.00016602516192466328,0.00016602516192466328,4.6610235738014215e-05,0.00010816018835914491,0.00022389013549018165,5,0.0004933287873097724,0.0004933287873097724,5.318873707907204e-05,0.00042729683496429955,0.0005593607396552452,5,0.01013810226684601,0.01013810226684601,0.00014655286609614957,0.009956162021568762,0.010320042512123258,5
20,0.0001890458245252412,0.0001890458245252412,2.2095297424773416e-05,0.0001616152874090337,0.0002164763616414487,5,9.764891234330524e-05,9.764891234330524e-05,3.0487485492781585e-05,5.9799767961481714e-05,0.00013549805672512878,5,0.0002866947369374175,0.0002866947369374175,5.031118295973826e-05,0.0002242351671472381,0.0003491543067275969,5,0.007802259232373078,0.007802259232373078,0.0005115335455684779,0.0071672082693492005,0.008437310195396956,5
30,0.00012996070923618027,0.00012996070923618027,1.2270233568305069e-05,0.00011472764444192444,0.00014519377403043608,5,6.6342619350527e-05,6.6342619350527e-05,6.635706513128533e-06,5.8104622354996685e-05,7.458061634605732e-05,5,0.0001963033287098806,0.0001963033287098806,1.2900440131513705e-05,0.00018028788456174517,0.00021231877285801602,5,0.006487491085818103,0.006487491085818103,0.00015903676949424882,0.0062900525121439375,0.006684929659492269,5
40,0.0001044577295969957,0.0001044577295969957,8.677483245141469e-06,9.36849383711015e-05,0.0001152305208228899,5,6.585622853627388e-05,6.585622853627388e-05,1.8134812988429113e-05,4.334249399759125e-05,8.83699630749565e-05,5,0.00017031395822151898,0.00017031395822151898,2.148543628791819e-05,0.00014364054232566146,0.0001969873741173765,5,0.005810856676649434,0.005810856676649434,0.0002561122951661273,0.005492902241214013,0.006128811112084855,5
50,9.614515878327075e-05,9.614515878327075e-05,1.1978917347469794e-05,8.127375286395796e-05,0.00011101656470258353,5,5.741297167800554e-05,5.741297167800554e-05,1.366750834503331e-05,4.0445239235347254e-05,7.438070412066382e-05,5,0.00015355813054951432,0.00015355813054951432,2.3550840076570048e-05,0.0001243205882608141,0.00018279567283821453,5,0.005289061534899225,0.005289061534899225,0.0001449845813880955,0.005109068260104702,0.005469054809693748,5
60,0.0002686011078621886,0.0002686011078621886,0.0002631638076530139,-5.81075331074866e-05,0.0005953097488318638,5,4.34789187692063e-05,4.34789187692063e-05,6.750754043185729e-06,3.5098094298548924e-05,5.185974323986367e-05,5,0.0003120800264866011,0.0003120800264866011,0.00026673150722845046,-1.9057788426384025e-05,0.0006432178413995863,5,0.004946767936182267,0.004946767936182267,0.00013734275605208722,0.0047762617196284675,0.005117274152736066,5
70,7.736380057508723e-05,7.736380057508723e-05,5.913918549510101e-06,7.002187803130286e-05,8.470572311887161e-05,5,4.045427365666433e-05,4.045427365666433e-05,3.829724486007753e-06,3.5699804973183296e-05,4.520874234014536e-05,5,0.00011781807425667102,0.00011781807425667102,7.372084392929826e-06,0.00010866588993996005,0.00012697025857338198,5,0.004626867300248187,0.004626867300248187,0.00011385466958315288,0.0044855207195792805,0.004768213880917094,5
80,9.395864248374437e-05,9.395864248374437e-05,5.671878152165118e-05,2.354426372225679e-05,0.00016437302124523197,5,3.828015748890744e-05,3.828015748890744e-05,7.992313908764939e-06,2.8357979972846862e-05,4.820233500496802e-05,5,0.00013223880004344029,0.00013223880004344029,6.43661784206211e-05,5.233044614114441e-05,0.00021214715394573616,5,0.004384985475275856,0.004384985475275856,0.00023349054214668913,0.004095115153120469,0.004674855797431243,5
90,7.602712253294975e-05,7.602712253294975e-05,2.2195764354612315e-05,4.847185924560653e-05,0.00010358238582029298,5,3.8123128135568095e-05,3.8123128135568095e-05,5.916670669560719e-06,3.077778893122716e-05,4.546846733990903e-05,5,0.00011415025067413626,0.00011415025067413626,2.670646069772093e-05,8.099511601684014e-05,0.00014730538533143237,5,0.004248180601162695,0.004248180601162695,0.00023548450466893115,0.0039558348444420615,0.0045405263578833285,5
100,5.7390125131171766e-05,5.7390125131171766e-05,6.0864649527679675e-06,4.9833992277028484e-05,6.494625798531505e-05,5,3.2194501273246026e-05,3.2194501273246026e-05,3.181943942692378e-06,2.8244229423822848e-05,3.614477312266921e-05,5,8.958462643286111e-05,8.958462643286111e-05,6.408477068483289e-06,8.162872682644529e-05,9.754052603927693e-05,5,0.003989414155257142,0.003989414155257142,8.880735387657062e-05,0.003879162938906819,0.004099665371607466,5
110,7.642477273433088e-05,7.642477273433088e-05,2.784768244731639e-05,4.185285128488221e-05,0.00011099669418377956,5,3.908918044560914e-05,3.908918044560914e-05,1.1701795050596365e-05,2.456181214226401e-05,5.361654874895427e-05,5,0.00011551395299921568,0.00011551395299921568,3.757364607334606e-05,6.886758868956066e-05,0.0001621603173088707,5,0.004083820019735957,0.004083820019735957,0.0003129278663792206,0.0036953310445304623,0.004472308994941452,5
120,5.2248601511121706e-05,5.2248601511121706e-05,2.2763734973993725e-06,4.942256362123325e-05,5.507463940101016e-05,5,2.7465490737448933e-05,2.7465490737448933e-05,3.8108245263614152e-06,2.273448569125718e-05,3.2196495783640685e-05,5,7.97140922167082e-05,7.97140922167082e-05,2.2297700570517198e-06,7.694591086414637e-05,8.248227356927003e-05,5,0.0036472241765642247,0.0036472241765642247,8.668186023579726e-05,0.003539611686051469,0.0037548366670769806,5
130,5.43303940286778e-05,5.43303940286778e-05,1.0283279106901048e-05,4.1564063537832965e-05,6.709672451952263e-05,5,3.1151158606624904e-05,3.1151158606624904e-05,9.10838529063273e-06,1.9843417598201634e-05,4.245889961504818e-05,5,8.548155265927742e-05,8.548155265927742e-05,1.8948824987478724e-05,6.195725076213357e-05,0.00010900585455642128,5,0.003635492093266408,0.003635492093266408,0.00019090649264158954,0.0033984883756220047,0.0038724958109108117,5
140,6.185608726923692e-05,6.185608726923692e-05,2.4512398992313162e-05,3.142480329783193e-05,9.228737124064191e-05,5,4.0576711172942055e-05,4.0576711172942055e-05,3.492231604528811e-05,-2.7781198595724213e-06,8.393154220545654e-05,5,0.0001024327983138519,0.0001024327983138519,5.89170217718067e-05,2.928938134966403e-05,0.00017557621527803977,5,0.0036412363465242875,0.0036412363465242875,0.0005583568537310795,0.00294805588798985,0.004334416805058725,5
150,0.00029771751167599814,0.00029771751167599814,0.00044106063466498046,-0.0002498438031633674,0.0008452788265153636,5,3.0339303562539098e-05,3.0339303562539098e-05,5.646817174381838e-06,2.332897801169817e-05,3.734962911338003e-05,5,0.00032805681510165226,0.00032805681510165226,0.0004419884159037939,-0.00022065630761871778,0.0008767699378220223,5,0.003583587434897615,0.003583587434897615,8.65590454639207e-05,0.003476127414618394,0.0036910474551768357,5
160,4.8657376770164775e-05,4.8657376770164775e-05,7.771358897658668e-06,3.9009507153954736e-05,5.8305246386374815e-05,5,2.6251466434242504e-05,2.6251466434242504e-05,1.8935791369675476e-06,2.390065432248397e-05,2.8602278546001038e-05,5,7.49088432349108e-05,7.49088432349108e-05,7.943809449701396e-06,6.504688230426502e-05,8.477080416555659e-05,5,0.0033108647518446275,0.0033108647518446275,0.00011371182575583595,0.0031696955067793886,0.0034520339969098665,5
170,0.0006560447279594354,0.0006560447279594354,0.0013380268128985846,-0.0010050686505164745,0.002317158106435345,5,4.733260863965449e-05,4.733260863965449e-05,3.997361416591311e-05,-2.2932319167000707e-06,9.695844919600905e-05,5,0.0007033773370764338,0.0007033773370764338,0.0013779480463704512,-0.0010072968531605812,0.0024140515273134485,5,0.0032946971386412496,0.0032946971386412496,0.0001008386472034405,0.003169509493429432,0.0034198847838530673,5
180,4.286865418643901e-05,4.286865418643901e-05,2.236389020629088e-06,4.0092255622649406e-05,4.564505275022862e-05,5,2.425026714928606e-05,2.425026714928606e-05,2.009074807774649e-06,2.1756071211370774e-05,2.6744463087201347e-05,5,6.711892130281013e-05,6.711892130281013e-05,2.2943116163207748e-06,6.427061386717132e-05,6.996722873844893e-05,5,0.0031922939656124803,0.0031922939656124803,6.414945682120594e-05,0.003112654663977839,0.0032719332672471214,5
