uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
aleatoric,0,3334,0.0013379585714682922,0.0023914420669003413,1.7901331389654733e-06,5.718995159340576e-06,0.6869846731655771,2.7410933398641646e-06,6.693627256026957e-06
aleatoric,1,3334,0.0017933193485467431,0.002715799570318381,3.2159942858721154e-06,7.375567306141503e-06,0.5639665191321331,6.693771410937188e-06,8.03354396339273e-06
aleatoric,2,3334,0.002073610791796014,0.002937244512948779,4.299861715852892e-06,8.627405328847708e-06,0.5016043002552206,8.033727681322489e-06,9.195195161737502e-06
aleatoric,3,3334,0.0023374431944211678,0.003130129006470616,5.463640687145833e-06,9.797707597148726e-06,0.4423552006455233,9.195839993481059e-06,1.0415928045404144e-05
aleatoric,4,3334,0.0026383303524960483,0.0033285044189469352,6.960787048901922e-06,1.1078941666949274e-05,0.3717101093087836,1.0417507837701123e-05,1.1772480320360046e-05
aleatoric,5,3333,0.0029388734712312713,0.0035399737528646743,8.636977279906941e-06,1.2531414170970807e-05,0.3107739348433142,1.1772515790653415e-05,1.3330984984349925e-05
aleatoric,6,3333,0.0032132302154279447,0.003767100463926646,1.0324848417339116e-05,1.4191045905316351e-05,0.2724392207433317,1.3331899026525207e-05,1.5088674444996286e-05
aleatoric,7,3333,0.0035267481858226456,0.004014483568186294,1.2437952766203323e-05,1.6116078319237763e-05,0.22822708354822657,1.5088822692632675e-05,1.721847729641013e-05
aleatoric,8,3333,0.003971281132136233,0.0043101962965103584,1.5771073830461237e-05,1.857779211445161e-05,0.151079216878901,1.721915577945765e-05,2.0078447050764225e-05
aleatoric,9,3333,0.004442845854169717,0.004673589329881028,1.973887928391304e-05,2.184243722437779e-05,0.09630600829274766,2.008040428336244e-05,2.3731976398266852e-05
aleatoric,10,3333,0.005237597625955994,0.005103468896349934,2.7432428891419864e-05,2.604539477601122e-05,0.053254486151469445,2.3732516638119705e-05,2.8638420189963654e-05
aleatoric,11,3333,0.0060326467662294644,0.005658327703777191,3.6392827006098816e-05,3.201667240333246e-05,0.13668361744897825,2.863855115720071e-05,3.5774533898802474e-05
aleatoric,12,3333,0.007043854209026787,0.006395420895895267,4.9615882118024376e-05,4.0901408435653815e-05,0.21306047922726645,3.578413088689558e-05,4.693975643021986e-05
aleatoric,13,3333,0.008903986896934156,0.007543445617185993,7.928098266077514e-05,5.690357177944256e-05,0.39325142836493826,4.69475744466763e-05,7.105814438546076e-05
aleatoric,14,3333,0.013578629211595803,0.015751862400612705,0.00018437917126600285,0.00024812116908783625,0.2568986679216733,7.107220881152898e-05,0.03459714725613594
epistemic,0,3334,0.0018980449368260792,0.0007663275010569967,3.6025745822111144e-06,5.872578388762613e-07,5.134570445419287,1.2703239349320938e-08,9.657442205934785e-07
epistemic,1,3334,0.0022671904808829885,0.0011352556815573769,5.140152676606436e-06,1.2888054625083042e-06,2.988307643112054,9.661913509262376e-07,1.6176700228243135e-06
epistemic,2,3334,0.0025364804603083798,0.0013979027118467616,6.43373312552621e-06,1.9541319917885302e-06,2.29237387881752,1.618415126358741e-06,2.297013907082146e-06
