config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-526.5743408203125,-526.5725708007812,0.00177001953125,3.1329691410064697e-06,1.9705719751073048e-05,6.357580332405632e-06,2.606330053822603e-05,1.9705719751073048e-05,6.357580332405632e-06,2.606330053822603e-05
1,20.0,-526.6301879882812,-526.6311645507812,-0.0009765625,9.5367431640625e-07,1.2982430234842468e-05,5.205720754020149e-06,1.8188151443609968e-05,1.2982430234842468e-05,5.205720754020149e-06,1.8188151443609968e-05
2,20.0,-526.649658203125,-526.6486206054688,0.00103759765625,1.0766088962554932e-06,1.3115080946590751e-05,1.0439157449582126e-05,2.355423930566758e-05,1.3115080946590751e-05,1.0439157449582126e-05,2.355423930566758e-05
3,20.0,-526.6453247070312,-526.643310546875,0.00201416015625,4.056841135025024e-06,1.365255047858227e-05,7.473528057744261e-06,2.112607762683183e-05,1.365255047858227e-05,7.473528057744261e-06,2.112607762683183e-05
4,20.0,-526.6103515625,-526.6112670898438,-0.00091552734375,8.381903171539307e-07,1.71755764313275e-05,9.672343139754958e-07,1.8142811313737184e-05,1.71755764313275e-05,9.672343139754958e-07,1.8142811313737184e-05
5,20.0,-526.623046875,-526.6248168945312,-0.00177001953125,3.1329691410064697e-06,9.868039342109114e-06,1.6638635997878737e-06,1.1531902600836474e-05,9.868039342109114e-06,1.6638635997878737e-06,1.1531902600836474e-05
6,20.0,-526.5936279296875,-526.5927734375,0.0008544921875,7.301568984985352e-07,1.3243571629573125e-05,2.2621452444582246e-06,1.550571687403135e-05,1.3243571629573125e-05,2.2621452444582246e-06,1.550571687403135e-05
7,20.0,-526.6054077148438,-526.6047973632812,0.0006103515625,3.725290298461914e-07,1.1367059414624237e-05,1.0313093525837758e-06,1.2398369108268525e-05,1.1367059414624237e-05,1.0313093525837758e-06,1.2398369108268525e-05
8,20.0,-526.5802001953125,-526.58154296875,-0.0013427734375,1.8030405044555664e-06,1.1665145393635612e-05,1.4750660284335027e-06,1.314021119469544e-05,1.1665145393635612e-05,1.4750660284335027e-06,1.314021119469544e-05
9,20.0,-526.5538330078125,-526.5512084960938,0.00262451171875,6.888061761856079e-06,1.8881728465203196e-05,4.278868345863884e-06,2.316059726581443e-05,1.8881728465203196e-05,4.278868345863884e-06,2.316059726581443e-05
10,20.0,-526.5552978515625,-526.5614624023438,-0.00616455078125,3.8001686334609985e-05,2.02370501938276e-05,3.9687756725470535e-06,2.4205826775869355e-05,2.02370501938276e-05,3.9687756725470535e-06,2.4205826775869355e-05
11,20.0,-526.5560302734375,-526.5575561523438,-0.00152587890625,2.3283064365386963e-06,1.573324334458448e-05,3.1562151434627594e-06,1.8889459170168266e-05,1.573324334458448e-05,3.1562151434627594e-06,1.8889459170168266e-05
12,20.0,-526.5926513671875,-526.594970703125,-0.0023193359375,5.379319190979004e-06,1.766611785569694e-05,7.005631687206915e-06,2.4671749997651204e-05,1.766611785569694e-05,7.005631687206915e-06,2.4671749997651204e-05
13,20.0,-526.5550537109375,-526.569580078125,-0.0145263671875,0.00021101534366607666,2.5001150788739324e-05,1.8979608285008e-05,4.398075907374732e-05,2.5001150788739324e-05,1.8979608285008e-05,4.398075907374732e-05
14,22.0,-614.2382202148438,-614.2411499023438,-0.0029296875,8.58306884765625e-06,1.6196327123907395e-05,5.219876584305894e-06,2.1416202798718587e-05,1.6196327123907395e-05,5.219876584305894e-06,2.1416202798718587e-05
15,22.0,-614.1651000976562,-614.1658325195312,-0.000732421875,5.364418029785156e-07,1.7907250366988592e-05,2.7610362849372905e-06,2.0668287106673233e-05,1.7907250366988592e-05,2.7610362849372905e-06,2.0668287106673233e-05
16,22.0,-614.1563110351562,-614.1521606445312,0.004150390625,1.722574234008789e-05,1.3417515219771303e-05,5.567073912970955e-07,1.3974222383694723e-05,1.3417515219771303e-05,5.567073912970955e-07,1.3974222383694723e-05
17,22.0,-614.2207641601562,-614.2219848632812,-0.001220703125,1.4901161193847656e-06,9.376247362524737e-06,5.494058314070571e-06,1.4870305676595308e-05,9.376247362524737e-06,5.494058314070571e-06,1.4870305676595308e-05
18,22.0,-614.2613525390625,-614.2606811523438,0.00067138671875,4.507601261138916e-07,7.496125817851862e-06,6.234645866243227e-07,8.119590347632766e-06,7.496125817851862e-06,6.234645866243227e-07,8.119590347632766e-06
19,22.0,-614.235595703125,-614.2348022460938,0.00079345703125,6.295740604400635e-07,7.82974802859826e-06,8.42511667542567e-07,8.672259355080314e-06,7.82974802859826e-06,8.42511667542567e-07,8.672259355080314e-06
20,22.0,-614.1953125,-614.19287109375,0.00244140625,5.9604644775390625e-06,1.1723410352715291e-05,2.138465561074554e-06,1.386187614116352e-05,1.1723410352715291e-05,2.138465561074554e-06,1.386187614116352e-05
21,22.0,-614.2576293945312,-614.2553100585938,0.0023193359375,5.379319190979004e-06,8.497840099153109e-06,9.71555664364132e-07,9.469395990890916e-06,8.497840099153109e-06,9.71555664364132e-07,9.469395990890916e-06
22,22.0,-614.2761840820312,-614.2753295898438,0.0008544921875,7.301568984985352e-07,9.296529242419638e-06,1.4184415704221465e-06,1.0714970812841784e-05,9.296529242419638e-06,1.4184415704221465e-06,1.0714970812841784e-05
23,22.0,-614.1903686523438,-614.1886596679688,0.001708984375,2.9206275939941406e-06,1.3121377378411125e-05,7.417797860398423e-06,2.053917523880955e-05,1.3121377378411125e-05,7.417797860398423e-06,2.053917523880955e-05
24,22.0,-614.2909545898438,-614.29052734375,0.00042724609375,1.825392246246338e-07,7.9205674410332e-06,1.5385448932647705e-06,9.45911233429797e-06,7.9205674410332e-06,1.5385448932647705e-06,9.45911233429797e-06
25,22.0,-614.15673828125,-614.1520385742188,0.00469970703125,2.208724617958069e-05,1.631042323424481e-05,3.1439963095181156e-06,1.9454419089015573e-05,1.631042323424481e-05,3.1439963095181156e-06,1.9454419089015573e-05
26,22.0,-614.251220703125,-614.2496337890625,0.0015869140625,2.518296241760254e-06,7.57399675421766e-06,1.4664232139693922e-06,9.04042008187389e-06,7.57399675421766e-06,1.4664232139693922e-06,9.04042008187389e-06
27,22.0,-614.2384643554688,-614.23828125,0.00018310546875,3.3527612686157227e-08,8.418029210588429e-06,4.7221777776940144e-07,8.89024704520125e-06,8.418029210588429e-06,4.7221777776940144e-07,8.89024704520125e-06
28,22.0,-614.1709594726562,-614.1688842773438,0.0020751953125,4.306435585021973e-06,1.6077627151389606e-05,5.770325515186414e-06,2.184795266657602e-05,1.6077627151389606e-05,5.770325515186414e-06,2.184795266657602e-05
29,22.0,-614.1681518554688,-614.1688842773438,-0.000732421875,5.364418029785156e-07,1.1884664672834333e-05,1.010537198453676e-05,2.199003574787639e-05,1.1884664672834333e-05,1.010537198453676e-05,2.199003574787639e-05
30,22.0,-614.2831420898438,-614.2822265625,0.00091552734375,8.381903171539307e-07,8.079568033281248e-06,1.7152726741187507e-06,9.794840480026323e-06,8.079568033281248e-06,1.7152726741187507e-06,9.794840480026323e-06
31,22.0,-614.2288208007812,-614.2289428710938,-0.0001220703125,1.4901161193847656e-08,1.0239502444164827e-05,3.680586814880371e-06,1.3920089259045199e-05,1.0239502444164827e-05,3.680586814880371e-06,1.3920089259045199e-05
32,22.0,-614.287109375,-614.2864379882812,0.00067138671875,4.507601261138916e-07,8.347495167981833e-06,5.6461990425304975e-06,1.3993694665259682e-05,8.347495167981833e-06,5.6461990425304975e-06,1.3993694665259682e-05
