config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-526.3682250976562,-526.3720092773438,-0.0037841796875,1.4320015907287598e-05,9.873710041574668e-06,2.669692094059428e-06,1.2543401680886745e-05,9.873710041574668e-06,2.669692094059428e-06,1.2543401680886745e-05
1,20.0,-526.364501953125,-526.3607788085938,0.00372314453125,1.3861805200576782e-05,1.3570996998168994e-05,8.936822268879041e-06,2.2507818357553333e-05,1.3570996998168994e-05,8.936822268879041e-06,2.2507818357553333e-05
2,20.0,-526.3622436523438,-526.3666381835938,-0.00439453125,1.9311904907226562e-05,8.628293289802969e-05,0.00013051554560661316,0.00021679847850464284,8.628293289802969e-05,0.00013051554560661316,0.00021679847850464284
3,20.0,-526.4917602539062,-526.4705200195312,0.021240234375,0.00045114755630493164,5.722540299757384e-05,2.0012856111861765e-05,7.723826274741441e-05,5.722540299757384e-05,2.0012856111861765e-05,7.723826274741441e-05
4,20.0,-526.5093994140625,-526.5008544921875,0.008544921875,7.301568984985352e-05,2.9525923309847713e-05,7.5080993156007025e-06,3.703402398969047e-05,2.9525923309847713e-05,7.5080993156007025e-06,3.703402398969047e-05
5,20.0,-526.3558959960938,-526.3515625,0.00433349609375,1.877918839454651e-05,8.515527588315308e-05,0.00011447370343375951,0.0001996289793169126,8.515527588315308e-05,0.00011447370343375951,0.0001996289793169126
6,20.0,-526.1895751953125,-526.3845825195312,-0.19500732421875,0.03802785649895668,0.005658020731061697,2.4577826479799114e-05,0.0056825983338057995,0.005658020731061697,2.4577826479799114e-05,0.0056825983338057995
7,20.0,-526.4996337890625,-526.5021362304688,-0.00250244140625,6.2622129917144775e-06,3.0441509807133116e-05,2.2970736608840525e-05,5.341224459698424e-05,3.0441509807133116e-05,2.2970736608840525e-05,5.341224459698424e-05
8,20.0,-526.4920654296875,-526.4965209960938,-0.00445556640625,1.985207200050354e-05,3.656612170743756e-05,1.9150375010212883e-05,5.571649671765044e-05,3.656612170743756e-05,1.9150375010212883e-05,5.571649671765044e-05
9,20.0,-526.5172729492188,-526.5177612304688,-0.00048828125,2.384185791015625e-07,2.4995750209200196e-05,2.00107706405106e-06,2.6996827727998607e-05,2.4995750209200196e-05,2.00107706405106e-06,2.6996827727998607e-05
10,20.0,-526.4056396484375,-526.4234619140625,-0.017822265625,0.00031763315200805664,4.9327594751957804e-05,3.003045821969863e-05,7.935805479064584e-05,4.9327594751957804e-05,3.003045821969863e-05,7.935805479064584e-05
11,20.0,-526.4991455078125,-526.4959106445312,0.00323486328125,1.0464340448379517e-05,3.520240352372639e-05,2.288132964167744e-05,5.808373316540383e-05,3.520240352372639e-05,2.288132964167744e-05,5.808373316540383e-05
12,20.0,-526.4539794921875,-526.4579467773438,-0.00396728515625,1.5739351511001587e-05,5.7944260333897546e-05,6.929620576556772e-05,0.00012724046246148646,5.7944260333897546e-05,6.929620576556772e-05,0.00012724046246148646
13,20.0,-526.3284912109375,-526.3219604492188,0.00653076171875,4.2650848627090454e-05,0.00011350616114214063,3.26237095578108e-05,0.00014612986706197262,0.00011350616114214063,3.26237095578108e-05,0.00014612986706197262
14,20.0,-526.432861328125,-526.4212036132812,0.01165771484375,0.0001359023153781891,7.829487003618851e-05,2.6379377231933177e-05,0.00010467424726812169,7.829487003618851e-05,2.6379377231933177e-05,0.00010467424726812169
15,20.0,-526.37744140625,-526.370361328125,0.007080078125,5.0127506256103516e-05,0.00010078062041429803,3.2461433875141665e-05,0.00013324205065146089,0.00010078062041429803,3.2461433875141665e-05,0.00013324205065146089
16,20.0,-526.4467163085938,-526.4461059570312,0.0006103515625,3.725290298461914e-07,2.960765232273843e-05,7.944121898617595e-05,0.00010904887312790379,2.960765232273843e-05,7.944121898617595e-05,0.00010904887312790379
17,20.0,-526.5335693359375,-526.53173828125,0.0018310546875,3.3527612686157227e-06,1.6841679098433815e-05,6.3164529819914605e-06,2.3158132535172626e-05,1.6841679098433815e-05,6.3164529819914605e-06,2.3158132535172626e-05
18,20.0,-526.3433837890625,-526.35595703125,-0.0125732421875,0.00015808641910552979,8.138290286296979e-05,1.077190063369926e-05,9.215480531565845e-05,8.138290286296979e-05,1.077190063369926e-05,9.215480531565845e-05
19,20.0,-526.4661865234375,-526.466796875,-0.0006103515625,3.725290298461914e-07,2.704557846300304e-05,8.974373486125842e-06,3.601995194912888e-05,2.704557846300304e-05,8.974373486125842e-06,3.601995194912888e-05
20,20.0,-526.3120727539062,-526.3146362304688,-0.0025634765625,6.571412086486816e-06,0.00014595988614019006,4.002913919975981e-05,0.00018598901806399226,0.00014595988614019006,4.002913919975981e-05,0.00018598901806399226
21,20.0,-526.3177490234375,-526.341064453125,-0.0233154296875,0.0005436092615127563,0.00015632031136192381,3.337129965075292e-05,0.00018969160737469792,0.00015632031136192381,3.337129965075292e-05,0.00018969160737469792
22,20.0,-526.4400024414062,-526.4393920898438,0.0006103515625,3.725290298461914e-07,3.985366492997855e-05,3.696829026011983e-06,4.3550495320232585e-05,3.985366492997855e-05,3.696829026011983e-06,4.3550495320232585e-05
