config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-526.5743408203125,-526.57275390625,0.0015869140625,2.518296241760254e-06,1.666123938301335e-05,5.7106462468528074e-06,1.0691087866549143e-05,2.2577643903787248e-05,4.839152097702026e-06,2.7416796001489274e-05
1,20.0,-526.6301879882812,-526.6300659179688,0.0001220703125,1.4901161193847656e-08,7.919498279483782e-06,3.313306266459349e-06,4.515195694490376e-06,1.3879672223993111e-05,1.5914440609776648e-06,1.54711160575971e-05
2,20.0,-526.649658203125,-526.6476440429688,0.00201416015625,4.056841135025024e-06,8.709603347457372e-06,5.541154060442493e-06,5.85550870532277e-06,1.4372245459526312e-05,3.395043222553795e-06,1.7767288227332756e-05
3,20.0,-526.6453247070312,-526.6427612304688,0.0025634765625,6.571412086486816e-06,9.614824831708153e-06,5.541154060442493e-06,5.85550870532277e-06,1.4723405001859646e-05,3.486312834866112e-06,1.8209717381978408e-05
4,20.0,-526.6103515625,-526.6111450195312,-0.00079345703125,6.295740604400635e-07,1.098837503450829e-05,5.6987106103763405e-06,7.949209461609524e-06,1.779300691850949e-05,3.996491614088882e-06,2.1789499442093074e-05
5,20.0,-526.623046875,-526.6242065429688,-0.00115966796875,1.344829797744751e-06,4.593414749319205e-06,4.661352325963845e-06,4.515195694490376e-06,1.0248079888697248e-05,2.884678451664513e-06,1.313275788561441e-05
6,20.0,-526.5936279296875,-526.5924682617188,0.00115966796875,1.344829797744751e-06,5.9358944947069345e-06,5.7106462468528074e-06,4.844825840398167e-06,1.2825883459299803e-05,4.772096872329712e-06,1.7597980331629515e-05
7,20.0,-526.6054077148438,-526.6048583984375,0.00054931640625,3.0174851417541504e-07,4.755857219801058e-06,4.661352325963845e-06,4.515195694490376e-06,1.1465644092822913e-05,2.485327513568336e-06,1.39509720611386e-05
8,20.0,-526.5802001953125,-526.5812377929688,-0.00103759765625,1.0766088962554932e-06,5.9358944947069345e-06,5.541154060442493e-06,4.844825840398167e-06,1.2702336789516266e-05,3.4241006687807385e-06,1.6126437913044356e-05
9,20.0,-526.5538330078125,-526.5485229492188,0.00531005859375,2.8196722269058228e-05,1.52171752046025e-05,5.541154060442493e-06,1.0691087866549143e-05,2.2136382540338673e-05,3.5604462027549744e-06,2.5696828743093647e-05
10,20.0,-526.5552978515625,-526.5621948242188,-0.00689697265625,4.756823182106018e-05,1.1529313867149906e-05,1.2984724780653476e-05,1.0691087866549143e-05,1.8973687474499457e-05,1.0850652870431077e-05,2.982433943543583e-05
11,20.0,-526.5560302734375,-526.5578002929688,-0.00177001953125,3.1329691410064697e-06,1.0257042043544109e-05,8.514871779618746e-06,1.0031926007393528e-05,1.65113051480148e-05,6.405264230124885e-06,2.2916568923392333e-05
12,20.0,-526.5926513671875,-526.5924682617188,0.00018310546875,3.3527612686157227e-08,1.1529313867149906e-05,8.514871779618746e-06,1.0691087866549143e-05,1.92589322978165e-05,6.334856152534485e-06,2.5593788450350985e-05
13,20.0,-526.5550537109375,-526.5693359375,-0.0142822265625,0.00020398199558258057,1.8295074991991956e-05,2.2394085713124206e-05,2.2723648917714233e-05,2.508741272322368e-05,1.927204357343726e-05,4.4359454477671534e-05
14,22.0,-614.2382202148438,-614.2407836914062,-0.0025634765625,6.571412086486816e-06,8.709603347457372e-06,8.514871779618746e-06,7.949209461609524e-06,1.4437749996432103e-05,6.443076017603744e-06,2.088082692353055e-05
15,22.0,-614.1651000976562,-614.16748046875,-0.00238037109375,5.666166543960571e-06,1.3256324539551921e-05,1.8587608047458067e-05,1.5241812382425582e-05,2.1494295651791617e-05,1.4893524166836869e-05,3.638782072812319e-05
16,22.0,-614.1563110351562,-614.1544799804688,0.0018310546875,3.3527612686157227e-06,1.0257042043544109e-05,1.0555728707197956e-05,1.0262647420804724e-05,1.5994346540537663e-05,8.129328307404649e-06,2.412367393844761e-05
17,22.0,-614.2207641601562,-614.2225952148438,-0.0018310546875,3.3527612686157227e-06,4.755857219801058e-06,4.661352325963845e-06,4.515195694490376e-06,1.0704158739827108e-05,2.955831632789341e-06,1.3659990145242773e-05
18,22.0,-614.2613525390625,-614.2605590820312,0.00079345703125,6.295740604400635e-07,3.5094487811288524e-06,3.313306266459349e-06,2.5932750538320572e-06,8.742914360482246e-06,1.866370439529419e-06,1.0609284800011665e-05
19,22.0,-614.235595703125,-614.2342529296875,0.0013427734375,1.8030405044555664e-06,3.5094487811288524e-06,1.0905601084232333e-06,1.9832779789239724e-06,8.586453986936249e-06,5.615875124931335e-07,9.148041499429382e-06
