metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n,value_geometric_mean,value_geometric_ci95_low,value_geometric_ci95_high,value_geometric_n
ause,aleatoric,0.23330938221047667,0.23330938221047667,0.003130380304370307,0.2294231248102663,0.23719563961068704,5,0.23329253992304008,0.22943150949731467,0.2372185464106022,5
ause,epistemic,0.2561419751435491,0.2561419751435491,0.006935350496709594,0.24753198064758897,0.2647519696395092,5,0.25606709068517425,0.24762055546259062,0.26480174398072265,5
ause,total,0.2294662817026878,0.2294662817026878,0.003681633259051025,0.2248956630855592,0.2340369003198164,5,0.22944246087689749,0.22488993404656038,0.23408714612521273,5
ence,aleatoric,0.06187875657256951,0.06187875657256951,0.012428725439132446,0.0464489296772309,0.07730858346790813,5,0.06093559682406692,0.047913799791354884,0.07749639929361643,5
ence,epistemic,0.07746028059016188,0.07746028059016188,0.01807930319804005,0.055015459510135534,0.09990510167018823,5,0.0758049287492926,0.05684840132122359,0.10108265297057686,5
ence,total,0.06495668704117584,0.06495668704117584,0.005523364512171261,0.058099623642355776,0.07181375043999591,5,0.06477787398433703,0.05850596744569573,0.07172213606800822,5
rmse,ensemble,0.005666320602960958,0.005666320602960958,6.181207327175135e-05,0.005589583081056887,0.005743058124865029,5,0.005666050664782098,0.005589785816157398,0.00574335604113488,5
spearman,aleatoric,0.47751357274425965,0.47751357274425965,0.00816528572533455,0.46737665678212814,0.48765048870639116,5,0.47745792198286174,0.46745511792989314,0.4876747703046474,5
spearman,epistemic,0.46160166734461594,0.46160166734461594,0.010904816976796456,0.4480637193787251,0.4751396153105068,5,0.461498614881343,0.4481582442136805,0.47523608967873726,5
spearman,total,0.48715851181928393,0.48715851181928393,0.008713391341161381,0.4763411419510791,0.4979758816874888,5,0.48709644353630294,0.4764337864433447,0.49799773243816525,5
