uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,count_geometric_mean,count_geometric_ci95_low,count_geometric_ci95_high,count_geometric_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmse_geometric_mean,rmse_geometric_ci95_low,rmse_geometric_ci95_high,rmse_geometric_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,rmv_geometric_mean,rmv_geometric_ci95_low,rmv_geometric_ci95_high,rmv_geometric_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mse_geometric_mean,mse_geometric_ci95_low,mse_geometric_ci95_high,mse_geometric_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,mean_variance_geometric_mean,mean_variance_geometric_ci95_low,mean_variance_geometric_ci95_high,mean_variance_geometric_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,ence_term_geometric_mean,ence_term_geometric_ci95_low,ence_term_geometric_ci95_high,ence_term_geometric_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_min_geometric_mean,uncertainty_min_geometric_ci95_low,uncertainty_min_geometric_ci95_high,uncertainty_min_geometric_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n,uncertainty_max_geometric_mean,uncertainty_max_geometric_ci95_low,uncertainty_max_geometric_ci95_high,uncertainty_max_geometric_n
aleatoric,0,3333.8,3333.8,0.4472135954999579,3333.2448000000004,3334.3552,5,3333.7999760004845,3333.244772271156,3334.3552722076247,5,0.0012763193226937133,0.0012763193226937133,3.591133013661892e-05,0.00123173666534055,0.0013209019800468765,5,0.0012759203332898725,0.0012325297542921596,0.0013208384554070929,5,0.002515353211679406,0.002515353211679406,5.382511942897642e-05,0.002448531212957387,0.002582175210401425,5,0.002514895044338838,0.0024492305491014207,0.0025823200214289605,5,1.6300227123870844e-06,1.6300227123870844e-06,9.259736862236894e-08,1.5150663256035703e-06,1.7449790991705985e-06,5,1.6279726969025396e-06,1.5191295952154912e-06,1.7446142252821948e-06,5,6.329319494291136e-06,6.329319494291136e-06,2.7194435034601083e-07,5.991710117404204e-06,6.666928871178067e-06,5,6.324697084040046e-06,5.998730282651646e-06,6.668376693072867e-06,5,0.7420520333936904,0.7420520333936904,0.01906187578944902,0.7183873828893363,0.7657166838980445,5,0.7418541153519448,0.7183868958618372,0.7660879278767654,5,2.699555261642672e-06,2.699555261642672e-06,1.594623513342234e-07,2.501588343034606e-06,2.897522180250738e-06,5,2.6957763291476104e-06,2.5046613422959267e-06,2.901474101137758e-06,5,7.5081630711792965e-06,7.5081630711792965e-06,3.2678763895805735e-07,7.102467674225448e-06,7.913858468133145e-06,5,7.502543806504845e-06,7.111354674335217e-06,7.915251895910553e-06,5
aleatoric,1,3333.8,3333.8,0.4472135954999579,3333.2448000000004,3334.3552,5,3333.7999760004845,3333.244772271156,3334.3552722076247,5,0.0017211723661452276,0.0017211723661452276,1.7279226498714737e-05,0.001699720812237611,0.0017426239200528442,5,0.0017211033644774594,0.0016998739738645183,0.0017425978847604381,5,0.002880220386756549,0.002880220386756549,6.163948270852195e-05,0.002803697129985893,0.0029567436435272046,5,0.002879695811081916,0.0028045154837235222,0.0029568914889186787,5,2.9626731713166775e-06,2.9626731713166775e-06,5.973344924146237e-08,2.8885161882719546e-06,3.0368301543614004e-06,5,2.96219679121563e-06,2.8895715270219496e-06,3.036647387971553e-06,5,8.298709016950907e-06,8.298709016950907e-06,3.5669311407621266e-07,7.855887021090693e-06,8.74153101281112e-06,5,8.292647964362734e-06,7.865307098444983e-06,8.74320727723972e-06,5,0.6423455127309692,0.6423455127309692,0.019875733914838548,0.6176704858969082,0.6670205395650302,5,0.642100854275485,0.6179971987764734,0.6671446211691199,5,7.508454109483864e-06,7.508454109483864e-06,3.265922532306309e-07,7.103001277060608e-06,7.91390694190712e-06,5,7.502841806349147e-06,7.1118810641844045e-06,7.915294795155043e-06,5,9.057742317963857e-06,9.057742317963857e-06,3.8411382291777604e-07,8.580878473416517e-06,9.534606162511197e-06,5,9.051301165400478e-06,8.590865344204842e-06,9.53641449426804e-06,5
aleatoric,2,3333.6,3333.6,0.5477225575051661,3332.9200216474032,3334.2799783525966,5,3333.5999640014393,3332.9200346022376,3334.280032109036,5,0.0020423111339052486,0.0020423111339052486,4.133706059565766e-05,0.0019909926224072876,0.0020936296454032097,5,0.002041972330376454,0.001990835613842543,0.0020944225475126687,5,0.003126274524990503,0.003126274524990503,6.597565253702038e-05,0.0030443680653990768,0.003208180984581929,5,0.0031257203595376768,0.0030451834338245222,0.003208387270699747,5,4.172401769736294e-06,4.172401769736294e-06,1.6733148255472977e-07,3.964665600600991e-06,4.380137938871596e-06,5,4.1696509980230465e-06,3.963426441343815e-06,4.386605807529458e-06,5,9.77707463498674e-06,9.77707463498674e-06,4.141335495318348e-07,9.262942352306402e-06,1.0291206917667078e-05,5,9.770127766028343e-06,9.273142145639308e-06,1.029374887878817e-05,5,0.5726404055560439,0.5726404055560439,0.025144326355979685,0.5414246059173202,0.6038562051947676,5,0.572193898428949,0.5415858234623685,0.6045318086544555,5,9.057955139724072e-06,9.057955139724072e-06,3.841802760227218e-07,8.581008795976713e-06,9.534901483471431e-06,5,9.051511882388182e-06,8.590996815190606e-06,9.536712574744063e-06,5,1.0488044426892885e-05,1.0488044426892885e-05,4.533292015102004e-07,9.92525211643754e-06,1.105083673734823e-05,5,1.048028261077208e-05,9.936448355238308e-06,1.1053881595806613e-05,5
aleatoric,3,3333.6,3333.6,0.5477225575051661,3332.9200216474032,3334.2799783525966,5,3333.5999640014393,3332.9200346022376,3334.280032109036,5,0.0022922028991312496,0.0022922028991312496,3.1072605704902274e-05,0.0022536273485197445,0.0023307784497427547,5,0.0022920341544921813,0.0022537394754085045,0.0023309795221146726,5,0.0033463077721178234,0.0033463077721178234,7.036511746952613e-05,0.003258951945702469,0.003433663598533178,5,0.0033457188006969494,0.0032598124397934898,0.0034338890657298576,5,5.254966536245941e-06,5.254966536245941e-06,1.4229267179968493e-07,5.078315172830062e-06,5.43161789966182e-06,5,5.253420565358688e-06,5.079341623014602e-06,5.433465532517947e-06,5,1.1201736705541353e-05,1.1201736705541353e-05,4.7274672225543847e-07,1.0614838223837561e-05,1.1788635187245146e-05,5,1.1193834293337033e-05,1.0626377142632384e-05,1.1791594115739072e-05,5,0.5305767126484622,0.5305767126484622,0.011344999932053415,0.5164922929759466,0.5446611323209778,5,0.530479521589642,0.5165653166572844,0.5447685195881551,5,1.0488331827218645e-05,1.0488331827218645e-05,4.5346266536727557e-07,9.925373826063836e-06,1.1051289828373454e-05,5,1.0480565533702489e-05,9.9365691258752e-06,1.1054344061291654e-05,5,1.1936320333916228e-05,1.1936320333916228e-05,4.911890614948738e-07,1.1326526334614659e-05,1.2546114333217798e-05,5,1.1928316656203573e-05,1.1338449378271796e-05,1.254887097025172e-05,5
aleatoric,4,3333.0,3333.0,0.0,3333.0,3333.0,5,3333.0000000000023,3333.0000000000023,3333.0000000000023,5,0.00259712939465832,0.00259712939465832,2.995369170611585e-05,0.0025599429365484234,0.0026343158527682166,5,0.002596991184434058,0.0025600661207636683,0.0026344488360388004,5,0.003565946092514935,0.003565946092514935,7.15655315602215e-05,0.00347709999409117,0.0036547921909386998,5,0.003565374820793065,0.0034780001021972105,0.0036549445771190455,5,6.74579887151575e-06,6.74579887151575e-06,1.5557918960224545e-07,6.552652762058586e-06,6.938944980972915e-06,5,6.744363212028212e-06,6.553938542681936e-06,6.94032066970619e-06,5,1.2720068834968531e-05,1.2720068834968531e-05,5.126740313348981e-07,1.2083601998849812e-05,1.335653567108725e-05,5,1.271189761274518e-05,1.2096484710883807e-05,1.3358619861811917e-05,5,0.468871849607992,0.468871849607992,0.027034225070972997,0.43530980697235927,0.5024338922436248,5,0.46827348195736984,0.43686119604818674,0.5019444525814376,5,1.1936940791201777e-05,1.1936940791201777e-05,4.909509529998602e-07,1.1327442395248947e-05,1.2546439187154607e-05,5,1.1928944902077237e-05,1.133933454649057e-05,1.2549213174139488e-05,5,1.3533559285860975e-05,1.3533559285860975e-05,5.392797390067694e-07,1.286406239643426e-05,1.420305617528769e-05,5,1.3525058964754666e-05,1.2877380214288228e-05,1.4205313266833717e-05,5
aleatoric,5,3333.0,3333.0,0.0,3333.0,3333.0,5,3333.0000000000023,3333.0000000000023,3333.0000000000023,5,0.002857021329214223,0.002857021329214223,5.218386298930202e-05,0.0027922368928214275,0.0029218057656070187,5,0.0028566397846156743,0.002792553570948938,0.0029221967105455037,5,0.003797907531887094,0.003797907531887094,7.41400739640174e-05,0.003705865229329621,0.003889949834444567,5,0.0037973320274773217,0.00370680172058574,0.0038900733337920365,5,8.164749400030197e-06,8.164749400030197e-06,2.980603995054615e-07,7.794717863711558e-06,8.534780936348836e-06,5,8.160390859049085e-06,7.798355446619665e-06,8.539233615122963e-06,5,1.4428499021218629e-05,1.4428499021218629e-05,5.657908326849341e-07,1.3726089538440048e-05,1.513090850399721e-05,5,1.4419730526905028e-05,1.3740378995737404e-05,1.513267054227989e-05,5,0.4330274594327809,0.4330274594327809,0.03800637440563411,0.3858438780695662,0.48021104079599564,5,0.4317423563816051,0.3883018719187191,0.48004265694850723,5,1.3534438039641827e-05,1.3534438039641827e-05,5.3981424592466e-07,1.2864277578615772e-05,1.4204598500667882e-05,5,1.3525920871492137e-05,1.2877585193752132e-05,1.4206897696210113e-05,5,1.5365660874522292e-05,1.5365660874522292e-05,6.004054325064062e-07,1.4620278579614874e-05,1.611104316942971e-05,5,1.5356403396440167e-05,1.4636250595946107e-05,1.611199013902614e-05,5
aleatoric,6,3333.0,3333.0,0.0,3333.0,3333.0,5,3333.0000000000023,3333.0000000000023,3333.0000000000023,5,0.003170447222297569,0.003170447222297569,4.9588857997927155e-05,0.0031088843936235653,0.003232010050971573,5,0.0031701369327402783,0.0031091656276665356,0.0032323038962277497,5,0.004049675000874891,0.004049675000874891,8.019977588206058e-05,0.003950109790832604,0.004149240210917179,5,0.004049044287529993,0.003951228847636348,0.004149281217205813,5,1.0053702833244402e-05,1.0053702833244402e-05,3.144286291019861e-07,9.663350713733673e-06,1.044405495275513e-05,5,1.004976817232394e-05,9.666910900263042e-06,1.044778847756909e-05,5,1.640501321595227e-05,1.640501321595227e-05,6.532716788829032e-07,1.559399932960046e-05,1.7216027102304083e-05,5,1.6394759642379266e-05,1.561220940639366e-05,1.7216534619456953e-05,5,0.38666557563684495,0.38666557563684495,0.022896240338347917,0.3582406959736059,0.415090455300084,5,0.38613616481070145,0.3592270874106058,0.4150609544772183,5,1.5366155457741117e-05,1.5366155457741117e-05,6.00430425482162e-07,1.4620742134930523e-05,1.611156878055171e-05,5,1.535689707101069e-05,1.4636689569829674e-05,1.61125428345312e-05,5,1.7513350758235902e-05,1.7513350758235902e-05,6.914255814466291e-07,1.6654970139484778e-05,1.8371731376987026e-05,5,1.7502595345515077e-05,1.667438442019958e-05,1.83719432219483e-05,5
aleatoric,7,3333.0,3333.0,0.0,3333.0,3333.0,5,3333.0000000000023,3333.0000000000023,3333.0000000000023,5,0.003562655627702958,0.003562655627702958,0.00019627987176931813,0.0033189810482561984,0.003806330207149717,5,0.0035584147268207045,0.0033263915043028414,0.0038066220863284365,5,0.004334766159932842,0.004334766159932842,8.650332254120679e-05,0.004227375317708586,0.004442157002157097,5,0.0043340812024238555,0.00422864916798199,0.004442141951957698,5,1.272333575205298e-05,1.272333575205298e-05,1.4217393585724438e-06,1.095829618299208e-05,1.4488375321113878e-05,5,1.2662315368054469e-05,1.106488043989812e-05,1.449037170812346e-05,5,1.879618392114745e-05,1.879618392114745e-05,7.54671857890239e-07,1.785928526753597e-05,1.9733082574758933e-05,5,1.878425986920381e-05,1.7881473785874777e-05,1.973262512134254e-05,5,0.32271218033440896,0.32271218033440896,0.0754098166307718,0.2290935367719316,0.41633082389688636,5,0.3144429668457571,0.2259741490523104,0.43754730270440634,5,1.7513934290036558e-05,1.7513934290036558e-05,6.912706084940972e-07,1.6655746064772823e-05,1.8372122515300293e-05,5,1.7503183688952315e-05,1.667513222419225e-05,1.837235442155822e-05,5,2.0219566067680717e-05,2.0219566067680717e-05,8.488152101994321e-07,1.9165791742739004e-05,2.127334039262243e-05,5,2.020556832983858e-05,1.9192645162898557e-05,2.127195016979712e-05,5
aleatoric,8,3333.0,3333.0,0.0,3333.0,3333.0,5,3333.0000000000023,3333.0000000000023,3333.0000000000023,5,0.003890370953343375,0.003890370953343375,4.028112619284863e-05,0.003840363347386611,0.003940378559300139,5,0.0038902037985688327,0.0038404452979754608,0.003940606992209285,5,0.004686081855690626,0.004686081855690626,9.839872621247753e-05,0.004563923286848162,0.00480824042453309,5,0.004685262183733529,0.00456542840919456,0.004808241365939244,5,1.5136284209919734e-05,1.5136284209919734e-05,3.1297252896831185e-07,1.4747739787675703e-05,1.5524828632163766e-05,5,1.5133685594399373e-05,1.4749020086741827e-05,1.552838346704871e-05,5,2.196710900568909e-05,2.196710900568909e-05,9.282043828780622e-07,2.0814775806163297e-05,2.3119442205214883e-05,5,2.1951681730323483e-05,2.0843136559480775e-05,2.3119185033129284e-05,5,0.31022052650287435,0.31022052650287435,0.02515004188029055,0.27899763124109866,0.34144342176465003,5,0.30941987506744006,0.28015462246164563,0.3417422073764195,5,2.0220677834004162e-05,2.0220677834004162e-05,8.479126567436861e-07,1.9168023997535235e-05,2.127333167047309e-05,5,2.020671190457268e-05,1.9194904835230704e-05,2.1271853624664854e-05,5,2.388550237810705e-05,2.388550237810705e-05,1.0079173383796083e-06,2.2634208338973996e-05,2.5136796417240104e-05,5,2.3868685520148608e-05,2.266030060641797e-05,2.514150885970129e-05,5
aleatoric,9,3333.0,3333.0,0.0,3333.0,3333.0,5,3333.0000000000023,3333.0000000000023,3333.0000000000023,5,0.004360097496948414,0.004360097496948414,5.913585481083027e-05,0.004286682406438322,0.004433512587458506,5,0.004359776150480398,0.004286890502222075,0.004433900999441253,5,0.005117137657884095,0.005117137657884095,0.00010625777412419172,0.004985222356588751,0.00524905295917944,5,0.005116258566745577,0.00498642113698917,0.005249476729437014,5,1.9013247822355193e-05,1.9013247822355193e-05,5.15089863012257e-07,1.8373781815905413e-05,1.9652713828804972e-05,5,1.9007648082297676e-05,1.8377430178041836e-05,1.9659478072846145e-05,5,2.6194130381384986e-05,2.6194130381384986e-05,1.091046045417149e-06,2.4839634966865197e-05,2.7548625795904776e-05,5,2.6176101721797504e-05,2.4864395755412363e-05,2.755700593290073e-05,5,0.273621986043472,0.273621986043472,0.02051029086642107,0.248159179000885,0.29908479308605895,5,0.2730128978908156,0.24889579623965424,0.29946685938790385,5,2.3887497445684857e-05,2.3887497445684857e-05,1.008811066257169e-06,2.263509387472492e-05,2.5139901016644793e-05,5,2.387065197928261e-05,2.2661211766843094e-05,2.514464062110515e-05,5,2.871524338843301e-05,2.871524338843301e-05,1.1676762974366884e-06,2.72656142026027e-05,3.016487257426332e-05,5,2.8696416901720094e-05,2.729229243248144e-05,3.0172780283464623e-05,5
