metric,uncertainty_type,value,value_mean,value_std,value_ci95_low,value_ci95_high,value_n,value_geometric_mean,value_geometric_ci95_low,value_geometric_ci95_high,value_geometric_n
ause,aleatoric,0.2326785364396644,0.2326785364396644,0.0031155873965771352,0.22881064391585632,0.2365464289634725,5,0.2326618065898703,0.22881876609068538,0.23656939144671735,5
ause,epistemic,0.25512641127834534,0.25512641127834534,0.006585329870554461,0.24695095511842147,0.2633018674382692,5,0.255058602829163,0.24702993927815609,0.2633482041377697,5
ause,total,0.22863760583617587,0.22863760583617587,0.003675226711106389,0.22407494072371406,0.23320027094863768,5,0.22861379334461274,0.22407091167941795,0.23324877877137695,5
ence,aleatoric,0.3708051646558209,0.3708051646558209,0.017808651678032836,0.34869634794914106,0.3929139813625008,5,0.37046651364912137,0.34917296565674444,0.3930586019945604,5
ence,epistemic,0.3145225646919726,0.3145225646919726,0.043831218346419336,0.2601076437888483,0.36893748559509687,5,0.31207697703095105,0.26229064178330996,0.37131343661599897,5
ence,total,0.6070628826791926,0.6070628826791926,0.0119691302287808,0.5922036271246067,0.6219221382337785,5,0.6069690344004942,0.5923547894184811,0.6219438338343485,5
rmse,ensemble,0.005663454708664691,0.005663454708664691,6.48587726979039e-05,0.0055829348162369586,0.005743974601092424,5,0.005663157195191757,0.005583128626767154,0.005744332893154696,5
spearman,aleatoric,0.47793736662559566,0.47793736662559566,0.00811625501061526,0.4678613205768256,0.4880134126743657,5,0.4778824226337489,0.46793782973972214,0.4880383575513153,5
spearman,epistemic,0.4621526055928139,0.4621526055928139,0.010636266195111104,0.44894805400729254,0.47535715717833527,5,0.4620547427596183,0.44904376803286383,0.47544270849569414,5
spearman,total,0.48765201759521143,0.48765201759521143,0.008553125957972285,0.47703361158150903,0.4982704236089138,5,0.48759227049563514,0.4771232543356902,0.49829099731914817,5
