uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,count_geometric_mean,count_geometric_ci95_low,count_geometric_ci95_high,count_geometric_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmse_geometric_mean,rmse_geometric_ci95_low,rmse_geometric_ci95_high,rmse_geometric_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,rmv_geometric_mean,rmv_geometric_ci95_low,rmv_geometric_ci95_high,rmv_geometric_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mse_geometric_mean,mse_geometric_ci95_low,mse_geometric_ci95_high,mse_geometric_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,mean_variance_geometric_mean,mean_variance_geometric_ci95_low,mean_variance_geometric_ci95_high,mean_variance_geometric_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,ence_term_geometric_mean,ence_term_geometric_ci95_low,ence_term_geometric_ci95_high,ence_term_geometric_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_min_geometric_mean,uncertainty_min_geometric_ci95_low,uncertainty_min_geometric_ci95_high,uncertainty_min_geometric_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n,uncertainty_max_geometric_mean,uncertainty_max_geometric_ci95_low,uncertainty_max_geometric_ci95_high,uncertainty_max_geometric_n
aleatoric,0,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.0030168939260183433,0.0030168939260183433,0.00018549285898980972,0.0027866110447566264,0.00324717680728006,5,0.0030125274154868624,0.002797924621124556,0.0032435903957313745,5,0.0020892489115855663,0.0020892489115855663,4.764123120298802e-05,0.0020301039932958415,0.002148393829875291,5,0.0020888124405324237,0.0020303143261037517,0.0021489960227469023,5,9.129175041435345e-06,9.129175041435345e-06,1.1581516208758406e-06,7.69137040763072e-06,1.056697967523997e-05,5,9.075321429059955e-06,7.828382185494991e-06,1.0520878655280817e-05,5,4.366776764089902e-06,4.366776764089902e-06,1.9843285883354337e-07,4.120429326684248e-06,4.613124201495556e-06,5,4.36313741172302e-06,4.122176262782132e-06,4.618183905782005e-06,5,1.0877102648191452,1.0877102648191452,0.2075749222192438,0.8300132762307583,1.345407253407532,5,1.073667529146755,0.8638405320424938,1.3344615358791614,5,5.240501483006792e-07,5.240501483006792e-07,7.459630471973363e-08,4.314414512549294e-07,6.16658845346429e-07,5,5.198608000606292e-07,4.3612225759616826e-07,6.196777319490146e-07,5,6.696315743585247e-06,6.696315743585247e-06,1.1034759026965964e-06,5.326389097030049e-06,8.066242390140445e-06,5,6.625101112913602e-06,5.412529092922936e-06,8.109326343154307e-06,5
aleatoric,1,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.004137334712491539,0.004137334712491539,0.0004796029923693523,0.0035419244118145565,0.004732745013168522,5,0.004116921896795696,0.003596377482915743,0.004712810594780648,5,0.0028839599795966765,0.0028839599795966765,6.176132100584049e-05,0.0028072854648514157,0.0029606344943419374,5,0.002883429904649696,0.002807666947851684,0.0029612372726009503,5,1.7301553747419157e-05,1.7301553747419157e-05,4.250151556469933e-06,1.2025139595666634e-05,2.257796789917168e-05,5,1.6949045904315874e-05,1.2933930999623375e-05,2.2210583702276728e-05,5,8.320276732533171e-06,8.320276732533171e-06,3.5577843841854505e-07,7.878590274434438e-06,8.761963190631904e-06,5,8.314168015028155e-06,7.88299369005879e-06,8.768926184641115e-06,5,1.0942079101431728,1.0942079101431728,0.5967258539028432,0.3533936830701284,1.835022137216217,5,1.0007450296862457,0.581783199210222,1.721415496015115,5,6.696315743585247e-06,6.696315743585247e-06,1.1034759026965964e-06,5.326389097030049e-06,8.066242390140445e-06,5,6.625101112913602e-06,5.412529092922936e-06,8.109326343154307e-06,5,9.786154015793021e-06,9.786154015793021e-06,5.100542146902938e-07,9.152939590190708e-06,1.0419368441395335e-05,5,9.77558104189035e-06,9.165395055579165e-06,1.0426390147623313e-05,5
aleatoric,2,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.005147276783594926,0.005147276783594926,0.0003163098431688203,0.004754589202773503,0.005539964364416349,5,0.0051391724261247215,0.0047499974043130255,0.005560233191171689,5,0.003522120014642751,0.003522120014642751,0.0001360835764652087,0.0033531770254006206,0.0036910630038848816,5,0.003520020015745419,0.003355307479855614,0.003692818314159861,5,2.6574499820443714e-05,2.6574499820443714e-05,3.1622188478930208e-06,2.2648715984673968e-05,3.050028365621346e-05,5,2.6411093225440658e-05,2.2562475340980483e-05,3.0916193140207305e-05,5,1.24201443893739e-05,1.24201443893739e-05,9.601678589844319e-07,1.1228129654866111e-05,1.361215912388169e-05,5,1.239054091124838e-05,1.1258088284375032e-05,1.3636907101394476e-05,5,1.1436810917474471,1.1436810917474471,0.24704029907987962,0.8369892213989705,1.4503729620959238,5,1.1192610387411686,0.8298784084980823,1.5095527971515532,5,9.786154015793021e-06,9.786154015793021e-06,5.100542146902938e-07,9.152939590190708e-06,1.0419368441395335e-05,5,9.77558104189035e-06,9.165395055579165e-06,1.0426390147623313e-05,5,1.5545961277716804e-05,1.5545961277716804e-05,1.0353279645526865e-06,1.4260637907176059e-05,1.683128464825755e-05,5,1.551851717157737e-05,1.4290534681353807e-05,1.6852019926082103e-05,5
aleatoric,3,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.005716838806137501,0.005716838806137501,0.0005902544042756532,0.004984058656894759,0.006449618955380243,5,0.005692440398809386,0.005006206790865841,0.0064727405494156166,5,0.00419400144606338,0.00419400144606338,0.0001084722552803971,0.004059336944049863,0.004328665948076897,5,0.004192883409442411,0.004060744536593791,0.004329322154287498,5,3.2960966144773095e-05,3.2960966144773095e-05,6.7670571944854264e-06,2.455990188334757e-05,4.1362030406198624e-05,5,3.2403877693997154e-05,2.506210643291126e-05,4.1896370220049184e-05,5,1.7599061113714213e-05,1.7599061113714213e-05,9.125472742471686e-07,1.646616566563279e-05,1.8731956561795635e-05,5,1.758027128517742e-05,1.6489646191476322e-05,1.8743030315604543e-05,5,0.8726161088049287,0.8726161088049287,0.361019322244934,0.42442327717531386,1.3208089404345436,5,0.8014610108532491,0.43770078515909894,1.4675316419284672,5,1.5545961277716804e-05,1.5545961277716804e-05,1.0353279645526865e-06,1.4260637907176059e-05,1.683128464825755e-05,5,1.551851717157737e-05,1.4290534681353807e-05,1.6852019926082103e-05,5,2.020356778315705e-05,2.020356778315705e-05,1.4611560938684336e-06,1.838959371913325e-05,2.2017541847180852e-05,5,2.0161105017090604e-05,1.842243923383997e-05,2.206386192136357e-05,5
aleatoric,4,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.007468274186430086,0.007468274186430086,0.0011075841602671535,0.0060932472821320005,0.008843301090728173,5,0.0074061687152905155,0.00620358264648239,0.008841880275496974,5,0.005066036337313811,0.005066036337313811,0.0002243289874406318,0.004787539764132036,0.005344532910495586,5,0.005062003511654517,0.004788200910079145,0.005351462905005614,5,5.675651346135771e-05,5.675651346135771e-05,1.746101196398695e-05,3.507927927180261e-05,7.843374765091282e-05,5,5.4851335039347964e-05,3.8484437651737455e-05,7.817884680622244e-05,5,2.5704982966668853e-05,2.5704982966668853e-05,2.2499631891050116e-06,2.2911732548611694e-05,2.849823338472601e-05,5,2.5623879552002664e-05,2.292686795528275e-05,2.8638155223651125e-05,5,1.191280691246216,1.191280691246216,0.5610446678093448,0.4947634057653958,1.887797976727036,5,1.1036209903737944,0.6538184618692777,1.8628707530090411,5,2.020356778315705e-05,2.020356778315705e-05,1.4611560938684336e-06,1.838959371913325e-05,2.2017541847180852e-05,5,2.0161105017090604e-05,1.842243923383997e-05,2.206386192136357e-05,5,3.087980167281451e-05,3.087980167281451e-05,4.056126481187318e-06,2.5844262849721174e-05,3.591534049590785e-05,5,3.0665806143310104e-05,2.6025807441245995e-05,3.613304480723747e-05,5
aleatoric,5,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.010463649237268011,0.010463649237268011,0.002907087462822721,0.006854602071439336,0.014072696403096687,5,0.01018611289242127,0.007463977880458042,0.013901018668450763,5,0.0060221070505333246,0.0060221070505333246,0.0002224270667389799,0.005745971645223418,0.006298242455843231,5,0.006018762356736761,0.005745439916544445,0.006305087309773665,5,0.00011624888137378025,0.00011624888137378025,6.998578020171636e-05,2.936398887726719e-05,0.0002031337738702933,5,0.00010375689585715079,5.5710965799966925e-05,0.0001932383200206166,5,3.630535236809767e-05,3.630535236809767e-05,2.645323421477311e-06,3.302127608244204e-05,3.9589428653753304e-05,5,3.622550030687145e-05,3.301007983462224e-05,3.975412598386892e-05,5,2.1456097869433584,2.1456097869433584,1.737996768671899,-0.012052269121591408,4.303271843008308,5,1.7645120825961058,0.7922236543971238,3.930080694191085,5,3.087980167281451e-05,3.087980167281451e-05,4.056126481187318e-06,2.5844262849721174e-05,3.591534049590785e-05,5,3.0665806143310104e-05,2.6025807441245995e-05,3.613304480723747e-05,5,4.280265852326957e-05,4.280265852326957e-05,4.350251199802858e-06,3.740197417370182e-05,4.8203342872837326e-05,5,4.2619805925868216e-05,3.744125120223598e-05,4.85146141977807e-05,5
aleatoric,6,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.01440374718942423,0.01440374718942423,0.0018633035059721541,0.012090521212116397,0.016716973166732062,5,0.01430458608558467,0.012135678350656593,0.016861124460243435,5,0.006876792952463547,0.006876792952463547,0.00021303821753713693,0.0066123134742750765,0.007141272430652017,5,0.006874102751039495,0.006611081321069001,0.0071475884710805486,5,0.0002102454530611408,0.0002102454530611408,5.286603249479713e-05,0.00014461412714338007,0.00027587677897890155,5,0.00020462118307990257,0.00014727468903059514,0.00028429751806381947,5,4.732658953675741e-05,4.732658953675741e-05,2.8901629035025392e-06,4.3738553617968445e-05,5.091462545554638e-05,5,4.725328863184875e-05,4.370639623378745e-05,5.108802095192357e-05,5,3.4080477187155296,3.4080477187155296,0.920320501919218,2.26550208100001,4.550593356431049,5,3.306438326028845,2.3424026287391477,4.667231102672181,5,4.280265852326957e-05,4.280265852326957e-05,4.350251199802858e-06,3.740197417370182e-05,4.8203342872837326e-05,5,4.2619805925868216e-05,3.744125120223598e-05,4.85146141977807e-05,5,5.73253710664368e-05,5.73253710664368e-05,7.897792470067797e-06,4.75205386027018e-05,6.713020353017179e-05,5,5.684439741838123e-05,4.724486245148822e-05,6.83944316945954e-05,5
aleatoric,7,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.01868673854348817,0.01868673854348817,0.0035876291339095078,0.014232822752042277,0.023140654334934063,5,0.018361000566780337,0.013988611544833614,0.02410005744550237,5,0.0081640614838915,0.0081640614838915,0.00031807988252861657,0.007769176461260509,0.008558946506522492,5,0.008159107779862462,0.007773940386084833,0.00856335866461913,5,0.0003594910636346674,0.0003594910636346674,0.00012070367686822914,0.00020964168053994636,0.0005093404467293885,5,0.00033712634181330816,0.0001956812529522526,0.0005808127688765146,5,6.67328397620962e-05,6.67328397620962e-05,5.2007883353141145e-06,6.02762433776809e-05,7.31894361465115e-05,5,6.657103976341215e-05,6.043414912640081e-05,7.333111161890754e-05,5,4.353851390833208,4.353851390833208,1.777061079963388,2.1476923618513495,6.560010419815066,5,3.964227408658256,2.0511874311464147,7.661464139712543,5,5.73253710664368e-05,5.73253710664368e-05,7.897792470067797e-06,4.75205386027018e-05,6.713020353017179e-05,5,5.684439741838123e-05,4.724486245148822e-05,6.83944316945954e-05,5,7.678849354925412e-05,7.678849354925412e-05,8.753137607675174e-06,6.592178008463246e-05,8.765520701387577e-05,5,7.637709164696274e-05,6.606462028239676e-05,8.82993060962601e-05,5
aleatoric,8,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.02416069931166357,0.02416069931166357,0.004327387438668602,0.018788399519965863,0.02953299910336128,5,0.023828344658373964,0.018822866746490995,0.03016490616468439,5,0.009269604294527278,0.009269604294527278,0.0005372046364793307,0.008602683572137584,0.009936525016916973,5,0.009256724545466036,0.008597919523730227,0.009966009692709702,5,0.0005987204168640981,0.0005987204168640981,0.0002028095325171056,0.0003469394925216323,0.0008505013412065639,5,0.000567790009158259,0.0003543003125561565,0.0009099215639242142,5,8.615643483428248e-05,8.615643483428248e-05,9.727883727864216e-06,7.40796082349652e-05,9.823326143359976e-05,5,8.56869493106334e-05,7.39242201365414e-05,9.932134919518371e-05,5,6.051504158050568,6.051504158050568,2.506021896192718,2.94036583227861,9.162642483822525,5,5.5260148262171365,2.9149774338219303,10.475840912268634,5,7.678849354925412e-05,7.678849354925412e-05,8.753137607675174e-06,6.592178008463246e-05,8.765520701387577e-05,5,7.637709164696274e-05,6.606462028239676e-05,8.82993060962601e-05,5,9.929323761323588e-05,9.929323761323588e-05,1.7668910291517156e-05,7.735790493873706e-05,0.00012122857028773469,5,9.78711370624154e-05,7.670979006598604e-05,0.00012487010408515544,5
aleatoric,9,3300.0,3300.0,0.0,3300.0,3300.0,5,3300.0,3300.0,3300.0,5,0.032528396668324855,0.032528396668324855,0.004906970489224349,0.02643656483890183,0.038620228497747884,5,0.032207485895988146,0.026375267605868447,0.039329350634132454,5,0.011036309734375421,0.011036309734375421,0.0007573317563107598,0.010096108910127953,0.011976510558622889,5,0.01101593455935149,0.010128460861496961,0.01198117027605112,5,0.0010773592773175825,0.0010773592773175825,0.00030449727294324974,0.00069933658829558,0.0014553819663395851,5,0.0010373221477402753,0.0006956547412811734,0.001546797821302535,5,0.00012225897366436306,0.00012225897366436306,1.701582362863308e-05,0.00010113442518533996,0.00014338352214338616,5,0.00012135081421591451,0.00010258571942287575,0.0001435484411837309,5,7.84110388181468,7.84110388181468,2.4296211094179263,4.824814454296685,10.857393309332675,5,7.503256830788621,4.887919729970653,11.517959823189267,5,9.929323761323588e-05,9.929323761323588e-05,1.7668910291517156e-05,7.735790493873706e-05,0.00012122857028773469,5,9.78711370624154e-05,7.670979006598604e-05,0.00012487010408515544,5,0.0001362767954695892,0.0001362767954695892,2.3103493402379316e-05,0.00010759461839341799,0.00016495897254576038,5,0.00013464236528088332,0.00010823020074797374,0.00016750007302162573,5
