config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-526.3682250976562,-526.369140625,-0.00091552734375,8.381903171539307e-07,1.2084889021934941e-05,6.9156290010141674e-06,1.9000517568201758e-05,1.2084889021934941e-05,6.9156290010141674e-06,1.9000517568201758e-05
1,20.0,-526.364501953125,-526.3580932617188,0.00640869140625,4.10713255405426e-05,1.8887725673266686e-05,9.259209036827087e-06,2.8146934710093774e-05,1.8887725673266686e-05,9.259209036827087e-06,2.8146934710093774e-05
2,20.0,-526.3622436523438,-526.3646850585938,-0.00244140625,5.9604644775390625e-06,8.09125485830009e-05,6.727762229274958e-05,0.00014819017087575048,8.09125485830009e-05,6.727762229274958e-05,0.00014819017087575048
3,20.0,-526.4917602539062,-526.4699096679688,0.0218505859375,0.00047744810581207275,7.850702240830287e-05,3.927107900381088e-05,0.00011777810141211376,7.850702240830287e-05,3.927107900381088e-05,0.00011777810141211376
4,20.0,-526.5093994140625,-526.5017700195312,0.00762939453125,5.820766091346741e-05,3.271077002864331e-05,2.5484525394858792e-05,5.81952954235021e-05,3.271077002864331e-05,2.5484525394858792e-05,5.81952954235021e-05
5,20.0,-526.3558959960938,-526.3443603515625,0.01153564453125,0.00013307109475135803,9.085746569326147e-05,5.2357463573571295e-05,0.00014321492926683277,9.085746569326147e-05,5.2357463573571295e-05,0.00014321492926683277
6,20.0,-526.1895751953125,-526.3973999023438,-0.20782470703125,0.04319110885262489,0.0002986486942972988,0.00013450122787617147,0.00043314992217347026,0.0002986486942972988,0.00013450122787617147,0.00043314992217347026
7,20.0,-526.4996337890625,-526.4945678710938,0.00506591796875,2.5663524866104126e-05,3.442514207563363e-05,1.3518892046704423e-05,4.7944035031832755e-05,3.442514207563363e-05,1.3518892046704423e-05,4.7944035031832755e-05
8,20.0,-526.4920654296875,-526.4912109375,0.0008544921875,7.301568984985352e-07,4.2092269723070785e-05,5.235336629993981e-06,4.7327604988822713e-05,4.2092269723070785e-05,5.235336629993981e-06,4.7327604988822713e-05
9,20.0,-526.5172729492188,-526.5151977539062,0.0020751953125,4.306435585021973e-06,3.328463571961038e-05,9.125471478910185e-06,4.241010901750997e-05,3.328463571961038e-05,9.125471478910185e-06,4.241010901750997e-05
10,20.0,-526.4056396484375,-526.419189453125,-0.0135498046875,0.00018359720706939697,5.873667760170065e-05,4.677697870647535e-05,0.00010551365267019719,5.873667760170065e-05,4.677697870647535e-05,0.00010551365267019719
11,20.0,-526.4991455078125,-526.4944458007812,0.00469970703125,2.208724617958069e-05,3.47487221006304e-05,1.3775378647551406e-05,4.852409983868711e-05,3.47487221006304e-05,1.3775378647551406e-05,4.852409983868711e-05
12,20.0,-526.4539794921875,-526.4639892578125,-0.010009765625,0.00010019540786743164,5.010360837331973e-05,2.1037087208242156e-05,7.114069740055129e-05,5.010360837331973e-05,2.1037087208242156e-05,7.114069740055129e-05
13,20.0,-526.3284912109375,-526.3194580078125,0.009033203125,8.159875869750977e-05,0.00019372448150534183,0.00012319814413785934,0.00031692261109128594,0.00019372448150534183,0.00012319814413785934,0.00031692261109128594
14,20.0,-526.432861328125,-526.4266967773438,0.00616455078125,3.8001686334609985e-05,7.69334874348715e-05,1.591704858583398e-05,9.285053238272667e-05,7.69334874348715e-05,1.591704858583398e-05,9.285053238272667e-05
15,20.0,-526.37744140625,-526.3707275390625,0.0067138671875,4.507601261138916e-05,8.686383080203086e-05,5.5752694606781006e-05,0.00014261652540881187,8.686383080203086e-05,5.5752694606781006e-05,0.00014261652540881187
16,20.0,-526.4467163085938,-526.4479370117188,-0.001220703125,1.4901161193847656e-06,3.480561645119451e-05,2.639535887283273e-05,6.120097532402724e-05,3.480561645119451e-05,2.639535887283273e-05,6.120097532402724e-05
17,20.0,-526.5335693359375,-526.53125,0.0023193359375,5.379319190979004e-06,1.8503522369428538e-05,6.77499929224723e-06,2.5278521206928417e-05,1.8503522369428538e-05,6.77499929224723e-06,2.5278521206928417e-05
18,20.0,-526.3433837890625,-526.3528442382812,-0.00946044921875,8.950009942054749e-05,7.435512816300616e-05,2.98064205708215e-05,0.00010416154691483825,7.435512816300616e-05,2.98064205708215e-05,0.00010416154691483825
19,20.0,-526.4661865234375,-526.4675903320312,-0.00140380859375,1.9706785678863525e-06,2.393784779997077e-05,6.870366632938385e-06,3.080821625189856e-05,2.393784779997077e-05,6.870366632938385e-06,3.080821625189856e-05
20,20.0,-526.3120727539062,-526.3223876953125,-0.01031494140625,0.00010639801621437073,0.00012193254951853305,9.012296504806727e-05,0.00021205551456660032,0.00012193254951853305,9.012296504806727e-05,0.00021205551456660032
21,20.0,-526.3177490234375,-526.3544311523438,-0.03668212890625,0.0013455785810947418,0.0001755416888045147,0.00013956931070424616,0.0003151110140606761,0.0001755416888045147,0.00013956931070424616,0.0003151110140606761
22,20.0,-526.4400024414062,-526.44384765625,-0.00384521484375,1.4785677194595337e-05,3.720580934896134e-05,1.236703246831894e-05,4.957284181728028e-05,3.720580934896134e-05,1.236703246831894e-05,4.957284181728028e-05
23,20.0,-526.4658813476562,-526.462158203125,0.00372314453125,1.3861805200576782e-05,5.847213833476417e-05,3.932341860490851e-05,9.779555693967268e-05,5.847213833476417e-05,3.932341860490851e-05,9.779555693967268e-05
24,20.0,-526.3975830078125,-526.3988037109375,-0.001220703125,1.4901161193847656e-06,5.0238148105563596e-05,4.1188857721863315e-05,9.142700582742691e-05,5.0238148105563596e-05,4.1188857721863315e-05,9.142700582742691e-05
25,20.0,-526.509765625,-526.512451171875,-0.002685546875,7.212162017822266e-06,2.1224763258942403e-05,1.5780329704284668e-05,3.700509114423767e-05,2.1224763258942403e-05,1.5780329704284668e-05,3.700509114423767e-05
26,20.0,-526.5162353515625,-526.514892578125,0.0013427734375,1.8030405044555664e-06,1.8567407096270472e-05,6.467662842624122e-06,2.5035069484147243e-05,1.8567407096270472e-05,6.467662842624122e-06,2.5035069484147243e-05
27,22.0,-613.7542114257812,-613.8970947265625,-0.14288330078125,0.020415637642145157,0.0019746916368603706,0.0005528720212168992,0.002527563599869609,0.0019746916368603706,0.0005528720212168992,0.002527563599869609
28,22.0,-613.9822387695312,-613.98486328125,-0.00262451171875,6.888061761856079e-06,1.604878889338579e-05,9.113364285440184e-06,2.5162153178825974e-05,1.604878889338579e-05,9.113364285440184e-06,2.5162153178825974e-05
29,22.0,-613.8681030273438,-613.87451171875,-0.00640869140625,4.10713255405426e-05,2.20170750253601e-05,2.6066602003993466e-05,4.808367521036416e-05,2.20170750253601e-05,2.6066602003993466e-05,4.808367521036416e-05
30,22.0,-613.774169921875,-613.8734741210938,-0.09930419921875,0.009861323982477188,0.0005689641693606973,9.218100603902712e-05,0.0006611451972275972,0.0005689641693606973,9.218100603902712e-05,0.0006611451972275972
31,22.0,-614.1151123046875,-614.1184692382812,-0.00335693359375,1.126900315284729e-05,2.063361716864165e-05,1.0923296031251084e-05,3.155691229039803e-05,2.063361716864165e-05,1.0923296031251084e-05,3.155691229039803e-05
32,22.0,-614.0180053710938,-614.0370483398438,-0.01904296875,0.00036263465881347656,4.500189606915228e-05,5.220733510213904e-05,9.720923117129132e-05,4.500189606915228e-05,5.220733510213904e-05,9.720923117129132e-05
33,22.0,-614.0646362304688,-614.0712890625,-0.00665283203125,4.4260174036026e-05,4.308940333430655e-05,2.0893663531751372e-05,6.398306868504733e-05,4.308940333430655e-05,2.0893663531751372e-05,6.398306868504733e-05
34,22.0,-613.99365234375,-613.9951171875,-0.00146484375,2.1457672119140625e-06,5.4824464314151555e-05,6.31131260888651e-05,0.00011793759040301666,5.4824464314151555e-05,6.31131260888651e-05,0.00011793759040301666
35,22.0,-613.9979858398438,-614.01708984375,-0.01910400390625,0.00036496296525001526,0.00024658555048517883,0.00012858751870226115,0.00037517305463552475,0.00024658555048517883,0.00012858751870226115,0.00037517305463552475
