phase,source_epoch,epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,magnitude_aleatoric,magnitude_epistemic,magnitude_total,rmse_e_atom,nll_energy
pretrain,0,0,0.38681414128151276,0.3539552678937292,0.39677942550039647,0.5899366447852864,0.5341794579392344,0.604611489953527,0.08264635306407707,0.09158481781152158,0.07783405397711374,261.78658378327634,971.4118970315211,192.1880203232739,0.0057272555695730264,0.002040705264769349,0.007767960823827889,0.9405728485828168,95.7827486544609
pretrain,5,5,0.39209844975338226,0.2790545835391071,0.37485054681539837,0.6260630686112003,0.5361972191140826,0.6205328956430259,0.07202826692603101,0.0993756099879701,0.07549350740564886,2339.418160361464,7706.391750092055,1699.735450942914,0.0007574116475057963,0.00037739139717905346,0.001134803047036985,0.9328344977099777,859.9770929656983
pretrain,10,10,0.3438902550903265,0.2912748769454515,0.3202866584215732,0.5837508433317677,0.4712112206025327,0.5667693067136547,0.07967644946767619,0.10797409495371232,0.08299859576837854,3790.8906216198866,10332.875928043892,2627.6261739076117,0.00045350207400551883,0.0003383050605940298,0.0007918071346990473,0.9345281236690661,1332.1818319696426
pretrain,15,15,0.37616447326093433,0.4177146423730768,0.4024635936262211,0.5812270184186874,0.5323506569116611,0.5825292722324068,0.07791081790785724,0.09374359226714592,0.07872920869613018,4597.591842187884,12884.5452161152,3214.3879294480244,0.000341110474436573,0.00016868173164766631,0.0005097922069238848,0.9347086975961529,1623.2934122127533
pretrain,20,20,0.2643395040997175,0.1677646135745818,0.21133054690634717,0.5860447073305574,0.43042747610350274,0.5624753997058378,0.07684725125724316,0.1152140840952936,0.08099263519862995,6704.829272268702,18157.38145839757,4626.0840231365155,0.0003318257553382864,0.0002419819510873367,0.0005738077027064719,0.9347211008192511,2344.7226576473236
pretrain,25,25,0.38935477717820444,0.4008185596442593,0.40594126763639093,0.5713529256315215,0.5500959571268569,0.5883434497578088,0.07895540805158117,0.08581012536990083,0.07387016791780143,8776.495916660993,21077.099858278314,5814.633340980462,0.00018775523678359605,0.00010075737046531685,0.0002885126073088031,0.9340224081437944,2937.292126787567
pretrain,30,30,0.38721406417520693,0.38989936687337234,0.419243655320601,0.5650606997281097,0.5232749182894438,0.5713023986951258,0.07870828151670808,0.09358315842343293,0.07784162173387195,9973.50894343288,25529.74462723251,6772.752388725731,0.00016601969661114707,8.497666693933752e-05,0.00025099636395279956,0.9347230887923378,3417.377614165878
pretrain,35,35,0.21049696700013718,0.2305409524123951,0.2144075428128199,0.5459677327831415,0.504232948964281,0.5538819607888866,0.08258845379912562,0.09681903103174125,0.08092571630809281,9821.114856885539,24436.472767945786,6574.778146491943,0.000747846589232904,0.00019555768968762096,0.0009434042713397503,0.9343936819191206,3341.6148387800217
pretrain,40,40,0.37932195866406165,0.3903170886569882,0.41535500054271207,0.5356277525256831,0.5063506683491901,0.5442483672290298,0.08355137844945852,0.10189693398396968,0.08507842179835984,11245.352705178655,26364.972653974022,7378.335235466566,0.00015069006162284494,8.115027113474297e-05,0.0002318403327564738,0.9351889196535642,3720.364311492157
pretrain,45,45,0.35878941234645817,0.525214396047697,0.4388583431581127,0.5380477624274633,0.5025519715214322,0.5451022549595005,0.08267640040954943,0.09989307606465124,0.08150948231116331,12027.769989035112,21602.983448487885,7311.289550472897,0.0001313556897959643,7.532275958942591e-05,0.0002066784494632884,0.934012188088484,3678.81251383667
pretrain,50,50,0.35411898322630897,0.3428442837572783,0.3623359618864294,0.5222716745165498,0.5432227891491389,0.5466764877326211,0.08514104787750096,0.08922058508433472,0.08134464287439845,12786.661711512501,31423.63048664671,8565.790326263039,0.00015872539721203794,8.766267511223305e-05,0.0002463880720822999,0.9340760282093263,4329.194932228088
pretrain,55,55,0.29190770978339214,0.4465335789113719,0.35304728358771786,0.5146637033291205,0.4619892972346883,0.5179809068995926,0.08561882921099781,0.11291347371613708,0.08758648656968136,14996.648979208256,30430.604791099777,9368.112458825295,0.00011859346491628457,6.15117520662352e-05,0.00018010521704436543,0.935045597273344,4719.494396083069
pretrain,60,60,0.25313965867370203,0.301544049492214,0.2577546556960091,0.5357719549024189,0.5384546159398406,0.5609356192611373,0.08228016725001856,0.09055469351539563,0.07818017522235507,14838.23200273092,31106.348737141343,9411.617732990768,0.0006817948541975056,7.803567035671222e-05,0.0007598305246994642,0.9346266504221874,4784.842493397331
pretrain,65,65,0.39899911661860527,0.4181893638494136,0.4324652654009601,0.5323463853939053,0.4596661336049022,0.5255611947623411,0.08407684891059952,0.10401482739450815,0.08567461598672264,15273.547365654902,35987.7185470576,10118.90058971049,0.00010618188627677227,5.6488559060119316e-05,0.00016267044548840204,0.9350223287680353,5096.117823239136
pretrain,70,70,0.2867518733752892,0.44547198842682534,0.3307386970717847,0.534498023433572,0.47399601623963444,0.5336623485617222,0.08314409775265966,0.11332203871140786,0.0886309017363324,18216.80071786665,33084.052591201755,11029.1582823488,0.0001197491360371714,5.558715144709368e-05,0.00017533628692217463,0.9349749405001341,5574.313674996948
pretrain,75,75,0.24169916859714355,0.4823748924856609,0.31595087863590193,0.5147244492963506,0.5018545646342649,0.5312697718808767,0.08639881343459897,0.09922098070027362,0.08418701441108652,18044.72337710202,32798.10860922068,10944.279721957155,9.808230131829987e-05,5.0107016701758764e-05,0.00014818931783684093,0.9339283222168946,5519.600909616471
pretrain,80,80,0.25912102172022755,0.3334696533849918,0.31537312678370366,0.5242637202320751,0.4455360808307108,0.515238189492616,0.08465148715377337,0.10773368378972693,0.0866605559820949,17638.278533949797,42189.06164643544,11773.48483414856,0.00010505262686756396,4.931016306127276e-05,0.00015436279020250367,0.9343890022461426,5941.3323788070675
pretrain,85,85,0.2657512676589084,0.46807769030058155,0.3566601079391522,0.5278809611898833,0.4785366782544414,0.5195387505303674,0.08357282975583999,0.10238017569879912,0.0877741947326757,19504.366469708806,32618.895524068623,11432.988609480402,8.938903751168254e-05,6.081207128213464e-05,0.0001502011088367908,0.9350792661392665,5774.57502939682
pretrain,90,90,0.1995141069478532,0.46159847180784647,0.26052945627939916,0.5306526460589246,0.4761618220204911,0.5270760137984833,0.08413847177099944,0.10452961939303408,0.08591717249414571,21374.63432463292,45395.06559739642,13772.323743145085,8.974722889779513e-05,4.270850072657595e-05,0.00013245572964169696,0.9344389199836517,6946.839814165497
pretrain,95,95,0.3472538305467563,0.3502298894927344,0.38737591233188623,0.5311829388767926,0.4819736850692087,0.5315503479412149,0.08250846515912422,0.10157145354837513,0.0835481013175412,19689.007575213815,46225.03075673489,12969.983094028123,8.273156576087786e-05,5.8666316594622e-05,0.0001413978825268714,0.9344383452163322,6544.949374169159
pretrain,100,100,0.29727541989330636,0.42391902330524905,0.3510339684917471,0.5180694802276653,0.4807570245082399,0.5260197052608057,0.08492392243719665,0.10426544901909031,0.0861270012611247,23654.500977426625,48992.89919036718,14957.79457012366,7.55483958953846e-05,4.1627601605705424e-05,0.0001171759976175963,0.9353231209903249,7543.150608888244
pretrain,105,105,0.15297952949072627,0.4043936028156523,0.15489019710473662,0.529329982961009,0.6379538573261325,0.6076866303228129,0.08302436270678111,0.06835450217563677,0.06759198453965157,20512.879943348602,33907.43835315292,11808.66429770644,0.0009607854297340964,4.9054758549323196e-05,0.001009840173921475,0.9332428859042092,6011.912508129931
pretrain,110,110,0.2689544306461642,0.30012460714765343,0.31561436298788786,0.5162187755477183,0.40266871598034254,0.48989134567205156,0.08539452950391715,0.12483984581589014,0.09412897142615076,23269.112658658512,48981.273511651656,14883.612683527135,7.369360814227548e-05,4.5638310269214346e-05,0.00011933191839780193,0.9357084166568347,7509.660919700623
pretrain,115,115,0.25959416321598083,0.36382492550906986,0.2921024007451436,0.520510725906584,0.45392138468155596,0.5121882862883094,0.08491696516043633,0.10477820464637211,0.0871219889951112,22846.905106007973,57882.43265562404,15441.64046539561,8.73657600012848e-05,3.7730531372824315e-05,0.0001250962917913057,0.9340304370834983,7811.358233422088
pretrain,120,120,0.158417066624104,0.36812331390941505,0.2523172383752153,0.505530238394888,0.49187992675890807,0.5165584921460583,0.08650022628750781,0.10306952849754078,0.08595623635469431,24869.33238116852,55973.42935016503,16130.227471987591,7.267518944463518e-05,3.9662783010157906e-05,0.00011233797258755657,0.9346281348650103,8141.471641024399
pretrain,125,125,0.2211547082962197,0.4257253601944036,0.27760392640690706,0.5176159283819257,0.4503793175332147,0.5072796110889387,0.08480784432263311,0.10545098299812566,0.08739602449248152,24658.572379944926,46919.87048817237,15266.290592298186,7.577237241584953e-05,3.7830103361170583e-05,0.00011360247577431437,0.9351185133808415,7711.01133767395
pretrain,130,130,0.1926615096432971,0.3463801489887048,0.2697055278742357,0.5263132175248791,0.4315995827085253,0.5027487580936183,0.08353550869032982,0.10774589312453661,0.08713881793420757,27288.522009930948,42771.583250422125,15697.039030861355,6.615818115378716e-05,4.57649763147856e-05,0.0001119231575550657,0.9347285233565967,7909.676495952606
pretrain,135,135,0.29522006036854515,0.39001812291786386,0.3545845006783659,0.5170797178326387,0.5442364835339151,0.5507772520214171,0.08524624325182714,0.08585207105687748,0.07957226892475802,27866.307970186906,49803.112986092725,16806.97036764943,6.441816170990933e-05,3.821800712108825e-05,0.00010263616883148643,0.9343534251859169,8479.605929466248
pretrain,140,140,0.21058990898879634,0.40206638246942167,0.26027978158981907,0.5246219026791226,0.48463639542882786,0.5290024702256065,0.08396041118667728,0.1027018581183413,0.08390605987383604,25948.80612874126,50397.96149074992,16123.765567929424,9.795926513324957e-05,3.83587521534082e-05,0.00013631801735900808,0.9338412912049054,8144.122200999451
pretrain,145,145,0.20726395999206754,0.38329339222685377,0.28913010956638785,0.523981088723913,0.5051669445135017,0.5371764497388525,0.08365695588736435,0.09453926979819342,0.08220067507102807,27575.977252105695,62457.47205650179,17987.67821605085,6.684850521460249e-05,3.7386729148499856e-05,0.00010423523444706007,0.935428298646977,9082.869524259948
pretrain,150,150,0.3464140503636193,0.43886112981472913,0.4008508340465815,0.5236682272936765,0.4973858336598946,0.5367070384031579,0.083985768825657,0.09671757962892916,0.08171738119158298,27388.09018885059,58961.425329884565,17569.461309501243,5.9209594805997765e-05,3.319990508149431e-05,9.24095000194029e-05,0.9330119100979397,8850.292533988953
pretrain,155,155,0.1919689140506134,0.427662995512032,0.27959729223471497,0.5283201585470678,0.4937096012761251,0.532745254262516,0.08295708938743321,0.10188207813520528,0.08439085479926864,27360.17891771282,60159.93204904475,17736.20469099776,6.171021345380723e-05,3.566173399323134e-05,9.73719474122845e-05,0.9343026619366822,8944.865988273621
pretrain,160,160,0.35391587400439256,0.41361867218960224,0.39320945350075837,0.5201742786766451,0.48476355270599397,0.5290750872847289,0.08542385277580507,0.10184571253032118,0.08379076753464185,29776.415622452412,48675.27315821192,17339.154458617206,5.36858835480416e-05,3.6803839292906556e-05,9.048972299751767e-05,0.9353571506539623,8741.133128831481
pretrain,165,165,0.17217751909282453,0.44302134877265775,0.2198459199307887,0.5259040329857637,0.5130843780075103,0.5446695566408964,0.0836629021396822,0.09787823473477548,0.08066888581828749,31119.25566623758,60359.28021217927,19268.980918614547,7.243572269217111e-05,3.2140400612581744e-05,0.00010457612357731705,0.9350241941637321,9735.693648100852
pretrain,170,170,0.1550605865414722,0.1749889253087628,0.1556845484039853,0.525358421967266,0.4882443947083617,0.530117921254184,0.08315257479967603,0.09980316311817167,0.08296376900396824,30102.386910722482,61563.357144611684,19045.683313972942,0.00600231408050613,0.00020895761397443947,0.006211271667552591,0.9347961305103344,9660.715595007563
pretrain,175,175,0.18631611146960134,0.396368794168268,0.20191960522249514,0.5320788705019038,0.5084319624068576,0.546798835421138,0.08202504451756432,0.10105330110956112,0.08249066291141105,30855.44033526824,61407.35981393909,19294.96619383377,0.0001549895663272764,3.38413400169884e-05,0.0001888309056525941,0.9346239167516848,9786.124187028885
pretrain,180,180,0.3242751521749966,0.4130795545625667,0.38291662453956155,0.5303737048966084,0.4770691518081966,0.5348585888044148,0.08256521447080184,0.10415503382231948,0.08225951645379062,32654.45214793294,52187.18576761641,18858.939728094723,5.0646532094560825e-05,3.314016191880001e-05,8.378669404246465e-05,0.9345940649651518,9507.199614912415
pretrain,185,185,0.26916878097144736,0.3082250369464964,0.29757261752351705,0.5222181193280723,0.4663789606447755,0.5169615019966507,0.08356922076621087,0.1116252934209635,0.08918258002638543,33115.83836023817,73799.5485181538,21590.128543427123,6.245920636761185e-05,3.498015886618191e-05,9.743936513823428e-05,0.934070713872392,10918.197372348022
pretrain,190,190,0.29276323745551786,0.46001760344144843,0.3718575993380711,0.5225653373133314,0.484638435553963,0.5245566359769946,0.08347274995408666,0.10255442250054814,0.08701009058646555,32432.899091487496,53809.21096389193,18974.722246766076,5.0216179232575086e-05,3.400066294002499e-05,8.421684223512784e-05,0.9341855334785498,9572.514041647339
pretrain,195,195,0.18158985937994912,0.28060861714474755,0.20259580628437177,0.5261077512601119,0.49961972812191957,0.5331751506682898,0.08288398117090023,0.09867046575115233,0.08460458899971351,35609.333128391096,72529.52483093044,22440.975503870563,0.00011989800454393844,4.6441717673297944e-05,0.00016633972106055807,0.9353319686674234,11374.228704710007
