config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-525.8856201171875,-525.887451171875,-0.0018310546875,3.3527612686157227e-06,8.032287228597354e-06,4.401455658513146e-06,6.4062448788662345e-06,1.455468918720726e-05,2.141483037121361e-06,1.669617267907597e-05
1,22.0,-613.4315795898438,-613.4320678710938,-0.00048828125,2.384185791015625e-07,6.256883756981955e-06,7.954053580760956e-06,6.4062448788662345e-06,1.2070500815752894e-05,5.24129700352205e-06,1.7311798728769645e-05
2,23.0,-675.6914672851562,-675.6893920898438,0.0020751953125,4.306435585021973e-06,3.5112303957133226e-06,7.954053580760956e-06,3.498412568021465e-06,9.656469046603888e-06,3.791227982219425e-06,1.3447696801449638e-05
3,24.0,-732.6846313476562,-732.6869506835938,-0.0023193359375,5.379319190979004e-06,1.947067423977635e-05,2.8645158523604983e-05,2.1953679000337917e-05,2.2077496396377683e-05,1.4889240446791518e-05,3.69667359336745e-05
4,21.0,-598.2234497070312,-598.2203979492188,0.0030517578125,9.313225746154785e-06,8.032287228597354e-06,7.954053580760956e-06,6.4062448788662345e-06,1.4512990674120374e-05,4.3164936869288795e-06,1.8829483451554552e-05
5,21.0,-598.199462890625,-598.199951171875,-0.00048828125,2.384185791015625e-07,1.76817288293558e-05,1.4170472111020769e-05,1.8618380029996235e-05,2.079017212963663e-05,1.0280125025019515e-05,3.1070296245161444e-05
6,22.0,-664.0010375976562,-664.0018920898438,-0.0008544921875,7.301568984985352e-07,3.5112303957133226e-06,5.573121597990394e-06,3.498412568021465e-06,1.109253480535699e-05,3.1115487217903137e-06,1.4204083527147304e-05
7,23.0,-724.021484375,-724.0252685546875,-0.0037841796875,1.4320015907287598e-05,1.76817288293558e-05,1.3114733922624302e-05,1.1118690428488394e-05,1.7790951460483484e-05,8.452683687210083e-06,2.6243635147693567e-05
8,24.0,-625.0211181640625,-625.0183715820312,0.00274658203125,7.543712854385376e-06,3.5112303957133226e-06,7.954053580760956e-06,3.498412568021465e-06,9.080878044187557e-06,4.254653958923882e-06,1.3335531548364088e-05
9,24.0,-563.6205444335938,-563.619140625,0.00140380859375,1.9706785678863525e-06,7.343083677928117e-06,2.8645158523604983e-05,1.2585183694249108e-05,1.3287072761158925e-05,1.6733072698116302e-05,3.002014636876993e-05
10,25.0,-622.9849243164062,-622.9841918945312,0.000732421875,5.364418029785156e-07,3.5112303957133226e-06,5.573121597990394e-06,3.498412568021465e-06,7.989295227162074e-06,2.993643192894524e-06,1.0982937965309247e-05
11,27.0,-686.90234375,-686.9050903320312,-0.00274658203125,7.543712854385376e-06,3.5112303957133226e-06,1.3114733922624302e-05,6.4062448788662345e-06,1.1357720723026432e-05,5.9379262893344276e-06,1.7295646102866158e-05
12,23.0,-547.5885009765625,-547.5809936523438,0.00750732421875,5.63599169254303e-05,2.9751467273423548e-05,1.6303516404573308e-05,2.1953679000337917e-05,2.663580198714044e-05,1.1594221177801955e-05,3.82300240744371e-05
13,24.0,-609.9899291992188,-609.9880981445312,0.0018310546875,3.3527612686157227e-06,3.5112303957133226e-06,1.3114733922624302e-05,6.4062448788662345e-06,1.0523863238631748e-05,5.9382991821621545e-06,1.6462163330288604e-05
14,25.0,-667.4994506835938,-667.4952392578125,0.00421142578125,1.7736107110977173e-05,3.5112303957133226e-06,4.1977812846501665e-06,3.498412568021465e-06,9.332441550213844e-06,1.659244276197569e-06,1.09916854853509e-05
15,26.0,-720.426025390625,-720.4271850585938,-0.00115966796875,1.344829797744751e-06,5.01597034079688e-06,7.954053580760956e-06,3.498412568021465e-06,1.1448246368672699e-05,4.0741638258623425e-06,1.552240973978769e-05
16,27.0,-673.7757568359375,-673.7736206054688,0.00213623046875,4.563480615615845e-06,3.5112303957133226e-06,1.3114733922624302e-05,6.4062448788662345e-06,9.958043847291265e-06,6.726756510033738e-06,1.6684800357325003e-05
17,27.0,-577.90380859375,-577.9044189453125,-0.0006103515625,3.725290298461914e-07,1.2352668001490124e-05,1.6303516404573308e-05,1.2585183694249108e-05,1.6354922991013154e-05,1.2431852155714296e-05,2.878677514672745e-05
18,28.0,-590.60107421875,-590.6013793945312,-0.00030517578125,9.313225746154785e-08,3.5112303957133226e-06,9.82090002960629e-06,6.4062448788662345e-06,1.1310395166219678e-05,5.602464170806343e-06,1.691285979177337e-05
19,29.0,-640.7605590820312,-640.7579956054688,0.0025634765625,6.571412086486816e-06,3.5112303957133226e-06,7.954053580760956e-06,3.498412568021465e-06,1.0842914889508393e-05,4.3788922994281165e-06,1.522180718893651e-05
20,29.0,-640.7481079101562,-640.7469482421875,0.00115966796875,1.344829797744751e-06,6.256883756981955e-06,1.6303516404573308e-05,1.1118690428488394e-05,1.2273644642846193e-05,1.2939609405293595e-05,2.5213254048139788e-05
