config_index,num_atoms,ref_energy,pred_energy,error,sq_error,rmse_e_atom,aleatoric_var,epistemic_var,total_var
0,20.0,-525.6405029296875,-525.63623046875,0.0042724609375,1.825392246246338e-05,0.0042724609375,2.5164647013298236e-05,1.526530832052231e-05,4.042995715280995e-05
1,20.0,-525.643310546875,-525.6510009765625,-0.0076904296875,5.914270877838135e-05,0.0076904296875,1.36646212922642e-05,7.600709977850784e-06,2.1265332179609686e-05
2,20.0,-525.4736938476562,-525.6695556640625,-0.19586181640625,0.03836185112595558,0.19586181640625,0.00019154934852849692,0.00019329860515426844,0.00038484795368276536
3,20.0,-525.4158935546875,-525.6057739257812,-0.18988037109375,0.03605455532670021,0.18988037109375,0.0011828510323539376,0.00037301814882084727,0.001555869122967124
4,22.0,-613.131591796875,-613.1268920898438,0.00469970703125,2.208724617958069e-05,0.00469970703125,4.4095464545534924e-05,8.838474604999647e-05,0.0001324802142335102
5,22.0,-613.3052978515625,-613.31298828125,-0.0076904296875,5.914270877838135e-05,0.0076904296875,1.8400880435365252e-05,1.3185851457819808e-05,3.158673280267976e-05
6,23.0,-675.4181518554688,-675.4169311523438,0.001220703125,1.4901161193847656e-06,0.001220703125,9.471808152738959e-05,4.294253812986426e-05,0.00013766062329523265
7,21.0,-597.9862670898438,-597.992919921875,-0.00665283203125,4.4260174036026e-05,0.00665283203125,0.0001139084852184169,9.811520430957898e-05,0.00021202368952799588
8,22.0,-663.8031616210938,-663.8148803710938,-0.01171875,0.0001373291015625,0.01171875,5.4906722652958706e-05,7.539186481153592e-05,0.00013029859110247344
9,23.0,-723.9738159179688,-723.9840698242188,-0.01025390625,0.00010514259338378906,0.01025390625,2.0664429030148312e-05,1.3408995982899796e-05,3.407342592254281e-05
10,22.0,-546.4043579101562,-546.4005737304688,0.0037841796875,1.4320015907287598e-05,0.0037841796875,2.719398253248073e-05,1.4786794963583816e-05,4.1980776586569846e-05
11,23.0,-611.3776245117188,-611.4085083007812,-0.0308837890625,0.0009538084268569946,0.0308837890625,0.00010072370059788227,8.853431791067123e-05,0.0001892580185085535
12,24.0,-671.0951538085938,-671.09130859375,0.00384521484375,1.4785677194595337e-05,0.00384521484375,4.139853990636766e-05,7.050279236864299e-05,0.00011190133227501065
13,25.0,-622.754150390625,-622.7574462890625,-0.0032958984375,1.0862946510314941e-05,0.0032958984375,2.316716745554004e-05,1.8761493265628815e-05,4.192865890217945e-05
14,26.0,-677.5909423828125,-677.58837890625,0.0025634765625,6.571412086486816e-06,0.0025634765625,2.3099173631635495e-05,8.91871786734555e-06,3.2017891498981044e-05
15,26.0,-634.6435546875,-634.6464233398438,-0.00286865234375,8.229166269302368e-06,0.00286865234375,2.230932113889139e-05,1.6238540410995483e-05,3.854786336887628e-05
16,23.0,-547.5015258789062,-547.5111083984375,-0.00958251953125,9.182468056678772e-05,0.00958251953125,1.9540017092367634e-05,2.0908191800117493e-05,4.044820889248513e-05
17,24.0,-609.419189453125,-609.650146484375,-0.23095703125,0.05334115028381348,0.23095703125,0.001412505516782403,0.0003232881426811218,0.0017357936594635248
18,25.0,-667.2619018554688,-667.2643432617188,-0.00244140625,5.9604644775390625e-06,0.00244140625,3.751995609491132e-05,2.018176019191742e-05,5.770171628682874e-05
19,26.0,-720.1127319335938,-720.2086791992188,-0.095947265625,0.009205877780914307,0.095947265625,0.0003575823793653399,0.0003787599562201649,0.0007363423355855048
20,25.0,-563.91357421875,-563.92041015625,-0.0068359375,4.673004150390625e-05,0.0068359375,4.198688839096576e-05,2.3958273231983185e-05,6.594516162294894e-05
21,25.0,-563.8195190429688,-563.9113159179688,-0.091796875,0.008426666259765625,0.091796875,4.3569219997152686e-05,6.538834713865072e-05,0.0001089575671358034
22,26.0,-620.6502685546875,-620.7322387695312,-0.08197021484375,0.006719116121530533,0.08197021484375,0.0024412728380411863,0.00023348964168690145,0.0026747623924165964
23,27.0,-673.4961547851562,-673.5057983398438,-0.0096435546875,9.299814701080322e-05,0.0096435546875,0.000668265507556498,0.0002430439053568989,0.0009113093838095665
24,26.0,-578.0200805664062,-578.0126342773438,0.0074462890625,5.544722080230713e-05,0.0074462890625,2.2012613044353202e-05,4.260726200300269e-05,6.461987504735589e-05
25,26.0,-578.079345703125,-578.0661010742188,0.01324462890625,0.00017542019486427307,0.01324462890625,2.6315678042010404e-05,4.0434300899505615e-05,6.674997712252662e-05
26,26.0,-521.3135375976562,-521.3173217773438,-0.0037841796875,1.4320015907287598e-05,0.0037841796875,0.0001798469020286575,8.30309436423704e-05,0.0002628778456710279
27,27.0,-618.9912719726562,-619.00390625,-0.01263427734375,0.00015962496399879456,0.01263427734375,3.7740450352430344e-05,8.548553887521848e-05,0.00012322599650360644
28,26.0,-464.83648681640625,-464.8316345214844,0.004852294921875,2.3544766008853912e-05,0.004852294921875,4.11301116400864e-05,2.19448465941241e-05,6.30749564152211e-05
29,27.0,-523.3876342773438,-523.3941040039062,-0.0064697265625,4.1857361793518066e-05,0.0064697265625,2.836090607161168e-05,1.0092929187521804e-05,3.8453836168628186e-05
30,34.0,-771.3302001953125,-771.3358154296875,-0.005615234375,3.153085708618164e-05,0.005615234375,1.369895016978262e-05,1.096818596124649e-05,2.4667137040523812e-05
31,34.0,-771.3269653320312,-771.3297729492188,-0.0028076171875,7.88271427154541e-06,0.0028076171875,1.2944309673912358e-05,1.3072974979877472e-05,2.601728556328453e-05
32,26.0,-408.08154296875,-408.0951843261719,-0.013641357421875,0.00018608663231134415,0.013641357421875,0.00048664878704585135,0.00016408777446486056,0.0006507365615107119
33,29.0,-539.0392456054688,-539.0468139648438,-0.007568359375,5.728006362915039e-05,0.007568359375,3.163098153891042e-05,5.406886339187622e-05,8.569984493078664e-05
34,30.0,-589.300048828125,-589.3010864257812,-0.00103759765625,1.0766088962554932e-06,0.00103759765625,2.4202430722652934e-05,1.8549524611444212e-05,4.275195533409715e-05
35,31.0,-636.3975830078125,-636.4035034179688,-0.00592041015625,3.505125641822815e-05,0.00592041015625,1.5498988432227634e-05,1.3288296941027511e-05,2.8787286282749847e-05
36,31.0,-636.4161987304688,-636.4166259765625,-0.00042724609375,1.825392246246338e-07,0.00042724609375,1.5386516679427586e-05,8.303672075271606e-06,2.3690188754699193e-05
37,33.0,-721.867919921875,-721.8717041015625,-0.0037841796875,1.4320015907287598e-05,0.0037841796875,2.987933112308383e-05,9.855813914327882e-06,3.9735146856401116e-05
38,35.0,-797.4840087890625,-797.4832153320312,0.00079345703125,6.295740604400635e-07,0.00079345703125,2.239014247606974e-05,2.069268339255359e-05,4.308282586862333e-05
39,35.0,-797.4762573242188,-797.4777221679688,-0.00146484375,2.1457672119140625e-06,0.00146484375,1.572150176798459e-05,8.621811502962373e-06,2.4343313270946965e-05
40,34.0,-728.0203247070312,-728.0192260742188,0.0010986328125,1.2069940567016602e-06,0.0010986328125,1.356537813990144e-05,4.187785179965431e-06,1.7753163774614222e-05
42,28.0,-525.06884765625,-525.0675659179688,0.00128173828125,1.642853021621704e-06,0.00128173828125,0.0001330852828687057,4.559811350191012e-05,0.00017868340364657342
43,28.0,-432.81353759765625,-432.81817626953125,-0.004638671875,2.1517276763916016e-05,0.004638671875,3.084272611886263e-05,1.5123654520721175e-05,4.59663788205944e-05
44,34.0,-684.7105102539062,-684.7162475585938,-0.0057373046875,3.291666507720947e-05,0.0057373046875,1.5966368664521724e-05,2.86415215668967e-05,4.460789205040783e-05
45,36.0,-760.2926025390625,-760.2909545898438,0.00164794921875,2.7157366275787354e-06,0.00164794921875,1.7933876733877696e-05,2.6463716494617984e-05,4.439759504748508e-05
46,30.0,-454.0289306640625,-454.0664978027344,-0.037567138671875,0.0014112899079918861,0.037567138671875,0.0008714896976016462,3.1140632927417755e-05,0.0009026303305290639
47,37.0,-725.1778564453125,-725.1790161132812,-0.00115966796875,1.344829797744751e-06,0.00115966796875,1.392667672917014e-05,1.1227652066736482e-05,2.515432788641192e-05
48,29.0,-437.6839904785156,-437.6852722167969,-0.00128173828125,1.642853021621704e-06,0.00128173828125,1.2994066310056951e-05,4.979455752618378e-06,1.7973521607927978e-05
49,30.0,-491.1014709472656,-491.0978698730469,0.00360107421875,1.2967735528945923e-05,0.00360107421875,3.872792512993328e-05,1.4947308045520913e-05,5.36752340849489e-05
50,31.0,-541.2398071289062,-541.245361328125,-0.00555419921875,3.084912896156311e-05,0.00555419921875,5.545139356399886e-05,4.126187559450045e-05,9.671326552052051e-05
51,31.0,-541.2991333007812,-541.31298828125,-0.01385498046875,0.00019196048378944397,0.01385498046875,0.00020510303147602826,3.880877193296328e-05,0.00024391181068494916
52,32.0,-588.3016357421875,-588.2975463867188,0.00408935546875,1.6722828149795532e-05,0.00408935546875,1.7141876014648005e-05,3.5852194741892163e-06,2.072709503408987e-05
53,32.0,-588.2379150390625,-588.2373657226562,0.00054931640625,3.0174851417541504e-07,0.00054931640625,1.6403893823735416e-05,2.0122713976888917e-05,3.652660961961374e-05
54,30.0,-404.81524658203125,-404.8678283691406,-0.052581787109375,0.002764844335615635,0.052581787109375,0.00011734000145224854,5.36793377250433e-05,0.00017101934645324945
55,36.0,-647.5804443359375,-647.5888061523438,-0.00836181640625,6.991997361183167e-05,0.00836181640625,1.3554416909755673e-05,6.910413503646851e-06,2.0464831322897226e-05
56,37.0,-685.3551635742188,-685.3609619140625,-0.00579833984375,3.3620744943618774e-05,0.00579833984375,3.4160246286774054e-05,2.0994431906729005e-05,5.5154676374513656e-05
57,33.0,-475.64190673828125,-475.6667175292969,-0.024810791015625,0.0006155753508210182,0.024810791015625,9.78453244897537e-05,0.00011781728971982375,0.00021566261420957744
58,34.0,-521.7832641601562,-521.8075561523438,-0.0242919921875,0.000590100884437561,0.0242919921875,0.0007005902007222176,0.00034973473520949483,0.0010503248777240515
59,35.0,-565.5493774414062,-565.546142578125,0.00323486328125,1.0464340448379517e-05,0.00323486328125,1.3632444279210176e-05,9.605847480997909e-06,2.3238291760208085e-05
60,35.0,-565.5692138671875,-565.570556640625,-0.0013427734375,1.8030405044555664e-06,0.0013427734375,0.0007141218520700932,6.066281275707297e-05,0.0007747846539132297
61,35.0,-565.5753784179688,-565.5712280273438,0.004150390625,1.722574234008789e-05,0.004150390625,3.3806842111516744e-05,1.2707151654467452e-05,4.6513992856489494e-05
62,35.0,-565.56298828125,-565.5570678710938,0.00592041015625,3.505125641822815e-05,0.00592041015625,1.7709540770738386e-05,3.268867658334784e-05,5.0398215535096824e-05
63,36.0,-606.6788940429688,-606.6781616210938,0.000732421875,5.364418029785156e-07,0.000732421875,1.559800330142025e-05,1.1305883163004182e-05,2.690388646442443e-05
64,38.0,-653.0848999023438,-653.0885620117188,-0.003662109375,1.341104507446289e-05,0.003662109375,1.4684892448713072e-05,1.3553537428379059e-05,2.823842987709213e-05
65,40.0,-694.848876953125,-694.8525390625,-0.003662109375,1.341104507446289e-05,0.003662109375,2.2949743652134202e-05,1.379549485136522e-05,3.674523759400472e-05
66,33.0,-431.2225646972656,-431.22247314453125,9.1552734375e-05,8.381903171539307e-09,9.1552734375e-05,1.131224325945368e-05,6.4341816141677555e-06,1.7746424418874085e-05
67,34.0,-478.5462341308594,-478.5505065917969,-0.0042724609375,1.825392246246338e-05,0.0042724609375,1.793882438505534e-05,1.5063584214658476e-05,3.300240859971382e-05
68,36.0,-565.4735107421875,-565.498779296875,-0.0252685546875,0.0006384998559951782,0.0252685546875,4.758462819154374e-05,0.00013390128151513636,0.0001814859133446589
69,38.0,-614.3291015625,-614.3384399414062,-0.00933837890625,8.720532059669495e-05,0.00933837890625,1.7955995645024814e-05,1.771971619746182e-05,3.5675711842486635e-05
70,36.0,-462.7673645019531,-462.7703552246094,-0.00299072265625,8.944422006607056e-06,0.00299072265625,8.010784949874505e-05,0.00014741020277142525,0.00022751805954612792
71,38.0,-507.2521667480469,-507.2994689941406,-0.04730224609375,0.002237502485513687,0.04730224609375,0.00012683011300396174,0.00030481716385111213,0.0004316472914069891
72,40.0,-547.3382568359375,-547.3683471679688,-0.03009033203125,0.0009054280817508698,0.03009033203125,0.0007694779778830707,0.0005093790823593736,0.0012788570020347834
73,40.0,-547.41357421875,-547.4274291992188,-0.01385498046875,0.00019196048378944397,0.01385498046875,5.977837645332329e-05,4.9190595746040344e-05,0.00010896897583734244
74,16.0,-652.9696655273438,-652.9718017578125,-0.00213623046875,4.563480615615845e-06,0.00213623046875,3.2307711080648005e-05,1.222025639435742e-05,4.452796565601602e-05
75,16.0,-652.9631958007812,-652.97900390625,-0.01580810546875,0.00024989619851112366,0.01580810546875,9.491801029071212e-05,1.710299329715781e-05,0.00011202100722584873
76,18.0,-745.8834228515625,-745.8856201171875,-0.002197265625,4.827976226806641e-06,0.002197265625,3.2657670089975e-05,9.102746844291687e-06,4.1760416934266686e-05
77,20.0,-820.0858154296875,-820.0935668945312,-0.00775146484375,6.008520722389221e-05,0.00775146484375,3.0854287615511566e-05,2.252105696243234e-05,5.3375344577943906e-05
78,18.0,-807.8128662109375,-807.8107299804688,0.00213623046875,4.563480615615845e-06,0.00213623046875,3.9434518839698285e-05,1.8773414922179654e-05,5.820793376187794e-05
79,18.0,-807.7607421875,-807.7686157226562,-0.00787353515625,6.199255585670471e-05,0.00787353515625,3.95449205825571e-05,2.6546791559667327e-05,6.609171396121383e-05
80,19.0,-872.8592529296875,-872.865234375,-0.0059814453125,3.577768802642822e-05,0.0059814453125,4.817708031623624e-05,2.2457166778622195e-05,7.063424709485844e-05
81,19.0,-736.7872924804688,-736.785400390625,0.00189208984375,3.5800039768218994e-06,0.00189208984375,5.8153749705525115e-05,3.362894130987115e-05,9.178269101539627e-05
82,19.0,-736.6389770507812,-736.6688232421875,-0.02984619140625,0.0008907951414585114,0.02984619140625,7.827558147255331e-05,0.00013673472858499736,0.00021501031005755067
83,20.0,-802.3428344726562,-802.3464965820312,-0.003662109375,1.341104507446289e-05,0.003662109375,2.0272147594369017e-05,7.2609632297826465e-06,2.7533111278899014e-05
84,20.0,-802.3548583984375,-802.3640747070312,-0.00921630859375,8.49403440952301e-05,0.00921630859375,2.0231856979080476e-05,1.702234112599399e-05,3.7254198105074465e-05
85,20.0,-802.2453002929688,-802.25537109375,-0.01007080078125,0.00010142102837562561,0.01007080078125,3.216307595721446e-05,4.510600047069602e-05,7.726907642791048e-05
86,20.0,-802.2384033203125,-802.2420654296875,-0.003662109375,1.341104507446289e-05,0.003662109375,3.488251240924001e-05,4.2472780478419736e-05,7.735528924968094e-05
87,21.0,-861.461669921875,-861.4683837890625,-0.0067138671875,4.507601261138916e-05,0.0067138671875,1.8147844457416795e-05,2.8434023988666013e-05,4.6581866627093405e-05
88,20.0,-746.503662109375,-746.5084838867188,-0.00482177734375,2.3249536752700806e-05,0.00482177734375,4.090322181582451e-05,3.858916534227319e-05,7.949238352011889e-05
89,20.0,-746.4329833984375,-746.4335327148438,-0.00054931640625,3.0174851417541504e-07,0.00054931640625,4.912848453386687e-05,4.5996719563845545e-05,9.51252004597336e-05
90,20.0,-746.4600219726562,-746.4544067382812,0.005615234375,3.153085708618164e-05,0.005615234375,6.477017450379208e-05,5.199723091209307e-05,0.00011676740541588515
91,20.0,-746.39111328125,-746.4135131835938,-0.02239990234375,0.0005017556250095367,0.02239990234375,0.00028176294290460646,8.873250044416636e-05,0.0003704954287968576
92,21.0,-808.3861694335938,-808.3815307617188,0.004638671875,2.1517276763916016e-05,0.004638671875,2.9752676709904335e-05,2.5488994651823305e-05,5.524167136172764e-05
93,18.0,-582.184814453125,-582.1866455078125,-0.0018310546875,3.3527612686157227e-06,0.0018310546875,1.886437530629337e-05,4.900246949546272e-06,2.376462180109229e-05
94,20.0,-672.927001953125,-672.9404296875,-0.013427734375,0.00018030405044555664,0.013427734375,4.085982800461352e-05,3.566034138202667e-05,7.652016938664019e-05
95,20.0,-672.8820190429688,-672.89794921875,-0.01593017578125,0.00025377050042152405,0.01593017578125,3.354157161084004e-05,2.800729089358356e-05,6.154886068543419e-05
96,21.0,-738.1799926757812,-738.1945190429688,-0.0145263671875,0.00021101534366607666,0.0145263671875,5.107444667373784e-05,5.7236662541981786e-05,0.00010831111285369843
97,19.0,-659.3551025390625,-659.3507080078125,0.00439453125,1.9311904907226562e-05,0.00439453125,2.6521824111114256e-05,1.6726180547266267e-05,4.324800465838052e-05
98,20.0,-728.5509643554688,-728.5709838867188,-0.02001953125,0.00040078163146972656,0.02001953125,0.0002432137553114444,2.5581195586710237e-05,0.00026879494544118643
99,20.0,-728.5419921875,-728.5443725585938,-0.00238037109375,5.666166543960571e-06,0.00238037109375,4.1028655687114224e-05,8.085500303423032e-05,0.00012188365508336574
100,20.0,-728.6624755859375,-728.6688842773438,-0.00640869140625,4.10713255405426e-05,0.00640869140625,2.376045085838996e-05,1.996699757000897e-05,4.372745024738833e-05
101,20.0,-728.6993408203125,-728.7017822265625,-0.00244140625,5.9604644775390625e-06,0.00244140625,1.869976767920889e-05,3.0193292332114652e-05,4.889306001132354e-05
102,20.0,-728.662841796875,-728.6637573242188,-0.00091552734375,8.381903171539307e-07,0.00091552734375,2.9672321034013294e-05,4.984587576473132e-05,7.951819861773401e-05
103,20.0,-728.5880126953125,-728.5971069335938,-0.00909423828125,8.270516991615295e-05,0.00909423828125,0.00013929465785622597,6.567146920133382e-05,0.0002049661270575598
104,20.0,-728.6119384765625,-728.6179809570312,-0.00604248046875,3.651157021522522e-05,0.00604248046875,3.6937784898327664e-05,4.957132114213891e-05,8.650910604046658e-05
105,20.0,-728.6134033203125,-728.6162109375,-0.0028076171875,7.88271427154541e-06,0.0028076171875,4.2650510295061395e-05,1.721717489999719e-05,5.9867685195058584e-05
106,21.0,-791.3157348632812,-791.3224487304688,-0.0067138671875,4.507601261138916e-05,0.0067138671875,4.020375126856379e-05,2.0126066374359652e-05,6.0329817642923445e-05
